Love isn't,സ്നേഹം അല്ല
capron,കാപ്രോൺ
kitchen ka kapda,അടുക്കള വസ്ത്രങ്ങൾ
khana banana,പാചകം ചെയ്യാൻ
chamacha,സ്പൂൺ
khuish,ഖോയിഷ്
shaktiman dress,ശക്തിമാൻ വസ്ത്രധാരണം
shaktiman ka dress,ശക്തിമാന്റെ വസ്ത്രധാരണം
gateway of India,ഇന്ത്യയുടെ കവാടം
hawai jahaj,വിമാനം
water pool,വാട്ടർ പൂൾ
naraj,ദേഷ്യം
neck lace,കണ്ഠാഭരണം
slipper,സ്ലിപ്പർ
batman dress,ബാറ്റ്മാൻ വസ്ത്രധാരണം
batman ke kapde,ബാറ്റ്മാന്റെ വസ്ത്രങ്ങൾ
atmaviswas,ആത്മവിശ്വാസം
sharab ki glass,ഗ്ലാസ് വൈൻ
bib,ബിബ്
toilet paper,ടോയിലറ്റ് പേപ്പർ
napkin,തൂവാല
chote kapde,ചെറിയ വസ്ത്രങ്ങൾ
disco light,ഡിസ്കോ ലൈറ്റ്
typewriter,ടൈപ്പ്റൈറ്റർ
uttawala,ഭരിക്കുക
kitabe joote,ചെരിപ്പുകൾ ബുക്ക് ചെയ്യുക
ghari,ഘാരി
wood,മരം
rumal,മണ്ടൻ
chithi,കത്ത്
janana,എന്നോട് പറയുക
hath ka band,കൈമാറുക
stamp,സ്റ്റാമ്പ്
mohar,മുദ്ര
punjabi shoes,പഞ്ചാബി ഷൂസ്
charpai,കട്ടിലുകൾ
gale ka haar,നെക്ലേസ്
beach chair,ബീച്ച് കസേര
gold necklace,സ്വർണ്ണ മാല
sone ke kade,കഠിനമായ സ്വർണം
add shoe,ഷൂ ചേർക്കുക
clutch,ക്ലച്ച്
juthey,ജൂതേ
wickets,വിക്കറ്റ്
pirate boots,കടൽക്കൊള്ളക്കാരുടെ ബൂട്ട്
lootere k kapde,കവർച്ചക്കാർ
arrogance,അഹങ്കാരം
rawaiya,ചിരി
drum sticks,ഡ്രം സ്റ്റിക്കുകൾ
utsahit,ആവേശഭരിതനായി
crows,കാക്കകൾ
costumes,വസ്ത്രങ്ങൾ
stupidity,മണ്ടത്തരം
pagalpanti,മദ്‌പന്തി
rigid,അയവില്ലാത്ത
hankey,ഹാൻകി
threaten,ഭീഷണിപ്പെടുത്തുക
police ki wardi,പോലീസ് കി വാർഡി
adhiyal,അതിയല്
half pants,പകുതി പാന്റ്സ്
guilt,കുറ്റബോധം
hatodha,ഞങ്ങൾ പാഴാക്കരുത്
drum stick,ഡ്രം സ്റ്റിക്ക്
cricket uniform,ക്രിക്കറ്റ് യൂണിഫോം
cricket ki wardi,ക്രിക്കറ്റ് യൂണിഫോം
urjatmak,എനർജി
dementor,ഡിമെന്റർ
dumpishach,ഡംപിഷാച്ച്
ruab,സെൻസിറ്റീവ്
tennis raquet,ടെന്നീസ് റാക്കറ്റ്
encouragement,പ്രോത്സാഹനം
protsahan,പ്രോത്സാഹനം
arogance,അഹങ്കാരം
black belt,ബ്ലാക്ക് ബെൽറ്റ്
chattri,ചത്രി
wardi,വാർഡി
text book,പാഠപുസ്തകം
vidyalaya ki wardi,സ്കൂൾ യൂണിഫോം
pustak,പുസ്തകം
pustika,ലഘുലേഖ
vegeta costume,സസ്യഭക്ഷണം
vegeta ki wardi,പച്ചക്കറി യൂണിഫോം
dumbells,ഡംബെൽസ്
gym clothes,ജിം വസ്ത്രങ്ങൾ
yoga mat,യോഗ പായ
gym ke kapde,ഗയാമിന്റെ വസ്ത്രങ്ങൾ
waistcoat,അരക്കെട്ട്
currency notes,കറൻസി നോട്ടുകൾ
pitab,പിറ്റാബ്
inflated tube,വർദ്ധിച്ച ട്യൂബ്
carton,കാർട്ടൂൺ
ras,റാസ്
bhukh,വിശപ്പ്
garbagebin,ചവറ്റുകുട്ട
drape,drape
swagatam,സ്വഗതമ്
motercycle,മോട്ടോർ സൈക്കിൾ
bermuda,ബെർമുഡ
frying pan,വറചട്ടി
tawa,ചിരി
supportive,പിന്തുണയ്ക്കുന്നു
arror,അമ്പടയാളം
kabab roll,കബാബ് റോൾ
chicken roll,ചിക്കൻ റോൾ
kabab,കബാബ്
raincoat,റെയിൻ‌കോട്ട്
barsati kapade,റെയിൻവെയർ
parvah,പരിചരണം
cofee,കോഫി
durbhash,ഫോൺ
glass of water,ഒരു ഗ്ലാസ് വെള്ളം
ku fu,കുഫ്
balcony,ബാൽക്കണി
mufler,മുഫ്ലെര്
disney,ഡിസ്നി
chuha,മൗസ്
track suit,ട്രാക്ക് സ്യൂട്ട്
tufan,വെള്ളപ്പൊക്കം
power puff girls,പവർ പഫ് പെൺകുട്ടികൾ
bahans,ചർച്ച
danush,ധനുഷ്
jhony bravo,ജോണി ബ്രാവോ
hanky,ഹാൻകി
yantrik manav,മെക്കാനിക്കൽ ഹ്യൂമൻ
suswagatam,സ്വാഗതം
aungli,aungli
minister,മന്ത്രി
gusa,മാത്രം
skating,സ്കേറ്റിംഗ്
shinchan,ഷിഞ്ചൻ
thumb,പെരുവിരൽ
angutha,തള്ളവിരൽ
wheel chair,ചക്ര കസേര
batckh,batckh
one piece,ഒരു കഷ്ണം
bun,നല്ല
juda,വളരെ
sleeping beauty,ഉറങ്ങുന്ന സുന്ദരി
rajkumari,രാജകുമാരി
rasta,റസ്ത
jahaj,കപ്പൽ
magnifying glass,മാഗ്‌നിഫൈയിംഗ് ഗ്ലാസ്
pointer,പോയിന്റർ
naksha,ഡിസൈൻ
colorful,വർണ്ണാഭമായ
rangeen,വർണ്ണാഭമായത്
ghnata,അമർത്തി
pop corn,പോപ്പ്കോൺ
tube,ട്യൂബ്
baord,ബോർഡ്
Sheep,ആടുകൾ
bhed,വ്യത്യാസം
lehnga,ലെഹെങ്ക
caot,സ്കെച്ച്
premika,നീക്കങ്ങൾ
geyser,ഗീസർ
toliya,ടോളിയ
sabun,സോപ്പ്
babbar sher,ബബ്ബാർ ഷെർ
madir,മോദി
parvat,പർവ്വതം
pajama tshirt,പൈജാമ ഷർട്ട്
grim,കഠിനമാണ്
yamraj,യമ്രാജ്
haddi,പരിധി
naquab,കുട്ടി
gufa,പുരാതന നിയമം
paresan,ഇണ
choga,choga
nacklace,കണ്ഠാഭരണം
rolling pin,മാവുപരത്തുന്ന വടി
neclace,കണ്ഠാഭരണം
milk bottles,പാൽ കുപ്പികൾ
raj gaddi,രാജ് ഗാഡ്ഡി
pajam,ദയവായി
watergun,വാട്ടർഗൺ
kitaabein,രണ്ട് പുസ്തകങ്ങൾ
katora,ഗർഭപാത്രം
cashma,കണ്ണട
sharrti,സമാധാനം
envelope,കവര്
parantha,വീതിയുള്ള
t shirts,ടി ഷർട്ടുകൾ
oote,കാത്തിരിക്കുക
shararti,വികൃതി
one piece dress,ഒരു കഷണം വസ്ത്രധാരണം
earings,കമ്മലുകൾ
choriyan,മോഷണം
jhumke,കമ്മലുകൾ
chapati,അമർത്തി
pooriyan,പുരിസ്
kachori,ഉദ്ധരണി
saucer,സോസർ
kabootar,കബൂട്ടർ
girl's shadow,പെൺകുട്ടിയുടെ നിഴൽ
tree shadow,വൃക്ഷത്തിന്റെ നിഴൽ
haddiyan,അസ്ഥികൾ
pedh ki parchayi,വൃക്ഷത്തിന്റെ നിഴലുകൾ
ladki ki parchayi,പെൺകുട്ടി നിഴൽ
food stall,ഭക്ഷണശാല
khane ka thela,ഫുഡ് ബാർ
dhukh,സങ്കടം
parsehan,പര്സെഹ്
barrel,ബാരൽ
merry go round,ഉല്ലാസയാത്ര
sherwani,ഷെർവാനി
dushala,ദുഷാല
udaar,ഉദാരമായ
akadu,അവൻ കുഴപ്പത്തിലാണ്
tezz,tezz
wond,മുറിവ്
robe,മേലങ്കി
chonga,പരിശോധിക്കുക
jaduyi chhadi,മാന്ത്രിക വടി
ghinauna,വെറുപ്പുളവാക്കുന്ന
realxed,വിശ്രമിച്ചു
exited,പുറത്തുകടന്നു
maala,വൈകുന്നേരം
dots,ഡോട്ടുകൾ
jewellary,ആഭരണം
gahane,ആഭരണങ്ങൾ
poshal,പോഷാൽ
kitaben,പുസ്തകങ്ങൾ
ice man,ഐസ് മാൻ
iceman,ഐസ്മാൻ
doremon,doremon
boll,ബോൾ
bistari,ദയവായി
prupya,പേജ്
loved,സ്നേഹിച്ചു
sandles,ചെരുപ്പുകൾ
beanbag,ബീൻ ബാഗ്
uban,മറ്റുള്ളവരെ
cle,ക്ലിയർ
deo,ഭാഗം
sugandh,സുഗന്ധം
gahne,ആഭരണങ്ങൾ
rabit,ലിങ്ക്
khargosh,മുയൽ
takhti,ബോർഡ്
eenam,eenam
bhukha,വിശക്കുന്നു
shell,ഷെൽ
utsah,ഉത്സാഹം
dobbey,ഡോബി
bhaybheet,പേടിച്ചു
zozo,സോസോ
ashokchakra,നന്ദി
hathauda,ചുറ്റിക
battakh,താറാവ്
cow dung,ചാണകം
gobar,ചാണകം
mombattee,ഒരു മെഴുകുതിരി
garlic,വെളുത്തുള്ളി
lassan,പതുക്കെ
coffee cup,കോഫി കപ്പ്
kaagaj,പേപ്പർ
kursee,കസേര
protien shaker,പ്രോട്ടീൻ ഷേക്കർ
sipper,സിപ്പർ
garbage,മാലിന്യങ്ങൾ
kapada,തുണി
kachara,പൂച്ച
gorilla,ഗോറില്ല
bowtie,ബോ ടൈ
photo frame,ഫോട്ടോ ഫ്രെയിം
pearls,മുത്തുകൾ
zevar,ആഭരണങ്ങൾ
cap shoe,തൊപ്പി ഷൂ
tshirt pant,ഷർട്ട് പാന്റ്
hand santizer,ഹാൻഡ് സാനിറ്റൈസർ
face wash,ഫെയ്സ് വാഷ്
towel kapada,ടവൽ കപാഡ
jootey rumaal,ഷൂസ് തൂവാല
zodiac sign,രാശി ചിഹ്നം
kanya rashi,കന്നി
jal pari,എനിക്ക് ഇത് വ്യാജമാക്കാൻ കഴിയും
naariyal,തേങ്ങ
zo zo,അങ്ങനെ
colour balloons,വർണ്ണ ബലൂണുകൾ
gubare,ക്യൂബ പനി
xerox,സിറോക്സ്
shirtl trouser,ഷർട്ട് ട്ര ous സർ
photocopy machine,ഫോട്ടോകോപ്പി മെഷീൻ
shaitaan,ചക്കിൾ
gardani,ഗാർഡാനി
doreman,ഡോറെമാൻ
office ki table,ഓഫീസ് കി പട്ടിക
party wear,പാർട്ടി വസ്ത്രം
yoga pant,യോഗ പാന്ത്
lower,താഴത്തെ
payajama,പൈജാമ
martial art suit,ആയോധനകല സ്യൂട്ട്
railway track,റെയിൽ‌വേ ട്രാക്ക്
transistor,ട്രാൻസിസ്റ്റർ
music player,മ്യൂസിക് പ്ലെയർ
rail track,റെയിൽ ട്രാക്ക്
chudidar,ചുരിദാർ
roti roller,റൊട്ടി റോളർ
exicited,ആവേശത്തിലാണ്
punjabi dress,പഞ്ചാബി വസ്ത്രധാരണം
kid baby,കുഞ്ഞ് കുഞ്ഞ്
jhoola,സ്വിംഗ്
crickert,ക്രിക്കറ്റ്
indian t shirt,ഇന്ത്യൻ ടി ഷർട്ട്
I am magician,ഞാൻ മാന്ത്രികനാണ്
playing cards,ചീട്ടുകളി
trench coat,ട്രെഞ്ച് കോട്ട്
saxophone,സാക്സോഫോൺ
blazer suit,ബ്ലേസർ സ്യൂട്ട്
mojito,മോജിതോ
nimbu pani,നാരങ്ങാവെള്ളം
monitor,മോണിറ്റർ
tea bag,ടീ ബാഗ്
cricket team member,ക്രിക്കറ്റ് ടീം അംഗം
team jersey,ടീം ജേഴ്സി
kark raasi,രാശിചിഹ്നം
rashi,രാശി
lauggage,ലഗേജ്
jooteyl joote,ചെരുപ്പ് ചെരിപ്പുകൾ
swinging hamcock,സ്വിംഗിംഗ് ഹമ്മോക്ക്
hearts butterfly,ഹൃദയങ്ങൾ ചിത്രശലഭം
titalee,ടൈറ്റാലി
banian,എട്ട് വർഷം
angootha,തള്ളവിരൽ
angotha,അവർ തളർന്നുപോയി
post card,പോസ്റ്റ് കാർഡ്
leg piece,ലെഗ് പീസ്
cock,കോഴി
murgee,മുർഗി
hockey stick,ഹോക്കി സ്റ്റിക്ക്
butter fly,വെണ്ണ ഈച്ച
titli,ശീർഷകങ്ങൾ
angels,മാലാഖമാർ
pari,തുല്യ
mithun rashi,ജെമിനി
mumbai jersey,മുംബൈ ജേഴ്സി
imarat,ഇമാരത്ത്
podium,പോഡിയം
dhirt,സസ്യങ്ങൾ
dish,വിഭവം
chamcha,സ്പൂൺ
shairt,ഷേവ് ചെയ്തു
takatvar,വീരന്മാർ
sadals,ചെരുപ്പുകൾ
maszid,പള്ളി
kaeez,കെയ്‌സ്
lehenga choli,ലെഹെങ്ക ചോളി
eggs,മുട്ട
nest,കൂടു
anda,നിങ്ങൾ
ghonsala,കൂടു
salwaar kameez,സൽവാർ കമീസ്
dead pool,ഡെഡ് പൂൾ
weapons,ആയുധങ്ങൾ
hathiyaar, shastr,ആയുധങ്ങൾ, തിരുവെഴുത്ത്
kamiz: kameez,കമിസ്: കമീസ്
underwater plants,അണ്ടർവാട്ടർ സസ്യങ്ങൾ
paani wale paudhe,ചെടികൾക്ക് നനവ്
ashoka chakra, saree,അശോക ചക്രം, സാരി
deshbhakt,ദേശസ്നേഹി
hungy,വിശക്കുന്നു
kaanta,മുള്ളുകൾ
buns,ബണ്ണുകൾ
oranges,ഓറഞ്ച്
santare,ഓറഞ്ച്
bund,ബണ്ട്
tokri,കൊട്ട
pav,അത്തി
guss,കാസ്റ്റുചെയ്യുക
jewar,ആഭരണങ്ങൾ
hilary, tshirt,ഹിലാരി, ടിഷർട്ട്
kuchcha,ചിക്ക്
shaitnai,പൈശാചിക
pencils,പെൻസിലുകൾ
crayons,ക്രയോണുകൾ
battak,ബാർജ്
bel,മനോഹരമായ
takhat,തകാത്ത്
tshirt watch,ടിഷർട്ട് വാച്ച്
komputer,കമ്പ്യൂട്ടർ
dissaproving,നിരസിക്കുന്നു
sign board,സൈൻ ബോർഡ്
notebooks,നോട്ട്ബുക്കുകൾ
colour pens,കളർ പേനകൾ
apronn,ഏപ്രിൽ
yogi bear,യോഗി കരടി
nightwear,നൈറ്റ്വെയർ
palan,സൂക്ഷിക്കുന്നു
kadpe,കയ്പേറിയ
kinara,അഗ്രം
joo joo,അതെ അതെ
pulao,പുഷ്
fried chicken,ഫ്രൈഡ് ചിക്കൻ
rice,അരി
pulaav,റിസോട്ടോ
chawal,അരി
handi biryani,ബിരിയാണി അല്ല
Kolkata Knight Riders,കൊൽക്കത്ത നൈറ്റ് റൈഡേഴ്സ്
team tshirt,ടീം ഷർട്ട്
sunrisers hyderabad,സൺ‌റൈസേഴ്‌സ് ഹൈദരാബാദ്
saaree,കൊള്ളാം
tshirt t,ടിഷർട്ട് ടി
Indian cricket tshirt,ഇന്ത്യൻ ക്രിക്കറ്റ് ഷർട്ട്
tshrt,tshrt
bull dog,കാള നായ
chaarminar,ചാർമിനാർ
rench,rench
paech kas,paech kas
bar stool,ബാർ മലം
tissue,ടിഷ്യു
soaps,സോപ്പുകൾ
pdt,pdt
peacock feather,മയിൽപ്പീലി
ethnic dress,വംശീയ വസ്ത്രധാരണം
christmas sweater,ക്രിസ്മസ് സ്വെറ്റർ
ghaghra,പാവാട
Indian cricket team player,ഇന്ത്യൻ ക്രിക്കറ്റ് ടീം കളിക്കാരൻ
curtain,തിരശ്ശീല
bathroom tiles,ബാത്ത്റൂം ടൈലുകൾ
cherry,ചെറി
bhookh,വിശപ്പ്
trolly bag,ട്രോളി ബാഗ്
sphinx,സ്ഫിങ്ക്സ്
water bottle,വെള്ളകുപ്പി
buriya bistra,ബുറിയ ബിസ്ട്ര
pani ki botal,വാട്ടർ ബോട്ടിൽ
gold bangles,സ്വർണ്ണ വളകൾ
sone ke kangan,സ്വർണ്ണ ബ്രേസ്ലെറ്റ്
green chilly,പച്ചമുളക്
vada pav,വാഡ പാവ്
hari mirch,മിർച്ച് ദിവസം
golden scale,സുവർണ്ണ സ്കെയിൽ
sone ka tarazu,കാത്തിരിക്കരുത്
pani ki boond,വാട്ടർ ഡ്രോപ്പ്
santa costume,വിശുദ്ധ വേഷം
clebration,ക്ലെബ്രേഷൻ
sanda ki paushakh,ചെരുപ്പ് വസ്ത്രധാരണം
tofe,ടോഫെ
magic wand,മാന്ത്രിക വടി
jadui paushakh,മാജിക് വസ്ത്രധാരണം
jadui chadi,മാന്ത്രിക വടി
manch,ചിലത്
suspisious,സംശയാസ്പദമായ
sandehjanak,സംശയം
coffee mugs,കോഫി മഗ്ഗുകൾ
sajawat,അലങ്കാരം
superman costume,സൂപ്പർമാൻ വേഷം
superman paushakh,സൂപ്പർമാൻ പ aus ഷാഖ്
lion costume,സിംഹവസ്ത്രം
sher ki paushakh,സിംഹവസ്ത്രം
wall clock,മതിൽ ഘടികാരം
rice bowl,അരി പാത്രം
chawal ka katora,അരി പാത്രം
flower vase,പുഷ്പ പാത്രം
chaukna,അലേർട്ട് ചെയ്യാൻ
juraben,ജുറാബെൻ
inton ki diwar,ഇഷ്ടിക മതിൽ
khilone,ബ്ലൂം
currency note,കറൻസി കുറിപ്പ്
mobile phones,മൊബൈൽ ഫോണുകൾ
stuffed chapati,സ്റ്റഫ് ചെയ്ത ചപ്പാത്തി
paratha,പരത
hari chutney,ഹാരി ചട്ണി
wires,വയറുകൾ
tident,ടൈഡന്റ്
uads,uads
super woman costume,സൂപ്പർ വുമൺ കോസ്റ്റ്യൂം
wooden fence,തടികൊണ്ടുള്ള വേലി
murgaa,അസ്വസ്ഥനായി
sitar,സിത്താർ
traditional  wear,പരമ്പരാഗത വസ്ത്രം
tea glasses,ടീ ഗ്ലാസുകൾ
chaiwala,ഇളകി
india flag,ഇന്ത്യാ പതാക
super human,സൂപ്പർ ഹ്യൂമൻ
first aid,പ്രഥമ ശ്രുശ്രൂഷ
landline receiver,ലാൻഡ്‌ലൈൻ റിസീവർ
glove,കയ്യുറ
lap top,ലാപ് ടോപ്പ്
naayak,നായകൻ
jump suit,ജമ്പ് സ്യൂട്ട്
jegging,ജെഗ്ഗിംഗ്
traditional dress,പരമ്പരാഗത വസ്ത്രധാരണം
micky mouse,മിക്കി മൗസ്
robo,റോബോ
robat,മോഷ്ടിച്ചു
sleveless tshirt,സ്ലീവ്‌ലെസ് ഷർട്ട്
spray pump,സ്പ്രേ പമ്പ്
gudiya,പാവ
geomentrcal shapes,ജ്യാമിതീയ രൂപങ്ങൾ
id card,ഐഡി കാർഡ്
lunch box,ലഞ്ച് ബോക്സ്
dabbawala,മൃഗം
kutaa,ചുവര്
nosering,മൂക്കുത്തി
nath,നാഥ്
kangan,ബ്രേസ്ലെറ്റ്
poshaq,poshaq
koonchi,കത്രിക
eenaam,ഏകാന്തത
shark ki poshak,സ്രാവ് വേഷം
patloom,പാറ്റ്ലൂം
tshit,ന്യൂഡൽഹി
utyejit,മേള
sleapers,സ്ലീപ്പർമാർ
ptloon,ptloon
urjawaan,എനർജി
sandels,ചെരുപ്പുകൾ
dilouge,ഫ്ലോർ ഡ്രെയിൻ
spear,കുന്തം
bhaala,കൊള്ളാം
sardi ke kapde,ശൈത്യകാല വസ്ത്രങ്ങൾ
pahaad,പർവ്വതം
paijama,പൈജാമ
' kurta,'കുർത്ത
salwaer,സൽവാർ
juutiyan,മ്യൂട്ടേഷൻ
sikke,സിക്കെ
chidchida,പ്രകോപിപ്പിക്കരുത്
sport uniform,കായിക യൂണിഫോം
tikki,ടിക്കി
rinch,കഴുകിക്കളയുക
screwdiver,സ്ക്രൂഡ്രൈവർ
hathaouda,ഭാഗ്യം
peon dress,പ്യൂൺ വസ്ത്രധാരണം
chaptrasi ki dress,chaptrasi ki dress
maharastra,maharashtra
unicorn,യൂണികോൺ
dangri,അന്ന്
kchha,അസംസ്കൃത
puchana,ചോദിക്കാൻ
pataloon,പാന്റലൂൺ
khun,കൊലപാതകം
Leaning Tower of Pisa,പിസയിലെ ചെരിഞ്ഞ ഗോപുരം
tower,ടവർ
pisa ki minar,പിസ ഗോപുരം
minar,മിനാർ
stamps,സ്റ്റാമ്പുകൾ
slice,സ്ലൈസ്
puchhna,ചോദിക്കാൻ
handbag,ഹാൻഡ്‌ബാഗ്
hair roller,ഹെയർ റോളർ
paani ki boond,വാട്ടർ ഡ്രോപ്പ്
alkohol,മദ്യം
chhatari,കുട
weight machine,ഭാരം യന്ത്രം
magician suit,മാന്ത്രികൻ സ്യൂട്ട്
jadugar,മാന്ത്രികൻ
dor,വേദന
dhaaga,ത്രെഡ്
khsuh,സംഗ്രഹിക്കുക
fulle,നിറഞ്ഞ
herat,ഹെറാത്ത്
poushaak,പാവ് ഹുക്ക്
piya hua,ലെതർ എംബോസിംഗ്
moje,എന്റെ
garam kapde,ചൂടുള്ള വസ്ത്രങ്ങൾ
light bulb,ബൾബ് പ്രകാശിപ്പിക്കുക
boxing ke dastane,ബോക്സിംഗ് കയ്യുറകൾ
haddiyon ka dhancha,അസ്ഥി ഘടന
dhumrapan,പുകവലി
kanmeez,കാൻമീസ്
school ki wardi,സ്കൂൾ യൂണിഫോം
paushkh,പോഷകഗുണം:
raat ke kapde,രാത്രി വസ്ത്രങ്ങൾ
matke,അമ്മ
tana,ഷെൽഫ്
suite,സ്യൂട്ട്
jadu ki chadi,മാന്ത്രിക വടി
dwarfs,കുള്ളൻ
dridh,ഇളകിമറിഞ്ഞു
carpet,പരവതാനി
tie, magnifying glass,ടൈ, മാഗ്‌നിഫൈയിംഗ് ഗ്ലാസ്
scarry,വടു
prait,അപ്പാരിഷൻ
dridhta,ഉറപ്പ്
guassa,ഗാസ
sardiyon ke kapde,ശൈത്യകാല വസ്ത്രങ്ങൾ
panki,പാങ്കി
concerned,ബന്ധപ്പെട്ട
gloves belt,കയ്യുറകൾ ബെൽറ്റ്
ghonga,ഒച്ച
lipstic,ലിപ്സ്റ്റിക്ക്
jhumka,കമ്മലുകൾ
titliyaan,ചിത്രശലഭങ്ങൾ
shirtl pajama,ഷർട്ട് പൈജാമ
ship,കപ്പൽ
bandoo,ബാൻഡൂ
joots,മദ്യപിച്ചു
anaar,മാതളനാരകം
steering wheel,സ്റ്റിയറിംഗ് വീൽ
