bobble,குமிழ்
angreji movie,angreji படம்
hindi dubbed,டப்பிங் செய்யப்படவில்லை
movie dekhne chaloge,நீங்கள் திரைப்படங்களுக்கு செல்வீர்களா?
i am look like fighter,நான் போராளி போல் இருக்கிறேன்
main rakshak hu,மைனே காவலர் நான்
thor latest movie,சமீபத்திய படம்
ragnarock,ragnarock
I  am super hero,நான் சூப்பர் ஹீரோ
main super hero hu,பிரதான சூப்பர் ஹீரோ ஹு
dekho meri power,என் சக்தியைக் காண்க
I am with hulk,நான் ஹல்க் உடன் இருக்கிறேன்
hulk with me,என்னுடன் ஹல்க்
hulk wali movie hai yaar,ஹல்க் ஒரு படம்
hulk ke sath hu,நான் ஹல்க் உடன் இருக்கிறேன்
heal,குணமடைய
millitary,இராணுவம்
tali,இந்த
sepatu,காலணிகள்
lace,சரிகை
actresses,நடிகைகள்
dipika ke sath hu,நான் தீபிகாவுடன் இருக்கிறேன்
meri girlfriend hai ye,இது என் காதலி
chalo nachu,ஆடுவோம்
come with me,என்னுடன் வா
akki,அகி
katrina,கத்ரீனா
kaif,எப்படி
meri maal hai,எனது பொருட்கள்
janu hai tu meri,நீ என் தேன்
main tera hero hu,பிரதான தேரா ஹீரோ ஹு
tu chij badi hai mast mast,நீங்கள் ஒரு பெரிய விஷயம்
kamal ki hai tu,நீங்கள் ஆச்சரியப்படுகிறீர்கள்
baywatch,பேவாட்ச்
priyanka,priyanka
meri jaan priyanka,என் காதல் அன்பே
kamal ki ladki hai,ஆச்சரியமான பெண்
mast maal hai yaar,குளிர் பொருள்
bhatt,பட்
pyari si girlfriend,பாரி சி காதலி
nachogi mere sath,என்னுடன் நடனமாடுவீர்களா?
dance with me,என்னுடன் நடனமாட
party tonight,இன்று இரவு விருந்து
okay janu,சரி ஜானு
wow janu,வாவ் ஜானு
shradha kapoor,ஷ்ரத்தா கபூர்
meri god me aa ja,என் மடியில் இறங்கு
love you honey,ஐ லவ் யூ தேன்
maal hai yaar,பொருட்கள் நண்பர்
gajab ki hai wo,அவள் ஆச்சரியப்படுகிறாள்
sunny leone,சன்னி லியோன்
I have two girlfriend,எனக்கு இரண்டு காதலி இருக்கிறாள்
two sexy girl,இரண்டு கவர்ச்சியான பெண்
love you janu,ஐ லவ் யூ ஜானு
will hug you,உங்களை கட்டிப்பிடிப்பார்
kaala chashma,கருப்பு கண்ணாடிகள்
militer,இராணுவம்
nyetir,இயக்கி
nangis,அழ
silau,திகைப்பூட்டியது
sunny,சூரியன் தீண்டும்
decendants,சந்ததியினர்
senjata,ஆயுதம்
obat,மருந்து
odd-even,ஒற்றைப்படை-கூட
Shikaar,வேட்டை
shikaar to sab karte hai,எல்லோரும் வேட்டையாடுகிறார்கள்
par tiger se behtar koi nahi karta,ஆனால் புலியை விட யாரும் இதை சிறப்பாக செய்வதில்லை
tiger zinda hai,புலி உயிருடன் உள்ளது
movie tickets,திரைப்பட டிக்கெட்டுகள்
book movie tickets,திரைப்பட டிக்கெட்டுகளை பதிவு செய்யுங்கள்
book my show,எனது நிகழ்ச்சியை பதிவு செய்யுங்கள்
katrina kaif,கத்ரீனா எப்படி
we stand for peace,நாங்கள் அமைதிக்காக நிற்கிறோம்
salman khan movie,சல்மான் கான் திரைப்படம்
pver,pver
salman katrina,சல்மான் கத்ரீனா
fighting in waar,உண்மையாக போராடுகிறது
firing,துப்பாக்கி சூடு
mere paas bandook hai,நான் துப்பாக்கியால் வைத்திருக்கிறேன்
main ladai karne ja raha hu,நான் போராடப் போகிறேன்
salman ki new movie,சல்மான் கி புதிய படம்
dhokhebaaz,ஏமாற்றுபவர்
fukrey,fukray
fukrey returns,ஃபுக்ரே திரும்புகிறார்
fukrey 2,fukrei 2
fukrey kab aa rahi hai,அது எப்போது வருகிறது
fukrey aa gayi hai yaar,நண்பர் இங்கே இருக்கிறார்
fukrey ki trailer dekhi,ஃபுகரில் என்ன டிரெய்லர்கள் என்று பார்ப்போம்
abe fukrey 2 aa rahi hai,அபே ஃபூக் 2 வருகிறது
fukrey dekhne chaloge kya,பொருத்துதல்களைக் காண நீங்கள் செல்வீர்களா?
fukrey returns aa rahi hai,ஃபுக்ரி ரிட்டர்ன்ஸ் வருகிறது
chucha,சுச்சா
soja,சோயாபீன்
uth jaa,எழுந்திரு
aaj ka vichar,aaj k vichar
samachar,செய்தி
suvichar,நல்ல செய்தி
shubh pratah,காலை வணக்கம்
Motor,மோட்டார்
Cewek,பெண்
Cabe,அது வேண்டும்
Jalanan,தெருக்களில்
gank,gank
geng,மேலும்
penjahat,வில்லன்
gril,கிரில்
balapan,இனம்
cowok,பையன்
pembalap,ரேசர்
atraksi,ஈர்ப்பு
gila,கிலா
razia,சோதனைகள்
raids,சோதனைகள்
polisi,காவல்துறை
spg,spg
firangi,ஃபிரங்கி
kapil,கபில்
comedy movie,நகைச்சுவை திரைப்படம்
comedy scene,நகைச்சுவை காட்சி
angrej,ஆங்கிலம்
angrejo ko bhaga diya,பிரிட்டிஷ் ஓட்டினார்
boncengan,பில்லியன்
कुक मॉम,சமைக்க அம்மா
माँ के लड्डू,மா லடூ
hari ibu,அன்னையர் தினம்
bunda,கழுதை
DC,டி.சி.
happy new year 2018,புத்தாண்டு வாழ்த்துக்கள் 2018
naya saal,புதிய ஆண்டு
nav varsh,nav வார்ஷ்
mukkabaaz,குத்துச்சண்டை வீரர்கள்
नहाना,குளிக்க வேண்டும்
AAA choo!,AAA சூ!
पेड़,மரம்
फ़ोन,தொலைபேசி
इंतज़ार,காத்திருங்கள்
लड़,சண்டை
नज़र,தோற்றம்
ख़तम,சரியானது
भड़क भड़काऊ,விரிவடைய
देर इंतज़ार,தாமதமாக காத்திருங்கள்
घड़ी,கடிகாரம்
नाराज़,கோபம்
captain amerika,கா ப டேம் அமேரி
mukka baaz,பருந்து பருந்து
zinda,உயிருடன்
sabke,எல்லாவற்றிலும்
christmas party,கிறிஸ்துமஸ் விருந்து
snata claus,சாண்டா கிளாஸ்
nay saal,புதிய ஆண்டு
snow man,பனி மனிதன்
happy christmas,மகிழ்ச்சியான கிறிஸ்துமஸ்
कबाड़,குப்பை
new beginning,புதிய ஆரம்பம்
welcome 2018,வரவேற்பு 2018
party all night,இரவு முழுவதும் விருந்து
let’s party,விருந்து செய்யலாம்
lets have a party,விருந்து வைக்கலாம்
new year 2018,புதிய ஆண்டு 2018
wish you a happy new year,உங்களுக்கு புத்தாண்டு வாழ்த்துக்கள்
naya saal mubarak ho,புத்தாண்டு வாழ்த்துக்கள்
party 2018,கட்சி 2018
anushka,அனுஷ்கா
anushka sharma,அனுஷ்கா சர்மா
new year resolution,புதிய ஆண்டு தீர்மானம்
bye bye 2017,bye bye 2017
new year new me,புதிய ஆண்டு எனக்கு புதியது
nana saal,நானா சால்
ज़्यादा,மேலும்
अफ़सोस,மன்னிக்கவும்
फ़ोन्स,தொலைபேசிகள்
ज़माने,சகாப்தம்
नरगाज़ी,நர்காசி
अख़बार,செய்தித்தாள்
पेड़ बहुत,மரம் மிகவும்
padman,பேட்மேன்
padman dekhne chale,பேட்மேனைப் பார்க்கச் சென்றார்
padman aa rahi hai,பத்மா வருகிறார்
alshay,அல்ஷே
aa gale lag ja,a gale lag ja
traval,பயணம்
Portrait,உருவப்படம்
pic,படம்
aadhaar,அடிப்படை
aadhar,அடிப்படை
aadhaar card,ஆதார் அட்டை
aadhar card,ஆதார் அட்டை
aadhhar card,ஆதார் அட்டை
link,இணைப்பு
chai ho jaye,தேநீர் அருந்தலாம்
saubah ho gai hai,இது காலை
cofffee ho  jaye,கோஃபி ஹோ
thand lag rahi hai,குளிர் உணர்கிறேன்
hath sekh lo,ஹாத் ஷேக் சட்டம்
mene aag laga di hai,நான் தீ வைத்தேன்
aag lag chuki hai,தீ பிடித்தது
fog bahut hai,அதிக மூடுபனி
fog,மூடுபனி
pinut,வேர்க்கடலை
mungfali,வேர்க்கடலை
moongfali,வேர்க்கடலை
taiyar,தயார்
shimla,சிம்லா
guru purab,குரு கிழக்கு
golden temple,தங்க கோயில்
wahe guru,வாகே குரு
Amritsar,அமிர்தசரஸ்
golden tepmle,தங்க கோயில்
namste,namste
Lohri,லோஹ்ரி
happy lohri,மகிழ்ச்சியான லோஹ்ரி
punjabi dance,punjabi நடனம்
good moring,காலை வணக்கம்
happy pongal,இனிய பொங்கல்
pongal,பொங்கல்
Happy Makar Sankranti,இனிய மகர வால்பேப்பர்கள்
makar sakranti,மகர சக்ரந்தி
makar sankranti,மகர சங்கராந்தி
sankranti,சங்கிராந்தி
sakranti,செயல்பாடு
happy republic day,இனிய குடியரசு நாள்
26 january,26 ஜனவரி
gantantra divas,குடியரசு நாள்
walk free,இலவசமாக நடக்க
safe free,பாதுகாப்பான இலவசம்
foji,இராணுவம்
fojy,fojy
padmavat,பத்மாவத்
sanjay leela bhansali,சஞ்சய் லீலா பன்சாலி
bhansali,பன்சாலி
stop corruption,ஊழலை நிறுத்துங்கள்
inda,கொடிச் சுருள்
hindustaan,இந்துஸ்தான்
be a real hero,ஒரு உண்மையான ஹீரோவாக இருங்கள்
bhagat singh,பகத்சிங்
subhash chandra boss,சுபாஷ் சந்திர போஸ்
chandra shekhar azad,சந்திர சேகர் ஆசாத்
ambedkar,ambedkar
women will walk free,பெண்கள் சுதந்திரமாக நடப்பார்கள்
one man army,ஒரு மனிதன் இராணுவம்
heights,உயரங்கள்
seena,சீன
jhaanki,அட்டவணை
stunt,ஸ்டண்ட்
DP,டி.பி.
vasant panchami,வசந்த் பஞ்சமி
sarasvti mata,சரஸ்வதி தாய்
sarasvati,சரஸ்வதி
sarasvati mata,சரஸ்வதி வாக்களித்தார்
real hero,உண்மையான ஹீரோ
republic day parade,குடியரசு தின அணிவகுப்பு
pad man,திண்டு மனிதன்
Valentine week,காதலர் வாரம்
Valentine days,காதலர் நாட்கள்
Valentine Schedule,காதலர் அட்டவணை
Happy chocolate day,இனிய சாக்லேட் நாள்
hug day,கட்டிப்பிடிக்கும் நாள்
valentine day,காதலர் தினம்
kiss day,முத்த நாள்
promise day,வாக்குறுதி நாள்
be mine,என்னுடையதாக இருங்கள்
teddy day,டெடி நாள்
chocolate day,சாக்லேட் நாள்
happy rose Day,இனிய ரோஜா நாள்
February,பிப்ரவரி
hookup,ஹூக்கப்
माफ़ी,மன்னிப்பு
लाड़ली,அன்பே
पिघलता,உருகும்
वक़्त,நேரம்
बनोगी,நீங்கள் இருப்பீர்களா?
नाही,இல்லவே இல்லை
इश्क़,காதல்
ऑल्वेज़,எப்போதும்
पड़ा,பொய்
में बस,நான் தான்
मिस यू,மிஸ் யூ
मेरी ज़िन्दगी,என் வாழ்க்கை
लव यू फॉरएवर,எப்போதும் உன்னை நேசிக்கிறேன்
प्रोपोज़,முன்மொழியுங்கள்
आशिक़,காதலன்
क्या हाल,நீங்கள் எப்படி இருக்கிறீர்கள்
जैकेट,ஜாக்கெட்
रोज़,தினசரி
kavaleri,குதிரைப்படை
maha shiv ratri,மகா சிவன் இரவு
bhole,அப்பாவியாக
bhole shaknar,bhole shaknar
shivling,சிவலிங்
shiv pooja,சிவ பூஜை
bhole shankar,போலே சங்கர்
tester,சோதனையாளர்
testtesf,testtesf
testest,சோதனை
मज़ाक उड़ाना,கேலி செய்ய
चिड़ाना,கிண்டல் செய்ய
कब्बर,கபார்
चढ़गई,ஏறியது
बरसे,பல ஆண்டுகளாக
xolours,வண்ணங்கள்
rang barse,மழை நிறம்
i hate holi,நான் ஹோலியை வெறுக்கிறேன்
women's,பெண்கள்
women's  day,மகளிர் தினம்
women's day,மகளிர் தினம்
धनायड,தனைத்
बिनकूलर्स,பின் குளிரூட்டிகள்
नियम,விதிகள்
समज,புரிதல்
happy women's day,இனிய மகளிர் தின வாழ்த்துக்கள்
happy navrari,மகிழ்ச்சியான நவராத்திரி
Happy navratri,இனிய நவராத்திரி
ring ceremony,மோதிர விழா
save the date,தேதியைச் சேமிக்கவும்
wedding card,திருமண அட்டை
Engagement,நிச்சயதார்த்தம்
Engaged,ஈடுபட்டுள்ளது
weddign,திருமண
sagai,நிச்சயதார்த்தம்
haldi rasam,ஹால்டி ரசம்
wedding ring,திருமண மோதிரம்
wedding date,திருமண தேதி
shaadi card,திருமண அட்டை
bride,மணப்பெண்
dulhan,மணமகள்
vidai,பிரியாவிடை
invitation card,அழைப்பிதழ்
vivah,திருமணம்
baarat,முடக்கம்
dulahan,மணமகள்
engagement ring,நிச்சயதார்த்த மோதிரம்
bobbleweddings,bobbleweddings
rasm,படம்
haldi rasm,தடுத்து வைக்கப்பட்டுள்ளது
ceremony,விழா
haldi ceremony,ஹால்டி விழா
April,ஏப்ரல்
shree ram,ஸ்ரீ ராம்
ram navami,ராம் நவமி
pagalpan,பைத்தியம்
shri ram,ஸ்ரீ ராம்
jai shri ram,ஜெய் ஸ்ரீ ராம்
bhagawan,பகவன்
bhagawaan,பகவான்
लड़क,சிறுவர்கள்
लड़ाई,சண்டை
फाड़,கிழித்தல்
पढ़ना,படித்தல்
उड़ा,ஊது
पैसा खाया,பணம் சாப்பிட்டேன்
हो सकता,இருக்கலாம்
सौ-सौ,நூறு
गेंद,பந்து
विकेट कीपर,விக்கெட் கீப்பர்
लड़के,சிறுவர்கள்
साले ोई,அண்ணி
कृषि,விவசாயம்
एकदम पूरा,சரி
ख़ुशी,மகிழ்ச்சி
ज़हीर,ஜாகீர்
बैटिंग,உட்கார்ந்து
CSK,சென்னை
chennai super kings,சென்னை சூப்பர் கிங்ஸ்
vaat lagli,பேசும் உணர்வு
mumbai indians,மும்பை இந்தியர்கள்
amchi mumbai,அம்ச்சி மும்பை
mumbai indian,mumbai indian
mumbi indians,மும்பை இந்தியர்கள்
102 Not Out,102 நாட் அவுட்
rajasthan roayal,ராஜஸ்தான் ராயல்
rajasthan royal,ராஜஸ்தான் அரச
jayanti,ஜூபிலி
gamaxigo,முடிந்தது
rishi kapoor,ரிஷி கபூர்
102 notout,102 நோட்
buddha,புத்த
Amitabh bacchan,அமிதாப் பச்சன்
Sony,சோனி
old age,முதுமை
old age home,வயதான வீடு
baap beta,தந்தை மகன்
upcoming movie,வரவிருக்கும் படம்
IPL 2018,ஐ.பி.எல் 2018
DD,DD
SRH,எஸ்.ஆர்.எச்
RR,ஆர்.ஆர்
KXIP,பஞ்சாப்
RCB,ஆர்.சி.பி.
Indian premier league,இந்திய பிரீமியர் லீக்
vivo IPL,விவோ ஐபிஎல்
Delhi daredevils,டெல்லி டேர்டெவில்ஸ்
Rajasthan royals,ராஜஸ்தான் ராயல்ஸ்
trending,பிரபலமாக உள்ளது
thanos,மரணம்
Infinity War,முடிவிலி போர்
heros,ஹீரோக்கள்
super heros,சூப்பர் ஹீரோக்கள்
mother's day,அன்னையர் தினம்
mothers day,அன்னையர் தினம்
darubaaz,பரோக்
Late night,பின்னிரவு
Afterwork,வேலைக்கு பின்
hangover,ஹேங்ஓவர்
theka,ஒப்பந்தம்
bira,பைரா
amazed,ஆச்சரியப்பட்டார்
mother day,தாய் நாள்
mother’s day,அன்னையர் தினம்
ramzaan,ரமலான்
namaj,பிரார்த்தனைகள்
jhukham,சிராய்ப்பு
zukham,zukham
maybe,இருக்கலாம்
bool,bool
emoji,ஈமோஜி
jukham,குளிர்
dance pose,நடனம் போஸ்
dance style,நடன நடை
all best,அனைத்து சிறந்த
best of luck,வாழ்த்துக்கள்
?,?
kese ho tum,நீங்கள் எப்படி இருக்கிறீர்கள்
kese,பைகள்
channai,பால்
watson,வாட்சன்
rajani,ரஜனி
rajanikant,ரஜினிகாந்த்
thaliva,தாலிவா
south,தெற்கு
super star,சூப்பர் ஸ்டார்
Kaala Trailer,காலா டிரெய்லர்
Kaala Songs,நேர பாடல்கள்
Rajinikanth,ரஜினிகாந்த்
Kaala song,நேர பாடல்
Kala song,கலா ​​பாடல்
huma,அவர்கள்
qureshi,qureshi
illa,தவறான
dhaasu,பேட்
tollywood,டோலிவுட்
tamil cinema,தமிழ் சினிமா
shivaji,சிவாஜி
savior,மீட்பர்
showtime,காட்சி நேரம்
no smoking,புகை பிடிக்காதீர்
cigarettes,சிகரெட்டுகள்
smok,டிராகன்
world no tobacco day,உலக புகையிலை நாள் இல்லை
angedment,கோபம்
maaji,மாஜி
mwah,mwah
muahh,மெஹ்
huge me,என்னை கட்டி அணை
hey baby,ஏய் குழந்தை
ram ram,ராம் ராம்
abe yaar,அபே யார்
flying kiss,பறக்கும் முத்தம்
race 3,இனம் 3
SKF,எஸ்.கே.எஃப்
ramjaan,ரமலான்
ramaza,க்கு ramazini
ramajaan,ரம்ஜான்
father's day,தந்தையர் தினம்
best papa,சிறந்த பாப்பா
bas kar,அப்படியே செய்யுங்கள்
143,143
jigari,கல்லீரல்
phone karo,தொலைபேசியில் யாரோ
ringtone,ரிங்டோன்
wahan,அங்கே
phone utha,தொலைபேசியை இயக்கவும்
kutte,வெட்டு
good ninght,இனிய இரவு
so jao,தூங்கச் செல்லுங்கள்
ratri,ரத்ரி
aaraam,ஆறாம்
fifa 2018,ஃபிஃபா 2018
winer,வெற்றியாளர்
dhanyavad,நன்றி
chaiy,ஆறு
chaee,துரத்து
abhinandaan,வாழ்த்துக்கள்
bara ahey,ஏய் ஏய்
Dhanyavaad,நன்றி
maala maaf kara,மணிகளை மன்னியுங்கள்
nako,என்னை
Nirop Gheto,நிரோப் கெட்டோ
Tumhi Namaskaar,தும்ஹி நமஸ்கார்
thambaa,தம்பா
tumhala bhetun aanand zhaala,நீங்கள் விட்டுவிட வேண்டும்
Swaagat,வருக
kasey,கேசி
aahat,aahat
Abhinandan,வாழ்த்துக்கள்
Bari ahey,கையகப்படுத்தப்பட்டது
namaskaar,வணக்கம்
bhetun,பெதுன்
kasey aahat?,kasey aahat?
kesey,kesey
kesa,போய்விடு
nahi be,நஹி இரு
badhayi,வாழ்த்துக்கள்
Dhanyawa,நன்றி
haan be,haan ​​be
haa,ஆம்
kaa,கா
congrarulations,வாழ்த்துக்கள்
bas karo,அதைச் செய்யுங்கள்
yehh,இது
janmdin,பிறந்த நாள்
b'day,b'day
celibreate,கொண்டாடுங்கள்
baday,பல
your name,உங்கள் பெயர்
wrist,மணிக்கட்டு
you name,உங்க பெயர்
vichar,யோசனை
france,பிரான்ஸ்
qoute,மேற்கோள்
kawad,கம்பி
daak,அழைப்பு
daak kawad,daak கம்பி
bholenath,போலேநாத்
shivji,சிவ்ஜி
कुर्ती,குர்தி
Happy Independence Day,இனிய சுதந்திர தின நல்வாழ்த்துக்கள்
swatantrata diwas,swatantrata diwas
Independence day,சுதந்திர தினம்
15th Aug,15 ஆக
15 Aug,15 ஆக
tri color,திரி நிறம்
Bharat,பாரத்
Dash,கோடு
Swatantrata Divas,சுதந்திர நாள்
azad,அசாத்
dry day,உலர்ந்த நாள்
hindistaan,இந்தியா உள்ளது
shubh prabhat,காலை வணக்கம்
hallo,ஹலோ
atal bihari vajpayee,அடல் பிஹாரி வாஜ்பாய்
atal,பிரிவு
BJP,பாஜக
atal bihari vajpayi,அடல் பிஹாரி வாஜ்பாய்
RIP,கிழித்தெறிய
Eid al-Adha,தீங்கு விளைவிக்கும் விருந்து
bahiya,பஹியா
rakhadi,சாம்பல்
teacher's day,ஆசிரியர் தினம்
pubg,pubg
ganesh chaturthi,கணேஷ் சதுர்த்தி
deva shree ganesha,தேவா ஸ்ரீ கணேஷா
gn,gn
PM,மாலை
prime minister,பிரதமர்
batle,அவரை வெல்லுங்கள்
good afternoon,மதிய வணக்கம்
dopahar,நண்பகல்
good evening,மாலை வணக்கம்
shaam,மாலை
bajarangbali,பஜ்ரங்பாலி
sai,மீண்டும்
sai baba,சாய் பாபா
shirdi,ஷிர்டி
shayari,ஷயாரி
mata pita,நாடாவின் கண்கள்
musibat,பேரழிவு
waqt,போது
samay,நேரம்
qismat,விதி
mehanat,கடின உழைப்பு
Congress2019,காங்கிரஸ் 2019
SayNoToBJP,SayNoToBJP
Election2019,Election2019
Congress,காங்கிரஸ்
BJPforIndia,BJPforIndia
BJP2019,BJP2019
bappu,பாப்
bappuji,குதிக்கும் நேரத்தில்
rashtriyapita,தேசிய தந்தை
2october,2 அக்டோபர்
chhutti,விடுமுறை
mahatmagandhi,மகாத்மா காந்தி
2.0,2.0
rajinikant,ரஜினிகாந்த்
LBSMF,எல்.பி.எஸ்.எம்.எஃப்
Lal Bahadur Shastri,லால் பகதூர் சாஸ்திரி
LBS,எல்.பி.எஸ்
2 October,2 அக்டோபர்
navaratri,நவராத்திரி
shubhnavratri,நல்ல இரவு
jaimatadi,ஜெயமாதடி
bhakti,பக்தி
devimaa,தேவி
varat,முடியும்
aashirvaad,ஆசீர்வாதம்
ramleela,ராம்லீலா
jaishreeram,ஜெயஸ்ரீரம்
lankeshwar,லங்கேஷ்வர்
bhott,பட்
jaada,jaada
fevar,ஃபாவ்ரே
fullmoon,முழு நிலவு
laxmi,லக்ஷ்மி
bhaidooj,தம்பி
dooj,தூஜ்
bhai dooj,பாய் தூஜ்
childrenday,குழந்தைகள் நாள்
baal diwas,பால் திவாஸ்
baaldiewas,bualdiewas
baaldiwas,வழுக்கை கழுகு
chhathpuja,சத்தூஜா
gurunanak,Gurunanak
gurupurab,குருபுரா ஆ
nanak,நானக்
sardarji,சர்தார்ஜி
2019,2019
nayasaal,நயாச
january,ஜனவரி
newyearplan,newyearplan
navvarsh,புதிய ஆண்டு
navarsh,navarsh
makarsankranti,makarsankranti
pared,pared
jaihind,ஜெய்ஹிந்த்
republicday,குடியரசு தினம்
vandemataram,வந்தேமாதரம்
agra,agra
sarkar,வகை
govt.,அரசு
26january,26 ஜனவரி
26,26
jaiho,ஜைஹோ
jai ho,ஜி ஹோ
promiseday,வாக்குறுதி
proposeday,முன்மொழியப்பட்டது
chocolateday,chocolateday
valentineday,காதலர் தினம்
happyvalentineday,happyvalentineday
galelagja,galelagja
kissday,முத்த நாள்
galelagjaa,galelagjaa
teste,சோதனை
dghjk,dghjk
qwfg,qwfg
wfg,பேஜ்
shahid,பாருங்கள்
qwef,qwef
wqwefg,wqwefg
qwefgb,qwefgb
gully boy,கல்லி பையன்
gullyboy,கல்லிபாய்
apnatimeayega,அப்னதிமயேகா
IAF,இந்திய விமானப்படை
indianairforce,indianairforce
pilot,பைலட்
bringhimback,bringhimback
pak,பின்னர்
realhero,ரியல் ஹீரோ
shivratri,சிவராத்திரி
onbad,onbad
women'sday,மகளிர் தினம்
mahila,பெண்
mahiladiwas,லேடிஸ் டே
maheela,பெண்கள்
devokedev,devokedev
captainmarvel,கேப்டன் அற்புதம்
holimubarak,ஹோலி முபாரக்
happyholi,happyholi
holikabhai,ஹோலிக்பாய்
holikhele,அது வெயில்
chennaisuperkings,chennaisuperkings
msdhoni,sdon
mahi,mahi
delhicapitals,டெல்லி தலைநகரங்கள்
shreyaslyer,shreyaslyer
sunrisershyderabad,sunrisershyderabad
david warner,டேவிட் எச்சரிக்கை
sunrisers,சூரிய உதயம்
kolkataknightriders,kolkataknightriders
dineshkartik,தினேஷ் கார்த்திக்
kingsXIpunjab,kingsXIpunjab
kings,ராஜாக்கள்
ravichandranashwin,ரவிச்சந்திரன் அஸ்வின்
ashwin,அஷ்வின்
mumbaiindians,mumbaiindians
rohitsharma,ரோஹித் ஷர்மா
royalchallengersbangalore,ராயல் சேலஞ்சர்ஸ் பெங்களூர்
viratkohli,இடுகை
banalore,பெங்களூர்
rajasthanroyals,ராஜஸ்தான் ராயல்ஸ்
ajinkyarahane,அஜின்கியராஹனே
majaz,மஜாஸ்
1stapril,1 ஏப்ரல்
bewkoof,இடியட்
ullukapatha,பச்சையாக உள்ளது
maata,பொய்
matdaan,வாக்களித்தல்
matdan,வாக்களித்தல்
hanumanjayanti,அனுமன் ஜெயந்தி
bajarngbali,பஜ்ரங்பாலி
gameofthrones,gameofthrones
winteriscoming,குளிர்காலம்
tvseries,தொலைக்காட்சி தொடர்
HBO,HBO
masterblaster,மாஸ்டர் பிளாஸ்டர்
avengersendgame,அவென்ஜர்ஸ் எண்ட்கேம்
endgame,endgame
ticket,டிக்கெட்
ghanshyamtiwari,கனரக கடமை
Samajwadi Party,சமாஜ்வாடி கட்சி
sp,sp
Samajwadi,சமாஜ்வாடி
ghanshyam,கன்ஷ்யம்
gt,gt
numbers,எண்கள்
odisha,odisha
CYCLONEFANI,சைக்ளோன் ஃபானி
CYCLONE,சைக்ளோன்
toofan,புயல்
helpline,ஹெல்ப்லைன்
sammer,sammer
ramadankareem,ரமலான் கர்ம்
kareem,கரீம்
sadigarmi,sadigarmi
motherday,அன்னையர் தினம்
delhicaptal,delhicaptal
Shreyas Iyer,ஸ்ரேயாஸ் ஐயர்
ShreyasIyer,ஷ்ரீசியர்
Daenerys,டேனெரிஸ்
breakingnews,பிரேக்கிங் நியூஸ்
primeminister,முதன்மை
chunav,தேர்தல்
namo,வீடு
'pm,'மாலை
narendramodi,நரேந்திரமோடி
namoagain,namoagain
modi again,மீண்டும் மோடி
sarkaar,அரசு
firmodi,firmodi
narendramod,நரேந்திர மோடி
newpm,புதிய பி.எம்
worldcup,உலகக் குழு
icc,வில்
teamindia,இந்தியா
cricketchat,கிரிக்கெட்சாட்
crticketsatta,crticketsatta
cricketkibaatein,cricketkibaatein
worldcup2019,உலகக் கோப்பை 2019
father'sday,தந்தையர் தினம்
fatherday,தந்தையர் தினம்
haila,மாதவிடாய்
lofer,லோஃபர்
garib,ஏழைகள்
friendshipday,நட்பு நாள்
dostana,dostana
yaaro,யாரோ
article370,கட்டுரை 370
azadiplasticse,அசாடிபிளாஸ்டிக்
plastic,நெகிழி
aazadi,சுதந்திரம்
independenceday,சுதந்திர தினம்
15thaugust,15 தாகஸ்ட்
15august,15 ஆகஸ்ட்
swatantratadiwas,சுதந்திர நாள்
nauture,இயற்கை
bakrieid,bakrieid
eidmubarak,உங்கள் கரடி
Swych,அவரது
happyindependenceday,இனிய பெண்டன்ஸ் ஒய்
happyindependence,பேனாவுடன் மகிழ்ச்சி
aazad,ஆசாத்
deshbakti,தேசபக்தி
shreekrishna,கிருஷ்ணா
makhanchor,மகான்சோர்
krishanajayanti,கிருஷன் ஜெயந்தி
suabah,இது ஈரப்பதமானது
hie,hie
hiee,hiee
pakamat,குட்பை
janamdinmubarak,பிறந்தநாள் வாழ்த்துக்கள்
kingkhan,கிங்கன்
amir,அமீர்
alliswell,அல்லிஸ்வெல்
apnatime ayega,வரும்
laddakh,லடாக்
forevertogether,எப்போதும் ஒன்றாக
bappamorya,பாப்படோரியா
ganpatibappamorya,கணபதிபப்பமோரிய
ganeshji,கணேஷ்
ganeshchaturthi,கணேஷ் சதுர்த்தி
adhyapak,பேராசிரியர்
adhyapakdiwas,ஆசிரியர் நாள்
teacherday,ஆசிரியர் தினம்
durgapuja,துர்கா பூஜை
jaimaatadi,ஜெயமாதடி
sacredgames,புனித விளையாட்டுக்கள்
netflix,நெட்ஃபிக்ஸ்
nawazuddinsiddiqui,நவாசுதீன் சித்திகி
nawaz,நவாஸ்
ganeshgaitonde,கணேஷ் கெய்டோண்டே
gaitonde,வெளியே பறக்க
25din,இரண்டு எடுத்து
sacred,புனிதமானது
kukku,சமைக்கவும்
eww...,eww ...
goodmornong,காலை வணக்கம்
goodninght,குட்நைட்
Hiee!,ஹாய்!
okfine,சரி நல்லது
rukja,ruqyah
ruk,கைகள்
heybhagwan,கடவுள்
chhichhore,மேலோட்டமான
shardha,ஷர்தா
kuttedost,kuttedost
varunsharma,வருணாசர்மா
Modiji,மோடிஜி
narendramodiji,நரேந்திரமோடிஜி
birthdaymodiji,பிறந்தநாள் மோடிஜி
ng,of
navratrispecial,navratrispecial
navratricollection,navratricollection
navratriwear,navratriwear
durgamaa,அணுக முடியாதது
happynavratri,happyynavratri
matake charan,பானை கட்டம்
vratkakhana,vratkahana
