sunday hai aaj,संडे है आज
akulah si,मैं एक हूँ
cuma kamu,बस तुम
saya putri,मैं राजकुमारी हूँ
bandookbaz,बन्दूकबाज़
nawaj,नवाज
sarahah,सराहः
hashmi,हाशमी
ram raheem,राम रहीम
ram ramim,राम रामिम
we love animal,हम जानवर से प्यार करते हैं
treet,पेड़
jackey,जैकी
Furball,Furball
jhabra,झबरा
furr,furr
handshake,हाथ मिलाना
timber,लकड़ी
tommy,मामूली सिपाही
I am with my dog,मैं अपने कुत्ते के साथ हूं
i bought a puppy,मैंने एक पिल्ला खरीदा
very cute,बहुत प्यारा
workout with dog,कुत्ते के साथ कसरत
workout with my pet,मेरे पालतू जानवर के साथ कसरत
workout in my room,मेरे कमरे में कसरत
judwa 2,जुड़वाँ 2
I have my girlfriend,मेरी गर्लफ्रेंड है
at beach,समुद्र तट पर
in goa,गोवा में
going goa,गोआ जाना
going cinema,सिनेमा जा रहा है
cinema jaoge,सिनेमा जाओगे
movie dekhoge,मूवी देखोगे
dance kar raha hu,डांस कर रहा हु
I am dancing,मैं नाच रहा हूँ
Today I am happy,आज मैं खुश हूं
very happy,बहुत खुश
vyayaam,व्यायाम
kutts,कूट्स
rotweiler,rottweiler
german shepherd,जर्मन शेपर्ड
bone,हड्डी
controversy,विवाद
best movie,सर्वश्रेष्ठ फिल्म
tamil movie gif,तमिल फिल्म जीआईएफ
tamil gif,तमिल गिफ
rangnarok,रंगनरॉक
english movie,अंग्रेजी फिल्म
I am going thor,मैं थोर जा रहा हूं
thor movie chaloge,थॉर मूवी चलोगे
main thor hu,मैं थॉर हु
hathora maar dunga,हथौड़ा मार दूंगा
sir pe hathora maar dunga,सर पे हथोड़ा मार दूंगा
khilji,खिलजी
allaudin khilji,अल्लाउदीन खिलजी
5 star ratings,5 स्टार रेटिंग
I am very dangerous,मैं बहुत खतरनाक हूं
bhut khatarnak hu main,बहुत खतरनाक हु मैं
aa raha hu bhag ke,आ रहा हु भाग के
main nach rahi hu,मैं नाच रही हु
dancing right now,अभी नाच रहा है
awesome saree,कमाल की साड़ी
wearing jewellery,गहने पहने हुए
tanishq,तनिष्क
we are in party,हम पार्टी में हैं
going to do party,पार्टी करने जा रहे हैं
party dance,पार्टी नृत्य
my snowman,मेरा हिममानव
playing with snow,बर्फ से खेल रहा है
vactions,छुट्टियों
cluse,Cluse
I am santa,मैं संता हूँ
jingle bell,जिंगल बेल
celebrating christmas,क्रिसमस मनाते हुए
dancing in christmas,क्रिसमस में नृत्य
going to celebrate,जश्न मनाने जा रहे हैं
going to celebrate christmas,क्रिसमस मनाने जा रहे हैं
dancing now,अब नाच रहा है
lets do party,पार्टी करते हैं
new year me dance,न्यू इयर डांस
going for party,पार्टी के लिए जा रहे हैं
lets go for party,पार्टी के लिए जाने देता है
its 2018,इसका 2018
pub party,पब पार्टी
is baar toh fit ho kar rahunga,इस बार तोह फिट हो कर रहूँगा
mota aadmi,मोटा आदमी
khub kha liya,खूब खा लिया
bhut khaya aaj,बहुत खाया आज
pet ful gaya,पेट फूल गया
bhut mota ho gaya hu,भूत बड़े होते हैं
is baar toh khoob padhai karungi,इस बार तोह खूब पढाई करुँगी
bhut saari books,भूत अच्छी किताबें
lot of books,बहुत सारी किताबें
purani kitabe,पुराणी किताबे
nayi kitabe,नयी किताबें
khub padhai karna hai,खूब पढाई करना है
apna passion follow karungi,अपना पैशन फॉलो करुँगी
learning guitar,गिटार सीखना
in guitar class,गिटार कक्षा में
its my style,यह मेरी शैली है
apna passion follow karunga,अपना पैशन फॉलो करूँगा
going ladakh,लद्दाख जाना
ladakh tour karke rahunga,लदाख टूर करके रहूँगा
on the bike,बाइक पर
aaj se beer band,आज से बियर बंद
beer piyega,बियर पियेगा
gym zaroor jaungi,गयम ज़रूर जाऊंगी
I am in gym,मैं जिम में हूं
doing gym,जिम कर रहे हैं
ab toh gf bana le,अब तोह गफ बना ले
proposing a girl,लड़की को प्रपोज करना
flower bucket,फूल की बाल्टी
is saal shaadi,इस साल शादी
he proposed me,उसने मुझे प्रस्ताव दिया
love you bol diya,लव यू बोल्या
start up,चालू होना
chal start up karte hai,चल स्टार्ट उप करते है
le beer p le,बीयर पी ले
khus ho ja bhai,खुश हो जा भाई
is saal travel blog shuru,इस साल ट्रेवल ब्लॉग शुरू
travel blog,यात्रा ब्लॉग
bag pack kar liya,बैग पैक कर लिया
bag packed,बैग पैक
bag is packed,बैग पैक किया जाता है
going out of station,स्टेशन से बाहर जा रहे हैं
leaving home,घर छोड़ रहे हैं
ab toh shaadi karle,अब तोह शादी करले
nice saari,अच्छा द्वीप
aisi saari dila do,ऐसी साड़ी दिला दो
shopping kara do,खरीदारी कर कर
buying saari,साड़ी खरीदना
guru gobind,गोबिंद शिक्षक
sava lakh se,सवा लाख से
ek ladau,इक लादौ
chiriyan te main,चिड़ियाँ ते मैं
baaz turau,बाज़ तुरौ
tabe gobing singh naam kahau,ताबे गोबिंग सिंह नाम कहौ
lohri pe mungfali,लोहरी पे मूंगफली
mungfali khaunga,मूंगफली खाउंगा
gazzak,gazzak
dancing near fire,आग के पास नाचना
dancing on fire,आग पर नाचना
patang udaye,पतंग उड़ाए
patang udane chale,पतंग उड़ाने चले
patang uda lu yaar,पतंग स्टाइल लू कौन है
patang udana hai,पतंग उड़ाना है
patang uda rahe hai,पतंग उड़ा रहे है
patang uda lu,आप के बारे में कैसे?
happy makarsankranti,हैप्पी मकर
chat pe patang uda raha hu,छत पे पतंग उड़ा रहा हु
flying kite,उडाता पतंग
karenge border ki suraksha,करेंगे बॉर्डर की सुरक्षा
suraksha,सुरक्षा
haapy republic day,गणतंत्र दिवस की हार्दिक शुभकामनाएं
hum badlenge desh,हम बदलेंगे देश
hara bhara,हरा भरा
neta ji subhas chandra bose,नेट जी सुभाष चंद्र बोस
chandrasekhar aajaad,चंद्रशेखर आज़ाद
amar rahe,मेरे तरीके से
subhas chandra bose,सुभास चंद्रा बोस
raj guru,राज गुरु
chandrasekhar ajaad,चंद्रशेखर अंजड़
desh ke rakshakon ko salaam,देश के रक्षकों को सलाम
salaam india,सलाम भारत
26th jauarry,26 वाँ जीवन
karenge nari ka samman,करेंगे नारी का सम्मान
respect women,महिलाओं का सम्मान करें
swachh bharat,स्वच्छ भारत
badenge unchaiyon ki or,बढेंगे ऊंचाइयों की ओर
unchaiyaaan,Uncaiyana
selfie at india gate,इंडिया गेट पर सेल्फी
india gate night,इंडिया गेट रात
india gate wali selfie,इंडिया गेट वाली सेल्फी
happy vasant panchami,हैप्पी वसंत पंचमी
Jhanda uncha rahe hamara,झंडा ऊँचा रहे हमारा
india gate ki or,इंडिया गेट की या
I am padman,मैं पैडमैन हूं
happy valentines day,वैलेंटाइन्स दिवस मुबारक हो
bouquet for you,आपके लिए गुलदस्ता
baloon for you,आपके लिए गुब्बारा
chocolate for my sweetie,मेरी स्वीटी के लिए चॉकलेट
dil mera diwana,दिल मेरा दीवाना
will you be my valentine,क्या तुम मेरे वेलेंटाइन बनोगे
I will make you happy,मैं आपको खुश कर दूँगा
this is for you,यह आपके लिए है
heart for you,आपके लिए दिल
my heart for you,मेरा दिल तेरे लिए
happy promise day,वचन दिवस की शुभकामनाएं
Rose for you,आपके लिए गुलाब
Om namah shivay,ॐ नमः शिवाय
happy sivratri,शुभ शिवरात्रि
Get well soon,जल्द ठीक हो जाओ
Happy Anniversary,शादी की सालगिरह मुबारक
Uchee hai building,उचिहा है बिल्डिंग
mehbooba,महबूबा
devsena,devsena
aarambh hoga andha yudh,आरम्भ होगा अँधा युद्ध
padmaavat,पद्मावत
I will always love you,मै तुम्हे हमेशा प्यार करूंगा
Hopeless romantic,आशाहीन रोमांटिक
Love you foreever,तुम्हें हमेशा प्यार
holi dance,होली नृत्य
celebrating holi,होली मनाते हुए
lets play holi,होली खेलने दें
holi ka gana bajao,होली का गाना बजाओ
holi ke gane pe dance,होली के गाने पे डांस
dancing on holi song,होली गीत पर नृत्य
celebrating holi song,होली गीत मनाते हुए
bhaang aur gujia,भांग और गुजिअ
bhaang khaoge,टूट जाएगा
gujia khaoge,गुजिअ खाओगे
colorfull holi,रंगीन होली
holi mubarak,हवल्ली मुबारक
dancing in holi,होली में नृत्य
music in holi,होली में संगीत
gujiya khaoge,गुजिया खाओगे
lets celebrate holi,होली मनाने की सुविधा देता है
Happy Womens day,महिला दिवस की शुभकामनाए
womens day,महिला दिवस
nari divas,स्त्रैण दिन
nari diwas,नारी दीवा
we can do it,हम कर सकते है
Nav Varsh Ki subhkamna,नव वर्ष की सुभकामना
Nav Varsha,नव वर
Nav Varsha ki subhkamna,नव वर्ष की सुभकामना
Shervani,शेरवानी
Shervani done,शेरवानी ने किया
kaisi hai ye shervani,कैसी है ये शेरवानी
lehenga done,लेहेंगा किया
got engaged,सगाई हो गई
ghodi,घोड़ी
baraat,बरात
baraati,बाराती
dulhaniya le jaenge,दुल्हनिया ले जाएंगे
mere yaar ki shaadi,मेरे यार की शादी
jai mata d,जय माता
subh vivah,शुभ विवाह
mehandi,मेहंदी
mehandi ceremony,मेहँदी समारोह
photoshoot,फोटो शूट
poses,बना हुआ
enagement,प्रतिबद्धता
tattooed,गोदना
mahavir jayanti,महावीर जयंती
paytm,paotm
good friday,गुड फ्राइडे
goodfriday,गुड फ्राइडे
Dhoni Helicopter shot,धोनी हेलीकॉप्टर शॉट
gauti,पाने के लिए
gautam gambhir,गौतम गंभीर
nice shot,अच्छा शॉट
williamson,विलियमसन
sunrises hyderabad,सुर्योदय
dinesh,दिनेश
kartik,कार्तिक
super shot,सुपर शॉट
Jinxed,मनहूस
whats the score,स्कोर क्या है
match was fixed,मैच तय था
got the tickets,टिकट मिल गया
team will wins,टीम जीतेगी
trophy is ours,ट्रॉफी हमारी है
best match ever,अब तक का सबसे अच्छा मैच
all set for the match,मैच के लिए सभी सेट
well played boys,अच्छी तरह से खेला लड़कों
fingers crossed,उंगलियों को पार कर
jabardast batting,जबरदस्त बैटिंग
vaisakhi,वैसाखी
happy vaisakhi,खुश वैशाखी
celebrating vaisakhi,वैशाखी मनाते हुए
bacardi,बकार्डी
sir dard,सर डार
ramadan mubarak,रमजान मुबारक
I am Dhoni,मैं धोनी हूं
talk to my hand,मेरे हाथ से बात करो
tu toh gaya,तू तो गया
pyar kiya to darna kya,प्यार किया तो डरना क्या
tere baap ne jail bhej diya,तेरे बाप ने जेल भेज दिया
mithun da style,मिथुन दा स्टाइल
disco dance,डिस्को डांस
mere haath bandhe hue hai,मेरे हाथ बंधे हुए है
hold my hand,मेरा हाथ पकड़ो
mere babu ke liye,मेरे बाबू के लिए
ek padegi,एक पड़ेगी
kyu peeche pada hai,पैड के पीछे क्यू है
JNMD,JNMD
jindagi na milegi dubara,जिंदगी न मिलेगी दुबारा
hum dil de chuke sanam,हम दिल दे चुके सनम
selfie bhejo,सेल्फी भेजो
chennai super king,चेन्नई सुपर किंग
Tumhare dil me hu,तुम्हारे दिल में हो
very funny,बहुत अजीब बात है
loughing,loughing
Tumhare Dil me Hu!,तुम्हारे दिल में हो!
Dil Diwana,दिल दीवाना
sad emoji,अब इमोजी
happy environment day,पर्यावरण दिवस मुबारक हो
yoga day,योग दिवस
roj yoga karo,रोजाना योग करें
fit raho,फिट रहें
yoga karne ja raha hu,योग करने जा रहा हु
so raha hu,सो रहा हु
nind aa rahi hai,नींद आ रही है
sone de please,sone de कृपया
ho gaya,हो गया
heart love,दिल का प्यार
love ho gaya,लव हो गया
Ulti,उल्टी
vomit,उलटी करना
tare,कठिन
eid kab hai,ईद काब है
fifa world cup,फीफा विश्व कप
iternational yoga day,अंतर्राष्ट्रीय योग दिवस
fifa worldcup,फीफा वर्ल्डकप
neymar,neymar
go neymar,नीमर जाओ
pogba,Pogba
football player,फुटबाल खीलाडी
cofee piyega,कॉफी पिएगा
lets have a cofee,चलो कॉफ़ी पीते हैं
lets have a coffee,चलो कॉफ़ी पीते हैं
chay pi lo,चाहता है पी लो
hello friends,हैलो मित्रों
Chai P lo,चाई पी लो
chai pi lo,चाई पी लो
have a great day,आपका दिन शानदार गुजरे
jai bhole,जय भोले
har ha mahadev,हर ः महादेव
jai shivshankar,जय शिवशंकर
bhola baba ki jai,भोला डैडी जाओ
aaj somvar hai,आज सोमवार है
loed shiva,लॉएड शिवा
shivshankar,शिवशंकर
har har mahadev,हर हर महादेव
lord shiva,भगवान शिव
maaf kar do,माफ़ करना
baitha hu,बैठा हु
yahi hu,यही हु
subh ratri,शुभ रात्रि
kismat badhiya rahe,किस्मत बढ़िया रहे
maaf karda,सॉरी कार्ड
phir milenge,फिर मिलेंगे
or sunaba,या सुनबा
sunaba,रेत की खान
kaa haal ba,तुम्हारी याद आती है
chay pilao,चाय पिलाओ
hare krishna,हरे कृष्णा
subhprabhat,शुभप्रभात
Subh Raathri,शुभ रात्रि
Anandi Rahaa,आनन्दी राहा
jai ganesha,जो भी गणेश
Aur Suna,और सुना
Chal Chay Pila,चल चाय पिला
kaha ho bhai,कहा हो भाई
aa raha hu,यह मैं हूं
its raining,बारिश हो रही है
baris,पंक्ति
fixing bug,बग को ठीक करना
creating app,ऐप बना रहा है
shadi kab hogi,शादी कब होगी
salary aa gayi,सैलरी आ गयी
shoping,shoping
at mall,मॉल में
shardi,शर्त
skipping,रस्सी कूदना
don't care,परवाह नहीं है
stand,खड़ा
shaan,शान
off-beat,ग़ैरमामूली
unconventional,अपरंपरागत
rigorous,कठिन
dola,डॉलर
stereotypes,लकीर के फकीर
farak,farak
utho,उठो
girl boss,लड़की बॉस
activity,गतिविधि
core,कोर
activewear,activewear
get going,जाने देना
crossfit,CrossFit
strech,खिंचाव
warmup,जोश में आना
monkey bar,पार्क मे खेलने की एक वस्तु
rugged,ऊबड़ - खाबड़
girls who lift,जो लड़कियां उठाती हैं
shatter,टूटने
gains,लाभ
fitlife,fitlife
climb,चढना
welness,Welness
beachbody,समुद्र तट शरीर
ripped,फट
uddo,लकड़ी
get strong,मजबुत बनो
flex,फ्लेक्स
hell yeah,जी हाँ
speak up,बोलो
trainer,ट्रेनर
trainhard,कठिन प्रशिक्षित
fitness goals,फिटनेस के लक्ष्य
knockout,नॉक आउट
wellness,कल्याण
chin up,चिन अप
mma,का क्या?
Proud To be an indian,गर्व है एक भारतीय होने के लिए
indipendence day,स्वतंत्रता दिवस
walk with flag,झंडे के साथ चलो
ja raha hu,और पैसा हू
clean india,स्वच्छ भारत
green india,हरा भारत
selfie at lal killa,लाल किला में सेल्फी
red fort,लाल किला
selfie at red fort,लाल किले पर सेल्फी
Desh Ke rakshakon ko salam,देश के रक्षकों को सलाम
Jai hind ki sena,जय हिन्द की सेना
my style,मेरी शैली
lets have a coffe,चलो कॉफ़ी पीते हैं
super mario,सुपर मारियो
I love my india,मैं अपने भारत से प्यार करता हूँ
era bharat mahan,युग भरत महान
aazadi ka din mubarak ho,आज़ादी का दिन मुबारक हो
swatantrata divas ki subhkamnaye,स्वतंत्रता दिवस की सुभकामनाये
lal killa,लाल किला
jhanda lehra,झंडा लहरा
mario bros,मारियो ब्रदर्स
coin with flag,ध्वज के साथ सिक्का
jhanda fahra raha hu,झंडा फहरा रहा हु
jumping for flag,झंडे के लिए कूदना
15th august,15 अगस्त
mera bharat mahan,मेरा भारत महान
tiranga saaree,तिरंगा अच्छा
ladies saaree,महिलाओं की साड़ी
charkha,चरखे
inkilab zindabad,इंकलाब ज़िंदाबाद
udd jao,उड़ जाओ
aazaadi ka din mubarak ho,आज़ादी का दिन मुबारक हो
soldeir,वेल्डिंग
sena,एक साल
rifal,Reval
baharat,मसाला
flower rain,फूलों की बारिश
mcd,दिल्ली नगर निगम
jhanda fahra diya,झंडा फहरा दिया
jhanda fahrana,झंडा फहराना
yo man,मैं आदमी
Jai javan,जय जवान
atal vihari bajpeyi,अटल बिहारी बाजपेयी
atal ji,अटल जी
RIP atal,आरआईपी अटल
atal bihari,अटल बिहारी
bajpeyi,बाजपेयी
RIP atal ji,रिप अटल जी
Mere Pyare Bhaiya,मेरे प्यारे भैया
happy raksha bandhan,मुबारक सुरक्षा बंधन
happy rakshabandhan,खुश सुरक्षा
mere bhaiya,मेरे भैया
kat gaya mera,कट गया मेरा
chocolate for my little brother,मेरे छोटे भाई के लिए चॉकलेट
rakhi ka tyohar,राखी का त्यौहार
its holiday,आज छुट्टी है
rakhshabandhan,रक्षाबंधन
happy rakhi,हैप्पी राखी
rakhi special,राखी स्पेशल
mutton,भेड़े का मांस
happy janmashtami,हैप्पी जन्माष्टमी
jai shree krishna,जय श्री कृष्णा
happy teachers day,अध्यापक दिवस की शुभकामनाएं
super teacher,सुपर शिक्षक
i love my teacher,मुझे मेरे शिक्षक से प्यार है
my loving teacher,मेरे प्यार करने वाले शिक्षक
teacher day,शिक्षक दिवस
cadbury,कैडबरी
dairymilk,डेयरी मिल्क
ganpati bappa morya,समुद्र की गणपति बप्पा
morya re,समुद्र फिर से
shree ganesh,श्री गणेश
happy ganesh chaturthi,हैप्पी गणेश चतुर्थी
modi ji ka birth day,मोदी जी का बर्थ डे
feeling loved,सेहित महसूस करना
i am in love,मुझे प्यार हो गया है
its yours,यह तुम्हारा है
u are my love,तुम मेरे प्यार हो
love of my life,मेरे जीवन का प्यार
i love him,मैं उससे प्यार करती हूँ
love you all,आप सभी को प्यार
twerk it,इसे घुमाओ
i love twerk,मुझे प्यार है
love yeah,हाँ हाँ
progress through congress,कांग्रेस के माध्यम से प्रगति
i am with congress,मैं कांग्रेस के साथ हूं
congress ka hath sabke sath,कांग्रेस का हाथ सबके साथ
vote for congress,कांग्रेस को वोट दें
har har modi,मोड है
vote for modi,मोदी को वोट दें
BJP 2019,बीजेपी 2019
BJP India,बीजेपी इंडिया
love is coming,प्यार आ रहा है
watch me,मुझे देखो
happy birthday lal bahadur shastri ji,हैप्पी बर्थडे लाल बहादुर शास्त्री जी
lal bahadur shastri jayanti,लाल बहादुर शास्त्री जयंती
second prime minister of india,भारत के दूसरे प्रधानमंत्री
Lal bahadur shastri birthday,लाल बहादुर शास्त्री जन्मदिन
LBSM,लबसम
happy birthday shastri ji,जन्मदिन मुबारक हो शास्त्री जी
happy gandhi jayanti,हैप्पी गांधी जयंती
happy birthday gandhi ji,हैप्पी बर्थडे गान्धी जी
gandhi jayanti 2018,गांधी जयंती 2018
gandhi jayanti,गांधी जयंती
jai maa durga,जय माँ दुर्गा
jai durga ma,उसकी दुर्गा मा
happy navratre,हैप्पी नवरात्रि
mata rani,उसने मुझे कब देखा?
durga maa,दुर्गा माँ
happy dussehra,खुश दशहरा
jai shree raam,जय श्री राम
dussehra 2018,दशहरा 2018
flowers for you,आपके लिए फूल
lovely flowers,सुंदर फूल
foodiae,भोजन करने के शौकीन
samosa lover,समोसा प्रेमी
happy karwa chauth,हैप्पी करवा चौथ
i love my husband,मैं अपने पति से प्यार करती हूँ
chand aagya,चाँद आज्ञा
karwa chauth 2018,करवा चौथ 2018
halloween 2018,हैलोवीन 2018
halloween party,हैलोवीन पार्टी
dont burst patakha,डोंट बरसत पटाखा
diwali 2018,दिवाली 2018
diwali fun,दीवाली की मस्ती
diwali  2018,दिवाली 2018
dhanteras 2018,धनतेरस 2018
happy bhai dooj,हैप्पी भाई दूज
bhai dooj 2018,भाई दूज 2018
happy bhaidooj,खुश भाईदूज
diwali sweats,दीवाली का पसीना
happy chatt puja,खुश चैट पूजा
chatt puja 2018,चाट पूजा 2018
chatt puja,चाट पूजा
chhat puja 2018,छट पूजा 2018
selfie do,सेल्फी करते हैं
maine selfie leli,मेन सेल्फी लेली
apni selfie bhej,अपनी सेल्फी भेज
sweet dream,मीठे सपने
ladakh trip,लद्दाख यात्रा
trip to ladakh,लद्दाख की यात्रा
ladakh jaunga,लदाख जाउँगा
mast hai,मस्त है
acha hai,अच्छा है
bhut bhadia,भुत भेदिए
aucccchhh,ौक्कछ्ह
cold hai,कोल्ड है
my perfect pose,मेरा सही मुद्रा
my pose,मेरा पोज
happy childrens day,हैप्पी बाल दिवस
childrens day 2018,बाल दिवस 2018
childrens,बच्चों
haapy childrens day,हैप्पी बाल दिवस
childrens day,बाल दिवस
happy guru purab,हैप्पी टीचर पूरब
guru purab 2018,गुरु पूरब 2018
guru nanak ji,शिक्षक नानक जी
happy guru nanak jayanti,खुश शिक्षक
guru nanak jayanti,गुरु नानक जयंती
guru nanak jayanti 2018,गुरु नानक जयंती 2018
my friend,मेरा दोस्त
chuddi buddy,एक कली छिपाना
aao kabhi haveli pe,आओ कभी हवेली पे
hmari haveli,हमारी हवेली
have a nice day,आपका दिन शुभ हो
sweat dreams,प्यारे सपने
i am your teddy,मैं आपका टेडी हूँ
ghoom ghoom,घूम घूम
noto ki mala,नोट छोटा है
malamal,माल
nye bash 2019,एक बैश 2019
new year bash,नए साल की मार
bye bye 2018,अलविदा २०१8
christmas 2018,क्रिसमस 2018
happy holidays,छुट्टियां आनंददायक हों
new year 2109,नया साल 2109
education is important,शिक्षा महत्वपूर्ण है
happy new year baby,नववर्ष सुखी हो बेबी
happy new year 2019,नया साल 2019 मुबारक हो
let me sing for you,मुझे तुम्हारे लिए गाने दो
new year gift,नए साल का तोहफा
LGBT,एलजीबीटी
love is not taboo,प्रेम वर्जित नहीं है
traffic rules,यातायत नियम
follow traffic rules,यातायात नियमों का पालन करें
you are beautiful,आप खूबसूरत हैं
soch badal daal,सोच बदल डाल
coffee date,कॉफी की तारीख
lets go for movie,चलो फिल्म के लिए चलते हैं
new year selfie,नए साल की सेल्फी
apni selfie de,आप खुद दे
lohri 2019,लोहड़ी २०१ ९
makar sankranti 2019,मकर संक्रांति 2019
pongal 2019,पोंगल 2019
acha hai bahut acha hai,अच्छा है बहुत अच्छा है
bhadiya hai,भेड़िया है
ghoom ghoom ghoom baba,घूम घूम घूम बाबा
tension nahi lene ka,टेंशन नहीं लेने का
stress ki maa ka sakinaka,तनाव आपके लिए महत्वपूर्ण है
ghoom ghoom ghooom baba,घूम घूम घुम बाबा
happy republicday,गणतंत्र दिवस मुबारक हो
republic day 2019,गणतंत्र दिवस 2019
happy valentine day,हैप्पी वैलेंटाइन दिन
valentines day 2019,वैलेंटाइन्स दिवस 2019
shivratri 2019,शिवरात्रि 2019
hug me tight,मुझसे कसकर लिपटो
shradhanjali,श्रद्धांजलि
vande matram,वन्दे मातरम
apna time ayega,अपना टाइम आएगा
ghanta leke jayega,घण्टा लेके जायेगा
kya ghanta lekar jayega,क्या घंटा लेकर जायेगा
ghanta lekar jayega,घंटा लेकर जायेगा
welcome back abhinandan,वापस अभिनन्दन में आपका स्वागत है
great man,महान आदमी
international womens day,अंतर्राष्ट्रीय महिला दिवस
womens day 2019,महिला दिवस 2019
happy womens day 2019,2019 की शुभकामनाएं
happy international womens day,अंतरराष्ट्रीय खुश महिला दिवस
holi 2019,होली 2019
bhang or gujiya,भंग या गुझिया
bhaang or gujia,भाँग या गुझिया
ganja batunga,भांग वे खुद करते हैं
perfect pose,सही मुद्रा
i've got your back,मैं तुम्हारे साथ हूं
have some juice,कुछ रस है
chubti garmi,चुबती गर्मी
all set,सब तैयार
finger crossed,दो उंगली को एक दूसरे पर चढ़ाया
well played,बहुत बढ़िया
chear up,खुश हो जाओ
what's the score,स्कोर क्या है
i am virat,मैं विराट हूँ
rishabh ka dhamaka,ऋषभ का धमाका
rishabh pant,ऋषभ पंत
jinxed by rahane,रहाणे द्वारा jinxed
1 april,1 अप्रैल
i love you as a friend,मैं तुम्हें एक दोस्त की तरह प्यार करता हूँ
baby bum,बच्चा चूतड़
hindu new year,hindu नया साल
happy hindu new year,नया साल मुबारक हो
vote india,वोट इंडिया
election 2019,चुनाव 2019
apna vote jarur de,अपना वोट जरूर दे
kisko vote doge,किसको वोट दोगे
vote for better india,बेहतर भारत के लिए मतदान करें
hmara neta kaisa ho,ज मारा नेता कैसाहो
hamara adhikar,हमारा अधिकार
nota,टिप्पणी
i voted,मैने मतदान किया
happy hanuman jayanti,हैप्पी हनुमान जयंती
blessed friday,शुभ शुक्रवार
happy good friday,हैप्पी गुड फ्राइडे
happy easter,हैप्पी ईस्टर
easter day,ईस्टर दिवस
easter,ईस्टर
happy easter day,ईस्टर का दिन मुबारक हो
lets fight,चलो, लड़ते हैं
thor ragnarok,थोर रग्नारोक
avengers end game,एवेंजर्स एंड गेम
groot,महान
i am groot,मैं ग्रूट हूँ
sp ummidwar,सप उम्मीदवार
karakat,ताशकन्द
tv se aapke ghar,टीवी से आपके घर
samjwadi party,समाजवादी पार्टी
cycle se jayenge akash,साइकिल से जायेंगे आकाश
love you maa,लव यू माँ
love you mom,मां मैं आपसे बहुत प्यार करता हूं
i support mumbai indians,मैं मुंबई इंडियंस का समर्थन करता हूं
i support delhi capitals,मैं दिल्ली की राजधानियों का समर्थन करता हूं
delhi capitals,दिल्ली की राजधानियाँ
kaun banega pradhan mantri,कौन बनेगा प्रधान मंत्री
lok sabha election,लोक सभा चुनाव
phir ek baar modi sarkar,फिर एक बार मोदी सरकार
pradhan mantri,प्रधान मंत्री
firse modi sarkar,फिरसे मोदी सरकार
yo yo modi ji,वे लानत हैं रस
come on india,भारत आओ
jitega india,जीतेगा इंडिया
i support india,मैं भारत का समर्थन करता हूं
bach gaya,बच गया
romanchak match,रोमाचंक मैच
gagan chumbi chakka,गगन जहाज चक्का
toss kon jeeta,टॉस कौन जीता
i love cricket,मुझे क्रिकेट से प्यार है
choka,Choka
happy yoga day,खुश योग दिवस
aaa thu,कौन सा?
jalti garmi,जलती गर्मी
mansoon,मानसून
dimag kharab,दिमाग ख़राब
chai pilo,गोली चाहिए
eifel,एफिल
frienship day,मित्रता दिवस
chuddy buddy,चुदी दोस्त
happy friendship day,आपके लिए मित्रता दिवस मंगलमय हो
rider,सवार
ho gya tera,हो गया तेरा
tera ho gya,तेरा हो गया
kya hua,क्या हुआ
pagal hai kya,पागल है क्या
chal pagal,चाल पागल है
Pagal hai kya?,पागल है क्या?
B*tch Please,B * tch कृपया
bss kr,बस क्र
chal nikal,चल निकल
kuttiya,kuttiya
chal ja,चल जा
ganesh ji,गणेश जी
happy onam,हैप्पी ओणम
0nam,0nam
peace day,शांति दिवस
happy peace day,शांति का दिन
falling in love,प्यार में पड़ना
mmmmuuaahhh,mmmmuuaahhh
janam samjha karo,जानम समझा करो
samjho na,समझो न
badhai ho,बधाई हो
pehchan kaun,पहचान कौन
tumse na ho paega,तुमसे न हो पाएगा
ramadhir,रामाधीर
navratre,नवरात्रे
chatri dalke khol dunga,चतरा दूर डोंग हॉल
sacred game,पवित्र खेल
bunty,bunty
aham brahmasmi,अहम् ब्रह्मास्मि
guru ji,गुरू जी
bas sab badia,बस सब बढ़िए
sab badia,सब बढ़िए
wadiya,Wadiya
yayyyy,yayyyy
bakwas band kar,बकवास बंद कर
chup rh,चुप रह
khool,khool
kya foonk liya,क्या फ़ूंक लिया
arre yaar,अररे यार
foonk liya,फूंक लिया
bhad me jaa,भाड़ में जा
dhyan rakho,ध्यान रखो
kar na baate,कार बट
ayushmaan khurana,आयुष्मान खुराना
ganesh visarjan,गणेश दर्शन
bappa morya,समुद्र का बप्पा
radhe radhe,पंक्ति के बाद पंक्ति
ayushman khurana,आयुष्मान खुराना
drean girl,सपनों की राजकुमारी
ho gya kya,हो गया क्या
happy bday modi ji,हैप्पी बर्थडे मोदी जी
ho gya,हो गया
happy birthday modi ji,हैप्पी बर्थडे मोदी जी
arre kya hogya,अरे क्या होगया
abe pagal,अबे
bitch please,कृपया कुतिया
ohh please,ओह्ह प्लीज
bas sab bhadiya,बस सब भड़िया
sab bhadiya,सब भड़िया
yaaayyyyyyy,yaaayyyyyyy
bol mat,वह मर गया
foonk liya kya,फूंक लिया क्या
yayyyyyyy....,ययययययययय…।
yipiiiiiii,yipiiiiiii
awsum,awsum
bahar nikal,बहार निकल
