bobble,Bobble
bappamorya,bappatoriya
ganpatibappamorya,Gnptibppamory
ganeshji,గణేష్
ganeshchaturthi,గణేష్ చతుర్థి
adhyapak,ప్రొఫెసర్
adhyapakdiwas,ఉపాధ్యాయ దినం
teacherday,ఉపాధ్యాయుల రోజు
durgapuja,దుర్గా పూజ
jaimaatadi,Jaymatadi
sacredgames,sacredgames
netflix,నెట్ఫ్లిక్స్
nawazuddinsiddiqui,నవాజుద్దీన్ సిద్దిఖీ
nawaz,నవాజ్
ganeshgaitonde,గణేష్ గైతోండే
gaitonde,బయటకు ఎగరండి
25din,రెండు టేక్
sacred,పవిత్ర
kukku,కుక్
eww...,eww ...
goodmornong,శుభోదయం
goodninght,గుడ్నైట్
Hiee!,Hiee!
okfine,సరే బాగుంది
rukja,ruqyah
ruk,చేతులు
heybhagwan,O లార్డ్
chhichhore,నిస్సార
shardha,Srdha
kuttedost,kuttedost
varunsharma,Vrunsharma
Modiji,మోడీ
narendramodiji,Narendramodiji
birthdaymodiji,birthdaymodiji
ng,ఆఫ్
navratrispecial,navratrispecial
navratricollection,navratricollection
navratriwear,navratriwear
durgamaa,Durgma
happynavratri,happynavratri
matake charan,పాట్ దశ
vratkakhana,vratkahana
vratkithali,vratkithali
gandhijayanti,Gandijaynti
2oct,2oct
ganshiji,తడి మరియు పొడి కాలం
ganshi,డైరెక్టర్ జనరల్
happydussehra,హ్యాపీ దసరా
ramnavmi,రామ్ నవమి
dilwali,dilwali
nocrackers,nocrackers
dilwaali,dilwaali
happydiwali,happydiwali
aachhoo,ACU
karwachauth,వైవాహిక
pollution,కాలుష్యం
smog,పొగమంచు
dhuaa,స్మోక్
jada,జాడా
jokermovie,jokermovie
quotes,కోట్స్
chhathpooja,Ctpuja
jhukam,Jhukam
chhik,తుమ్ముకు
sikh,సిక్కు
aajkavichaar,సామాజిక ఆలోచన
vichaar,vichaar
qoutes,కోట్స్
pradushan,కాలుష్య
aajkavichar,aajkavichar
Ujdachaman,Ujdecmn
bald,బట్టతల
takla,పిల్లిమొగ్గ
bala,లేకుండా
dabanng,దృఢమైన
dabbang,dabbang
guruparv,Guruprw
nanaksaheb,Nanksaheb
nanaknaam,Nanaikinam
gurunanakjayanti,Gurunankjaynti
children’sday,బాలల దినోత్సవం
nehruji,నెహ్రూ
nametattoo,పేరు పచ్చబొట్టు
boytattoo,boytattoo
marryme,నన్ను పెళ్లి చేసుకో
briidle,briidle
navy,నౌకాదళం
HumanRights,మానవ హక్కులు
insaaf,తీర్పు
adhikaar,కుడి
thhand,thhand
adarak,అల్లం
mng,mng
shadi,పెళ్లి
adhikar,హక్కు
nyaya,న్యాయం
nya,కొత్త
samanata,సమానత్వం
pyala,కప్పు
pratah,ఈనిన
chaai,టీ
WFH,WFH
oss,మాకు
hali,పరిస్థితులు
zikham,ఖాంను
3idiot,క్రిస్మస్ బోనస్
bacchcha,దూడ
hashi,బ్రిడ్జ్
majak,జోక్
chill goa,చిల్ గోవా
forkyou,forkyou
faty,faty
bhukkad,Bhukkd
feelinglow,feelinglow
yesorno,yesorno
quetion,ప్రశ్న
patra,Patras
kisan,రేసు
farmar,farmar
srinivasa,శ్రీనివాస
ramanujan,రామానుజన్
merrychristmas,క్రిస్మస్ శుభాకాంక్షలు
hohoho,HoHoHo
1st,1 వ శాతం
31st,31
athome,ఇంటి వద్ద
peepawali,peepawali
rehpta,rehpta
rapata,రాబర్ట్
chaalan,రసీదులు
chalan,కుర్రవాడు
2020,2020
gobind,గోవింద్
aaachhoooo,రండి
not well,బాగలేదు
kya h,ఏమిటి
bol na,ఆన్‌లో ఉంది
bht kaam hai,భట్ పని
mil kar,పొందండి
mil,వేల
muhaa,ఖాళీ సమయం
mhaa,mhaa
you melt,మీరు కరుగుతారు
dil pighal gaya,గుండె కరిగిపోయింది
zindgi,లైఫ్
love is life,ప్రేమే జీవితం
luv life,luv జీవితం
lots of kisses,చాలా ముద్దులు
muwah,వైద్యం
muuhha,muuhha
Dekh pagli,దేఖ్ పాగ్లి
love joke,ప్రేమ జోక్
pyar ho jayega,ప్రేమలో పడతారు
make joke,జోక్ చేయండి
no limit,హదులు లేవు
without limits,పరిమితులు లేకుండా
luv you,మీరు ఇష్టపడతారు
Happy Birthday Hrithik,పుట్టినరోజు శుభాకాంక్షలు హృతిక్
hrithik birthday,హృతిక్ పుట్టినరోజు
hrithik,హృతిక్
Happy b'day,పుట్టిన రోజు శుభాకాంక్షలు
Hrithik b'day,హృతిక్ బి
10th jan,10 వ జాన్
lohdi,Lohri
lohadi,lohadi
makarsankrati,makarsankrati
youthday,youthday
vivekanandajayanti,Viveknandajaynti
26th,26
janauary,జనవరి
swadeshi,స్వదేశీ
gantantra,రిపబ్లిక్
matrimony,వివాహం
matrimonial,పెళ్ళి సంబంధాలు
বিয়ে,వివాహితులు
কনে,వధువు
বর,వరుడు
বিবাহ,వివాహ
বধূ,అవివాహిత
ছেলে,బాయ్
বিয়ের,వివాహ
জীবনসঙ্গী,జీవిత భాగస్వామి
ম্যাট্রিমনিয়াল,Myatrimaniyala
বাঙালি,బెంగాలీ
সঙ্গী,సహచరుడు
মানানসই,సరిపోయేలా
জীবনসঙ্গীর,జీవిత భాగస్వామి
সেরা,ఉత్తమమైనది
kone,యంత్రం
biba,biba
Biye,BI కూడా
bibaho,వివాహ
bodhu,అవివాహిత
khujchen,వెతుకుతోంది
porinoy,కన్నెపొర
chele,బాయ్
biyer,వివాహ
jibonshongi,హోల్డింగ్ టెక్నిక్
jeewansathi,ఆత్మ సహచరుడు
ABP,ఎబిపి
shubhratri,గుడ్ నైట్
wa,సమ్
চা,టీ
mistha,Mishta
meetha,స్వీట్
nav vadhu,మరో తొమ్మిది
var,ఉంది
vadhushodh,Vdhusod
lagn,వెడ్డింగ్
muli,మళ్ళీ
shodhat,shodhat
नववधू,వధువు
विवाह,వివాహ
जीवनसाथी,ఆత్మ సహచరుడు
मराठी,మరాఠీ
वैवाहिक,వివాహితులు
लग्न,వివాహం
वधू शोधत,వధువు కోసం వెతుకుతోంది
ABP Weddings,ఎబిపి వెడ్డింగ్స్
अभिनंदन,స్వాగత
चहा,టీ
chaha,విల్స్
caha,caha
','
vasant,వసంత్
basant,ఆధారిత
world cancer day,ప్రపంచ క్యాన్సర్ రోజు
be strong,దృడముగా ఉండు
Happy Teddy Day,హ్యాపీ టెడ్డీ డే
Happy Kiss Day,హ్యాపీ కిస్ డే
Love You Baby,నిన్ను ప్రేమిస్తున్నాను పాప
i miss you,నేను నిన్ను మిస్ అవుతున్నాను
i am sorry,నన్ను క్షమించు
maaf kardo,నన్ను క్షమించండి
hi sweetu,హాయ్ స్వీటూ
i am yours,నేను నీకు సొంతం
iloveu,iloveu
valentines day,ప్రేమికుల రోజు
14th feb,14 వ ఫీబ్
love week,ప్రేమ వారం
kissed,ముద్దాడుతాడు
soosoo,సహకారం
ful,ful
flowrers,పూలు
cheff,cheff
i love you too,నేను కూడా నిన్ను ప్రేమిస్తున్నాను
dairy milk,పాడి పరిశ్రమ పాలను
on way,దారిలో
love you too,నేను కూడా నిన్ను ప్రేమిస్తున్నాను
prpmise day,వాగ్దానం రోజు
forever together,కలకాలం కలసి - మెలసి
happy hug day,హగ్ హగ్ డే
hug me,నన్ను కౌగిలించుకోండి
chummah,కమ్
pinky promise,చేతి వేళ్ళను కలుపుతూ వేసే వొట్టు
together forever,ఎప్పటికీ కలిసి
waving hand,చేయి aving పుతూ
of course,కోర్సు యొక్క
absolutely,ఖచ్చితంగా
uh-huh,ఊ-హుహ్
jogging,జాగింగ్
yawn,ఆవలింత
home work,ఇంటి పని
hey wassup,ఏమోయ్ ఏంటి సంగతి
greate,greate
grocery time,కిరాణా సమయం
chill book,చిల్ బుక్
tution,tution
sweet dreams,మంచి కలలు
what you doin,మీరు ఏమి చేస్తున్నారు
how you doin,ఎలా ఉన్నావ్
waddup,waddup
great job,గొప్ప పని
Mind blowing,దిమ్మతిరిగే
wasup,wasup
see you,మళ్ళి కలుద్దాం
bbye,bbye
take care,జాగ్రత్త
takeoff,ఎగిరిపోవడం
goodl luck,అదృష్టం
happy shivratri,శివరాత్రి శుభాకాంక్షలు
shiv ji,శివుడు
bhole nath,భోలే నాథ్
maha dev,మహా దేవ్
new york,న్యూయార్క్
let's play holi,హోలీ ఆడదాం
bura na mano holi hai,హోలీని పట్టించుకోవడం లేదు
gujiya,గుజియా
holi shit,హోలీ ఒంటి
poty,poty
karona,ఎందుకంటే
virus,వైరస్
covid,covid
china,చైనా
bimari,వ్యాధి
carona,Carona
face mask,ముఖ ముసుగు
corona virus,కరోనా వైరస్
covin-19,కుట్ర -19
covin,కుట్ర
janta curfew,janta కర్ఫ్యూ
curfew,కర్ఫ్యూ
jai maa,ఇంగ్ నీరు
maa durga,మా దుర్గా
stay home,ఇంట్లోనే ఉండు
kanjake,రోగి ఇల్లు
jor se bolo,బిగ్గరగా మాట్లాడండి
pyaaz,ఉల్లిపాయలు
pyaz,ఉల్లిపాయలు
ullu banaya,గుడ్లగూబ తయారు
khotta,బూజుపట్టిన
bevkoof,స్టుపిడ్
dumboo,dumboo
hawa ane de,గాలి మరియు రోజు
sex,సెక్స్
dirtytalks,మురికి చర్చలు
gandibaat,gandibaat
boobs,వక్షోజాలను
dickpick,dickpick
dick,డిక్
18plus,18plus
ungali,తిరస్కరించవద్దు
campa,కాంపా
bachaa,bachaa
ghapaghap,ghapaghap
footprint,అడుగుజాడల
chummaa,chummaa
jummaa,సంఘం
candal,కాన్డాల్
wallnuts,wallnuts
choodi,బాగానే
bangals,bangals
chudiayan,హో అయాన్
cokacola,కోకా కోలా
vehicle,వాహనం
tampoo,tampoo
londaon,londaon
ghantaghar,క్లాక్ టవర్
gandi baat,బాట్ సైనికుడు
baate,థింగ్స్
lets talk,మనం మాట్లాడుకుందాం
video call,విడియో కాల్
ghosala,నెస్ట్
bhens,బఫెలో
buffelo,buffelo
khira,దోసకాయ
cacumber,దోసకాయ
shampoo,షాంపూ
momo,పీచ్
four,నాలుగు
n,n
aach,aach
fecture,fecture
raghunath,రఘునాథ్
ramji,రాంజీ
jai ram,జీ రామ్
Work from home,ఇంటి నుండి పని
lockdown,మూసివేత
broadband,బ్రాడ్బ్యాండ్
low network,తక్కువ నెట్‌వర్క్
karfue,Krfuy
skype,స్కైప్
Quarentine,దిగ్బంధానికి
being useless,పనికిరానిది
diyaa,జియా
deeya,దియా
diye,ఆ
ramayan,రామాయణం
avashaya,avashaya
laxman,లక్ష్మణ్
kadapi nahi,నెవెర్మోర్
tathastu,ఆమెన్
krishn,కృష్ణ
mahabharat,మహాభారతం
kriishna,కృష్ణ
minut,నిమిషాల
shan,మౌంటైన్
kans,అవకాశం
asanbhav,అసాధ్యం
mackup,Mkup
meckup,meckup
Hanuman ji,హనుమంతుడు
bajrangbali,Bajrangbali
hanuman jayanti,హనుమాన్ జయంతి
Skills,నైపుణ్యాలు
gloomy,దిగులుగా
horrid,భయంకలిగించు
somber,నిరుత్సాహ
terrible,భయంకరమైన
glum,చిన్నబుచ్చుకొన్న
bleak,విషాదకరంగా
ominous,అరిష్ట
tv show,టీవీ ప్రదర్శన
joyful,ఆనందం
upbeat,అప్బీట్
terror,టెర్రర్
panic,యిబ్బంది
chiller,శీతలీకరణ
fright,భయపడిన
detestation,detestation
pal,పాల్
defender,డిఫెండర్
guardian angel,సంరక్షించు దేవత
chudap,Cudap
separation,వేరు
split,స్ప్లిట్
sovereignty,సార్వభౌమత్వాన్ని
jahnda,Jhnda
15 August,15 ఆగస్టు
savan,సావన్
lively,సజీవ
protection,రక్షణ
sayings,సూక్తులు
offended,బాధపడ్డ
irritable,ప్రకోప
outraged,ఆగ్రహం
billy,బిల్లీ
mandy,మాండీ
CN,CN
scythe,కొడవలి
reaper,రీపర్
olymics,ఒలింపిక్స్
golf,గోల్ఫ్
august,ఆగస్టు
chauka,చౌక
mythology,పురాణ
kingdom,రాజ్యం
feminist,స్త్రీవాద
nari,విల్
dhasu,నోటిఫై
nautanki,జిమ్మిక్
netaji,నేతాజీ
corruption,అవినీతి
quarter,క్వార్టర్
baapu,బాపు
terabaap,Terabap
abbu,తండ్రి
kunwara,ఒంటరివాడు
chokra,ధన్యవాదాలు
glamor,గ్లామర్
pepe,పేపే
goalhai,goalhay
nobhita,Nobita
gadgets,గాడ్జెట్లు
futuristic,భవిష్యత్
shizuka,క్వైట్
hungama,బెడ్లాం
ramdan,Ramdan
habibi,నా ప్రేమ
apocalypse,అపోకలిప్స్
walkingdead,walkingdead
zodiac,రాశిచక్రం
rashifal,rashifal
capricon,capricon
kundli,స్పైరల్
frank,ఫ్రాంక్
springfield,స్ప్రింగ్ఫీల్డ్
dysfunctional,పనిచేయని
cartoonnetwork,cartoonnetwork
glue,గ్లూ
shin,షిన్
chan,చాన్
japanese,japanese
crayon,క్రేయాన్
mitsi,Mitsi
turtles,తాబేళ్లు
teenage,యువ
amell,Amell
tmnt,ఆమె కోరింది
familyguy,FamilyGuy
griffin,రాబందు
students,విద్యార్థులు
rokda,క్యాష్
chichore,నిస్సార
velle,కు
vella,వృద్ధ మహిళ
harami,Harami
sadakchap,రోడ్డు దాడి
bb,BB
vines,తీగలు
bbkivines,bbkivines
bancho,Bancho
sameer,సమీర్
youtube,YouTube
hola,హలో
bhuvan,భువన్
bham,bham
youtuber,YouTube వినియోగదారుకు
perk,పెర్క్
howudoing,ఎలా ఉన్నావు
saheli,ప్రియురాలు
brosbeforehoes,brosbeforehoes
Pranayam,Pranayam
yogapants,యోగ ప్యాంటు
meditation,ధ్యానం
awakening,మేల్కొలుపు
onepiece,ఒక ముక్క
onepunchman,onepunchman
deathnote,మరణ వాంగ్మూలం
manga,మాంగా
animegirl,animegirl
naruto,నరుటో
blackbutler,బ్లాక్ బట్లర్
alchemist,ఆల్కెమిస్ట్
bleach,బ్లీచ్
sakura,సాకురా
ads,ప్రకటనలు
branding,బ్రాండింగ్
brand,బ్రాండ్
advertisment,advertisment
shahi,షాహీ
loveme,నన్ను ప్రేమించు
mylove,నా ప్రియతమా
shikanji,ద్రావకం
mutants,మార్పుచెందగలవారు
xavier,జేవియర్
chakdefatte,chakdefatte
pind,ఉపరితల
kattappa,Kattappa
thebeginning,ప్రారంభం
blockbuster,బ్లాక్బస్టర్
theconclusion,ముగింపు
bahubali2,బాహుబలి 2
disneyland,డిస్నీల్యాండ్
channel,ఛానల్
disneyxd,disneyxd
waltdisney,వాల్ట్ డిస్నీ
khaalijeb,khaalijeb
captainamerica,కెప్టెన్ ఆమెరికా
civilwar,పౌర యుద్ధం
blackpanther,blackpanther
tonystark,tonystark
steverogers,steverogers
hawkeye,హాక్ఐ
bhaklol,Bklol
sasura,నాన్నగారు
hamaar,మా
tuhaar,Tuhar
lagawelu,Lgavelu
wonderwoman,wonderwoman
khayegakela,Kyegakela
potter,కుమ్మరి
harrypotter,హ్యేరీ పోటర్
cursedchild,శపించబడిన పిల్లవాడు
hagrid,హగ్రిడ్కు
coolstory,చల్లని కథ
rage,Rage
ragecomics,ragecomics
desimeme,desimeme
merc,Merc
antihero,ప్రతినాయకుడు
landing,ల్యాండింగ్
wade,వాడే
wilson,విల్సన్
wadewilson,wadewilson
reynolds,రేనాల్డ్స్
rollin,వరుసలో
legpull,legpull
legpulling,legpulling
dawn,డాన్
dawnofjustice,dawnofjustice
luthor,లూథర్
lex,లెక్స్
darkside,చీకటి వైపు
clark,క్లార్క్
kent,కెంట్
bruce,bruce
wayen,వేన్
chotabacha,చిన్న ప్యాక్
sachhe,నిజం
sachhey,నిజం
sachey,నిజం
bachey,సర్వైవర్స్
bachapan,బాల్యం
aamchi,aamchi
boletoh,boletoh
boleto,చీటి
shaanpati,Sanapati
local,స్థానిక
mumbailocal,mumbailocal
localtrain,localtrain
marine,సముద్ర
marinedrive,marinedrive
tikes,Tikes
iampossible,iampossible
batgirl,బ్యాట్ గర్ల్
scoobydoo,స్కూబి డూ
dooby,dooby
telivision,Telivision
tvshow,టీవీ ప్రదర్శన
incredibles,ఇన్క్రెడిబుల్స్
chutiyam,Cutiam
chutyam,Chutyam
jhaant,Jant
thaant,చేతి
jhand,Jnd
jindagi,లైఫ్
leli,ఆవిష్కారాలు
yaariyan,స్నేహం
bagpacker,bagpacker
wanderer,సంచారి
wanderers,వాండరర్స్
tourist,పర్యాటక
chuttiyan,సెలవులు
keeda,వేసి
bachchan,బచ్చన్
balatkar,రేప్
allizwell,allizwell
shai,షి
chaisutta,కదులుతోంది
pakodas,Pakodas
greentea,గ్రీన్ టీ
bulk,చాలా మొత్తం
cardio,కార్డియో
treadmil,ట్రెడ్మిల్
akhada,సంచరించు
aerobic,ఏరోబిక్
belts,బెల్ట్
driveslow,driveslow
akadd,akadd
akkad,అక్కడ్
baju,బట్టలు
baaju,వైపు
hayela,కాల్
oii,కనుక
galtise,galtise
mutabik,ప్రకారం
aakhein,కళ్ళు
lovemaking,రాస క్రీడ
chowdary,chowdary
chowdhury,చౌదరి
apsara,అప్సర
chachaji,అంకుల్
region,ప్రాంతం
aayi,ఆయి
shappath,shappath
siya,ఆమె
chava,పడుచు
ayyo,ayyo
aiyo,లవ్
annapodi,annapodi
podi,కుండలు
auratt,auratt
okk,okk
waale,జుట్టులో
muu,ఇతర
izz,izz
bahaar,స్ప్రింగ్టైమ్
lele,క్యాట్పిష్
pichkar,pichkar
lorry,లారీ
ghosla,నెస్ట్
andi,Andi
mandi,స్నానం చేయండి
shandi,మౌంటైన్
takkey,takkey
jagganath,జగన్నాథ్
memes,సంస్కృతి
brace,కలుపు
urself,urself
spartaa,స్పార్టా
daily,రోజువారీ
gup,గప్
shup,shup
sorrie,క్షమించండి
roz,గులాబీ
callme,callme
welcum,welcum
okie,okie
desitalks,అతను మరణించాడు, కానీ
chillpill,chillpill
hopaayega,ఆశిస్తున్నాము
bhavnaao,ఎమోషన్స్
chahate,ఇలా
booty,booty
mohmaya,mohmaya
naachoon,నృత్యం చేయాలి
naachu,నాచు
tedhi,లెచెరాస్
dular,Dular
dulaar,చేరటము
bhen,లో
dii,దేవతలు
momdad,momdad
brosis,brosis
brothersister,brothersister
masters,మాస్టర్స్
masterji,మాస్టర్జికి
benchers,బెంచ్
goto,గోటో
heisenberg,హేయిసేన్బర్గ్
sheen,షీన్
management,నిర్వహణ
charliesheen,చార్లీ షీన్
bhadmei,Badhmei
aukaat,స్థితి
byob,byob
pardy,Pardy
happie,happie
bumps,వెళతాడు
birthdaybumps,birthdaybumps
dramebaz,Dramebajh
merdil,మరగుజ్జు
foreveralone,foreveralone
luvme,luvme
chokri,Chokri
wrestle,కుస్తీ
wrestlemania,రెజిల్
raw,ముడి
smack,స్మాక్
smackdown,స్మాక్డౌన్
bigshow,పెద్ద ప్రదర్శన
johncena,JohnCena
cena,ధర
brock,బ్రాక్
kushti,ఇళ్ళు
hulkhogan,Hulkhogen
hogan,హొగన్
uttar,ఉత్తర
pradesh,ప్రదేశ్
baawdi,baawdi
baavdi,బావది
pooch,కుక్కకు
kungfupanda,kungfupanda
kungfu,కుంగ్ఫు
shetro,ప్రాంతాలు
retroshetro,retroshetro
vintage,పాతకాలపు
classic,క్లాసిక్
oldisgold,oldisgold
antique,పురాతన
insta,ప్రేరేపించాడు
instagram,ఇన్స్టాగ్రామ్
hashtags,హ్యాష్ట్యాగ్లను
nailart,గోరు కళ
instagirls,instagirls
girlsofinstagram,girlsofinstagram
sharma,శర్మ
nights,రాత్రులు
comedynights,comedynights
juiceme,juiceme
colorstv,colorstv
hitnrun,hitnrun
espn,ESPN
vibhuti,విభూతి
anita,అనితా
andtv,andtv
baji,బాజీ
baaji,పావుగా ఉంచుతుంది
bazi,ఆధారంగా
baazi,రౌడీ
maanja,జంటలు
aaibo,Aibo
swatantra,ఉచిత
wars,యుద్ధాలు
starwars,starwars
awakens,మేల్కొలిపి
forceawakens,శక్తి మేల్కొంటుంది
Episode,ఎపిసోడ్
chewbacca,Chewbacca
battlefront,యుద్ధరంగం
gunde,గ్రా
gundey,పోకిరి
minthunda,minthunda
gangs,ముఠాలు
wasseypur,wasseypur
kaheke,kaheke
loonga,ఉంటుంది
nawazuddin,Nwajhuddin
siddiqui,సిద్దికి
bajpayee,బాజ్పాయి
investigation,విచారణ
department,శాఖ
baiscally,ప్రాథమికంగా
grahakk,Grahkk
trai,క్లామ్స్
neutrality,తటస్థ
basics,బేసిక్స్
government,ప్రభుత్వం
netneutrality,కేవలం తటస్థత
chaltikya,Cltikya
fraandship,fraandship
namastey,నమస్తే
satsriakal,Stsriakal
afternood,afternood
whazzap,whazzap
noprob,noprob
prob,PROB
lolwa,పదునుపెట్టే
xmax,Xmax
hoho,చీక్
sardiya,Srdia
woolen,ఉన్ని
milestone,మైలురాయి
fundings,fundings
partners,భాగస్వాములు
programmer,ప్రోగ్రామర్
investors,పెట్టుబడిదారులు
silicon,సిలికాన్
valley,లోయలో
robotic,రోబోటిక్
hotbot,hotbot
barat,పడమర
barati,Barati
zikzik,zikzik
chords,తీగల
sitaar,సీతా
tuneup,tuneup
tuning,ట్యూనింగ్
ishqbaazi,పరిహసముచేయుటకు
ishaqbaazi,బ్రాండ్ qbaazi
ladkibaazi,ladkibaazi
jaanemann,Janemann
packs,సమూహములు
sixpack,sixpack
sixpacks,ఆరు సమూహములు
bhaijan,బ్రదర్
powder,పొడి
shody,వర్తింపు
bodyshody,bodyshody
mastiki,నమిలే
pirates,పైరేట్స్
suicidesqad,suicidesqad
sqad,Sqad
startrek,స్టార్ ట్రెక్
ghostbusters,ఘోస్ట్బస్టర్స్
mebefore,నాకు ముందు
inferno,దావానలం
strange,వింత
beasts,జంతువులు
taane,తాను
daat,ప్రాటర్
vaccation,సెలవు
promotion,ప్రమోషన్
bugsbunny,bugsbunny
mojojojo,బటన్ ప్లే
swatcats,swat kats
hotty,hotty
moveon,ఆన్స్
gaend,gaend
howzat,హౌజాట్
paa,న
thode,కొన్ని
loony,పిచ్చివాడు
walt,వాల్ట్
assalam,అస్లాం
alaykum,మీ మీద
lillysingh,lillysingh
lilly,లిల్లీ
manjeet,manjeet
videos,వీడియోలను
bakwaas,నాన్సెన్స్
sikhayega,నేర్పుతుంది
rulez,Rulez
slangs,slangs
thatman,ఆ వ్యక్తి
rangde,Rngde
committed,ఆత్మహత్య
des,ఆఫ్
rajasthani,రాజస్థానీ
calcutta,కలకత్తా
premier,ప్రీమియర్
winners,విజేతలు
sunriser,sunriser
nakko,nakko
laagao,ఓహ్ హై
biryanipower,biryanipower
bangalore,బెంగుళూర్
blore,బ్లోర్ల
bengaluru,బెంగళూరు
mcbc,mcbc
oolala,PornHub
maacha,maacha
chase,చేజ్
eleven,పదకొండు
xi,ఇలా
yuvi,యువరాజ్
yuvraj,యువరాజ్
miller,మిల్లెర్
fatte,పని పూర్తయింది
fafda,పాస్తా
faafda,స్ప్రెడ్
thepla,thepla
jaddu,Jddu
daredevil,డేర్డెవిల్
harbajan,హర్భజన్
rising,పెరుగుతున్న
pune,పూనే
poona,పూనా
giant,దిగ్గజం
supergiants,సూపర్గైయింట్స్
supergiant,అతి
misal,ఉదాహరణకు
notout,నాటౌట్
superkings,CSK
padukone,పడుకొనే
deewani,సివిల్
naya,క్రొత్తది
byebye,byebye
mubaraka,ముబారక్
bits,బిట్స్
pilani,పిలాని
cig,CIG
marlboro,MARLBORO
gate,గేట్
gre,ఇది జరుగుతోంది
gmat,GMAT
lingo,లింగో
univ,యూనివ
byd,ప్రపంచ
gtb,GTB
patelchest,patelchest
patel,patel
vishwavidyalaya,విశ్వవిద్యాలయం
vishwa,ప్రపంచ
hudsonlane,hudsonlane
lane,వీధి
abvp,ఏబీవీపీ
lsr,lsr
srcc,srcc
khalsa,ఖల్సా
ballichai,ballichai
audo,audo
udaao,పేల్చివేయండి
udao,udao
rehena,ఉన్నప్పుడు
jorse,అమలులో ఉంది
zorse,Jorse
dhadak,dhadak
misunderstand,తప్పుగా అర్థం
nandgopal,nandgopal
serial,క్రమ
advertisement,ప్రకటన
literature,సాహిత్యం
commercial,వాణిజ్య
display,ప్రదర్శన
religion,మతం
roommate,రూమ్మేట్
bakchod,Bkchod
U.S.,సంయుక్త
poll,ఎన్నికలో
U.S.A.,U.S.A.
cult,కల్ట్
ghostly,వికృతంగా
careless,అజాగ్రత్త
filthy,మురికిగా
stained,తడిసిన
campaigning,ప్రచారం
nibble,nibble
chew,చూ
hog,హాగ్
plump,బొద్దుగా
greedy,అత్యాశకరమైన
too lazy,చాలా సోమరి
rest day,విశ్రాంతి రోజు
day off,డే ఆఫ్
mornings,ఉదయం
recline,నిద్రించు
sit back,తిరిగి కూర్చోండి
unproductive,ఫలితమివ్వని
lethargic,నీరసమైన
Shivaji Rao Gaekwad,శివాజీ రావు గైక్వాడ్
kabali,Kabali
dialogs,డైలాగ్లు
coolest,చక్కనైన
Balla Bol,బల్లా నొప్పి
test match,పరీక్ష మ్యాచ్
sport,క్రీడ
third umpire,మూడవ అంపైర్
trial,విచారణ
ninties,తొంభైల
90s,90
longing,కోరికతో
the days,రోజులు
puberty,యుక్తవయస్సు
schooldays,బడి రోజులు
teens,టీనేజ్
teen age,టీనేజ్ వయస్సు
adorable,పూజ్యమైన
looney,లూనీ
beloved,ప్రియమైన
alvin and the chipmunk,ఆల్విన్ మరియు చిప్‌మంక్
sarabhai family,సరభాయ్ కుటుంబం
mummas boy,ముమ్మాస్ బాయ్
humor,హాస్యం
satire,వ్యంగ్య
funniness,funniness
humorous,హాస్య
amusing,వినోదాత్మక
laughable,హాస్యాస్పదమైన
Indravadan Sarabhai,ఇంద్రవదన్ సారాభాయ్
Saahil Sarabhai,సాహిల్ సారాభాయ్
pyaari maa,ప్రేమలో
Madhusudan,మధుసూదన్
Middleclass,మధ్య తరగతి
poems,పద్యాలు
ridicule,హేళన
irony,వ్యంగ్యం
bitterness,చేదును
poet,కవి
writer,రచయిత
script,స్క్రిప్ట్
Chindi Dost,చింది దోస్త్
playmate,తోటి ఆటగాడు
best friend forever,ఎప్పటికీ మంచి స్నేహితుడు
kunjoos,kunjoos
ridiculous,హాస్యాస్పదంగా
nudge,జరుపు
pick on,ఎంచుకొను
taunt,ఆక్షేపణ
pocketbook,పాకెట్బుక్
poke,వెక్కిరింపులను
wage,వేతన
bucks,బక్స్
moolah,మూలా
borrrow,ఋణం
taxi fare,టాక్సీ చేయండి
auto bill,ఆటో బిల్లు
auto ride,ఆటో నవ్వుతుంది
justification,సమర్థన
last-minute,చివరి నిమిషం
deadline,గడువు
tasks,పనులు
office mein late,ఆఫీస్ మెయిన్ ఆలస్యంగా
thanda matlab,కూల్ మీన్
boy drinking,బాలుడు తాగుతున్నాడు
water shortage,నీటి కొరత
bathrobe,బాత్
freshen up,తాజాగా
gandi,gandi
mini mouse,మిన్నీ మౌస్
bollywood style,బాలీవుడ్ శైలి
indian festivals,భారతీయ పండుగలు
deep,లోతైన
diwali holidays,దీపావళి సెలవులు
diwala,diwala
diwali celebration,దీపావళి వేడుక
moods,మనోభావాలు
singlehood,singlehood
old days,పాత రోజులు
childhood days,చిన్ననాటి రోజులు
80s,80
ha ha,హ హ
against,వ్యతిరేకంగా
thrill,థ్రిల్
thrilling,థ్రిల్లింగ్
saviour,రక్షకుని
stan lee,స్టాన్ లీ
Raju Rai,రాజు రాయ్
supervillains,సూపర్
battles,యుద్ధాలు
Toonami,Toonami
adventurous,సాహసోపేత
venture,వెంచర్
start up idea,ఆలోచనను ప్రారంభించండి
jitu,సరైన చెప్పడం
investers,పెట్టుబడిదారులు
investment,పెట్టుబడి
funds,నిధులు
jitender maheshwari,జితేందర్ మహేశ్వరి
Jitendra maheshwari,జితేంద్ర మహేశ్వరి
tech support,టెక్ మద్దతు
marketing research,మార్కెటింగ్ పరిశోధన
graphs,గ్రాఫ్లు
