ribbions,റാബിയോൺസ്
khub kha liya,ഒരുപാട് കഴിച്ചു
bhut khaya aaj,ഇന്ന് ധാരാളം കഴിച്ചു
pet ful gaya,ഫ്ലാറ്റ് .ട്ട്
bhut mota ho gaya hu,പ്രേതങ്ങൾ വലുതാണ്
is baar toh khoob padhai karungi,ഞാൻ ഇത്തവണ ഒരുപാട് പഠിക്കും
bhut saari books,പ്രേതങ്ങൾ നല്ല പുസ്തകങ്ങൾ
lot of books,ധാരാളം പുസ്തകങ്ങൾ
purani kitabe,പഴയ പുസ്തകങ്ങൾ
nayi kitabe,പുതിയ പുസ്തകങ്ങൾ
khub padhai karna hai,ധാരാളം പഠിക്കണം
apna passion follow karungi,എന്റെ അഭിനിവേശം പിന്തുടരും
learning guitar,ഗിത്താർ പഠിക്കുന്നു
in guitar class,ഗിത്താർ ക്ലാസിൽ
its my style,അതിന്റെ ശൈലി
apna passion follow karunga,എന്റെ അഭിനിവേശം പിന്തുടരുക
going ladakh,ലഡാക്ക് പോകുന്നു
ladakh tour karke rahunga,ലഡാക്ക് ടൂർ
on the bike,ബൈക്കിൽ
aaj se beer band,ഇന്ന് ബിയർ ഓഫ് ചെയ്യുക
beer piyega,ബിയർ കുടിക്കും
gym zaroor jaungi,ഞാൻ തീർച്ചയായും പോകും
I am in gym,ഞാൻ ജിമ്മിലാണ്
doing gym,ജിം ചെയ്യുന്നു
ab toh gf bana le,ഇപ്പോൾ ഒരു ഗിഗ് ഉണ്ടാക്കുക
proposing a girl,ഒരു പെൺകുട്ടിയെ നിർദ്ദേശിക്കുന്നു
flower bucket,പുഷ്പ ബക്കറ്റ്
is saal shaadi,ഈ വർഷം വിവാഹിതരായി
he proposed me,അദ്ദേഹം എന്നെ നിർദ്ദേശിച്ചു
love you bol diya,ലവ് യു ബോൾ ദിയ
start up,സ്റ്റാർട്ടപ്പ്
chal start up karte hai,നമുക്ക് ആരംഭിക്കാം
le beer p le,ബിയർ പി ലെ
khus ho ja bhai,സന്തുഷ്ട സഹോദരൻ
is saal travel blog shuru,യാത്രാ ബ്ലോഗ് ഈ വർഷം ആരംഭിച്ചു
travel blog,യാത്രാ ബ്ലോഗ്
bag pack kar liya,ബാഗ് പാക്ക് ചെയ്തു
bag packed,ബാഗ് പാക്ക് ചെയ്തു
bag is packed,ബാഗ് നിറഞ്ഞു
going out of station,സ്റ്റേഷനിൽ നിന്ന് പുറത്തേക്ക് പോകുന്നു
leaving home,വീട്ടിൽ നിന്ന് പുറപ്പെടുന്നു
ab toh shaadi karle,ഇപ്പോൾ നിങ്ങൾ വിവാഹം കഴിക്കുന്നു
nice saari,നല്ല ദ്വീപ്
aisi saari dila do,അത്തരമൊരു സാരി നേടുക
shopping kara do,ഷോപ്പിംഗ് കാരാ ഡോ
buying saari,സാരി വാങ്ങുന്നു
guru gobind,ഗോബിന്ദ് ടീച്ചർ
sava lakh se,ഒന്നര ദശലക്ഷം മുതൽ
ek ladau,ek ladau
chiriyan te main,പക്ഷികൾ എന്നെ പഠിപ്പിക്കുന്നു
baaz turau,baaz turau
tabe gobing singh naam kahau,തൗബ് ഗോബിംഗ് സിംഗ് നാം കഹ ou
lohri pe mungfali,ലോഹ്രി പീനട്ട്സ്
mungfali khaunga,നിലക്കടല കഴിക്കും
gazzak,gazzak
dancing near fire,തീയുടെ സമീപം നൃത്തം ചെയ്യുന്നു
dancing on fire,തീയിൽ നൃത്തം ചെയ്യുന്നു
patang udaye,ഫ്ലൈറ്റ് കൈറ്റ്സ്
patang udane chale,നമുക്ക് കൈറ്റ്സ് പറക്കാം
patang uda lu yaar,ആരാണ് പതാങ് സ്റ്റൈൽ ലു
patang udana hai,കൈറ്റ് ഫ്ലൈയിംഗ്
patang uda rahe hai,പറക്കുന്ന കൈറ്റ്സ്
patang uda lu,നിങ്ങൾക്ക് എങ്ങനെ?
happy makarsankranti,ഹാപ്പി കാപ്രിക്കോൺ
chat pe patang uda raha hu,മേൽക്കൂരയിൽ പറക്കുന്ന കൈറ്റ്സ്
flying kite,പറക്കുന്ന കൈറ്റ്
karenge border ki suraksha,അതിർത്തി സംരക്ഷിക്കും
suraksha,സുരക്ഷ
haapy republic day,റിപ്പബ്ലിക് ദിനാശംസകൾ
hum badlenge desh,ഞങ്ങൾ രാജ്യം മാറ്റും
hara bhara,പച്ച
neta ji subhas chandra bose,നെറ്റ് ജി സുഭാഷ് ചന്ദ്രബോസ്
chandrasekhar aajaad,ചന്ദ്രശേഖർ ആസാദ്
amar rahe,എന്റെ വഴിയിൽ
subhas chandra bose,സുഭാസ് ചന്ദ്രബോസ്
raj guru,രാജ് ഗുരു
chandrasekhar ajaad,ചന്ദ്രശേഖർ അജാദ്
desh ke rakshakon ko salaam,രാജ്യത്തിന്റെ പ്രതിരോധക്കാർക്ക് സല്യൂട്ട്
salaam india,സലാം ഇന്ത്യ
26th jauarry,26 ജനുവരി
karenge nari ka samman,സ്ത്രീയെ ബഹുമാനിക്കും
respect women,സ്ത്രീകളെ ബഹുമാനിക്കുക
swachh bharat,സ്വച്ഛ് ഭാരത്
badenge unchaiyon ki or,ഉയരങ്ങളിലേക്ക് ഉയരും
unchaiyaaan,ഉന്ചൈയന
selfie at india gate,ഇന്ത്യ ഗേറ്റിൽ സെൽഫി
india gate night,ഇന്ത്യ ഗേറ്റ് രാത്രി
india gate wali selfie,ഇന്ത്യ ഗേറ്റ് വാലി സെൽഫി
happy vasant panchami,ഹാപ്പി സ്പ്രിംഗ് പഞ്ചമി
Jhanda uncha rahe hamara,ഞങ്ങളുടെ പതാക ഉയർന്നതാണ്
india gate ki or,ഇന്ത്യ ഗേറ്റ് കി അല്ലെങ്കിൽ
I am padman,ഞാൻ പാഡ്മാൻ ആണ്
happy valentines day,ഹാപ്പി വാലന്റൈൻസ് ഡേ
bouquet for you,നിങ്ങൾക്ക് പൂച്ചെണ്ട്
baloon for you,നിങ്ങൾക്കായി ബലൂൺ
chocolate for my sweetie,എന്റെ സ്വീറ്റിക്ക് ചോക്ലേറ്റ്
dil mera diwana,എന്റെ ഹൃദയം ഭ്രാന്താണ്
will you be my valentine,നീ എന്റെ വാലന്റൈൻ ആകുമോ?
I will make you happy,ഞാൻ താങ്കളെ സന്തോഷവാനാക്കും
this is for you,ഇത് നിനക്ക് വേണ്ടിയാണ്
heart for you,നിങ്ങൾക്ക് ഹൃദയം
my heart for you,എന്റെ ഹൃദയം നിങ്ങൾക്ക്
happy promise day,സന്തോഷകരമായ വാഗ്ദാന ദിനം
Rose for you,നിങ്ങൾക്കായി റോസ്
Om namah shivay,ഓം നമ ശിവായ
happy sivratri,സന്തോഷകരമായ ശിവരാത്രി
Get well soon,വേഗം സുഖം ആകട്ടെ
Happy Anniversary,വാർഷിക ആശംസകൾ
Uchee hai building,ഉച്ചിഹ ഹായ് കെട്ടിടം
mehbooba,മെഹ്ബൂബ
devsena,ദേവ്സേന
aarambh hoga andha yudh,ഇരുണ്ട യുദ്ധം ആരംഭിക്കും
padmaavat,പദ്മാവത്
I will always love you,ഞാൻ എപ്പോഴും നിന്നെ സ്നേഹിക്കും
Hopeless romantic,ആശയറ്റ അനുരാഗം
Love you foreever,നിന്നെ എന്നും സ്നേഹിക്കുന്നു
holi dance,ഹോളി ഡാൻസ്
celebrating holi,ഹോളി ആഘോഷിക്കുന്നു
lets play holi,ഹോളി കളിക്കാൻ അനുവദിക്കുന്നു
holi ka gana bajao,ഹോളി ഗാനം പ്ലേ ചെയ്യുക
holi ke gane pe dance,ഹോളി ഗാനങ്ങളിൽ നൃത്തം ചെയ്യുക
dancing on holi song,ഹോളി ഗാനത്തിൽ നൃത്തം ചെയ്യുന്നു
celebrating holi song,ഹോളി ഗാനം ആഘോഷിക്കുന്നു
bhaang aur gujia,കഞ്ചാവും ഗുജിയയും
bhaang khaoge,തകർക്കും
gujia khaoge,ഗുജിയ കഴിക്കും
colorfull holi,വർണ്ണാഭമായ ഹോളി
holi mubarak,ഹവല്ലി മുബാറക്
dancing in holi,ഹോളിയിൽ നൃത്തം ചെയ്യുന്നു
music in holi,ഹോളിയിലെ സംഗീതം
gujiya khaoge,നിങ്ങൾ ഗുജിയ കഴിക്കും
lets celebrate holi,ഹോളി ആഘോഷിക്കാൻ അനുവദിക്കുന്നു
Happy Womens day,വനിതാ ദിനാശംസകൾ
womens day,വനിതാദിനം
nari divas,സ്ത്രീദിനം
nari diwas,നാരി ദിവാസ്
we can do it,ഞങ്ങൾക്ക് അത് ചെയ്യാൻ കഴിയും
Nav Varsh Ki subhkamna,പുതുവത്സരാശംസകൾ
Nav Varsha,നവവർഷ
Nav Varsha ki subhkamna,പുതുവത്സരാശംസകൾ
Shervani,ഷെർവാനി
Shervani done,ഷെർവാനി ചെയ്തു
kaisi hai ye shervani,എങ്ങനെയുണ്ട് ഈ ഷെർവാനി
lehenga done,ലെഹെങ്ക ചെയ്തു
got engaged,വിവാഹം നിശ്ചയിച്ചു
ghodi,മെയർ
baraat,ബരാത്ത്
baraati,ഘോഷയാത്ര
dulhaniya le jaenge,മണവാട്ടിയെ എടുക്കും
mere yaar ki shaadi,എന്റെ സുഹൃത്തിന്റെ കല്യാണം
jai mata d,ജയ് മാതാ
subh vivah,സന്തോഷകരമായ ദാമ്പത്യം
mehandi,മെഹന്തി
mehandi ceremony,മെഹന്ദി ചടങ്ങ്
photoshoot,ഫോട്ടോ ഷൂട്ട്
poses,പോസ് ചെയ്യുന്നു
enagement,ഇടപഴകൽ
tattooed,പച്ചകുത്തി
mahavir jayanti,മഹാവീർ ജയന്തി
paytm,paotm
good friday,ദുഃഖവെള്ളി
goodfriday,ദുഃഖവെള്ളി
Dhoni Helicopter shot,ധോണി ഹെലികോപ്റ്റർ ഷോട്ട്
gauti,നേടാൻ
gautam gambhir,ഗ ut തം ഗംഭീർ
nice shot,മനോഹരമായ ചിത്രം
williamson,വില്യംസൺ
sunrises hyderabad,ഹൈദരാബാദ്
dinesh,ദിനേശ്
kartik,കാർത്തിക്
super shot,സൂപ്പർ ഷോട്ട്
Jinxed,ജിൻ‌സെഡ്
whats the score,സ്കോർ എത്രയായി
match was fixed,പൊരുത്തം പരിഹരിച്ചു
got the tickets,ടിക്കറ്റുകൾ ലഭിച്ചു
team will wins,ടീം വിജയിക്കും
trophy is ours,ട്രോഫി നമ്മുടേതാണ്
best match ever,എക്കാലത്തെയും മികച്ച മത്സരം
all set for the match,എല്ലാം മത്സരത്തിനായി സജ്ജമാക്കി
well played boys,നന്നായി കളിച്ച ആൺകുട്ടികൾ
fingers crossed,വിരലുകൾ മറികടന്നു
jabardast batting,അതിശയകരമായ ബാറ്റിംഗ്
vaisakhi,വൈശാഖി
happy vaisakhi,സന്തോഷകരമായ വൈശാഖി
celebrating vaisakhi,വൈശാഖി ആഘോഷിക്കുന്നു
bacardi,ബക്കാർഡി
sir dard,സർ ഡാർഡ്
ramadan mubarak,റമദാൻ മുബാറക്
I am Dhoni,ഞാൻ ധോണിയാണ്
talk to my hand,എന്റെ കരത്തോട് സംസാരിക്കുക
tu toh gaya,ടു തോ ഗയ
pyar kiya to darna kya,ഞാൻ സ്നേഹിക്കുന്നുവെങ്കിൽ എന്ത് ഭയപ്പെടണം
tere baap ne jail bhej diya,നിങ്ങളുടെ പിതാവ് നിങ്ങളെ ജയിലിലേക്ക് അയച്ചു
mithun da style,മിഥുൻ ഡാ സ്റ്റൈൽ
disco dance,ഡിസ്കോ ഡാൻസ്
mere haath bandhe hue hai,എന്റെ കൈകൾ കെട്ടിയിരിക്കുന്നു
hold my hand,എന്റെ കൈ പിടിക്കുക
mere babu ke liye,എന്റെ ബാബുവിന്
ek padegi,വീഴും
kyu peeche pada hai,Q പാഡിന് പിന്നിലുണ്ട്
JNMD,ജെഎൻഎംഡി
jindagi na milegi dubara,ജീവിതം വീണ്ടും ലഭിക്കില്ല
hum dil de chuke sanam,ഹം ദിൽ ഡി ചുക്ക് സനം
selfie bhejo,സെൽഫി അയയ്ക്കുക
chennai super king,ചെന്നൈ സൂപ്പർ കിംഗ്
Tumhare dil me hu,നിങ്ങളുടെ ഹൃദയത്തിൽ
very funny,വളരെ തമാശയുള്ള
loughing,ചിരിക്കുന്നു
Tumhare Dil me Hu!,നിങ്ങളുടെ ഹൃദയത്തിൽ!
Dil Diwana,ദിൽ ഭ്രാന്തൻ
sad emoji,ഇപ്പോൾ ഇമോജി
happy environment day,സന്തോഷകരമായ പരിസ്ഥിതി ദിനം
yoga day,യോഗ ദിവസം
roj yoga karo,ദിവസവും യോഗ ചെയ്യുക
fit raho,ആരോഗ്യത്തോടെയിരിക്കുക
yoga karne ja raha hu,യോഗ ചെയ്യാൻ പോകുന്നു
so raha hu,ഞാൻ ഉറങ്ങുകയാണ്
nind aa rahi hai,ഉറക്കം തോന്നുന്നു
sone de please,സോൺ ഡി പ്ലീസ്
ho gaya,ചെയ്‌തു
heart love,ഹൃദയസ്നേഹം
love ho gaya,പ്രണയത്തിലായി
Ulti,അൾട്ടി
vomit,ഛർദ്ദി
tare,ഹാർഡ്
eid kab hai,ഈദ് കാബ് ആണ്
fifa world cup,ഫിഫ ലോകകപ്പ്
iternational yoga day,അന്താരാഷ്ട്ര യോഗ ദിനം
fifa worldcup,ഫിഫ വേൾഡ് കപ്പ്
neymar,നെയ്മർ
go neymar,നെയ്മർ പോകുക
pogba,പോബ്ഗ'യെയാണ്
football player,കാൽ പന്ത് കളിക്കാരാൻ
cofee piyega,കോഫി കുടിക്കും
lets have a cofee,നമുക്ക് ഒരു കോഫി കഴിക്കാം
lets have a coffee,ഒരു കോഫി കഴിക്കാം
chay pi lo,പി ലോ ആഗ്രഹിക്കുന്നു
hello friends,ഹലോ സുഹൃത്തുക്കളെ
Chai P lo,ചായ് പി ലോ
chai pi lo,ചായ് പൈ ലോ
have a great day,ശുഭദിനാശംസകൾ
jai bhole,ജയ് ഭോലെ
har ha mahadev,ഹരാ മഹാദേവ്
jai shivshankar,ജയ് ശിവശങ്കർ
bhola baba ki jai,ഭോള ഡാഡി പോകൂ
aaj somvar hai,ഇന്ന് തിങ്കളാഴ്ചയാണ്
loed shiva,ലോയ്ഡ് ശിവ
shivshankar,ശിവശങ്കർ
har har mahadev,ഹാർ ഹാർ മഹാദേവ്
lord shiva,പ്രഭു ശിവ
maaf kar do,ക്ഷമിക്കണം
baitha hu,ഞാൻ ഇരിക്കുന്നു
yahi hu,അത്രമാത്രം
subh ratri,ഗുഡ് നൈറ്റ്
kismat badhiya rahe,ഗുഡ് ലക്ക്
maaf karda,ക്ഷമിക്കണം കാർഡ്
phir milenge,യാ കാണുക
or sunaba,അല്ലെങ്കിൽ സുനബ
sunaba,സാൻ‌ഡ്‌ബോക്സ്
kaa haal ba,നിങ്ങളെ മിസ് ചെയ്യുന്നു
chay pilao,ചായ കുടിക്കുക
hare krishna,മുയൽ കൃഷ്ണ
subhprabhat,സുപ്രഭാതം
Subh Raathri,ഗുഡ് നൈറ്റ്
Anandi Rahaa,ആനന്ദി റാഹ
jai ganesha,ഗണേഷ് എന്തായാലും
Aur Suna,കേട്ടു
Chal Chay Pila,ചായ ഉണ്ടാക്കിയ ചായ
kaha ho bhai,നീ എവിടെയാണ് സഹോദരാ
aa raha hu,ഇത് ഞാനാണ്
its raining,ഇപ്പോൾ മഴയാണ്
baris,വരി
fixing bug,ബഗ് പരിഹരിക്കുന്നു
creating app,അപ്ലിക്കേഷൻ സൃഷ്‌ടിക്കുന്നു
shadi kab hogi,എപ്പോഴാണ് നിങ്ങൾ വിവാഹം കഴിക്കുക?
salary aa gayi,ശമ്പളം എത്തി
shoping,ഷോപ്പിംഗ്
at mall,മാളിൽ
shardi,അവസ്ഥ
skipping,ഒഴിവാക്കുന്നു
don't care,കാര്യമാക്കേണ്ടതില്ല
stand,നിൽക്കുക
shaan,ഷാൻ
off-beat,ഓഫ്-ബീറ്റ്
unconventional,പാരമ്പര്യേതര
rigorous,കർശനമായ
dola,ഡോളർ
stereotypes,സ്റ്റീരിയോടൈപ്പുകൾ
farak,ഫറാക്
utho,എഴുന്നേൽക്കുക
girl boss,പെൺകുട്ടി ബോസ്
activity,പ്രവർത്തനം
core,കോർ
activewear,സജീവ വസ്ത്രങ്ങൾ
get going,മുന്നോട്ടുപോകുന്നു
crossfit,ക്രോസ് ഫിറ്റ്
strech,വലിച്ചുനീട്ടുക
warmup,ചൂടാക്കുക
monkey bar,മങ്കി ബാർ
rugged,പരുക്കൻ
girls who lift,ഉയർത്തുന്ന പെൺകുട്ടികൾ
shatter,തകർക്കുക
gains,നേട്ടങ്ങൾ
fitlife,ഫിറ്റ് ലൈഫ്
climb,കയറുക
welness,സ്വാഗതം
beachbody,ബീച്ച് ബോഡി
ripped,പിളർന്നു
uddo,വുഡ്
get strong,ശക്തരാകുക
flex,ഫ്ലെക്സ്
hell yeah,നരകം അതെ
speak up,സംസാരിക്കു
trainer,പരിശീലകൻ
trainhard,നന്നായി പരിശീലനം ചെയ്യൂ
fitness goals,ഫിറ്റ്നസ് ലക്ഷ്യങ്ങൾ
knockout,നോക്ക് ഔട്ട്
wellness,ക്ഷേമം
chin up,താടി മുകളിലേക്ക്
mma,എന്ത്
Proud To be an indian,ഒരു ഇന്ത്യക്കാരനായി അഭിമാനിക്കുന്നു
indipendence day,സ്വാതന്ത്യദിനം
walk with flag,പതാകയുമായി നടക്കുക
ja raha hu,ഒപ്പം പണവും
clean india,ക്ലീൻ ഇന്ത്യ
green india,പച്ച ഇന്ത്യ
selfie at lal killa,ലാൽ കില്ലയിൽ സെൽഫി
red fort,ചുവന്ന കോട്ട
selfie at red fort,ചുവന്ന കോട്ടയിൽ സെൽഫി
Desh Ke rakshakon ko salam,രാജ്യത്തിന്റെ പ്രതിരോധക്കാർക്ക് സല്യൂട്ട്
Jai hind ki sena,ജയ് ഹിന്ദിന്റെ സൈന്യം
my style,എന്റെ ശൈലി
lets have a coffe,നമുക്ക് ഒരു കോഫി കഴിക്കാം
super mario,സൂപ്പർ മരിയോ
I love my india,ഞാൻ എന്റെ ഇന്ത്യയെ സ്നേഹിക്കുന്നു
era bharat mahan,യുഗ ഭാരത് മഹാൻ
aazadi ka din mubarak ho,സ്വാതന്ത്ര്യദിനാശംസകൾ
swatantrata divas ki subhkamnaye,സ്വാതന്ത്ര്യദിനാശംസകൾ
lal killa,ലാൽ കില്ല
jhanda lehra,പതാക ഉയർത്തുക
mario bros,മരിയോ ബ്രോസ്
coin with flag,പതാകയുള്ള നാണയം
jhanda fahra raha hu,പതാക പറക്കുന്നു
jumping for flag,പതാകയ്‌ക്കായി ചാടുന്നു
15th august,ഓഗസ്റ്റ് 15
mera bharat mahan,എന്റെ ഇന്ത്യ മികച്ചതാണ്
tiranga saaree,ത്രിവർണ്ണ നല്ലത്
ladies saaree,ലേഡീസ് സാരി
charkha,ചർക്ക
inkilab zindabad,ഇൻക്വിലാബ് സിന്ദാബാദ്
udd jao,പറന്നുപോകുക
aazaadi ka din mubarak ho,സ്വാതന്ത്ര്യദിനാശംസകൾ
soldeir,സൈനികൻ
sena,ഒരു വർഷം
rifal,പ്രതിഫലം
baharat,പരുവപ്പെടുത്തല്
flower rain,പുഷ്പ മഴ
mcd,mcd
jhanda fahra diya,പതാക ഉയർത്തി
jhanda fahrana,പതാക ഉയർത്തുക
yo man,യോമാൻ
Jai javan,ജയ് ജവാൻ
atal vihari bajpeyi,അടൽ ബിഹാരി ബാജ്‌പായ്
atal ji,അടൽ ജി
RIP atal,RIP atal
atal bihari,എ.ബി.
bajpeyi,ബാജ്‌പായ്
RIP atal ji,റെപ്പ് അടൽ
Mere Pyare Bhaiya,എന്റെ പ്രിയ സഹോദരൻ
happy raksha bandhan,സന്തോഷകരമായ സംരക്ഷണ അടിമത്തം
happy rakshabandhan,സന്തോഷകരമായ സംരക്ഷണം
mere bhaiya,എന്റെ സഹോദരൻ
kat gaya mera,എന്റെ മുറിക്കുക
chocolate for my little brother,എന്റെ ചെറിയ സഹോദരന് ചോക്ലേറ്റ്
rakhi ka tyohar,രാഖി ഉത്സവം
its holiday,അതിന്റെ അവധിക്കാലം
rakhshabandhan,രക്ഷബന്ധൻ
happy rakhi,സന്തോഷകരമായ രാഖി
rakhi special,രാഖി സ്പെഷ്യൽ
mutton,മട്ടൺ
happy janmashtami,സന്തോഷകരമായ ജൻമാഷ്ടമി
jai shree krishna,ജയ് ശ്രീ കൃഷ്ണ
happy teachers day,സന്തുഷ്ടമായ അദ്ധ്യാപക ദിനം
super teacher,സൂപ്പർ ടീച്ചർ
i love my teacher,ഞാൻ എന്റെ ടീച്ചറെ സ്നേഹിക്കുന്നു
my loving teacher,എന്റെ സ്നേഹനിധിയായ അധ്യാപകൻ
teacher day,അധ്യാപക ദിനം
cadbury,കാഡ്‌ബറി
dairymilk,ഡയറി മിൽക്ക്
ganpati bappa morya,കടലിന്റെ ഗണപതി ബാപ്പ
morya re,സമുദ്രങ്ങൾ വീണ്ടും
shree ganesh,ശ്രീ ഗണേഷ്
happy ganesh chaturthi,ഹാപ്പി ഗണേഷ് ചതുർത്ഥി
modi ji ka birth day,മോദി ജിയുടെ ജന്മദിനം
feeling loved,സ്നേഹിക്കപെടുന്നതായി അനുഭവപെടുന്നു
i am in love,ഞാന് പ്രണയത്തില് ആണ്
its yours,ഇത് നിങ്ങളുടേതാണെന്ന്
u are my love,നീ എന്റെ സ്നേഹമാണ്
love of my life,ജീവിതത്തോടുള്ള സ്നേഹം
i love him,ഞാൻ അവനെ സ്നേഹിക്കുന്നു
love you all,നിങ്ങളെ എല്ലാവരെയും സ്നേഹിക്കുന്നു
twerk it,അതിനെ വളച്ചൊടിക്കുക
i love twerk,എനിക്ക് ട്വർക്ക് ഇഷ്ടമാണ്
love yeah,അതെ സ്നേഹിക്കുന്നു
progress through congress,കോൺഗ്രസിലൂടെ പുരോഗതി
i am with congress,ഞാൻ കോൺഗ്രസിനൊപ്പമാണ്
congress ka hath sabke sath,കോൺഗ്രസിന്റെ കൈ എല്ലാവരുടെയും പക്കലുണ്ട്
vote for congress,കോൺഗ്രസിന് വോട്ടുചെയ്യുക
har har modi,മോഡുകൾ ഉണ്ട്
vote for modi,മോഡിക്ക് വോട്ട് ചെയ്യുക
BJP 2019,ബിജെപി 2019
BJP India,ബിജെപി ഇന്ത്യ
love is coming,സ്നേഹം വരുന്നു
watch me,എന്നെ നോക്കൂ
happy birthday lal bahadur shastri ji,ജന്മദിനാശംസകൾ ലാൽ ബഹാദൂർ ശാസ്ത്രി
lal bahadur shastri jayanti,ലാൽ ബഹാദൂർ ശാസ്ത്രി ജയന്തി
second prime minister of india,രണ്ടാമത്തെ പ്രധാനമന്ത്രി
Lal bahadur shastri birthday,ലാൽ ബഹാദൂർ ശാസ്ത്രി ജന്മദിനം
LBSM,ലാബ്സം
happy birthday shastri ji,ജന്മദിനാശംസകൾ ശാസ്ത്രി ജി
happy gandhi jayanti,ഹാപ്പി ഗാന്ധി ജയന്തി
happy birthday gandhi ji,ജന്മദിനാശംസകൾ ഗാന്ധി ജി
gandhi jayanti 2018,ഗാന്ധി ജയന്തി 2018
gandhi jayanti,ഗാന്ധി ജയന്തി
jai maa durga,ജയ് മാ ദുർഗ
jai durga ma,അവളുടെ ദുർഗ മാ
happy navratre,നവരാത്രി ആശംസകൾ
mata rani,എപ്പോഴാണ് അദ്ദേഹം എന്നെ കണ്ടത്?
durga maa,ദുർഗ മാ
happy dussehra,സന്തോഷകരമായ ദസറ
jai shree raam,ജയ് ശ്രീ റാം
dussehra 2018,ദസറ 2018
flowers for you,നിങ്ങൾക്കായി പൂക്കൾ
lovely flowers,മനോഹരമായ പൂക്കൾ
foodiae,ഫുഡീസ്
samosa lover,സമോസ കാമുകൻ
happy karwa chauth,ഹാപ്പി കാർവ ചൗത്ത്
i love my husband,ഞാൻ എൻെറ ഭർത്താവിനെ സ്നേഹികുന്നു
chand aagya,ചന്ദ്രന്റെ കമാൻഡ്
karwa chauth 2018,കാർവ ചൗത്ത് 2018
halloween 2018,ഹാലോവീൻ 2018
halloween party,ഹാലോവീൻ പാർട്ടി
dont burst patakha,പടക്കം പൊട്ടിക്കരുത്
diwali 2018,ദീപാവലി 2018
diwali fun,ദീപാവലി തമാശ
diwali  2018,ദീപാവലി 2018
dhanteras 2018,ധന്തേരസ് 2018
happy bhai dooj,ഹായ് ഭായ് ഡൂജ്
bhai dooj 2018,ഭായ് ഡൂജ് 2018
happy bhaidooj,ഹാപ്പി ഭൈദൂജ്
diwali sweats,ദീപാവലി മധുരപലഹാരങ്ങൾ
happy chatt puja,സന്തോഷകരമായ ചാറ്റ് പൂജ
chatt puja 2018,ചാറ്റ് പൂജ 2018
chatt puja,ചാറ്റ് പൂജ
chhat puja 2018,ചട്ട് പൂജ 2018
selfie do,സെൽഫി ചെയ്യുക
maine selfie leli,മെയിൻ സെൽഫി ലെലി
apni selfie bhej,നിങ്ങളുടെ സെൽഫി അയയ്ക്കുക
sweet dream,മധുരസ്വപ്നം
ladakh trip,ലഡാക്ക് ട്രിപ്പ്
trip to ladakh,ലഡാക്കിലേക്കുള്ള യാത്ര
ladakh jaunga,ലഡാക്കിലേക്ക് പോകും
mast hai,രസകരമാണ്
acha hai,നല്ലതാണ്
bhut bhadia,സ്പൂക്കി ചാരന്മാർ
aucccchhh,ബൈക്ക്
cold hai,തണുപ്പാണ്
my perfect pose,എന്റെ തികഞ്ഞ പോസ്
my pose,എന്റെ പോസ്
happy childrens day,സന്തോഷകരമായ ശിശുദിനം
childrens day 2018,കുട്ടികളുടെ ദിവസം 2018
childrens,കുട്ടികൾ
haapy childrens day,സന്തോഷകരമായ ശിശുദിനം
childrens day,ശിശുദിനം
happy guru purab,സന്തോഷകരമായ ടീച്ചർ പുരബ്
guru purab 2018,ഗുരു കിഴക്ക് 2018
guru nanak ji,ടീച്ചർ നാനക് ജി
happy guru nanak jayanti,സന്തോഷമുള്ള അധ്യാപകൻ
guru nanak jayanti,ഗുരു നാനക് ജയന്തി
guru nanak jayanti 2018,ഗുരു നാനക് ജയന്തി 2018
my friend,എന്റെ സുഹൃത്ത്
chuddi buddy,ഒരു മുകുളം മറയ്ക്കുക
aao kabhi haveli pe,മാൻഷനിലേക്ക് വരൂ
hmari haveli,ഹമാരി ഹവേലി
have a nice day,ഒരു നല്ല ദിനം ആശംസിക്കുന്നു
sweat dreams,മധുരസ്വപ്നങ്ങൾ
i am your teddy,ഞാൻ നിങ്ങളുടെ ടെഡി ആണ്
ghoom ghoom,തിരിയുക
noto ki mala,കുറിപ്പ് ചെറുതാണ്
malamal,ലഗേജ്
nye bash 2019,ഒരു ബാഷ് 2019
new year bash,ന്യൂ ഇയർ ബാഷ്
bye bye 2018,ബൈ ബൈ 2018
christmas 2018,ക്രിസ്മസ് 2018
happy holidays,സന്തോഷകരമായ അവധിദിനങ്ങൾ
new year 2109,പുതുവർഷം 2109
education is important,വിദ്യാഭ്യാസം പ്രധാനമാണ്
happy new year baby,പുതുവത്സരാശംസകൾ
happy new year 2019,പുതുവത്സരാശംസകൾ 2019
let me sing for you,ഞാൻ നിങ്ങൾക്കായി പാടട്ടെ
new year gift,പുതുവർഷ സമ്മാനം
LGBT,LGBT
love is not taboo,സ്നേഹം വിലക്കില്ല
traffic rules,ട്രാഫിക് നിയമങ്ങൾ
follow traffic rules,ട്രാഫിക് നിയമങ്ങൾ പാലിക്കുക
you are beautiful,നിങ്ങൾ സുന്ദരിയാണ്
soch badal daal,നിങ്ങളുടെ മനസ്സ് മാറ്റുക
coffee date,കോഫി തീയതി
lets go for movie,സിനിമയ്‌ക്കായി പോകാം
new year selfie,പുതുവർഷ സെൽഫി
apni selfie de,നിങ്ങൾ സ്വയം നൽകുക
lohri 2019,ലോഹ്രി 2019
