bobble,ବବଲ୍ |
pakodi,ପାକୋରି |
talla,ଆକାର
gochi,ଗୋଚି
Mussadi Lal,ମୁସାଡି ଲାଲ |
pankaj kapoor,ପଙ୍କଜ କପୁର |
Ushaji,ଚାର୍ଜ
Pandeyji,ପାଣ୍ଡେଜି
bhatia,ଭାଟିଆ
tina,ଟିନା
taunts,ଅପମାନ
provoke,ଉତ୍ତେଜିତ କର |
sacastic,ବ୍ୟଙ୍ଗାତ୍ମକ
blackmailing,ବ୍ଲାକମେଲିଂ
idiocy,ମୂର୍ଖତା
muhavre,Idioms
idioms,ମୂର୍ଖତା |
phrases,ବାକ୍ୟାଂଶଗୁଡିକ
popular idioms,ଲୋକପ୍ରିୟ ମୂର୍ଖତା |
fm,fm
reliance,ନିର୍ଭରଶୀଳତା |
lois lane,ଲୋଇସ୍ ଲେନ୍
Heroes of Marvel,ମାର୍ଭେଲର ହିରୋ |
marvel hero,ଆଶ୍ଚର୍ଯ୍ୟଜନକ ହିରୋ |
swaggers,ସ୍ ag ାଗର୍ସ
swaggerboy,swaggerboy
honeysingh,ହନିସିଂହ
desiswag,desiswag
yoyohoneysingh,yoyohoneysingh
sumanachakravarti,ସୁମନଚକ୍ରଭର୍ତ୍ତୀ |
thekapilsharmashow,thekapilsharmashow
womenempowerment,ମହିଳା ସଶକ୍ତିକରଣ |
empowerment,ସଶକ୍ତିକରଣ
sisterhood,ଭଉଣୀତା
indigenous,ଆଦିବାସୀ
bombaytalkies,bombaytalkies
hindimovies,ହିନ୍ଦୀମୋଭସ୍ |
celluloid,ସେଲୁଲଏଡ୍ |
bhooth,ଭୂତ
ghastly,ଭୟଙ୍କର
johnybravo,johnybravo
machoman,machoman
johnnybravo,johnnybravo
notasbeautifulasyou,notasbeautifulasyou
vanpartible,vanpartible
diljitdosanjh,diljitdosanjh
gabru,ଗାବ୍ରୁ |
pugg,ପଗ୍
puggwala,puggwala
puggwalamunda,puggwalam ବଗିଚା |
terenaam,terenaam
ramgarh,ରାମଗଡ
indianlingo,indianlingo
urbandictionary,urbandictionary
celebs,ସେଲିବ୍ରେସ୍
celeb,ସେଲିବ୍ରେଟ୍ |
bollywoodceleb,bollywoodceleb
desilingo,desilingo
desilanguage,desilanguage
desidialect,desidialect
womenpower,ମହିଳା ଶକ୍ତି
womanpower,ମହିଳା ଶକ୍ତି
yourstory,ତୁମର ଇତିହାସ
secrets,ରହସ୍ୟ
secretssafe,ଗୁପ୍ତଚର
yourchoice,ତୁମ ଇଚ୍ଛା
mychoice,mychoice
greatminds,ମହାନମାଇଣ୍ଡସ୍ |
mystory,ରହସ୍ୟ
imagine,କଳ୍ପନା କର |
bachelorhood,ସ୍ନାତକ
singleton,ସିଙ୍ଗଲେଟନ୍ |
singlelife,ଏକକ ଜୀବନ
holidaying,ଛୁଟିଦିନ
astalavista,astalavista
backpacking,ବ୍ୟାକପ୍ୟାକିଂ
backpacker,ବ୍ୟାକପ୍ୟାକର୍
trotters,ଟ୍ରୋଟର୍ସ
globetrotters,ଗ୍ଲୋବେଟ୍ରୋଟର୍ସ |
nowar,ବର୍ତ୍ତମାନ
bank,ବ୍ୟାଙ୍କ
bankbalance,bankbalance
whatsyourrashi,whatsyourrashi
rashee,ଏହି ରାଶି
astrology,ଜ୍ୟୋତିଷ
sunsign,ସୂର୍ଯ୍ୟକିରଣ
moonsign,ଚନ୍ଦ୍ର
soothsaying,ଜ୍ୟୋତିଷ
summerholidays,ଗ୍ରୀଷ୍ମ ଛୁଟି |
physics,ପଦାର୍ଥ ବିଜ୍ଞାନ
chemistry,ରସାୟନ ବିଜ୍ଞାନ |
supw,supw
economics,ଅର୍ଥନୀତି
dayshift,ଦିନସାରା
summervacation,ଗ୍ରୀଷ୍ମ ଛୁଟି |
classroom,ଶ୍ରେଣୀଗୃହ
write,ଲେଖ
nabaapbadanabhaiya,ନବାପବାଦନଭାୟା |
daulat,ସାର୍ବଭ .ମ
pound,ଛେଚିବା
euro,ୟୁରୋ |
shade,ଛାଇ
gourmet,ଗୁରମିତ |
foodart,foodart
foodartist,foodartist
tastebuds,ସ୍ୱାଦ
palate,ଖଜୁରୀ
possessivegirlfriend,ମାଲିକ
batmatkaro,batmatkaro
bfgf,bfgf
mybae,mybae
mygirl,ମୋ ଝିଅ
attached,ସଂଲଗ୍ନ ହୋଇଛି |
popcolor,ପପ୍ ରଙ୍ଗ |
icon,ଆଇକନ୍
holyshit,Holyshit
buzz,ଗୁଜବ
unsubtle,ଅବିସ୍ମରଣୀୟ |
halmarkian,ହାଲମାର୍କିଆନ୍ |
femme,ମହିଳା
proudtobeawoman,ଗର୍ବୀ
andheri,andheri
versova,versova
Bombaymerijaan,ବମ୍ବେ କମଳା |
kandivali,କାଣ୍ଡିଭାଲୀ |
borivali,ବୋରିଭାଲୀ |
malad,ମାଲାଡ୍ |
colaba,କଷ୍ଟ
cityofdreams,ସହର
maharshtra,ମହାରାଷ୍ଟ୍ର
jaimaharashtra,ଜାମେହ୍ରାଷ୍ଟ୍ରା |
sealink,sealink
Bombai,ମୁମ୍ବାଇ |
worli,ୱର୍ଲି
dadar,ଦାଦର |
celebrity,ସେଲିବ୍ରିଟି
missus,ମିସ୍
dame,ଡେମ୍
damsel,sel ିଅ
maiden,ବାଳିକା
lass,ଲାସ୍
lassie,ଲସି
mademoiselle,ମିସ୍
gal,ଗାଲ୍
girlie,ଗର୍ଲି
missy,ମିସି
intimacy,ନିବିଡ଼ତା
betterhalf,ଉତ୍ତମ
smitten,ପ୍ରହାର
besotted,besotted
chairainpakoras,chairainpakoras |
mush,ନୁହେଁ
mushy,ମୂଷା
Valentineweek,ଭାଲେଣ୍ଟାଇନ୍ ୱିକ୍
continental,ମାଳଦ୍ୱୀପ
chinese,ଚାଇନିଜ୍
cuisine,ରୋଷେଇ ଘର |
thai,ଥାଇ
greek,ଗ୍ରୀକ୍
dinein,ସେଠାରେ
orderin,ଅର୍ଡ଼ିନ
foodapp,ଫୁଡ୍ ଆପ୍ |
swatantradiwas,ସ୍ୱାଧୀନ ଦିନ |
patangbazi,କିଟ୍ ଉଡୁଛି |
pataangbaazi,pataangbaazi
patangbaji,କିଟ୍ ଉଡୁଛି |
flyingkite,ଫ୍ଲାଇଙ୍ଗାଇଟ୍ |
kiteflying,କିଟ୍ ଉଡୁଛି |
merakyukaata,ଖୁସି
woods,ଜଙ୍ଗଲ
ants,ପିମ୍ପୁଡ଼ି
humanimals,ମାନବିକତା |
hybrids,ହାଇବ୍ରିଡ୍ |
hybrid,ହାଇବ୍ରିଡ୍ |
sanjayleelabhansali,ସଞ୍ଜୟଲାଭାନ୍ସାଲୀ |
lectures,ଅଧ୍ୟାପନା
stayactive,ସ୍ଥାୟୀ
stayfit,ଷ୍ଟିଫେନ୍ |
bodypositivity,ବଡିପୋଜିଟିଭିଟି |
fitnessfreaks,ଫିଟନେସ୍ ଫ୍ରିକ୍ସ |
gymanimal,gymanimal
masterni,ଗୁରୁ
taechers,ଶିକ୍ଷକମାନେ |
parentteachermeeting,ପିତାମାତା ଶିକ୍ଷାଦାନ
breaktime,ବିରତି ସମୟ
groupchat,ଗୋଷ୍ଠୀ ଚାଟ୍ |
buddies,ସାଥୀଗଣ
groupplans,ଗ୍ରୁପ୍ଲାନ୍ସ |
groupdiscussion,ଗୋଷ୍ଠୀ ଆଲୋଚନା
timekill,ଟାଇମକିଲ୍ |
whatsappgroup,whatsappgroup
spinster,ସ୍ପିନଷ୍ଟର
unwed,ଅବିବାହିତ
unattached,ସଂଲଗ୍ନ
solitary,ଏକାକୀ
stayhappy,ସ୍ଥାୟୀ
honeybunny,ମଧୁମେହ
3Gbebiji,ଚମତ୍କାର |
changelife,ଚେଞ୍ଜେଲାଇଫ୍ |
datingapp,ଡେଟିଂ ଆପ୍ |
fling,ଉଡିବା |
takeout,ବାହାର କର
datingapocalypse,ଡେଟିଂପୋକାଲାଇପ୍ସ |
tinderking,tinderking
tinderqueen,pinnacles ରାଣୀ
cuffingseason,କଫିଙ୍ଗ୍ ସିଜନ୍ |
tindering,ଟାଇଣ୍ଡରିଂ |
beercan,beercan
beerbottle,ବିୟରବଟଲ୍ |
bottomsup,ତଳମୁଣ୍ଡ
mockfight,ମକ୍ଫାଇଟ୍ |
cubicle,କ୍ୟୁବିକଲ୍ |
scold,ଗାଳି
masays,masays
momsays,ମା ’
andymooney,andymooney
mulan,ମୁଲାନ୍
tiana,tiana
kingdomhearts,ରାଜ୍ୟ
gupshup,ଗୁପ୍ତପପ୍ |
groupconvo,groupconvo
instaclick,instaclick
instaselfie,instaselfie
selfienation,ଆତ୍ମନିର୍ଭରଶୀଳ |
heroineofmylife,ନାୟିକା
bitchface,ବିଚ୍
corporate,କର୍ପୋରେଟ୍
9to5,କାଟ |
baadshahofbollywood,ବାଦଶାହୋଫୋଲିଉଡ୍ |
mohabbatein,ମୋହବାବେଟିନ୍ |
diltopagalhai,ଦିଲୋଟୋପାଗଲ୍ ହେଉଛି |
chennaiexpress,chennaiexpress
dearzindagi,dearzindagi
adament,ଜିଦ୍
blatant,ନିନ୍ଦନୀୟ
karnataka,କର୍ଣ୍ଣାଟକ
madhyapradesh,ମଧ୍ୟପ୍ରଦେଶ
orissa,orissa
arunachal pradesh,ଅରୁଣାଚଳ ପ୍ରଦେଶ
anuragkashyap,ଅନୁରାଗାକାଶ୍ୟାପ |
jharkhand,har ାଡ଼ଖଣ୍ଡ
mohsina,ମୋହସିନା
lipistick,ଲିପଷ୍ଟିକ୍ |
ranadaggubati,ranadaggubati
tamannah,ତମନ୍ନା
avantika,avantika
bijjaladev,ବିଜଜାଲଦେବ
anushkashetty,ଅନୁଷ୍କେଟ୍ଟି |
birdmessengers,ପକ୍ଷୀଗଣ
bagicha,ଉଦ୍ୟାନ
lookathim,lookathim
totallyinlove,ସମ୍ପୁର୍ଣ୍ଣଭାବେ
patanjali,ପତଞ୍ଜଳି
yogaguru,ଯୋଗ ଗୁରୁ
yogi entrepreneur,ଯୋଗୀ ଉଦ୍ୟୋଗୀ |
ayurveda,ଆୟୁର୍ବେଦ
yoga guru,ଯୋଗ
swamiramdev,ସ୍ ami ାମୀ ରାମଦେବ
vedicholisticliving,vedicholisticliving
Bam,ବାମ
BhuvanBam,ଭୁବନବାମ୍ |
Hutiyapa,ଛତିଆପା
HappyNaukar,HappyNaukar
TheChaknaIssue,TheChaknaIssue
TVFBhootiyapa,Twofabhiyapa
TheSalesman,ବିକ୍ରେତା
Banchokabreakup,Banchoka breaku p
MrHola,MrHola
FameerFuddi,FameerFuddi
tacky,ଟ୍ୟାକ୍ସି
CrayonShinChan,CrayonShinChan
weeklymangaaction,ସାପ୍ତାହିକ
YoshitoUsui,ଭଲ ଏବଂ ପତଳା |
nohara,କ୍ଷେତ୍ର
Misae,ଏପରିକି ଦେଖନ୍ତୁ |
FutabaKindergarten,ଫୁଟବା କ୍ଷେତ୍ରରେ, r ହେଉଛି r
Himawari Nohara,ସୂର୍ଯ୍ୟମୁଖୀ |
Mitzi Nohara,ମିତଜୀ ନୋହରା |
Kazama,କାଜାମା |
Hiro Nohara,ହିରୋନୋହରା |
Shinnosuke Nohara,ଶିନୋସୁକେ ନା ହାରା |
Nene Sakurada,ନେନେ ସାକୁରା |
DannyAntonucci,ଡାନି ଆଣ୍ଟୋନୁଚି |
theEds,theEds
Eds,ଏଡସ୍
Jawbreakers,ଜବାବର୍ସ |
MayIhavethisEd,MayIhavethisEd
Vert-Ed-Go,ଭର୍ଟ-ଏଡ୍-ଗୋ |
Rent-A-Ed,ଭଡା-ଏ-ଏଡ୍ |
OnceUponAnEd,ଥରେ ୟୁପୋନ୍ ଏନ୍
ItCameFromOuterEd,ItCameFromOuterEd
DuelingEds,DuelingEds
DawnoftheEds,DawnoftheEds
DimLitEd,DimLitEd
AnEdintheBush,AnEdintheBush
AnEdisBorn,AnEdisBorn
EdEddEddy,EdEddEddy
DoubleD,ଦୁଇଥର
Sarah,ସାରା |
Riolf,ରିଫଲ୍ |
Lee,ଲି
Kankers,କର୍କଟ
SimpsonFamily,ସିମ୍ପସନ୍ ଫ୍ୟାମିଲି |
TheSimpsons,ସିମ୍ପ୍ସନ୍ସ |
Homer,ହୋମର
Marge,ମାର୍ଜ୍
Bart,ବାର୍ଟ |
Lisa,ଲିସା |
Akira,ଅକିରା |
MrBurns,ଶ୍ରୀ ବର୍ନସ୍
bauji,ବାଉଜି
naakkatwayega,Nakkatavayeka
menofstrength,menofstrength
girlswag,ବାଳିକା
monroe,ମୋନେରୋ |
marilyn,ମାରିଲିନ୍
marilynmonroe,marilynmonroe
politicalparty,ରାଜନ political ତିକ ଦଳ
propaganda,ପ୍ରଚାର
amitydays,amitydays
60s,60s
1960s,1960 ଦଶକ
olde worlde,olde worlde
yesteryear,ଗତ ବର୍ଷ
hayday,ଘାସ
fifties,ପଚାଶ ବର୍ଷ
sixties,ଷାଠିଏ
fredricks,ଫ୍ରେଡ୍ରିକ୍ସ |
drtarika,drtarika
equals,ସମାନ |
menandwomen,ଚିହ୍ନ
progress,ପ୍ରଗତି
womensrights,ମହିଳା ଅଧିକାର
mensrights,ମାନସ୍ରାଇଟ୍ସ |
humanity,ମାନବିକତା |
righttolive,righttolive
righttoequality,ସମାନତା ଅଧିକାର |
liberty,ସ୍ୱାଧୀନତା
bigboss,bigboss
bigboss10,bigboss10
bigbrother,ବଡ ଭାଇ
colorschannel,colorchannel
holidayseason,ଛୁଟିଦିନ
sledge,ସ୍ଲେଜ୍
JesusChrist,ଯୀଶୁ ଖ୍ରୀଷ୍ଟ
Christ,ଖ୍ରୀଷ୍ଟ
birthofChrist,ଖ୍ରୀଷ୍ଟଙ୍କ ଜନ୍ମ
bahanebaaz,ଛଳନାକାରୀ |
patanahi,ଗର୍ଭବତୀ ନୁହଁନ୍ତି |
mummynemanakardiya,mummynemanakardiya
ajnahi,ଜଜନା
Bulbapedia,ବୁଲବାପେଡିଆ |
Nintendo,ନିଣ୍ଟେଣ୍ଡୋ |
Ivysaur,Ivysaur
Evee,AV
Sonarlax,Sonarlax
Ditto,ଡିଟ୍ଟୋ |
Dragonite,ଡ୍ରାଗନାଇଟ୍ |
Pichu,ପଛରେ |
Jigglypuff,ଜିଗ୍ଲିଫ୍
Vulpix,ଭଲପିକ୍ସ |
Game Freak,ଗେମ୍ ଫ୍ରିକ୍ |
PokemonGo,PokemonGo
johnybarvo,johnybarvo
ShaggyRogers,ଶାଗି ରୋଜର୍ସ |
FredJones,ଫ୍ରେଡଜୋନ୍ସ |
Daphane,ସମାଧି
Blake,ବ୍ଲେକ୍
DaphaneBlake,Dafnableke
VelmaDinkley,ଭେଲମା ଡିଙ୍କଲି |
ScrappyDoo,ScrappyDoo
Scooby-Doo2,ସ୍କୁବି-ଡୁ 2 |
MonstersUnleashed,ରାକ୍ଷସ ଉନ୍ମୋଚିତ |
ScoobyDoobyDoo,ScoobyDoobyDoo
Scooby Snack,ସ୍କୁବି ସ୍ନାକ୍ |
NInjaTurtles,NInjaTurtles
TeenageNinjaTurtles,କିଶୋର ନିଞ୍ଜା କଇଁଛ |
MutantTurtles,MutantTurtles |
Donatello,ଡୋନାଟେଲୋ |
Michaelangelo,ମାଇଚେଲାଙ୍ଗେଲୋ |
TheGriffins,ଦି ଗ୍ରିଫିନ୍ସ |
Herbert,ହର୍ବର୍ଟ |
JoeSwanson,ଜୋସ୍ୱାନ୍ସନ୍ |
KoolAidMan,Kulaitman
MarvelComics,ମାର୍ଭେଲ କମିକ୍ସ |
Rogue,ରୋଗ୍ |
JeanGrey,ଜିନ୍ ଗ୍ରେ |
Sabretooth,ସାବ୍ରେଥୋଥ୍ |
Jubilee,ଜୟନ୍ତୀ
Pyro,ପାଇରୋ |
Toad,ଟୋଡ୍ |
JKRowling,JKRowling
harrypotterandtheorderofthephoenix,harrypotterandtheorderofthephoenix
philosophersstone,ଦାର୍ଶନିକ
chamberofsecrets,ଚାମ୍ବରଫ୍ରେସ୍
gobletoffire,gobletoffire
prisonerofazkerben,ବନ୍ଦୀ
halfbloodprince,ଅଧା ରକ୍ତ ରାଜକୁମାର |
deathlyhallows,ସାଂଘାତିକ
wizardingworld,ଯାଦୁଗର ଜଗତ |
fantasticbeasts,ଚମତ୍କାର ପଶୁ
Hermoine,ହରମୋନି
LordVoldemort,LordVoldemort
Draco,ଡ୍ରାକୋ |
lotsoflouges,lotoflouges
louge,ପାଭିଲିୟନ୍ |
sabokay,sabokay
susuaya,ସୁସୁୟା |
shhchup,ଚେକ୍ମେଟ୍ |
chupbe,ଚୁପ୍ବେ |
RoyalChallengers,ରୟାଲ୍ ଚାଲେଞ୍ଜର୍ସ |
ShaneWatson,ଶେନ୍ ୱାଟସନ୍ |
Starc,ଷ୍ଟାର୍କ |
Chahal,ଚହଲ |
MandeepSingh,ମାଣ୍ଡେପିସିଂହ |
StuartBinny,ଷ୍ଟୁଆର୍ଟବିନି |
Kings11Punjab,କିଙ୍ଗସ୍ 11 ପୁଞ୍ଜାବ୍ |
VirenderSehwag,VirenderSehwag
Sehwag,ସେହୱାଗ୍ |
MuraliVijay,ମୁରଲଭାଇଜାଇ |
Sandeepsharma,ସନ୍ଦୀପଶର୍ମା
MitchellJohnson,ମିଚେଲ ଜୋନ୍ସନ୍ |
AksharPatel,ଆକ୍ସନ୍ |
ShaunMarsh,ସମ୍ମତି
GujaratLions,ଗୁଜରାଟଲିଅନ୍ସ |
AaronFinch,ଆରୋନ ଫିଞ୍ଚ |
Jadeja4,Jadeja4
DineshKarthik,ଦୀନେଶକର୍ତ୍ତିକ୍ |
PraveenKumar,Piravinkumar
DelhiDaredevils,ଦିଲ୍ଲୀ ଡେୟାରଡେଭିଲ୍ସ |
Duminy,ଡୁମିନି
KhaleelAhmed,ଖଲିଲହମ୍
JayantYadav,ଅବନତି
PawanNegi,ପବନ
KarunNair,କରୁଣନେୟାର |
AlbieMorkel,ଆଲବି ମର୍କେଲ |
SaurabhTiwary,ସୋଲାରିୟମ୍ |
GurinderSandhu,ଗୁରୁନ୍ଦରସାନ୍ଧୁ
WayneParnell,ୱେନପର୍ନେଲ |
Brathwaite,ବ୍ରାଥୱାଇଟ୍ |
JosButtler,ଜୋସବଟଲର୍ |
Rayudu,ରାୟୁଡୁ |
PragyanOjha,ପ୍ରୟାଗନ୍ ଓଜା |
Guptill,ଗୁପଟିଲ୍ |
ShreyasGopal,ଶ୍ରେୟସ୍ ଗୋପାଳ |
TimSouthee,ତିମିସାଉରୁ |
SteveSmith,ଷ୍ଟିଭ୍ ସ୍ମିଥ୍ |
KevinPieterson,କେଭିନ ପିଟରସନ |
MuruganAshwin,ମୁରୁଗାନ୍ ଅଶ୍ୱିନ୍ |
Zampa,ପଞ୍ଝା
AshokDinda,ଅଶୋକଡିଣ୍ଡା |
happybday,ଜନ୍ମଦିନର ଅଭିନନ୍ଦନ
happiebirthday,ଶୁଭ ଜନ୍ମଦିନ
anotheryear,ଆଉ ଏକ ବର୍ଷ |
surpriseparty,ଆଶ୍ଚର୍ଯ୍ୟଜନକ
DavidBenioff,ଡେଭିଡ୍ ବେନିଫ୍ |
fantasy,କଳ୍ପନା
fantasyepic,fantasyepic
fantasydrama,Fantasy ନାଟକ
TimMiller,ଟିମ୍ ମିଲର୍ |
RhettReese,RhettReese
RyanReynolds,ରିଆନ୍ ରେନୋଲ୍ଡସ୍ |
Vanessa,ଭେନେସା |
Institute,ଅନୁଷ୍ଠାନ
Birla,ବିର୍ଲା |
1994,1994
epiccomedy,epiccomedy
RajkumarSantoshi,ରାଜକୁମାର ସାଣ୍ଟୋସି |
KarishmaKapoor,ଚରିତ୍ରବାଦୀ |
CrimemasterGogo,କ୍ରାଇମାଷ୍ଟର ଗୋଗୋ |
ecommerce,ଇ-କମର୍ସ
harwishpurihogi,ହା r shurihogi
originalproducts,ମୂଳ ଉତ୍ପାଦ
easilyaccessible,ସହଜରେ ଉପଲବ୍ଧ
replaceable,ବଦଳଯୋଗ୍ୟ
options,ବିକଳ୍ପଗୁଡ଼ିକ
amazon,ଆମାଜନ
ebay,ଇବେ
freedelivery,ସ୍ୱାଧୀନତା
debitcard,ଡେବିଟ୍କାର୍ଡ |
feline,ଫାଇଲିନ୍
sassy,ସାସି
ChuckLorre,ଚକ୍ ଲୋରେ |
BillPrady,ବିଲପ୍ରେଡି |
TBBT,ତିବ୍ଦତ
BBT,Bbt
TheBigBangTheory,TheBigBangTheory
LeonardHofstadtar,ଲିଓନାର୍ଡ ହୋଫଷ୍ଟାଡର୍ |
AmyFarahFowler,ଆମି ଫରାହ ଫାଉଲର |
ArthurJeffries,ଆର୍ଥର୍ ଜେଫ୍ରିସ୍ |
cricketmania,କ୍ରିକେଟ୍ମାନିଆ
IPLbaazigar,IPLbaazigar
ShakidAlHasan,ନିଶ୍ଚିତ ଭାବରେ |
Shauntait,ଶାଉଣ୍ଟାଇଟ୍ |
Rajagopalsatish,ରାଜାଗୋପାଲ ସାଥିଶ |
MananSharma,ମନଶର୍ମା
SunilNarine,SunilNarine
SouravGanguly,SouravGanguly
RedChillies,ରେଡ୍ ଚିଲିସ୍ |
RoadSigns,ସଡକ ଚିହ୍ନ
Fastenseatbelts,ଫାଷ୍ଟେନ୍ସେଟବେଲ୍ଟ |
nana patekar dialogues,ନାନା ପାଟେକର ସଂଳାପ |
movie scenes,ଚଳଚ୍ଚିତ୍ର ଦୃଶ୍ୟ
welcome movie dialogue,ଚଳଚ୍ଚିତ୍ର ସଂଳାପକୁ ସ୍ୱାଗତ |
solace,ସାନ୍ତ୍ୱନା
skywalker,ସ୍କାଏୱାଲ୍କର୍
may the force be with you,ବଳ ଆପଣଙ୍କ ସହିତ ହେଉ
episode 7,ଧାରା 7
stormtrooper,storm ଡ଼
galactic empire,ଗାଲାକ୍ଟିକ୍ ସାମ୍ରାଜ୍ୟ |
nazar battu,ନାଜର ତଳକୁ ଆସିଲା
battu,ମାଡ
dalbeer,ଦଲବୀର |
satbeer,satbeer
boyz,boyz
gand,ଯାଉଥିବା
kanpatti,ପ୍ୟାଚ୍ ଅନୁଭବ କରୁଛି |
cheeseburger,cheeseburger
eager,ଆଗ୍ରହୀ
bilal,ବିଲାଲ୍ |
hawabaaz,haaaaaaz
putanikhane,ଦ୍ୱନ୍ଦ୍ୱ |
ping,ପିଙ୍ଗ୍
c ya,c ପୂର୍ବରୁ
how u doing,କେମିତି ଅଛୁ
m doing well,ମୁଁ ଭଲ କରୁଛି
how r you,କେମିତି ଅଛନ୍ତି, କେମିତି ଅଛ
watcha doing,କଣ କରୁଛି
wats up,ୱାଟସ୍ ଅପ୍ |
where were you,ତୁମେ କେଉଁଠାରେ ଥିଲ
good to see you,ତୁମକୁ ଦେଖି ଖୁସି ଲାଗିଲା
nice talking to you,ତୁମ ସହିତ ଭଲ କଥା
i dont know,ମୁଁ ଜାଣି ନାହିଁ
will reach sooner,ଶୀଘ୍ର ପହଞ୍ଚିବ |
groups,ଗୋଷ୍ଠୀଗୁଡିକ |
smiles,ହସୁଛି |
group chats,ଗୋଷ୍ଠୀ ଚାଟ୍ |
bonjour,ନମସ୍କାର
bon vivante,ଭଲ ଜୀବନଯାପନ
bon voyage,ଭଲ ଯାତ୍ରା କରନ୍ତୁ |
have a good luck,ଶୁଭକାମନା
wish you the best,ଆପଣଙ୍କୁ ଶୁଭେଚ୍ଛା
I am with you,ମୁଁ ତୁମ ସହିତ ଅଛି
i lovve you,ମୁଁ ତୁମକୁ ଭଲପାଏ
Phir Hera Pheri,ପୁନର୍ବାର ଫିଡ୍ |
Agent vinod desi boyz,ଏଜେଣ୍ଟ ବିନୋଦ ଦେଶୀ ବଏଜ୍ |
Desi Boyz,ଦେଶୀ ବଏଜ୍ |
Paresh Rawal,ପରେଶ ରାୱଲ |
Suniel Shetty,ସୁନୀଲ ଶେଟ୍ଟୀ |
Tabu,ତବୁ
Om Puri,ଶୁଦ୍ଧ ମଣିଷ |
Hera Pheri 3,ହେରା ଫେରି 3
John Abraham,ଜନ୍ ଅବ୍ରହାମ |
Ahmed Khan will direct 'Hera Pheri 3',ଅହମ୍ମଦ ଖାନ 'ହେରା ଫେରି 3' ନିର୍ଦ୍ଦେଶନା ଦେବେ |
Dabangg boys,ଡବାଙ୍ଗଗ ପୁଅମାନେ |
Kinsmart Diecast Metal Turbo Scooter,କିନ୍ସମାର୍ଟ ଡିଆକାଷ୍ଟ ମେଟାଲ୍ ଟର୍ବୋ ସ୍କୁଟର |
scooter - Honda,ସ୍କୁଟର - ହୋଣ୍ଡା |
Calvin Klein Boys,କାଲିଭିନ କ୍ଲିନ୍ ବାଳକ
Johnnie Lene Boy's,ଜନି ଲେନେ ବଏ |
Spring Notion Little Boys,ବସନ୍ତ ଧାରଣା ଛୋଟ ବାଳକ |
keep calm and hawabaaz,ଶାନ୍ତ ଏବଂ ହାବାବାଜ୍ ରଖ |
BHADKANA HAWABAAZ,ଧନ୍ୟବାଦ
rahulgandhi HAWABAAZ,rahulgandhi HAWABAAZ
ehdostihumnaitodenge,ehdostihumnaitodenge
redlight,ରେଡ୍ ଲାଇଟ୍ |
onmyhip,onmyhip
cool launde,ଥଣ୍ଡା ଲାଉଣ୍ଡେ |
timepaas,ସମୟ ସୀମା
Haryanvi Gujjar,ହରିୟାଣା ଗୁଜୁର |
dhakkad,ବାଙ୍ଗ
dunali,ଦୁଇଥର |
315 bore rifle,315 ବୋର ରାଇଫଲ |
Bundook,ବୁଣ୍ଡୁକ୍ |
lath gaad du,ଦୁଇଜଣଙ୍କର ଶେଷ
Vishwanath,ବିଶ୍ୱନାଥ
Marathi films,ମରାଠୀ ଚଳଚ୍ଚିତ୍ର |
Apna toh ussool hai,ଆପଣଙ୍କର ନିଜର ନୀତି ରଖନ୍ତୁ |
pehle laat,ପ୍ରଥମ ଲଟ୍ |
phir baat,ପୁନର୍ବାର କଥା ହୁଅ |
uske baad,ଏହା ପରେ
mulaqat,ପରିଦର୍ଶନ କରନ୍ତୁ |
tee shirt,ଟି ସାର୍ଟ |
baisakhi,baisakhi
vasakhi,Vaisakhi
vahdhaiya,ବର
ounjab,ounjab
Alootikki,ଆଲୋଟିକ୍ |
Mexican taste,ମେକ୍ସିକାନ୍ ସ୍ୱାଦ |
commando,କମାଣ୍ଡୋ |
khatarnaak hai,ବିପଜ୍ଜନକ ଅଟେ |
tumhara baap hai,ତୁମ ବାପା
Khusnasib hota,ଭାଗ୍ୟବାନ ହେବ |
hai wo khoon,ସେହି ରକ୍ତ କି?
Jo desh ke,କେଉଁ ଦେଶର |
kaam aata hai,ସହଜରେ ଆସେ |
Daag GULAMi ka,ଦାସତ୍ୱ
dhoya hai jaan Luta kar,ଧୋଇ ହୋଇଯାଏ |
Deep jalaye,ଗଭୀର ଜଳିବା |
hai kitne,କେତେ କେତେ?
DEEP bhujha kar,ଦୀପ ଗଭୀର |
Mili hai,ଗ୍ରହଣ କରିଛନ୍ତି |
jab yeh AZADi,ଯେତେବେଳେ ଏହି ସ୍ୱାଧୀନତା |
to fir is azadi ko,ତା’ପରେ ଏହି ସ୍ୱାଧୀନତା |
Rakhna hoga,ରଖିବାକୁ ପଡିବ |
har DUSHMAN,ପ୍ରତ୍ୟେକ ଶତ୍ରୁ |
se aaj bachakar,ଆଜିଠାରୁ ସଞ୍ଚୟ କରନ୍ତୁ |
formalistic,ଆନୁଷ୍ଠାନିକ
gymnastic,ଜିମ୍ନାଷ୍ଟିକ୍ |
communistic,ସାମ୍ପ୍ରଦାୟିକ |
hello1,ନମସ୍କାର 1
hello2,ନମସ୍କାର 2
hello3,ନମସ୍କାର 3
hello4,ନମସ୍କାର 4
sample,ନମୁନା
tag,ଟ୍ୟାଗ୍
shero,ଶେରୋ |
kndf,kndf
kjf,kjf
efw,efw
