bobble,ધક્કો મારવો
Happy Kiss Day,હેપી કિસ ડે
Love You Baby,લવ યુ બેબી
i miss you,હું તમને યાદ કરું છું
i am sorry,હું દિલગીર છું
maaf kardo,માફ કરડો
hi sweetu,હાય સ્વીટુ
i am yours,હું તમારો છું
iloveu,ઇલોવે
valentines day,વેલેન્ટાઇન ડે
14th feb,14 મી ફેબ
love week,પ્રેમ સપ્તાહ
kissed,ચુંબન કર્યું
soosoo,soosoo
ful,ફુલ
flowrers,ફૂલો
cheff,રસોઇયા
i love you too,હું પણ તને પ્રેમ કરું છું
dairy milk,ડેરી દૂધ
on way,રસ્તા ઉપર
love you too,હૂં પણ તને પ્રેમ કરુ છૂ
prpmise day,વચન દિવસ
forever together,કાયમ મળીને
happy hug day,ખુશ આલિંગન દિવસ
hug me,મને આલિંગન
chummah,ચુંબન
pinky promise,પીંકી વચન
together forever,હમેશ માટે એક સાથે
waving hand,હાથ લહેરાવતા
of course,અલબત્ત
absolutely,સંપૂર્ણપણે
uh-huh,ઉહ-હહ
jogging,જોગિંગ
yawn,યેન
home work,ગૃહ કાર્ય
hey wassup,અરે વાસઅપ
greate,ગ્રેટ
grocery time,કરિયાણાનો સમય
chill book,ચિલ બુક
tution,ટ્યુશન
sweet dreams,મીઠી સપના
what you doin,તમે શું કરો છો
how you doin,તમે કેવી રીતે કરવું
waddup,waddup
great job,મહાન કામ
Mind blowing,ખુબજ સરસ
wasup,કેમ છો
see you,તમને મળીશું
bbye,બીબી
take care,કાળજી રાખજો
takeoff,ટેકઓફ
goodl luck,સારા નસીબ
happy shivratri,હેપી શિવરાત્રી
shiv ji,ભગવાન શિવ
bhole nath,ભોલે નાથ
maha dev,મહા દેવ
new york,ન્યુ યોર્ક
let's play holi,ચાલો હોળી રમીએ
bura na mano holi hai,હોળી વાંધો નહીં
gujiya,ગુજિયા
holi shit,હોળી છી
poty,પોટિ
karona,ને કારણે
virus,વાઇરસ
covid,કોવિડ
china,ચાઇના
bimari,રોગ
carona,કેરોના
face mask,મુખોટુ
corona virus,કોરોના વાઇરસ
covin-19,તરકટ -19
covin,તરકટ
janta curfew,જનતા કર્ફ્યુ
curfew,કર્ફ્યુ
jai maa,ઇંગ પાણી
maa durga,મા દુર્ગા
stay home,ઘરે રહો
kanjake,દર્દીનું ઘર
jor se bolo,મોટેથી બોલો
pyaaz,ડુંગળી
pyaz,ડુંગળી
ullu banaya,મૂર્ખ
khotta,ઘાટ
bevkoof,મૂર્ખ
dumboo,પેટ
hawa ane de,હવા અને ડે
sex,સેક્સ
dirtytalks,ગંદા વાતો
gandibaat,ગાંડીબત
boobs,બૂબ્સ
dickpick,ડિકપીક
dick,ડિક
18plus,18 પ્લસ
ungali,ના પાડશો નહીં
campa,ક્ષેત્ર
bachaa,બચા
ghapaghap,ghapaghap
footprint,પદચિહ્ન
chummaa,ચૂમ્મા
jummaa,સમુદાય
candal,મીણબત્તી
wallnuts,વોલનટ
choodi,ચુડી
bangals,બંગડીઓ
chudiayan,હો આયણ
cokacola,કોકા કોલા
vehicle,વાહન
tampoo,ટેમ્પૂ
londaon,londaon
ghantaghar,ઘડિયાળ ટાવર
gandi baat,બેટ સૈનિક
baate,વાતો કરે છે
lets talk,ચાલો વાત કરીએ
video call,વિડિઓ ક callલ
ghosala,ઘોસલા
bhens,ભેંસ
buffelo,બફેલો
khira,કાકડી
cacumber,કાકડી
shampoo,શેમ્પૂ
momo,પીચ
four,ચાર
n,એન
aach,આચ
fecture,અસ્થિભંગ
raghunath,રઘુનાથ
ramji,રામજી
jai ram,જી રામ
Work from home,ઘર બેઠા કામ
lockdown,લૉકડાઉન
broadband,બ્રોડબેન્ડ
low network,લો નેટવર્ક
karfue,કર્ફ્યુ
skype,સ્કાયપ
Quarentine,સંસર્ગનિષેધ
being useless,નકામું છે
diyaa,દિયા
deeya,દિયા
diye,કે
ramayan,રામાયણ
avashaya,અવશેય
laxman,લક્ષ્મણ
kadapi nahi,ક્યારેય નહીં
tathastu,અને
krishn,કૃષ્ણ
mahabharat,મહાભારત
kriishna,કૃષ્ણ
minut,મિનિટ
shan,પર્વત
kans,તક
asanbhav,અશક્ય
mackup,મુકઅપ
meckup,મેકઅપ
Hanuman ji,ભગવાન હનુમાન
bajrangbali,બજરંગબલી
hanuman jayanti,હનુમાન જયંતી
Skills,કુશળતા
gloomy,અંધકારમય
horrid,ભયાનક
somber,સોમ્બર
terrible,ભયંકર
glum,ગ્લુમ
bleak,અસ્પષ્ટ
ominous,અપશુકન
tv show,ટીવી શો
joyful,આનંદકારક
upbeat,ઉત્સાહિત
terror,આતંક
panic,ગભરાટ
chiller,ચિલર
fright,દહેશત
detestation,તિરસ્કાર
pal,પલ
defender,ડિફેન્ડર
guardian angel,પાલક દેવદૂત
chudap,ત્યાગ
separation,અલગ
split,ભાગલા
sovereignty,સાર્વભૌમત્વ
jahnda,જહાંડા
15 August,15 Augustગસ્ટ
savan,સાવન
lively,જીવંત
protection,રક્ષણ
sayings,કહેવતો
offended,નારાજ
irritable,ચીડિયા
outraged,રોષે ભરાય છે
billy,બિલી
mandy,મેન્ડી
CN,સી.એન.
scythe,scythe
reaper,કાપવું
olymics,ઓલિમ્પિક્સ
golf,ગોલ્ફ
august,ઓગસ્ટ
chauka,સસ્તા
mythology,પૌરાણિક કથા
kingdom,રાજ્ય
feminist,નારીવાદી
nari,બનો
dhasu,ધતુ
nautanki,ખેલ
netaji,નેતાજી
corruption,ભ્રષ્ટાચાર
quarter,ક્વાર્ટર
baapu,બાપુ
terabaap,તેરાબાપ
abbu,પિતા
kunwara,બેચલર
chokra,આભાર
glamor,ગ્લેમર
pepe,મરી
goalhai,ગોલહાય
nobhita,nobita
gadgets,ગેજેટ્સ
futuristic,ભાવિ
shizuka,શાંત
hungama,રકસ
ramdan,રામદાન
habibi,મારો પ્રેમ
apocalypse,સાક્ષાત્કાર
walkingdead,મરેલા ની જેમ ચાલ વુ
zodiac,રાશિ
rashifal,રશીફાલ
capricon,મકર
kundli,જન્માક્ષર
frank,સ્પષ્ટ
springfield,સ્પ્રિંગફીલ્ડ
dysfunctional,નિષ્ક્રિય
cartoonnetwork,cartoonnetwork
glue,ગુંદર
shin,શિન
chan,ચાન
japanese,જાપાની
crayon,ક્રેયોન
mitsi,Mitsi
turtles,કાચબા
teenage,કિશોર
amell,અમલ
tmnt,તેણીએ ઈચ્છા કરી
familyguy,કૌટુંબિક વ્યક્તિ
griffin,ગ્રિફીન
students,વિદ્યાર્થીઓ
rokda,રોકડા
chichore,છીછરા
velle,માટે
vella,વૃદ્ધ સ્ત્રી
harami,હરમી
sadakchap,રોડ દરોડા
bb,બીબી
vines,વેલા
bbkivines,બીબીકિવિન્સ
bancho,બંચો
sameer,સરખા
youtube,યુટ્યુબ
hola,હેલો
bhuvan,ભુવન
bham,ભમ
youtuber,youtuber
perk,પર્કી
howudoing,કેવી રીતે
saheli,મિત્ર
brosbeforehoes,બ્રોસ્બોફોરહો
Pranayam,પ્રાણાયામ
yogapants,યોગ પેન્ટ
meditation,ધ્યાન
awakening,જાગૃતિ
onepiece,એક ટુકડો
onepunchman,onepunchman
deathnote,મૃત્યુ નોંધ
manga,મંગા
animegirl,animegirl
naruto,નારોટો
blackbutler,બ્લેક બટલર
alchemist,alલકમિસ્ટ
bleach,બ્લીચ
sakura,સાકુરા
ads,જાહેરાતો
branding,બ્રાંડિંગ
brand,બ્રાન્ડ
advertisment,જાહેરાત
shahi,શાહી
loveme,મને પ્રેમ કર
mylove,માયલોવ
shikanji,શિકંજી
mutants,મ્યુટન્ટ્સ
xavier,ઝેવિયર
chakdefatte,chakdefatte
pind,સપાટી
kattappa,Kattappa
thebeginning,શરૂઆત
blockbuster,બ્લોકબસ્ટર
theconclusion,નિષ્કર્ષ
bahubali2,બાહુબલી 2
disneyland,ડિઝનીલેન્ડ
channel,ચેનલ
disneyxd,ડિઝનીએક્સડી
waltdisney,વtdલડિસ્ટની
khaalijeb,કાલ્પનિક
captainamerica,કેપ્ટનમેરિકા
civilwar,નાગરિક યુદ્ધ
blackpanther,બ્લેકપેંથર
tonystark,ટોનીસ્ટાર્ક
steverogers,સ્ટીવરોગર્સ
hawkeye,હોકયે
bhaklol,ફ્રીકીશ
sasura,સસરા
hamaar,અમારું
tuhaar,બતાવો
lagawelu,જોડાણ
wonderwoman,અજાયબી મહિલા
khayegakela,ખાયજેકલા
potter,કુંભાર
harrypotter,હેરી પોટર
cursedchild,શાપિત બાળક
hagrid,હેગ્રીડ
horcrux,horcrux
rowling,રોલિંગ
hogwarts,હોગવર્ટ્સ
tadka,tadka
desistickers,ડિઝિસ્ટિકર્સ
desitalk,તોકુ ટકરી
desilog,desilog
iskool,શાળા
unittests,યુનિટસેટ્સ
halfyearly,અર્ધ વાર્ષિક
annual,વાર્ષિક
cbse,સીબીએસઇ
cce,સીસી
yippee,હા
hm,એચએમ
plz,plz
booble,બબલ
emoticons,ઇમોટિકોન્સ
emojiz,ઉમોજી ઝેડ
frustration,હતાશા
naukari,નોકરી
mnc,mnc
barbaad,વ્યર્થ
bigbang,બીગબેંગ
bigbangtheory,બિગ બેંગ થિયરી
cooper,કૂપર
koothrappali,કુથરપ્પલી
bernadette,બર્નાડેટ
physicist,ભૌતિકશાસ્ત્રી
caltech,કેલ્ટેક
geeky,નમ્ર
geeks,ગીક્સ
astrophysicist,એસ્ટ્રોફિઝિસ્ટ
astro,એસ્ટ્રો
superwomen,સુપરવુમન
fml,FML
chota,નાનું
pogo,પોગો
bachpann,બાળપણ
ladduu,બટન રમો
gaggu,ગાગ્ગુ
kichak,ઝાડવું
tuntun,નવું
daaku,ડાકુ
mangalsingh,મંગલસિંહ
wct20,wct20
bcci,બ .ક્સ
dhavan,ધવન
djbravo,djbravo
myname,મારું નામ
mynameiskhan,mynameiskhan
omshantiom,omshantiom
raees,રાય
dbz,ડીબીઝેડ
dragonball,ડ્રેગન બોલ
dragonballz,ડ્રેગન બોલ ઝેડ
dragonballgt,ડ્રેગનબોલ
gohan,ગોહન
kuririn,ક્રિલિન
goten,ગટર
gotenks,getenks
vegito,વેજિટો
gogita,ગોગીતા
supersaiyan,સુપરસાઇઆન
dragonballsuper,ડ્રેગનબોલસુપર
makemoney,કમાણી કરવા
businessman,ઉદ્યોગપતિ
businessmen,ઉદ્યોગપતિઓ
raupaiya,રપૈયા
aprilfools,aprilfools
aprilfoolday,એપ્રિલ ફૂલ દિવસ
aprilfoolsday,aprilfoolsday
pranks,ટીખળ
mazzak,મેઝેક
guddi,સમિતિ
aaa,આઆ
jaanwar,પ્રાણી
jaanvar,પ્રાણી
macharr,મચર
puttar,પટ
khaanaa,ખાના
appetite,ભૂખ
swadisht,સ્વાદિષ્ટ
bhojan,ખોરાક
kutton,કૂતરાઓ
oldmovies,ઓલ્ડમોવિઝ
oldmovie,ઓલ્ડમોવી
invincible,અદમ્ય
superpower,મહાસત્તા
sciencefiction,વિજ્ .ાન
feelingdesi,લાગણીશીલ
ganpatibappa,ગણપતિબાપ્પા
jaishriram,જયશ્રીરામ
maan,આ
indianhero,ભારતીય
indiansuperhero,indiansuperhero
desihero,દેશીરો
desisuperhero,desisuperhero
sorryshaktiman,માફ કરશો
ddnational,ddnational
doordarshan,દૂરદર્શન
mukesh,મુકેશ
khanna,ખન્ના
vidyadhar,વિદ્વાન
omkaar,ઓમકાર
naath,નાથ
officeoffice,ઓફિસ કચેરી
iambusy,iambusy
lanister,લnનિસ્ટર
winteriscomming,શિયાળો
martin,માર્ટિન
grrm,grrm
songoficeandfire,સોનોફાઇસઅન્ડફાયર
khaleesi,ખાલીસી
targaryen,તારગરીન
valhar,વર્થ
morghulis,મોર્ગુલીસ
dohaeris,dohaeris
cersie,cersei
cersei,cersei
nedstark,nedstark
windsofwinter,શિયાળાના પવન
loveria,પ્રેમી
loveu,લવુ
lotsoflove,ઘણો પ્રેમ
couples,યુગલો
witty,વિનોદી
shitty,shitty
replies,જવાબો
brba,brba
notbad,નોટબંધી
motherofgod,દેવ માતા
ewww,ewww
continued,ચાલુ રાખ્યું
worthit,ને ચોગ્ય
dealwithit,તેની સાથે વ્યવહાર
holika,બોનફાયર
gulaal,ગુલાલ
bheege,ભીનું
chunarwali,ચુનારાવાલી
bhalle,બેરલ
campus,કેમ્પસ
blues,બ્લૂઝ
delhiuniversity,દિલ્હી યુનિવર્સિટી
ipu,આઇપુ
ggsipu,ggsipu
lecute,lecute
faculty,ફેકલ્ટી
sessionals,સત્રો
viva,વિવા
external,બાહ્ય
internal,આંતરિક
alldabest,alldabest
wid,પહોળા
dealwidit,ડીલવિડિટ
seriously,ગંભીરતાથી
kolaveridi,કોલાવેરી
shithappens,shithappens
witchmode,ચૂડેલ
likeaboss,સાહેબ ની જેમ
coolstory,ઠંડી
rage,ક્રોધાવેશ
ragecomics,રેજકોમિક્સ
desimeme,desimeme
merc,મર્ક
antihero,એન્ટીહીરો
landing,ઉતરાણ
wade,વેડ
wilson,વિલ્સન
wadewilson,વેડવિલ્સન
reynolds,રેનોલ્ડ્સ
rollin,રોલિન
legpull,પગની પટ્ટી
legpulling,લેગ પુલિંગ
dawn,પરો.
dawnofjustice,ડોનફોર્સ્ટાઇસ
luthor,સત્તાધિકાર
lex,લેક્સ
darkside,કાળી બાજુ
clark,ક્લાર્ક
kent,કેન્ટ
bruce,બ્રુસ
wayen,મહાનતા
chotabacha,નાના પેક
sachhe,સાચું
sachhey,સાચું
sachey,સાચું
bachey,ડાબે
bachapan,બચપણ
aamchi,આમચી
boletoh,બાઈલેટ
boleto,બાઈલેટ
shaanpati,શાણપતિ
local,સ્થાનિક
mumbailocal,mumbailocal
localtrain,લોકલટ્રેઇન
marine,દરિયાઈ
marinedrive,મેરીનાઇન
tikes,બાઇક
iampossible,ઇમ્પોસિબલ
batgirl,batgirl
scoobydoo,સ્કૂબીડૂ
dooby,ડૂબી
telivision,ટેલિવિઝન
tvshow,ટીવી શો
incredibles,અકલ્પનીયતા
chutiyam,રજા
chutyam,ચૂટિયમ
jhaant,જંટ
thaant,હાથ
jhand,ધ્વજ
jindagi,જીવન
leli,શોધે
yaariyan,મિત્રો
bagpacker,બેગપેકર
wanderer,ભટકવું
wanderers,ભટકવું
tourist,પર્યટક
chuttiyan,રજાઓ
keeda,ઉકાળો
bachchan,બચ્ચન
balatkar,બળાત્કાર
allizwell,એલીઝવેલ
shai,શી
chaisutta,આગળ વધવું
pakodas,પકોદાસ
greentea,લીલી ચા
bulk,જથ્થાબંધ
cardio,કાર્ડિયો
treadmil,ટ્રેડમિલ
akhada,એરેના
aerobic,એરોબિક
belts,બેલ્ટ
driveslow,ડ્રાઇવસ્લો
akadd,અકડ્ડ
akkad,અક્કડ
baju,કપડાં
baaju,બાજુ
hayela,ડ્રાઇવ
oii,oii
galtise,ગેલ્ટીઝ
mutabik,અનુસાર
aakhein,આંખો
lovemaking,પ્રેમાલાપ
chowdary,ચૌધરી
chowdhury,ચૌધરી
apsara,અપ્સરા
chachaji,કાકા
region,ક્ષેત્ર
aayi,આયી
shappath,શપથ
siya,તેમણે
chava,છોકરી
ayyo,આયો
aiyo,લવ
annapodi,અન્નપોડી
podi,પોડિ
auratt,auratt
okk,okk
waale,વાળે
muu,અન્ય
izz,izz
bahaar,વસંતtimeતુ
lele,કેટફિશ
pichkar,કુંભાર
lorry,લારી
ghosla,ઘોસલા
andi,andi
mandi,એક ફુવારો લો
shandi,પર્વત
takkey,લે છે
jagganath,જગગનાથ
memes,મેમ્સ
brace,કૌંસ
urself,જાતે
spartaa,સ્પાર્ટા
daily,દૈનિક
gup,ગુપ
shup,શૂપ
sorrie,સોરી
roz,ગુલાબી
callme,callme
welcum,વેલકમ
okie,બરાબર
desitalks,તે મરી ગયો, પણ
chillpill,મરચું
hopaayega,આશા રાખશે
bhavnaao,ભાવનાઓ
chahate,જોઈએ છે
booty,લૂંટ
mohmaya,મોહમાયા
naachoon,ડાન્સ
naachu,મોસ
tedhi,કુટિલ
dular,ડ્યુલર
dulaar,કેરેસ
bhen,થી
dii,દેવતાઓ
momdad,momdad
brosis,બ્રોસિસ
brothersister,ભાઈ બહેન
masters,માસ્ટર
masterji,માસ્ટર
benchers,બેંચર્સ
goto,પર જાઓ
heisenberg,હેઇઝનબર્ગ
sheen,ચમક
management,વ્યવસ્થાપન
charliesheen,ચાર્લી ચમક
bhadmei,વાહિયાત
aukaat,સ્થાન
byob,બાયબ
pardy,માફી
happie,સુખી
bumps,મુશ્કેલીઓ
birthdaybumps,જન્મદિવસ
dramebaz,ડ્રમર
merdil,ઝૂલતું
foreveralone,હમેશા એકલો
luvme,લવમે
chokri,ચોકરી
wrestle,કુસ્તી
wrestlemania,કુસ્તી
raw,કાચો
smack,સ્મેક
smackdown,સ્મેકડાઉન
bigshow,બિગશો
johncena,જોહન્સેના
cena,ભાવ
brock,બ્રોક
kushti,ઘરો
hulkhogan,ચીસો પાડવી
hogan,હોગન
uttar,uttar
pradesh,પ્રદેશ
baawdi,ડોલ
baavdi,Bavadi
pooch,pooch
kungfupanda,કુંગફુપંડા
kungfu,કુંગફુ
shetro,પ્રદેશો
retroshetro,પાછલો ભાગ
vintage,વિંટેજ
classic,ઉત્તમ
oldisgold,ઓલ્ડિસોલ્ડ
antique,પ્રાચીન
insta,વિનંતી
instagram,ઇન્સ્ટાગ્રામ
hashtags,હેશટેગ્સ
nailart,નેઇલ આર્ટ
instagirls,ઇન્સ્ટાગર્લ્સ
girlsofinstagram,છોકરીઓફિન્સ્ટાગ્રામ
sharma,શર્મા
nights,રાત
comedynights,ક comeમેડીનાઇટ્સ
juiceme,રસમ
colorstv,કોલોર્સ્ટવી
hitnrun,hitnrun
espn,espn
vibhuti,વિભૂતિ
anita,અનિતા
andtv,andtv
baji,વાહ
baaji,બાજી
bazi,આધાર
baazi,પરલે
maanja,યુગલો
aaibo,આઇબો
swatantra,મફત
wars,યુદ્ધો
starwars,સ્ટાર વોર્સ
awakens,જાગૃત થાય છે
forceawakens,બળ જાગૃત
Episode,એપિસોડ
chewbacca,ચેવબેક્કા
battlefront,બેટલફ્રન્ટ
gunde,ગ્રામ માં
gundey,ગુંડાઓ
minthunda,મિન્ટુન્ડા
gangs,ગેંગ્સ
wasseypur,વાસીપુર
kaheke,બે
loonga,હશે
nawazuddin,નવાઝુદ્દીન
siddiqui,સિદ્દિકી
bajpayee,બાજપાઈ
investigation,તપાસ
department,વિભાગ
baiscally,મૂળભૂત રીતે
grahakk,ગ્રાહક
trai,મસલ
neutrality,તટસ્થતા
basics,મૂળભૂત
government,સરકાર
netneutrality,માત્ર તટસ્થતા
chaltikya,ચાલ
fraandship,ફ્રેન્ડશિપ
namastey,નમસ્તે
satsriakal,સાઠના દાયકા
afternood,બપોરે
whazzap,whazzap
noprob,કોઈ વાંધો નહિ
prob,પ્રોબ
lolwa,લડવા
xmax,xmax
hoho,ગાલ
sardiya,શિયાળો
woolen,વૂલન
milestone,સીમાચિહ્નરૂપ
fundings,ભંડોળ
partners,ભાગીદારો
programmer,પ્રોગ્રામર
investors,રોકાણકારો
silicon,સિલિકોન
valley,ખીણ
robotic,રોબોટિક
hotbot,હોટબોટ
barat,પશ્ચિમ
barati,શોભાયાત્રા
zikzik,ગંદા
chords,તાર
sitaar,સીતા
tuneup,ટ્યુનઅપ
tuning,ટ્યુનિંગ
ishqbaazi,ચેનચાળા કરવા
ishaqbaazi,શાવર
ladkibaazi,લાડકીબાઝી
jaanemann,ડાર્લિંગ
packs,પેક્સ
sixpack,સિક્સપેક
sixpacks,છ પેક
bhaijan,ભાઈ
powder,પાવડર
shody,મેચ
bodyshody,શારીરિક
mastiki,માસ્ટિક્સ
pirates,લૂટારા
suicidesqad,આપઘાત ટુકડી
sqad,Sqad
startrek,સ્ટાર્ટ્રેક
ghostbusters,ઘોસ્ટબસ્ટર્સ
mebefore,મને પહેલાં
inferno,નર્ક
strange,વિચિત્ર
beasts,પશુઓ
taane,પોતે
daat,કે
vaccation,વેકેશન
promotion,બ promotionતી
bugsbunny,બગસબની
mojojojo,બટન રમો
swatcats,સ્વાટ બિલાડી
hotty,ગરમ
moveon,આગળ વધો
gaend,શિયાળો
howzat,હોવઝેટ
paa,પર
thode,થોડા
loony,લૂન
walt,વtલ્ટ
assalam,ઇસ્લામ
alaykum,તમે ઉપર
lillysingh,લીલીસિંગ
lilly,લીલી
manjeet,મનજીત
videos,વિડિઓઝ
bakwaas,કચરો
sikhayega,ભણાવશે
rulez,શાસન
slangs,અશિષ્ટ
thatman,તે માણસ
rangde,કલર્સ
committed,પ્રતિબદ્ધ
des,ની
rajasthani,રાજસ્થની
calcutta,કલકત્તા
premier,પ્રીમિયર
winners,વિજેતાઓ
sunriser,સનરાઇઝર
nakko,નાક્કો
laagao,ઓહ .ંચા
biryanipower,બિર્યાની શક્તિ
bangalore,બેંગ્લોર
blore,અસ્પષ્ટ
bengaluru,બેંગાલુરુ
mcbc,એમસીબીસી
oolala,ooલાલા
maacha,માચા
chase,પીછો
eleven,અગિયાર
xi,ખુશ
yuvi,યુવી
yuvraj,યુવરાજ
miller,મિલર
fatte,થઈ ગયું
fafda,ફાફડા
faafda,ચેપી
thepla,thepla
jaddu,જડ્ડુ
daredevil,હિંમતવાન
harbajan,હરભજન
rising,વધતી
pune,pune
poona,પૂના
giant,વિશાળ
supergiants,સુપરજિએન્ટ્સ
supergiant,સુપરગાયન્ટ
misal,દા.ત.
notout,નોટઆઉટ
superkings,સુપરકિંગ્સ
padukone,પાદુકોણ
deewani,વ્યસની
naya,નવી
byebye,બાયબાય
mubaraka,મુબારકા
bits,બીટ્સ
pilani,પિલાની
cig,cig
marlboro,માર્લ્બોરો
gate,દરવાજો
gre,તે ચાલે છે
gmat,gmat
lingo,લિંગો
univ,યુનિ
byd,વિશ્વ
gtb,જીટીબી
patelchest,પેટેલેસ્ટ
patel,પટેલ
vishwavidyalaya,યુનિવર્સિટી
vishwa,વિશ્વ
hudsonlane,હડસનલેન
lane,લેન
abvp,સ્વપ્ન
lsr,lsr
srcc,srcc
khalsa,ખાલસા
ballichai,બલિચાઇ
audo,ઓડિયો
udaao,ફૂંકાય
udao,અવાજ
rehena,રેહેના
jorse,અમલમાં છે
zorse,મોટેથી
dhadak,ધડક
misunderstand,ગેરસમજ
nandgopal,નંદગોપાલ
serial,સીરીયલ
advertisement,જાહેરાત
literature,સાહિત્ય
commercial,વ્યાપારી
display,પ્રદર્શન
religion,ધર્મ
roommate,રૂમમેટ
bakchod,બચ્ચોડ
U.S.,યુ.એસ.
poll,મતદાન
U.S.A.,યૂુએસએ.
cult,સંપ્રદાય
ghostly,ભૂતિયા
careless,બેદરકાર
filthy,મલિન
stained,ડાઘ
campaigning,ઝુંબેશ
nibble,ચપળતાથી
chew,ચાવવું
hog,ગામડિયો
plump,ભરાવદાર
greedy,લોભી
too lazy,બહુ આળસુ
rest day,આરામનો દિવસ
day off,દિવસ રજા
mornings,સવારે
recline,ફરી વળવું
sit back,પાછળ બેસો
unproductive,અનુત્પાદક
lethargic,સુસ્ત
Shivaji Rao Gaekwad,શિવાજી રાવ ગાયકવાડ
kabali,Kabali
dialogs,સંવાદો
coolest,શાનદાર
Balla Bol,બલ્લા પેઇન
test match,ટેસ્ટ મેચ
sport,રમતગમત
third umpire,થર્ડ અમ્પાયર
trial,અજમાયશ
ninties,નેવુંના દાયકા
90s,90 ના દાયકા
longing,ઝંખના
the days,દિવસો
puberty,તરુણાવસ્થા
schooldays,શાળાના દિવસો
teens,કિશોરો
teen age,કિશોર
adorable,માનનીય
looney,લોની
beloved,પ્રિય
alvin and the chipmunk,એલ્વિન અને ચિપમન્ક
sarabhai family,સારાભાઇ પરિવાર
mummas boy,મમ્મસ છોકરો
humor,રમૂજ
satire,વ્યંગ્ય
funniness,funniness
humorous,રમૂજી
amusing,મનોરંજક
laughable,હાસ્યજનક
Indravadan Sarabhai,ઇન્દ્રવદન સારાભાઇ
Saahil Sarabhai,સાહિલ સારાભાઈ
pyaari maa,પ્યારી માં
Madhusudan,મધુસુદન
Middleclass,મધ્યમ વર્ગ
poems,કવિતાઓ
ridicule,ઉપહાસ
irony,વક્રોક્તિ
bitterness,કડવાશ
poet,કવિ
writer,લેખક
script,સ્ક્રિપ્ટ
Chindi Dost,ચિડી દોસ્ત
playmate,પ્લેમેટ
best friend forever,શ્રેષ્ઠ મિત્ર કાયમ
kunjoos,જ્યારે
ridiculous,હાસ્યાસ્પદ
nudge,નજ કરો
pick on,પર પસંદ કરો
taunt,ટauન્ટ
pocketbook,પોકેટબુક
poke,થોભો
wage,વેતન
bucks,બક્સ
moolah,મૂલાહ
borrrow,ઉધાર
taxi fare,ટેક્સી કરો
auto bill,autoટો બિલ
auto ride,ઓટો હસે છે
justification,વાજબી ઠેરવવું
last-minute,છેલ્લા મિનિટ
deadline,અન્તિમ રેખા
tasks,કાર્યો
office mein late,officeફિસમાં મોડું
thanda matlab,કૂલ મીન
boy drinking,છોકરો પીતો
water shortage,પાણી ની અછત
bathrobe,બાથરોબ
freshen up,તાજી
gandi,ગાંડી
mini mouse,મીની માઉસ
bollywood style,બોલીવુડ શૈલી
indian festivals,ભારતીય તહેવારો
deep,.ંડા
diwali holidays,દિવાળી રજાઓ
diwala,સંતોષ
diwali celebration,દિવાળીની ઉજવણી
moods,મૂડ
singlehood,એકલતા
old days,જુના દિવસો
childhood days,બાળપણના દિવસો
80s,80
ha ha,હા હા
against,સામે
thrill,રોમાંચ
thrilling,રોમાંચક
saviour,તારણહાર
stan lee,સ્ટાન લી
Raju Rai,રાજુ રાય
supervillains,સુપરવિલેન્સ
battles,લડાઇઓ
Toonami,ટૂનામી
adventurous,સાહસિક
venture,સાહસ
start up idea,વિચાર શરૂ કરો
jitu,સાચું કહેવું
investers,રોકાણકારો
investment,રોકાણ
funds,ભંડોળ
jitender maheshwari,જીતેન્દ્ર મહેશ્વરી
Jitendra maheshwari,જીતેન્દ્ર મહેશ્વરી
tech support,ટેક સપોર્ટ
marketing research,માર્કેટિંગ સંશોધન
graphs,આલેખ
bad boss,ખરાબ બોસ
induction,ઇન્ડક્શન
client,ક્લાયંટ
tvf tripling,tvf ત્રિવિધ
the viral fever,વાયરલ તાવ
tripling,ત્રિવિધ
jodhpur,જોધપુર
comey,comey
sumeet vyas,સુમિત વ્યાસ
road trip,માર્ગ સફર
supporters,ટેકેદારો
voting,મતદાન
express,વ્યક્ત કરો
coard,કોરડ
santaclaus,સાન્તા ક્લોસ
christmas wishes,નાતાલની શુભેચ્છાઓ
christmas selfie,નાતાલની સેલ્ફી
christmas greetings,નાતાલ શુભેચ્છાઓ
christmasgreetings,નાતાલ શુભેચ્છાઓ
ugly christmas sweater,કદરૂપું નાતાલ સ્વેટર
xmas party,ક્રિસ્ટમસ શબ્દનું ટૂંકું રૂપ પાર્ટી
christmas 2016,નાતાલ 2016
carols,કેરોલ્સ
nom nom,નામ નામ
om nom nom nom,ઓમ નામ નામ નામ
deck the halls,સજ્જ હોલ
festival of colours,રંગોનો તહેવાર
festival of colors,રંગોનો તહેવાર
banno,ની આવૃત્તિ
gunjiya,ગુંજીયા
favour,તરફેણ
favor,તરફેણ
holi song,હોળી ગીત
dashmi,દશમી
vijaya dashmi,વિજયા દશમી
vijaya dushmi,વિજયા દશમી
dushmi,દશમી
rama,રામા
raam,વિંડો
hanumaan,હનુમાન
lakshman,લક્ષ્મણ
seeta,સીતા
sita ji,સીતા જી
festivals of india,ભારતના તહેવારો
naumi,નૌમિ
navmi,નવમી
raas,રાસ
hoe,કેવી રીતે
friendship songs,મિત્રતા ગીતો
londe,લોન્ડે
laundey,લોન્ડે
soul sister,આત્મા બહેન
soul brother,આત્મા ભાઈ
soul mate,આત્મા સાથી
happiness is,સુખ છે
bahen,ડાઘ
