bobble,ڪوبہ
pleasurable,خوشگوار
rapturous,لاجواب
cheery,خوش رهو
lighthearted,نرم مزاج
jubilant,خوش مزاج
gala,گالا
fiesta,فيستا
fireplace,باه واري جڳه
fireside,فائر برائي
hose,نڙن
giveaway,انڪشاف ڪريو
pleasure,خوش آهي
snowfall,برفباري
snowdrift,برفاني حرڪت ڪرڻ
snowflake,برف پوش
snow crystal,برفاني ڪرسٽل
wintertime,سياري جي وقت
mischievous,بدبخت
hop,ماٺ
salutation,سلام ڪرڻ
carouse,ڪارون
glorify,پاڪائي ڏيو
observance,پاسا
triumph,فتح
jesus,عيسى
Good Shepherd,سٺو چرپر
King of Kings,بادشاهن جو بادشاهه
Lamb of God,خدا جو میمب
Lord of Lords,پالڻھارڙن جو اولاد
Messiah,مسيح
Prince of Peace,امن جو امير
pleasing,راضي ڪرڻ
engaging,مشغول
alluring,دلڪش
enchanting,جادو ڪرڻ
graceful,مکرم
dainty,ڏڪار
captivating,من موهيندڙ
sumptuous,نفيس
impressive,متاثر کن
dazzling,خوبي
good-looking,پيارو
ravishing,تڪڙ ڪرڻ
splendid,شاندار
elegant,خوبصورت
exquisite,شاندار
newlyweds,نڪاح
enchantment,جادو ڪرڻ
flirtation,چٻاڙڻ
courtship,عدالت جي
compassion,شفقت
datenight,ڊيٽا جي رات
beau,بو
dearest,پيارو
flame,شعله
hit on,پير ڪر
rouge,روج
appealing,اپيل
relationship goals,تعلقات جا مقصد
likeness,مشابهت
bond,ڳن
cupckae,ڪوپيڪ
cupcake,ڪوپيڪ
peach,آڙو
cutie-pie,پياري پائي
dream girl,سٺي ڇوڪري
closeness,ويجھو هجڻ
acquaintance,واقفيت
shout,کلڻ
frends,فرينڊس
pact,معاهدو
sympathy,همدردي
agony,اذيت
parting,ڌار ٿيڻ
splitsville,اسپليٽسيل
tear,ڳوڙها
new year greetings,نئين سال جون مبارڪون
kickass,مضبوط
solid,بيڪار
new year party,نئين سال جي پارٽي
NYE PARTY,نئين پارٽي
guru gobind singh,گرو گوبند سنگهه
guru govind singh,گرو گووند سنگهه
guru govind singh ji,گرو گوبند سنگهه
guru gobind singh ji,استاد گوبند سنگھ جي
festivities,جشن
observe,مشاهدو
Guru Govind Singh Jayanti,گرو گوبند سنگهه جيونتي
dance moves,نچائي هلندي آهي
spin,گهمائڻ
single ladies,ڇڙيون عورتون
beyonce,بي بنياد
michael jackson,مائيڪل جيڪسن
bollywood dance,باليووڊ ڊانس
bollywood songs,باليووڊ گانن
twerk,ٽڪرا
twerking,ٽڪرا ٽڪرا ڪرڻ
psy,نفسياتي
gangnam style,گنگنم اسٽائل
towel dance,توڪل ڊانس
jawani fir na aaye,جوان ڪڏهن به نه ايندا
jawani fir na aae,ڀ naي آ
macarena,مڪرينا
ik pal ka jeena,مان پال جيينا
ek pal ka jeena,هڪ لمحي جيئرو
hrithink roshan dance,ھريتڪ روشن ناچ
beat it,هن کي ماريو
jabardast,زبردست
one liners,هڪ لائنر
spontaneous,غير معمولي
impromptu,اڻٽر
waheguru,واهگرو
bajrang,بجرنگي
luxmi,لوڪي
balaji,بالاجي
venkateshwara,VENKATESHWARA
godesses,ديوتا
kaanha,kaanha
natraj,نٽرج
what's,ڇا آهي
yoo,تون
muhaavra,نظريا
jabar,جبار
middle finger,وچين آڱر
st. valentine,اسٽار. 
muaah,موٽو
patch up,ٺهرايو
lovestruck,پيار ڪرڻ وارو
love at first sight,پهرين نظر ۾ پيار
warm hug,گرم هگ
yours forever,ھميشہ لاءِ توھان جو
forever and always,سدائين ۽ هميشه
fights,وڙهندو
movie time,فلم جو وقت
poporn,پاپ ڪارن
international,بين الاقوامي
love you forever,سدا توکي چاھيندس
treadmill,ٽرينڊم
warm up,گرم ٿيو
push ups,ڌڪ اپ
medidation,مراقبي
om shanti om,شانتي بابت
balanced diet,متوازن غذا
jinendra,جنيندر
guru nanak,هڪ سٺو استاد
ibaadat,عبادت ڪريو
christians,عيسائي
jainism,جينزم
hinduism,هندومذهب
nanak sahib,نانڪ صاحب
sabka maalik ek,سڀني جو ماسٽر
buddhism,ٻڌ مت
buddham,بودھم
sarnam,انتباہ
gacchami,گيشمي
faith,يقين
almighty,غالب
honour,اعزاز
God is one,خدا هڪ آهي
rivals,حریف
LBW,ايل بي او ڊي
stamina,مضبوطي
royal challengers,شاهي چئلينج ڪندڙ
switch hit,سوئچ ڌڪ
reverse sweep,ريورس سوائپ
fourth umpire,چوٿون امپائر
chaukka,چار فری
no ball,بال نه
six runs,ڇهه رنس
no runs,ڪوبه رن ڪونه
white ball,اڇي بال
man of the match,مين آف دي ميچ
veg,ويڙهاڪ
non veg,غير Veg
meals,کاڌا
m loving it,مان ان سان پيار ڪريان ٿو
quenched,بجهيل
happines,خوشي
favorite meal,پسنديده کاڌو
mc puff,ايم پي پف
non veg burger,نجي ويڙهاڪ برگر
just kidding,مڙائي ڀوڳ
hahahahha,هاهاهاه
fools month,بيوقوفن جو مهينو
mauj,مزو
kadak launde,چِلا
patana,پتن
patao,پني تي
aa rahe hain,اچي رهيا آهن
cool',عمده'
cuss words,سوڙه لفظ
gujjar bhai,گجر ڀائي
track,ٽريڪ
wrestler,پہلوان
wrestler wwe,ريشل وئ
psychedelic,نفسياتي نفسيات
hallucinations,خوشامدونيون
smoke up,دونھون ڪرڻ
trippy,ٽپي
IMDB,آءِ ايم ڊي بي
release,ڇڏڻ
themes,هڪٻئي
topics,عنوانَ
gif,جيف
spider man,ڪوريئڙي جهڙو ماڻهون
wwe raw,ڊبليو خام
tussle,ٿڙ
wrestlers,پہلوان
john cena,جان سينا
BOBBY ROODE,بابي روڊ
Alexa Bliss,الڪسا بلس
Trish Stratus,ٽرش اسٽراٽ
Naomi,نومي
Mickie James,مکي جيمز
Asuka,اسڪوڪا
Alicia,ايليشيا
Neville,نيويل
Great Khali,عظيم خيالي
Dean Ambrose,ڊين امبروز
Brock Lesnar,بروڪ ليسنر
damm,مٽي
dangdut,ڊنگ ڊٽ
hari merdeka,آزادي جو ڏينهن
lomba,ڊوڙ
tujuhbelasan indonesia,ست گنا انڊونيشيا
independece day,آزادي جو ڏينهن
royal enfield,شاهي فيلڊ
imran hashmi,عمران هاشمي
shradha,عزت
have a dog,هڪ ڪتو آهي
tomy,ٽامي
manali,منالي
simla,سملا
ab toh kar le,ھاڻي ڪريو
ladakh,لداخ
is saal,هن سال
ab toh,ھاڻي
valentine gif,ويلنٽائن گف
love gif,پيار گف
propose gif,گف پيش ڪيو
reebok,ريبوڪ
bahna,مٽي
New year 2019,نئون سال 2019
iss saal soch badal daal,بدلي هن سال
chit-chat,چِٽ-چيٽ
office-office,آفيس-آفيس
coulege,ساٿي
kumbhkaran,اڪرياريس
wakey,جاڳي
suna,سڏ
occupied,قبضو ڪيو
tied,ڳنيل
busy bee,مصروف مک
bohat,bohat
complaining,شڪايت ڪرڻ
seeking,ڳولڻ
chale,ڇڏ
openning,کلندڙ
waving,لہرائڻ
arey,بس اهو آهي
knock knock,ٺڪ ٺڪ
suno,سنو
pointed,اشارو ڪيو
wheeler,ويلرر
two wheeeler,ٻه wheelيٿي ڏيندڙ
see saw,ڏسن
snow mountains,برف جا جبل
shiny,چمڪندڙ
decoration,سينگار
guyy,گانو
bringing,آڻڻ
merry xmas,ميري ڪرسمس
cristmas,ڪرسمس
enter,داخل ڪريو
youve,تون آهين
mischieve,غلط فهمي ڪرڻ
mischievious,غلط ورتل
sited,بيٺو آهي
fiance,منگيتر
hlding,نوڪري
cutness,وحدت
listing,لسٽنگ
bab,باب
goals,مقصد
strumming,ڏڪڻ
forvever,سدائين
bed time,سمهڻ جو وقت
late night calls,رات جو فون ڪالون
chats,چٽس
conference,ڪانفرنس
chuddi,لڪايو
fooling,بيوقوف بڻائڻ
lounge,لائونج
tearup,ڳوڙهو
tore up,تنگ ڪيو
chuddy,مٺي
childhood friend,ننڍپڻ جو دوست
popcorn tub,پاپ ڪارن ٽيوب
theater,ٿيٽر
hung,پھانسي
soulsister,روحاني
slaying,قتل ڪرڻ
zone,علائقو
crack,ڀڃي
toot,ٽوٽو
bruhs,برهم
hi5,شڪي
sodey,جج
jagah,جاءِ
soda,سوڈا
fill,ڀريو
pour,لاءِ
spilling,اسپلنگ
coolio,کوليو
bha,اهو نڪتو
mada,اڃا
fakka,فائڪا
dj set,ڊي جي سيٽ
console,ڪنسول
wants,چاهي ٿو
pictchers,تصويرون
janna,پيراڊائيز
chahta,لاءِ انعام گهربل
sit,ويهو
private,نجي
privately,نجي طور تي
lekin,پر
good bye,خدا حافظ
petey,وٺڻ
thubs,ٿڪ
heyya,ڇايا
thats,انهي
arghhhh,ارهو
puzzled,حيران ٿي ويو
pictures,تصويرون
gangnam,گنگنم
campagne,ڳوٺاڻا
caprio,caprio
gentle man,نرم ماڻهو
masks,ماسڪ
sprinkle,هليل
dushman,دشمن
haters,نفرت ڪرڻ وارا
Happy Gurpurab,خوش پوربخ
Guru Govind Singh Jayanti in India,هندستان ۾ گرو گوبند سنگهه جيونتي
joining,شامل ٿيڻ
gurpurab,گرپورب
khanda,کھنڊا
beyonce dancing,بي رقص رقص
hrithik roshan,هاٿڪ روشن
hrithik dancing,رقاصه ناچ
girl dancing,ڇوڪري ناچ
salmaan khan dancing,سلمان خان ناچ
got this babe,هن کي ٻار مليو
sexy dance moves,sexy رقص ڪري ٿو
cha cha,چا چا
cha cha cha,چا چا چا آ
oppa,اوپا
watch my swag,منهنجو swag ڏس
moonwalk,چنڊ واڪ
moonwalking,چنڊ چڙهڻ
moon walking,چنڊ چڙهڻ
moon walk,چنڊ چڙهڻ
man dancing,ماڻھو نچڻ
oppa gangnam style,اوپا گنگنم اسٽائل
guy dancing,ڇوڪرو ناچ
boy dancing,ڇوڪرو نچڻ
ted,ٽيڊ
round,گول
arent,اصرار
ape,بندر
chimpanzee,چمپئنزي
disgusting,ناگوار
specticles,چشما
chimp,چيمپ
siet,تڪڙ
hungover,بائيڪنگ
upgrading,اپ گريڊيشن
documents,دستاويز
mustache,مونچھون
french,فرانسي
deleted,ختم ٿيل
account,کاتو
offline,آف لائن
fateh,کوليو
wahe,وهواه
dev,ديو
jab,جبب
kripa,لوڻ
shee,شي
raamnavmi,رمناوامي
vaishno,وشنو
banke,بينڪ
vighn,تڪرار
harta,نقشي
karta,نقشو
ganeshaye,گنيشا
namha,نالو
maurya,موريا
venkateswara,Venkateswara
saibaba,Saibaba
vaishnu,وشنو
barjangbali,barjangbali
tod,ڇڙو
nali,ڪي
mouriya,موريا
bhadiya,بگھڙ
chauchak,چوڪ
hipster,هپسٽر
speakers,ڳالهائيندڙ
dawat,دعوت ڏيڻ
kumbkaran,سيل
muaaf,معاف ڪرڻ
eiffel,ايفل
snapchat,سنيپ چيٽ
oke,ٺيڪ آهي
oki,مان پرواهه ڪريان ٿو
doke,ڊپ
dokey,دوڪي
kameene,مادري پيءُ
haraami,واپرائڻ
that's,اهو آهي
okey,ٺيڪ
clapping,ڌڪ هڻڻ
yey,هن
rehne de,سان دشمني
unki,سندن
hoti,هوندو
jinki,جنکي
jhandbaa,جهنڊي
ghamandbaa,فخر ڪيو
gram,گرام
hojayegi,ڪرندي ويندي
jayegi,وڃي ويندو
dip,ڊپ
sone,زون
hass,بچو
ander,ٻيو
ashleel,اسيل
nanga,نانگا
takraoge,ٽُڪر ڏيندا
choor,ڇڙ
hojaoge,توهان حاصل ڪندؤ
walnut,اخروٽ
phrase,جملو
muhavra,نظريا
tricolor,ترنگا
airoplane,هوائي جهاز
airpane,هوائي جهاز
jet,جيٽ
tircolor,ترنگا
jind,سڪ
deol,ديول
kite flying,پتنگ اڏام
rooftop,ڇت
roof,ڇت
patangbaazi,لغڙ اڏام
let's,اچو ته
pongli,پونگ
lodri,Lodr
wadhayi,گڏيل
bhanngra,نازڪ
giddha,گدھ
bonfire,باهه جو الاءِ
shivaye,شيوا
shivraatri,شروتري
naag,عورت
panchmi,پنچمي
selfie stick,Selfie stick
lagenge,وٺندس
pelne,مڪمل
lagoge,ڏسندو
khelne,کيڏڻ
jaha,آه چڱي
padh,پڙهو
rah,رح
chuke,ڪيو هو
giploma,ڊپلوما حاصل ڪيو
destroy,تباهه ڪيو
destroys,تباهه ڪري ٿو
life lesson,زندگي جو سبق
accident,حادثو
purpose,مقصد
watersplash,پاڻي جي تري ۾
balam pichkari,بام پيچواري
coloured water,رنگدار پاڻي
proud women,نازڪ عورتون
proud woman,نازڪ عورت
made for each other,هڪٻئي لاءِ ٺاهيا ويا
love birds,پکين سان پيار
loveable,پيار ڪندڙ
valentine 's day,ويلنٽائن ڊي
4eva,شييو
love you always,توسان هميشه محبت رک
adore,ساراهيو
as sweet as chocolate,چاڪليٽ جيترو مٺو
lets',اجازت ڏيو
you are my life,تون منهنجي زندگي آهين
valnetine,ويلنٽائن
jaaanu,زينين ڇا آهي
love you alot,تمام گھڻو پيار ڪريان ٿو
love you so much,توسان ڏاو پيار ڪندس
token of love,پيار جو نشان
thats',اھا '
in the gym,جم ۾
fitness goal,فٽنيس گول
body and soul,جسم ۽ روح
dumbles,گونگا
shanti shanti shanti,امن سڪون امن
om chant,شانت بابت
stopping,روڪڻ
jog,جاگ
eary morning,صبح سوير
zat,ويٺو
fitness comes first,فٽنيس پهرين ايندي آهي
relieve,ڇوٽڪارو ڏيڻ
beating stress like,زور سان وهڻ
chaos,افراتفري
heart out,ٻاهر نڪرڻ
regret,افسوس
enna,ڇا
mind it,ان کي ڌيان ڏيو
thalaivaa,Portico
heropanti,هيروپنٽي
sun na,مان آهيان
jalti hai,برنس
i like you,آئون توهان کي پسند ڪريان ٿو
good friends,سٺا دوست
hook me up,مونکي ڇڪايو
dudevorce,dudevorce
betrayal,دغا ڏيڻ
bonding,ڳن .ڻ
happy bday,سالگراه مبارڪ
hour,ڪلاڪ
light energy,هلڪي توانائي
darkness,اونداهي
no lights,روشنيون نه
lights off,روشنيون بند ٿيون
zero visibility,صفر نمائشي
movement,تحريڪ
groove,نري
Sai ka saath,سا جي ساٿ
sab maalik ek,سب مالڪ هڪ
worries,پريشاني
Saranam,Stanza
Lord Buddha,آتم بدھ
nam myoho renge kyo,شايد نالو جو ريج ڇو
jai jinendra,جيئي جنندرا
believers,مومن
mary,مري
God is once,خدا هڪ دفعو آهي
Lord jesus,خداوند عيسيٰ
preacher,مبلغ
cover,ڪڻ
wheels,ويلز
greed,لالچ
want one,هڪ گهرجي
wanna be,ٿيڻ چاهيان ٿو
donalds,ڊالڊس
friench fries,فرنچ فرائيز
para pa pa,pa pa لاءِ
no share,حصو ناهي
nom nom  nom,نالو نالو نالو
hate sharing,نفرت سان ورهائڻ
potato fries,آلوءَ جا مڇي
priority,ترجيح
yumm,يار
happy april fool,اپريل فول مبارڪ
hindi new year,هندي نئون سال
shubhkamnayein,نيڪ تمنائون
best wishes,نيڪ تمنائون
gudi padwa,تون واقعي نه آهين
happy gudi padwa,خوش گوئي پاڊوا
congratulation,مبارڪون
travel story,سفر جي ڪهاڻي
ehsas,تڪراري
items,شيون
bazar,بازار
kharidari,خريداري
achanak,اوچتو سڀ
larki,لانڪي
paheli,پہیلی
flip,فلپ
ungli kerna,آ fingerريون ڏيڻ
ungli dikhana,آ fingerريون ڏيکار
gali dena,ڊينا ٿي سگهي ٿو
alvida,خدا حافظ
chalta hoon,چڙهندو
jaraha hoon,مان آهيان
larka,گهڻو ڪر
admi,ايڊ
accha hai,آڳاٽو آهي
troll,ٽرول
ungli dekhana,آريون ڏسڻ
ungli karna,آ fingerريون ڏيڻ
sunyeah,خاموش
pukarna,ٻاهر موڪلايو
gana,جيت
suwagatam,ڀليڪار
haat,نفرت
birdu,BrdU
notepad,نوٽ پيڊ
interview,انٽرويو
sundar,خوبصورت
malik,ملائيڪ
chairman,چيئرمين
vip,ويپ
honeymoon,ڌنيواد
naachna,نچڻ
rowdy,قطار وارو
bajana,کيڏڻ
vespa,ويسپا
batli,بلي
takya,تڪا
pent,پينٽ
party bombs,پارٽي بم
party bombers,پارٽي بمبار
recruit,ڀرتي
hire,ڪرائي تي ڏيڻ
taanka,سٿرو
duddies,دوست
biddu,پڇا ڳاڇا
bhai chara,ڀائي چيرا
budddies,دوست
drees,ڊيون
goggle,گاهه
dosit,Dosit
aniverssary,ورسي
saalgira,سلگرا
choorna,پائوڊر
gheerna,gheerna
hirt,هارٽ
sunder,خوبصورت
hud,جلد ئي
vyast,مصروف
conservative,قدامت پسند
target,نشانو
maarna,موٽيو
laundiya,لنڊيا
moove,موڙي
ugadi,اڊيڊي
artri,آرٿري
arti,يعني معني
chaaand,چووند
auraat,عورتَ
ungli korna,جوان مکڻ
chummban,چمبان
Farishta,فرشتو
bhaloo,ڏاو سٺو پڻ
galey milna,ملنا ۾ داخل ٿيو
naive,اڻveاڻ
hameshaa,هميشه
shitr,چادر
fitness girl,فٽنيس ڇوڪري
kasrat,هڪ مشق
stretching,وڌائڻ
fitness boy,فٽنيس ڇوڪرو
refresh,ريفريش
taat,فرمانبردار
uga,کان
lein,لڪير
jashan,جشن
natan,ناتن
rupea,ٽوڙڻ
paisawala,paisawala
ameer,دولتمند
shakira,شاڪيرا
badword,خراب لفظ
101,101
kabootaron me,ڪبوتر ۾
batunga,اهي پنهنجا آهن
cannabis,ڀنگ
kabooter,ڪئبوٽر
charsi,charsi
cocain,ڪوڪين
charas,خوشي
ladkaadmi,ڇوڪرو
pighal,ڳري وئي
ria,رويا
Shannu,شان واري ڪاوڙ
medical,طبي
dawa khana,دوا کائو
Bholi,نائي
kitne,نيري
loss,نقصان
10kg,10 ڪلو
10 days,10 ڏينهن
Itne,itne
yehi,اهو
milega,حاصل ڪندو
jens,جينس
mohabbot,پيار
woma,بيوا
Suresh,سريش
all rounder,سڀ رائونڊر
hardees,سختيون
zinger,زنگر
tables,ٽيبلون
disco outfit,ڊسڪو ڪپڙو
Tea leaf,چانھن جا پن
willpower,طاقت
joggers,جوڳي
running shoes,هلندڙ جوتے
puma,پوما
adidas,ايڊيڊاس
green dress,سائي لباس
neck piece,ڳچي جو ٽڪرو
Gym outfit,جم جو لباس
Selfie queen,Selfie راڻي
Casual tees,آرامده ٽي
Colourful bags,رنگين ٿيل ڪپڙا
Longskirt,ڊگھي اسڪرٽ
Funky tshirt,Funky tshirt
Lid box,لڙهي باڪس
Black top,ڪارو مٿي
Casual tee,آرامده ٽي
Party dress,پارٽي جو لباس
Polka dot,پولش عورت
Flashtshirt,فليش شرٽ
gotta,گيتا
fawad khan,فواد خان
photos,تصويرون
gadget,گيجٽ
unlimited,لامحدود
sauda,ھا
faide,وڌيڪ
hotspot,هاٽيڪٽ
Helicopter shot,هيليڪاپٽر شاٽ
medium,وچولي
juban,جهليو
irfan,عرفان
amithabh,اميتاڀ
girlsfriend,پياري
bahu,ڪلهير
triple,ٽيڻا
undertaker,واپاري
taker,وٺڻ وارو
shawn,شانو
henry,هينري
kofi,ڪوفي
kane,ڪيين
backdrop,پسمنظر
jhon,جيون
wretler,پهلوان
daniel,ڊينيئل
ziggler,هٽلر
they,اهي
bouncy,اچار
surma bhopali,سرما ڀوپالي
diana,ڊائنا
hippolyta,هپولائيٽ
bay,ڪنارو
drowning,ڏڪڻ
i've,آء وڃان
roll up,ويڙهڻ
sunrays,سج جا ڪرڻا
topper,چوٽي وارو
examinations,امتحان
questions,سوال
answers,جوابَ
movie star,فلمي ستارو
bieber,بيبر
pun,پڻ
lipsink,لپ جي هم وقت سازي
justine,جسٽن
dhinchik,Dincik
thug life,ٺگ زندگي
tending,چڙ ڏياريندڙ
picnic,پڪنڪ
sakinaka,ساڪيناڪا
fidget,نصيب
buster,بسٽر
pankhha,ونگون
burster,پٽيو ڪندڙ
ghoom,سو کڻو
ayenge,اچي ويندو
bubbye,بليبي
Shani,شاني
maharaj,مهاراج
cruise,بحري سفر
khate hain,چوي ٿو
booked,بک ڪيو ويو
sajan,بندوبست ڪريو
bajaiyo,بازائي
sohel,سھيل
fauzi,فوزي
panjabi,پنجابي
daljeet,ڊالجٽ
booking,بڪنگ
Sholey,شوري
dharmendra,ڌرمندر
minion,منٽ
dedh foot,ڏي and فوٽ
bawal,منع ٿيل آهي
kavach,آرمور
wiskey bottle,واسي بوتل
pettels,پينل
petteles,Pettels
magic stick,جادو جي چٺ
parlour,پارلر
street lamp,گهٽي جو چراغ
bagavan,Bhagwan
bellones,bellones
head phones,سر فون
exteerier buildings,اعليٰ عمارتون
khurta,هڪ برفاني طوفان
pattar,knockers
boundry,حد
ghera,حلقو
baada,کانپوءِ
flower boquet,گلابي گلاب
pushpa gucha,گلن جو ڪلستر
greeting card,گريٽنگ ڪارڊ
bond fire,باهه جي باهه
exteerier,وڏي پيماني تي
foot path,پير جو رستو
uddass,uddass
lined tshirt,لينر ٿيل شارٽ
dhothi,دھوٽي
bagwan,باغباني ڪندڙ
fencing,باڑ ڏيڻ
colour's,رنگ
dumball,دلبل
dumball, kachaa,ڊبل ، ڪچي
joothe,جوتے وارا
himmmat,همٿ
sleeping panda,سمهڻ پانڊا
sota bhalu,سدا خوشقسمت رهو
bowls,جايون
beer mugs,بيئر مگ
katore,ڪنوليون
chiken,ڪلينڪل آزمائشي
daaruu,ان کي ورايو
taditional wear,روايتي لباس
sri ram god,سري رام خدا
sri ram,سري رام
bagawan,باگون
patterened tshirt,نموني جي قميص
colourful tshirt,رنگين قميص
pagal pyaar,پاگل پيار
paijama white,پائيجي اڇا
shiva ling,شو لنگا
bhagavan,ڀاگاون
two guys,ٻه ماڻهو
doost,دٻو
trowser,پتلون جي
nikker,nods
middle fineger,وچين آڱر
lord krishna,لارڊ ڪرشنا
desi shirt,ديسي شرٽ
bagvan sri krishna,باگوان سري ڪرشن
bhagavan bakthi,رب سان عقيدت
chai cup,بوتل جو پيالو
sugar cane,ڪمند ڪيريو
cheeni,ٻني
triipy,ٽپي
sikka,سِڪا
paper bowl,ڪاغذي پيالو
plate aarti,پليٽ آرٽي
moti choor laddu,موتي چور لدو
evil eye,بدڪ اکين
nazar rakshak,اکين جو محافظ
cork,ڪڪڙ
tred mill,تجارت مل
birthaday,سالگراه
janam din,سالگره
key board,ڪي بورڊ
mobilel,موبل
zanda,زنده
doothi,کير
Fauj,فوج
lohe ka danda,لوه جو ڀريل
desh premi,ملڪ جو عاشق
glass, ice, bottle,گلاس ، برف ، بوتل
daaru, baraf, botal,شراب ، برف ، بوتلون
happy, sad,خوش ، اداس
khush, udas,خوشگوار ، اداس
happy, swag, excited,خوشي ، ڳوڙها ، پرجوش
khush, tashan, utsuk,خوشحال ، توشين ، شوقين
confident, swag, happy,اعتماد ، swag ، خوش
atmavishwas, tashan, khush,آتوش واسو ، تششان ، خشڪ
confident, happy,اعتماد ، خوشي
bat, ball, wicket,بيٽ ، بال ، وڪيٽ
atmavishwas, khush,ايٽفيواس ، خشڪ
balla, gend,تي اچو ، جينڊ
headlight,هيڊ لائٽ
sheher,چهري
lord venkateshwar,لارڊ وينڪٽيسوارا
venkteshwar,وينڪٽيسوارا
kruta,بيڪار
banner,بينر
thong,ٿڪ
tiles,ٽائلس
bear suit,برداشت ڪرڻ
anrgry,ڪاوڙيل
pane,ڇانو
dance floor,ڊانس جو فرش
kamra,ڪمرو
doors,دروازا
awaz,آواز
kriya,فعل
prakash,پرڪاش
netted,نيٽو
chana hua,فليش گلن
eiffel tower,ايفل ٽاور
river,ندي
sanfals,صفائي
wrestling ring,جدوجهد جو انگو
Taja mahal,تاج قيمتي
desh bhakti,وطني
burgers,برگر
phatta,اٽڻ
lehrein,موجون
koonda,جوڙڻ
chokor,چوڪر
thred,ٿڪجي ويو
smiley,مسڪراهٽ
shitt,shitt
doller,ڊالر
rist band,تڪڙي بينڊ
stupa,اسٽوپا
sanchi,بڻ
sanchi stupa,سانچي اسٽوپا
tutna,Tutne
bhagwan ji,آقا
seats,سيٽون
mukti,ڇڏڻ
rashtrapti,صدر
undergarments,ڪپڙو
sakth,سخت
agya,اکل
chandama,چنڊ
chandra,چندر
manzile,منزلن
celabrations,جشن
ribbons,رِبن
Khish,ڪِش
stage show,اسٽيج شو
cricket ball,ڪرڪيٽ بال
Embarrassed,جذباتي ٿي ويو
Sharamnaak,شرمناڪ
rona,رونا
aasoon,آسو
moile,ميل
Wresting ring,جدوجهد انگو
handi,عظيم
papaer,ڪاغذ
ranholi,واڙو
jhopadi,هٽ
chooriya,iaريا
taara,اهي آهن
lord balaji,لارڊ بالجي
champion belt,چيمپيئن بيلٽ
fidget spinner,فڊٽ اسپنر
aansoo,ڳوڙها
pade,ڪوڙيندي
hand gloves,هٿ جا دستانا
broken heart,ٽٽل دل
thoota dil,بلٽ ڊل
library,لائبريري
pustaken,ڪتابَ
pustakaalay,لائبريري
wine glasses,شراب جا گلاس
traditional saree,روايتي ساڙي
champange bottle,شيمپين جي بوتل
upakaran,مواد
sadak ka deepak,گهٽي جو چراغ
pressure coocker,پريشر ڪڪر
chamchal,Chanchal
bhandara ghar,اسٽور هائوس
blows,ڌڪَ
kuchi,وات
tilak,تيلڪ
\frock,\ ڇڪ
fense,گلابي
waheguru ji,واهگرو جي
shani dev,شاني ديو
katar,ڪتار
santa dress,سانتا لباس
fidget spiner,فڊٽ اسپنر
tshir,ٽي شرٽ
winter cap,سياري جو ڪيپ
christmas ped,ڪرسمس پيڊ
see-saw, santa claus,ڏسو ، سينٽا کلاز
bicycles,سائيڪلون
shirtl,شرٽ
tairaakee poshaak,ترڪي لباس
turturi,ڪمي
dana,فنڊ
romace,رومانس
green board,گرين بورڊ
hara board,هار بورڊ
shower watering pot,شاور کي پاڻي ڏيڻ جو برتن
jutel,جٽل
pani wala bartan,پاڻي وارو برتن
ice cream store,آئس ڪريم جو دڪان
ice cream dukan,آئس ڪريم دڪن
dancing challa,ناچنگ چال
kele ka chilka,ڪلي ڪي چالڪا
joint, pant, t-shirt,,گڏيل ، پنڊ ، ٽي شرٽ ،
t-shirt,,ٽي شرٽ ،
aa gaya apna sathi,هتي توهان جو ساٿي اچي ٿو
Lesnar,ليسنر
dean,ڊين
ambrose,متحرڪ
mickie,مکي
james,جيمس
Tirsh,ويرانو
stratus,اسٽيٽيس
Alexa,الڪسا
khushii,خوششي
moble,فرنيچر
lord shiva idol,ديوتا شيوا بت
happy, worship,خوشي ، عبادت
dud,دڙو
ansmanjas,انسمانس
playground,راندين جو ميدان
khel maidan,راندين جو ميدان
yoga clothes,يوگا ڪپڙا
lighthouse,لائيٽ هائوس
running clothes,هلندڙ ڪپڙا
happy, lagan,خوشي ، لگان
dridta,پختگي
workout clothes,ورزش جي ڪپڙا
teddy bear toy,ٽيڊ بيئر رانديڪا
teady bear costume,ٽيلي بيئر لباس
bhalu vali paushak,بي لباس
teddy bear paushak,ٽيڊ بيئر لباس
bhalu ka costume,بچو ڪپڙا
bhalu vala khilona,رانديڪو برداشت ڪريو
bhalu vala toy,ڇوڪرو خالص رانديڪا
vahan,اتي
aura,اورا
daera,ڊائريا
gola,ننگو
bewakuf,بيوقوف
ganesha idol,گنيشا بت
bhagwan ganesh ki murti,لارڊ گنيشا آئيڊيل
hawaijahaj,هوائي جھاز
nakaratmak,ناڪاري
lines,لڪيرون
lakeere,لڪير
lord rama,لارڊ راما
blessed,برڪت وارو
bhagwan raam ki murti,خدا بھگوان جو بت
sadhak,چاهيندڙ
red carpet,ڳاڙهو قالين
excied,پرجوش
lakire,لڪير
bamb,بم
surakshit,محفوظ
graduation cap,گريجوئيشن ڪيپ
graduation ki topi,ڇا هڪ گريجوئيشن ٽوپي
super hero costume,سپر هيرو لباس
super hero paushakh,وڏيرو لباس
trademill,واپار جو واپار
thale,ٿلي
ilzam,الزام
bands,بينڊ
chidhana,چتاءُ
shcoked,شديد
bhagwan ki murat,خدا جي تصوير
rink,رِڪن
trunk,ٿڙ
