bobble,ಬಬಲ್
strange,ವಿಚಿತ್ರ
beasts,ಮೃಗಗಳು
taane,ತಾನೇ
daat,ಅದು
vaccation,ರಜೆ
promotion,ಪ್ರಚಾರ
bugsbunny,ಬಗ್ಸ್‌ಬನ್ನಿ
mojojojo,ಬಟನ್ ಪ್ಲೇ ಮಾಡಿ
swatcats,ಸ್ವಾತ್ ಕ್ಯಾಟ್ಸ್
hotty,ಹಾಟಿ
moveon,ಮುಂದೆ ಸಾಗುತ್ತಿರು
gaend,ಚಳಿಗಾಲ
howzat,ಹೌಜಾಟ್
paa,ಮೇಲೆ
thode,ಕೆಲವು
loony,ಲೋನಿ
walt,ವಾಲ್ಟ್
assalam,ಇಸ್ಲಾಂ
alaykum,ನಿಮ್ಮ ಮೇಲೆ
lillysingh,ಲಿಲ್ಲಿಸಿಂಗ್
lilly,ಲಿಲ್ಲಿ
manjeet,ಮಂಜೀತ್
videos,ವೀಡಿಯೊಗಳು
bakwaas,ಕಸ
sikhayega,ಕಲಿಸುತ್ತದೆ
rulez,ರೂಲ್ಜ್
slangs,ಆಡುಭಾಷೆಗಳು
thatman,ಆ ಮನುಷ್ಯ
rangde,ಬಣ್ಣಗಳು
committed,ಬದ್ಧವಾಗಿದೆ
des,ನ
rajasthani,ರಾಜಸ್ಥಾನಿ
calcutta,ಕ್ಯಾಲ್ಕುಟ್ಟಾ
premier,ಪ್ರಧಾನ
winners,ವಿಜೇತರು
sunriser,ಸೂರ್ಯೋದಯ
nakko,ನಕ್ಕೊ
laagao,ಓಹ್ ಹೆಚ್ಚು
biryanipower,ಬಿರಿಯಾನಿಪವರ್
bangalore,ಬೆಂಗಳೂರು
blore,ಬ್ಲೋರ್
bengaluru,ಬೆಂಗಳೂರು
mcbc,mcbc
oolala,oolala
maacha,ಮಾಚಾ
chase,ಚೇಸ್
eleven,ಹನ್ನೊಂದು
xi,ಸಂತೋಷವಾಗಿದೆ
yuvi,ಯುವಿ
yuvraj,ಯುವರಾಜ್
miller,ಮಿಲ್ಲರ್
fatte,ಮುಗಿದಿದೆ
fafda,ಶಿಟ್
faafda,ಸಾಂಕ್ರಾಮಿಕ
thepla,ಥೆಪ್ಲಾ
jaddu,ಜಡ್ಡು
daredevil,ಡೇರ್ಡೆವಿಲ್
harbajan,ಹರ್ಭಜನ್
rising,ಏರುತ್ತಿದೆ
pune,ಪುಣೆ
poona,ಪೂನಾ
giant,ದೈತ್ಯ
supergiants,ಸೂಪರ್‌ಜಿಯಂಟ್ಸ್
supergiant,ಸೂಪರ್ಜೈಂಟ್
misal,ಉದಾ.
notout,ನಾಟ್ out ಟ್
superkings,ಸೂಪರ್‌ಕಿಂಗ್ಸ್
padukone,ಪಡುಕೋಣೆ
deewani,ವ್ಯಸನಿ
naya,ಹೊಸದು
byebye,ಬೈಬೈ
mubaraka,ಮುಬಾರಕ
bits,ಬಿಟ್ಸ್
pilani,ಪಿಲಾನಿ
cig,ಸಿಗ್
marlboro,ಮಾರ್ಲ್ಬೊರೊ
gate,ಗೇಟ್
gre,ಅದು ನಡೆಯುತ್ತಿದೆ
gmat,gmat
lingo,ಲಿಂಗೋ
univ,ಯುನಿವ್
byd,ಪ್ರಪಂಚ
gtb,gtb
patelchest,patelchest
patel,ಪಟೇಲ್
vishwavidyalaya,ವಿಶ್ವವಿದ್ಯಾಲಯ
vishwa,ವಿಶ್ವ
hudsonlane,ಹಡ್ಸನ್ಲೇನ್
lane,ಲೇನ್
abvp,ಕನಸು
lsr,lsr
srcc,srcc
khalsa,ಖಲ್ಸಾ
ballichai,ಬಲ್ಲಿಚೈ
audo,ಆಡಿಯೋ
udaao,ದೊಡ್ಡದು
udao,ಧ್ವನಿ
rehena,ರೆಹೆನಾ
jorse,ಜಾರಿಯಲ್ಲಿದೆ
zorse,ಜೋರಾಗಿ
dhadak,ಧಡಕ್
misunderstand,ಅಪಾರ್ಥ
nandgopal,ನಂದಗೋಪಾಲ್
serial,ಸರಣಿ
advertisement,ಜಾಹೀರಾತು
literature,ಸಾಹಿತ್ಯ
commercial,ವಾಣಿಜ್ಯ
display,ಪ್ರದರ್ಶನ
religion,ಧರ್ಮ
roommate,ರೂಮ್‌ಮೇಟ್
bakchod,ಬ್ಯಾಚ್‌ಕೋಡ್
U.S.,ಯು.ಎಸ್.
poll,ಮತದಾನ
U.S.A.,ಯುಎಸ್ಎ.
cult,ಆರಾಧನೆ
ghostly,ಭೂತ
careless,ಅಸಡ್ಡೆ
filthy,ಹೊಲಸು
stained,ಬಣ್ಣದ
campaigning,ಪ್ರಚಾರ
nibble,ನಿಬ್ಬಲ್
chew,ಅಗಿಯುತ್ತಾರೆ
hog,ಹಾಗ್
plump,ಕೊಬ್ಬಿದ
greedy,ದುರಾಸೆ
too lazy,ತುಂಬಾ ಸೋಮಾರಿ
rest day,ವಿಶ್ರಾಂತಿಯ ದಿನ
day off,ರಜೆಯ ದಿನ
mornings,ಬೆಳಿಗ್ಗೆ
recline,ಒರಗಿಕೊಳ್ಳಿ
sit back,ಕುಳಿತುಕೊಳ್ಳಿ
unproductive,ಅನುತ್ಪಾದಕ
lethargic,ಆಲಸ್ಯ
Shivaji Rao Gaekwad,ಶಿವಾಜಿ ರಾವ್ ಗೈಕ್ವಾಡ್
kabali,Kabali
dialogs,ಸಂವಾದಗಳು
coolest,ತಂಪಾದ
Balla Bol,ಬಲ್ಲಾ ನೋವು
test match,ಪರೀಕ್ಷಾ ಪಂದ್ಯ
sport,ಕ್ರೀಡೆ
third umpire,ಮೂರನೇ ಅಂಪೈರ್
trial,ಪ್ರಯೋಗ
ninties,ತೊಂಬತ್ತರ ದಶಕ
90s,90 ರ ದಶಕ
longing,ಹಾತೊರೆಯುವುದು
the days,ದಿನಗಳು
puberty,ಪ್ರೌಢವಸ್ಥೆ
schooldays,ಶಾಲಾ ದಿನಗಳು
teens,ಹದಿಹರೆಯದವರು
teen age,ಹದಿಹರೆಯದ ವಯಸ್ಸು
adorable,ಆರಾಧ್ಯ
looney,ಲೂನಿ
beloved,ಪ್ರಿಯ
alvin and the chipmunk,ಆಲ್ವಿನ್ ಮತ್ತು ಚಿಪ್‌ಮಂಕ್
sarabhai family,ಸರಭಾಯ್ ಕುಟುಂಬ
mummas boy,ಮುಮ್ಮಾಸ್ ಹುಡುಗ
humor,ಹಾಸ್ಯ
satire,ವಿಡಂಬನೆ
funniness,funniness,
humorous,ಹಾಸ್ಯಮಯ
amusing,ಮನರಂಜಿಸುವ
laughable,ನಗು
Indravadan Sarabhai,ಇಂದ್ರವಾಡನ್ ಸರಭಾಯ್
Saahil Sarabhai,ಸಾಹಿಲ್ ಸಾರಾಭಾಯ್
pyaari maa,ಪ್ರೀತಿಯಲ್ಲಿ
Madhusudan,ಮಧುಸೂದನ್
Middleclass,ಮಧ್ಯಮ ವರ್ಗ
poems,ಕವನಗಳು
ridicule,ಅಪಹಾಸ್ಯ
irony,ವ್ಯಂಗ್ಯ
bitterness,ಕಹಿ
poet,ಕವಿ
writer,ಬರಹಗಾರ
script,ಸ್ಕ್ರಿಪ್ಟ್
Chindi Dost,ಚಿಡಿ ದೋಸ್ತ್
playmate,ಪ್ಲೇಮೇಟ್
best friend forever,ಅತ್ಯುತ್ತಮ ಸ್ನೇಹಿತ ಎಂದೆಂದಿಗೂ
kunjoos,ಯಾವಾಗ
ridiculous,ಹಾಸ್ಯಾಸ್ಪದ
nudge,ತಳ್ಳು
pick on,ಆರಿಸಿ
taunt,ನಿಂದಿಸಿ
pocketbook,ಪಾಕೆಟ್ಬುಕ್
poke,ಇರಿ
wage,ವೇತನ
bucks,ಬಕ್ಸ್
moolah,ಮೂಲಾ
borrrow,ಎರವಲು
taxi fare,ಟ್ಯಾಕ್ಸಿ ಡು
auto bill,ಸ್ವಯಂ ಬಿಲ್
auto ride,ಸ್ವಯಂ ನಗುತ್ತದೆ
justification,ಸಮರ್ಥನೆ
last-minute,ಕೊನೆಗಳಿಗೆಯಲ್ಲಿ
deadline,ಗಡುವು
tasks,ಕಾರ್ಯಗಳು
office mein late,ಆಫೀಸ್ ಮೇ ತಡವಾಗಿ
thanda matlab,ಕೂಲ್ ಮೀನ್
boy drinking,ಹುಡುಗ ಕುಡಿಯುವುದು
water shortage,ನೀರಿನ ಅಭಾವ
bathrobe,ಸ್ನಾನಗೃಹ
freshen up,ಹೊಸದಾಗಿ
gandi,ಗಂಡಿ
mini mouse,ಮಿನ್ನೀ ಮೌಸ್
bollywood style,ಬಾಲಿವುಡ್ ಶೈಲಿ
indian festivals,ಭಾರತೀಯ ಹಬ್ಬಗಳು
deep,ಆಳವಾದ
diwali holidays,ದೀಪಾವಳಿ ರಜಾದಿನಗಳು
diwala,ಪೂರೈಸು
diwali celebration,ದೀಪಾವಳಿ ಆಚರಣೆ
moods,ಮನಸ್ಥಿತಿಗಳು
singlehood,ಸಿಂಗಲ್ಹುಡ್
old days,ಹಳೆಯ ದಿನಗಳು
childhood days,ಬಾಲ್ಯದ ದಿನಗಳು
80s,80
ha ha,ಹ ಹ
against,ವಿರುದ್ಧ
thrill,ಥ್ರಿಲ್
thrilling,ರೋಮಾಂಚಕ
saviour,ಸಂರಕ್ಷಕ
stan lee,ಸ್ಟಾನ್ ಲೀ
Raju Rai,ರಾಜು ರೈ
supervillains,ಮೇಲ್ವಿಚಾರಕರು
battles,ಯುದ್ಧಗಳು
Toonami,ತೂನಾಮಿ
adventurous,ಸಾಹಸ
venture,ಸಾಹಸೋದ್ಯಮ
start up idea,ಕಲ್ಪನೆಯನ್ನು ಪ್ರಾರಂಭಿಸಿ
jitu,ಸರಿಯಾಗಿ ಹೇಳುವುದು
investers,ಹೂಡಿಕೆದಾರರು
investment,ಬಂಡವಾಳ
funds,ನಿಧಿಗಳು
jitender maheshwari,ಜಿತೇಂದರ್ ಮಹೇಶ್ವರಿ
Jitendra maheshwari,ಜಿತೇಂದ್ರ ಮಹೇಶ್ವರಿ
tech support,ತಾಂತ್ರಿಕ ಸಹಾಯ
marketing research,ಮಾರ್ಕೆಟಿಂಗ್ ಸಂಶೋಧನೆ
graphs,ಗ್ರಾಫ್ಗಳು
bad boss,ಕೆಟ್ಟ ಬಾಸ್
induction,ಪ್ರವೇಶ
client,ಕ್ಲೈಂಟ್
tvf tripling,ಟಿವಿಎಫ್ ಟ್ರಿಪ್ಲಿಂಗ್
the viral fever,ವೈರಲ್ ಜ್ವರ
tripling,ಮೂರು ಪಟ್ಟು
jodhpur,ಜೋಧಪುರ್
comey,ಹಾಸ್ಯಮಯ
sumeet vyas,ಶೃಂಗದ ವ್ಯಾಸ
road trip,ರಸ್ತೆ ಪ್ರಯಾಣ
supporters,ಬೆಂಬಲಿಗರು
voting,ಮತದಾನ
express,ಎಕ್ಸ್‌ಪ್ರೆಸ್
coard,ಕಾರ್ಡ್
santaclaus,ಸ್ಯಾಂಟಾಕ್ಲಾಸ್
christmas wishes,ಕ್ರಿಸ್ಮಸ್ ಶುಭಾಶಯಗಳು
christmas selfie,ಕ್ರಿಸ್ಮಸ್ ಸೆಲ್ಫಿ
christmas greetings,ಕ್ರಿಸ್ಮಸ್ ಶುಭಾಶಯಗಳು
christmasgreetings,ಕ್ರಿಸ್ಮಸ್ ಶುಭಾಶಯಗಳು
ugly christmas sweater,ಕೊಳಕು ಕ್ರಿಸ್ಮಸ್ ಸ್ವೆಟರ್
xmas party,ಕ್ರಿಸ್ಮಸ್ ಪಾರ್ಟಿ
christmas 2016,ಕ್ರಿಸ್ಮಸ್ 2016
carols,ಕ್ಯಾರೋಲ್‌ಗಳು
nom nom,ಹೆಸರಿನ ಹೆಸರು
om nom nom nom,ಓಮ್ ಹೆಸರಿನ ಹೆಸರು
deck the halls,ಡೆಕ್ ದಿ ಹಾಲ್ಸ್
festival of colours,ಬಣ್ಣಗಳ ಹಬ್ಬ
festival of colors,ಬಣ್ಣಗಳ ಹಬ್ಬ
banno,ನ ಆವೃತ್ತಿ
gunjiya,ಗುಂಜಿಯಾ
favour,ಪರವಾಗಿ
favor,ಪರವಾಗಿ
holi song,ಹೋಳಿ ಹಾಡು
dashmi,ದಶಮಿ
vijaya dashmi,ವಿಜಯ ದಾಶ್ಮಿ
vijaya dushmi,ವಿಜಯ ದಾಶ್ಮಿ
dushmi,ದಶಮಿ
rama,ರಾಮಾ
raam,ವಿಂಡೋ
hanumaan,ಹನುಮಾನ್
lakshman,ಲಕ್ಷ್ಮಣ್
seeta,ಸೀತಾ
sita ji,ಸೀತಾ ಜಿ
festivals of india,ಭಾರತದ ಹಬ್ಬಗಳು
naumi,ನೌಮಿ
navmi,ನವಮಿ
raas,ರಾಸ್
hoe,ಹೇಗೆ
friendship songs,ಸ್ನೇಹ ಹಾಡುಗಳು
londe,ಲೊಂಡೆ
laundey,ಲಾಂಡೆ
soul sister,ಆತ್ಮ ಸಹೋದರಿ
soul brother,ಆತ್ಮ ಸಹೋದರ
soul mate,ಆತ್ಮ ಸಂಗಾತಿ
happiness is,ಸಂತೋಷ
bahen,ಚರ್ಮವು
protect,ರಕ್ಷಿಸಿ
rakhi gift,ರಾಖಿ ಉಡುಗೊರೆ
hazaron,ಸಾವಿರ
raakhis,ರಾಖಿಗಳು
banaaya,ತಯಾರಿಸಲಾಗುತ್ತದೆ
mazaa,ಮಜತ್
ayaa,ದಿ
april fools day,ಎಪ್ರಿಲ್ ಮೂರ್ಖರ ದಿನ
fools day,ಮೂರ್ಖರ ದಿನ
office pranks,ಕಚೇರಿ ಕುಚೇಷ್ಟೆಗಳು
office prank,ಕಚೇರಿ ತಮಾಷೆ
office mate,ಕಚೇರಿ ಸಂಗಾತಿ
colleague,ಸಹೋದ್ಯೋಗಿ
mockery,ಅಪಹಾಸ್ಯ
gubbarey,gubbarey
paani ke gubbare,ನೀರಿನ ಆಕಾಶಬುಟ್ಟಿಗಳು
khele,ನುಡಿಸುವಿಕೆ
khelein,ಪ್ಲೇ ಮಾಡಿ
holi funny,ಹೋಲಿ ತಮಾಷೆ
holi funny stickers,ಹೋಲಿ ತಮಾಷೆಯ ಸ್ಟಿಕ್ಕರ್‌ಗಳು
patrick,ಪ್ಯಾಟ್ರಿಕ್
pattys day,ಪ್ಯಾಟಿಸ್ ದಿನ
patricks day,ಪ್ಯಾಟ್ರಿಕ್ಸ್ ದಿನ
st atricks day,ಸೇಂಟ್ ಪ್ಯಾಟ್ರಿಕ್ ಡೇ
st pattys day,ಸ್ಟ ಪ್ಯಾಟಿ ದಿನ
festivals of the world,ವಿಶ್ವದ ಹಬ್ಬಗಳು
Feast of Saint Patrick,ಸಂತ ಪ್ಯಾಟ್ರಿಕ್ ಹಬ್ಬ
17 March,17 ಮಾರ್ಚ್
religious,ಧಾರ್ಮಿಕ
cutural,ಸಾಂಸ್ಕೃತಿಕ
cuture,ಭವಿಷ್ಯ
christian,ಕ್ರಿಶ್ಚಿಯನ್
church,ಚರ್ಚ್
christianity,ಕ್ರಿಶ್ಚಿಯನ್ ಧರ್ಮ
shamrocks,ಶ್ಯಾಮ್ರಾಕ್ಸ್
Irish whiskey,ಐರಿಶ್ ವಿಸ್ಕಿ
cider,ಸೈಡರ್
drowning the shamrock,ಶ್ಯಾಮ್ರಾಕ್ ಅನ್ನು ಮುಳುಗಿಸುವುದು
wetting the shamrock,ಶ್ಯಾಮ್ರಾಕ್ ಅನ್ನು ತೇವಗೊಳಿಸುವುದು
toasts,ಟೋಸ್ಟ್ಸ್
alla,ಒಂದು
alah,ಆಲಾ
ramjan,ರಂಜಾನ್
ali,ಅಥವಾ
eidi,ವಸ್ತುಗಳು
gerrtings,ಗೆರ್ಟಿಂಗ್ಸ್
eid fitr,ಈದ್ ಅಲ್-ಫಿತರ್
bhai jaan,ಸಹೋದರ
subhaan,ಸುಭಾನ್
kuraan,ಕುರಾನಿನ
quran,ಕುರಾನ್
quraan,ಕುರಾನ್
silver,ಬೆಳ್ಳಿ
indian hockey team,ಭಾರತೀಯ ಹಾಕಿ ತಂಡ
basketball team,ಬ್ಯಾಸ್ಕೆಟ್‌ಬಾಲ್ ತಂಡ
cyclist,ಸೈಕ್ಲಿಸ್ಟ್
challenger,ಚಾಲೆಂಜರ್
festivals of indian,ಭಾರತೀಯ ಹಬ್ಬಗಳು
flag hoisting,ಧ್ವಜಾರೋಹಣ
pardes,ಪಾರ್ಡೆಗಳು
freedom fighters,ಸ್ವಾತಂತ್ರ ಹೋರಾಟಗಾರರು
slogans,ಘೋಷಣೆಗಳು
visarjan,ಇಮ್ಮರ್ಶನ್
teachers day,ಶಿಕ್ಷಕರ ದಿನ
maam,ಮಾಮ್
geography,ಭೌಗೋಳಿಕತೆ
hare,ಮೊಲ
prasad,ಪ್ರಸಾದ್
prashad,ಪ್ರಶಾದ್
butter cream,ಬೆಣ್ಣೆ ಕೆನೆ
baansuriya,ಕೊಳಲು
nand,ಮತ್ತು
brij,ಸೇತುವೆ
draculla,ಡ್ರಾಕುಲಾ
weretiger,ವೇಸ್ಟಿಗರ್
spook,ಸ್ಪೂಕ್
mn,ಇಂದ
eater,ಭಕ್ಷಕ
azaadi,ಸ್ವಾತಂತ್ರ್ಯ
lit,ಬೆಳಗಿದ
fooljhadi,ಮುಖ
chakri,ಕೆಲಸ
indian batsman,ಭಾರತೀಯ ಬ್ಯಾಟ್ಸ್‌ಮನ್
screening,ಸ್ಕ್ರೀನಿಂಗ್
bdya,bdya
biy,ಬೈ
birthday boy,ಹುಟ್ಟುಹಬ್ಬದ ಹುಡುಗ
birthday girl,ಹುಟ್ಟುಹಬ್ಬದ ಹುಡುಗಿ
cake cutting,ಕೇಕ್ ಕತ್ತರಿಸುವುದು
birthday song,ಹುಟ್ಟುಹಬ್ಬದ ಹಾಡು
birthday wishes,ಹುಟ್ಟು ಹಬ್ಬದ ಶುಭಾಶಯಗಳು
return gift,ರಿಟರ್ನ್ ಉಡುಗೊರೆ
birthday bash,ಹುಟ್ಟುಹಬ್ಬದ ಬ್ಯಾಷ್
lily,ಲಿಲಿ
uttar pradesh,ಉತ್ತರ ಪ್ರದೇಶ
UP ke bhaiya,ಓಪ್ ಸಹೋದರ
bhaukali,ಭುಕಲಿ
states,ರಾಜ್ಯಗಳು
community,ಸಮುದಾಯ
citizens,ನಾಗರಿಕರು
masses,ದ್ರವ್ಯರಾಶಿ
diversity,ವೈವಿಧ್ಯತೆ
diverseness,diverseness
Christmastide,ಕ್ರಿಸ್‌ಮಾಸ್ಟೈಡ್
festivity,ಹಬ್ಬ
bastard,ಬಾಸ್ಟರ್ಡ್
hither,ಇಲ್ಲಿಯವರೆಗೆ
girlfriends,ಗೆಳತಿಯರು
boyfriends,ಗೆಳೆಯರು
ishqbazi,ಮಿಡಿ
ishaqbazi,ಶವರ್
ishstyle,ಇಶ್ಸ್ಟೈಲ್
herione,ನಾಯಕಿ
darasingh,ದಾರಸಿಂಗ್
pehlwan,ಪೆಹ್ಲ್ವಾನ್
flexing,ಬಾಗುವಿಕೆ
mania,ಉನ್ಮಾದ
puns,ಪಂಚ್‌ಗಳು
gyming,ಜಿಮಿಂಗ್
crunch,ಅಗಿ
crunches,ಕ್ರಂಚ್ಗಳು
bachelorette,ಬ್ಯಾಚಿಲ್ಲೋರೆಟ್
bachelourette,ಬ್ಯಾಚಿಲ್ಲೋರೆಟ್
bachelours,ಬ್ಯಾಚುಲರ್ಸ್
bachelors,ಪದವಿ
bachelour,ಪದವಿ
katega,ಕತ್ತರಿಸಲಾಗುವುದು
artists,ಕಲಾವಿದರು
musicians,ಸಂಗೀತಗಾರರು
dholak,ಡ್ರಮ್ಮರ್
dholki,ಡ್ರಮ್
djing,ಡಿಜಿಂಗ್
playe,ಪ್ಲೇಟ್
band member,ಬ್ಯಾಂಡ್ ಸದಸ್ಯ
babydoll,ಬೇಬಿಡಾಲ್
juliet,ಜೂಲಿಯೆಟ್
karne,ಮಾಡಲು
week,ವಾರ
weekly,ಸಾಪ್ತಾಹಿಕ
cantwake,ಕ್ಯಾಂಟ್ವೇಕ್
emplyee,ಉದ್ಯೋಗಿ
man u,ಮನುಷ್ಯ ಯು
utd,utd
football shoes,ಫುಟ್ಬಾಲ್ ಶೂಗಳು
goal keeper,ಗೋಲ್ ಕೀಪರ್
zidane,ಜಿಡಾನೆ
glory glory,ವೈಭವ ವೈಭವ
Attacker,ದಾಳಿಕೋರ
foul,ಫೌಲ್
free kick,ಫ್ರೀ ಕಿಕ್
man to man marking,ಮನುಷ್ಯನಿಂದ ಮನುಷ್ಯ ಗುರುತಿಸುವಿಕೆ
marking,ಗುರುತು
midfielder,ಮಿಡ್‌ಫೀಲ್ಡರ್
sir alex,ಸರ್ ಅಲೆಕ್ಸ್
tackle,ನಿಭಾಯಿಸಲು
christiano ronaldo,ಕ್ರಿಸ್ಟಿಯಾನೊ ರೊನಾಲ್ಡೊ
christiano,ಕ್ರಿಶ್ಚಿಯನ್
liverpool,ಲಿವರ್‌ಪೂಲ್
Jose Mourinho,ಜೋಸ್ ಮೌರಿನ್ಹೋ
de gea,ಮಂಜುಗಡ್ಡೆಯ
lionel messi,ಲಿಯೋನೆಲ್ ಮೆಸ್ಸಿ
arsenal,ಆರ್ಸೆನಲ್
Premier League,ಪ್ರೀಮಿಯರ್ ಲೀಗ್
legendary,ಪೌರಾಣಿಕ
shootball,ಶೂಟ್ಬಾಲ್
Venture capital,ಸಾಹಸೋದ್ಯಮ ಬಂಡವಾಳ
fund,ನಿಧಿ
cabin,ಕ್ಯಾಬಿನ್
binness,ಬಿನ್ನೆಸ್
nerdy,ದಡ್ಡತನದ
iitian,iitian
intern,ಇಂಟರ್ನ್
coding,ಕೋಡಿಂಗ್
code,ಕೋಡ್
cuddling,ಮುದ್ದಾಡುವಿಕೆ
snuggle,ಕಸಿದುಕೊಳ್ಳಿ
winter wear,ಚಳಿಗಾಲದ ಉಡುಗೆ
winter is coming,ಚಳಿಗಾಲ ಬರುತ್ತಿದೆ
flirtitious,ಮಿಡಿ
promiscuous,ಅಶ್ಲೀಲ
pyaas,ಬಾಯಾರಿಕೆ
videsi,ಸಾಗರೋತ್ತರ
balawant,ಬಾಲವಂತ್
arty,ಆರ್ಟಿ
snacs,ಸ್ನ್ಯಾಕ್ಸ್
gujarati food,ಗುಜರಾತಿ ಆಹಾರ
dancers,ನರ್ತಕರು
chapli,ಚಾಪ್ಲಿ
insecurity,ಅಭದ್ರತೆ
possessiveness,ಸ್ವಾಮ್ಯಸೂಚಕತೆ
street food,ರಸ್ತೆ ಆಹಾರ
road side shop,ರಸ್ತೆ ಬದಿಯ ಅಂಗಡಿ
tuck shop,ಟಕ್ ಅಂಗಡಿ
desserts,ಸಿಹಿತಿಂಡಿಗಳು
indian food,ಭಾರತೀಯ ಆಹಾರ
lipsmacking,ಲಿಪ್ಸ್ಮ್ಯಾಕಿಂಗ್
southindian,ದಕ್ಷಿಣ ಇಂಡಿಯನ್
idli,ಸೋಮಾರಿಯಾಗಿ
bhaaji,ಪಟ್ಟು
loafering,loafering
gunday,ಗೂಂಡಾಗಳು
khaneka,ಚಿಲ್ out ಟ್
sweetie,ಸ್ವೀಟಿ
cutie,ಮೋಹನಾಂಗಿ
pie,ಪೈ
goodtime,ಒಳ್ಳೆ ಸಮಯ
scifi,scifi
isc,ಹೋಗಿ
skul,ಶಾಲೆ
studentlife,ವಿದ್ಯಾರ್ಥಿ ಜೀವನ
school girl,ಶಾಲಾ ಹುಡುಗಿ
bollywood dialogues,ಬಾಲಿವುಡ್ ಸಂವಾದಗಳು
rainy days,ಮಳೆಯ ದಿನಗಳು
saavan,ಸ್ವೀಕರಿಸುವ
thrilled,ರೋಮಾಂಚನ
new year card,ಹೊಸ ವರ್ಷದ ಕಾರ್ಡ್
new years resolutions,ಹೊಸ ವರ್ಷದ ಸಂಕಲ್ಪಗಳು
indian wrestlers,ಭಾರತೀಯ ಕುಸ್ತಿಪಟುಗಳು
wrestling champions,ಕುಸ್ತಿ ಚಾಂಪಿಯನ್
wrestling coach,ಕುಸ್ತಿ ತರಬೇತುದಾರ
motivational,ಪ್ರೇರಕ
dangal dangal,ದಂಗಲ್ ಗಲಭೆ
babita phogat,ಬಬಿತಾ ಫೋಗಟ್
fatima shaikh,ಫಾತಿಮಾ ಶೇಖ್
babita kumari,ಬಬಿತಾ ಕುಮಾರಿ
phogat sisters,ಫೋಗಟ್ ಸಹೋದರಿಯರು
Vinesh Phogat,ವಿನೇಶ್ ಫೋಗಟ್
mahavir singh phogat,ಮಹಾವೀರ್ ಸಿಂಗ್ ಫೋಗಟ್
VJ Bani,ವಿಜೆ ಬನಿ
bigg boss,ಬಿಗ್ ಬಾಸ್
bigg boss10,ಬಿಗ್ ಬಾಸ್ 10
om ji,ಓಂ ಜಿ
mannu punjabi,ಪಂಜಾಬಿ ಮನು
lokesh kumari,ಲೋಕೇಶ್ ಕುಮಾರಿ
priyanka jugga,ಪ್ರಿಯಾಂಕಾ ಜುಗ್ಗ
Lopamudra Raut,ಲೋಪಮುದ್ರ ರೌತ್
lopa,ಹಸುವಿನ
Antara Biswas,ಹೃದಯವನ್ನು ನಂಬಿರಿ
Gaurav Chopra,ಗೌರವ್ ಚೋಪ್ರಾ
Karan Ajay Mehra,ಕರಣ್ ಅಜಯ್ ಮಹಾರಾ
rahul dev,ರಾಹುಲ್ ದೇವ್
rohan mehra,ರೋಹನ್ ಮಹಾರಾ
Nitibha Kaul,ನೀತಿ ಕರೆ
love relationship,ಪ್ರೀತಿ ಸಂಬಂಧ
pakori,ಪಕೋರಿ
pakodi,ಪಕೋರಿ
talla,ಗಾತ್ರ
gochi,ಗೋಚಿ
Mussadi Lal,ಮುಸಾದಿ ಲಾಲ್
pankaj kapoor,ಪಂಕಜ್ ಕಪೂರ್
Ushaji,ಶುಲ್ಕಗಳು
Pandeyji,ಪಾಂಡೆಜಿ
bhatia,ಭಾಟಿಯಾ
tina,ಟೀನಾ
taunts,ನಿಂದನೆಗಳು
provoke,ಪ್ರಚೋದಿಸು
sacastic,ವ್ಯಂಗ್ಯ
blackmailing,ಬ್ಲ್ಯಾಕ್ಮೇಲಿಂಗ್
idiocy,ಮೂರ್ಖತನ
muhavre,ಭಾಷಾವೈಶಿಷ್ಟ್ಯಗಳು
idioms,ಭಾಷಾವೈಶಿಷ್ಟ್ಯಗಳು
phrases,ನುಡಿಗಟ್ಟುಗಳು
popular idioms,ಜನಪ್ರಿಯ ಭಾಷಾವೈಶಿಷ್ಟ್ಯಗಳು
fm,fm
reliance,ಅವಲಂಬನೆ
lois lane,ಲೋಯಿಸ್ ಲೇನ್
Heroes of Marvel,ಮಾರ್ವೆಲ್ನ ಹೀರೋಸ್
marvel hero,ಅದ್ಭುತ ನಾಯಕ
swaggers,ಕಳ್ಳಸಾಗಣೆದಾರರು
swaggerboy,ಸ್ವಾಗರ್ಬಾಯ್
honeysingh,ಹನಿಸಿಂಗ್
desiswag,desiswag
yoyohoneysingh,yoyohoneysingh
sumanachakravarti,ಸುಮಂಚಕ್ರವರ್ತಿ
thekapilsharmashow,thekapilsharmashow
womenempowerment,ಮಹಿಳಾ ಸಬಲೀಕರಣ
empowerment,ಸಬಲೀಕರಣ
sisterhood,ಸಹೋದರತ್ವ
indigenous,ಸ್ಥಳೀಯ
bombaytalkies,ಬಾಂಬೆ ಟಾಕೀಸ್
hindimovies,ಹಿಂದಿಮೋವ್ಸ್
celluloid,ಸೆಲ್ಯುಲಾಯ್ಡ್
bhooth,ಭೂತ
ghastly,ಭಯಂಕರ
johnybravo,johnybravo
machoman,ಮ್ಯಾಕೋಮನ್
johnnybravo,johnnybravo
notasbeautifulasyou,notasbeautifulasyou
vanpartible,vanpartible
diljitdosanjh,diljitdosanjh
gabru,ಗಬ್ರು
pugg,ಪಗ್
puggwala,ಪುಗ್ವಾಲಾ
