bobble,berbandul
inferno,neraka
strange,aneh
beasts,binatang buas
taane,Dirinya sendiri
daat,itu
vaccation,liburan
promotion,promosi
bugsbunny,bugsbunny
mojojojo,Tombol Putar
swatcats,memukul tikar
hotty,keren
moveon,berpindah
gaend,musim dingin
howzat,howzat
paa,pada
thode,Sedikit
loony,gila
walt,walt
assalam,Islam
alaykum,Setelah kamu
lillysingh,Lillysingh
lilly,lilly
manjeet,manjeet
videos,video
bakwaas,Sampah
sikhayega,Akan mengajar
rulez,rulez
slangs,slangs
thatman,orang itu
rangde,Warna
committed,berkomitmen
des,dari
rajasthani,rajasthani
calcutta,kalkuta
premier,Perdana
winners,pemenang
sunriser,sunriser
nakko,nakko
laagao,Oh tinggi
biryanipower,biryanipower
bangalore,bangalore
blore,Blore
bengaluru,bengaluru
mcbc,mcbc
oolala,oolala
maacha,maacha
chase,mengejar
eleven,sebelas
xi,Senang
yuvi,Yuvi
yuvraj,yuvraj
miller,tukang giling
fatte,matang
fafda,Sial
faafda,menular
thepla,thepla
jaddu,Jaddu
daredevil,pemberani
harbajan,Harbhajan
rising,kenaikan
pune,pune
poona,poona
giant,raksasa
supergiants,supergiants
supergiant,supergiant
misal,misal
notout,Notout
superkings,Superkings
padukone,padukone
deewani,Kecanduan
naya,Baru
byebye,selamat tinggal
mubaraka,mubaraka
bits,bit
pilani,pilani
cig,cig
marlboro,Marlboro
gate,gerbang
gre,ini terjadi
gmat,gmat
lingo,bahasa yg aneh
univ,univ
byd,dunia
gtb,gtb
patelchest,patelchest
patel,Patel
vishwavidyalaya,Universitas
vishwa,Dunia
hudsonlane,hudsonlane
lane,jalur
abvp,Mimpi
lsr,lsr
srcc,srcc
khalsa,khalsa
ballichai,ballichai
audo,audo
udaao,Meledakkan
udao,suara
rehena,Rehena
jorse,Berlaku
zorse,Dengan keras
dhadak,dhadak
misunderstand,salah paham
nandgopal,nandgopal
serial,serial
advertisement,iklan
literature,literatur
commercial,komersial
display,tampilan
religion,agama
roommate,teman sekamar
bakchod,Bachchod
U.S.,A.S.
poll,pemilihan
U.S.A.,AMERIKA SERIKAT.
cult,kultus
ghostly,remang
careless,ceroboh
filthy,kotor
stained,bernoda
campaigning,kampanye
nibble,menggigit
chew,mengunyah
hog,babi
plump,montok
greedy,serakah
too lazy,terlalu malas
rest day,hari istirahat
day off,libur
mornings,pagi hari
recline,berbaring
sit back,duduk bersandar
unproductive,tidak produktif
lethargic,lesu
Shivaji Rao Gaekwad,Shivaji Rao Gaikwad
kabali,Kabali
dialogs,dialog
coolest,paling keren
Balla Bol,Balla Pain
test match,pertandingan uji
sport,olahraga
third umpire,wasit ketiga
trial,percobaan
ninties,sembilan puluhan
90s,90-an
longing,kerinduan
the days,hari-hari
puberty,masa pubertas
schooldays,hari bersekolah
teens,remaja
teen age,remaja
adorable,manis sekali
looney,Looney
beloved,tercinta
alvin and the chipmunk,alvin dan si tupai
sarabhai family,keluarga sarabhai
mummas boy,mummas boy
humor,humor
satire,sindiran
funniness,funniness
humorous,lucu
amusing,lucu
laughable,menggelikan
Indravadan Sarabhai,Indravadan Sarabhai
Saahil Sarabhai,Sahil Sarabhai
pyaari maa,Jatuh cinta
Madhusudan,Madhusudan
Middleclass,Kelas menengah
poems,puisi
ridicule,ejekan
irony,ironi
bitterness,kepahitan
poet,penyair
writer,penulis
script,naskah
Chindi Dost,Chidi Dost
playmate,teman bermain
best friend forever,sahabat Selamanya
kunjoos,kapan
ridiculous,konyol
nudge,dorongan
pick on,mengganggu
taunt,mengejek
pocketbook,dompet
poke,menyodok
wage,upah
bucks,dolar
moolah,uang
borrrow,meminjam
taxi fare,taksi lakukan
auto bill,tagihan otomatis
auto ride,otomatis tertawa
justification,pembenaran
last-minute,menit terakhir
deadline,batas waktu
tasks,tugas
office mein late,kantor mein terlambat
thanda matlab,Berarti keren
boy drinking,anak laki-laki minum
water shortage,kekurangan air
bathrobe,mantel mandi
freshen up,menyegarkan
gandi,gandi
mini mouse,minnie mouse
bollywood style,gaya bollywood
indian festivals,festival India
deep,dalam
diwali holidays,liburan diwali
diwala,memuaskan
diwali celebration,perayaan diwali
moods,suasana hati
singlehood,hidup sendiri
old days,jaman dulu
childhood days,masa kecil
80s,80-an
ha ha,ha ha
against,melawan
thrill,sensasi
thrilling,mendebarkan
saviour,penyelamat
stan lee,stan lee
Raju Rai,Raju Rai
supervillains,penjahat super
battles,pertempuran
Toonami,Toonami
adventurous,petualang
venture,usaha
start up idea,memulai ide
jitu,jitu
investers,Investor
investment,investasi
funds,dana
jitender maheshwari,Jitender Maheshwari
Jitendra maheshwari,Jitendra Maheshwari
tech support,dukungan teknologi
marketing research,penelitian pemasaran
graphs,grafik
bad boss,bos yang buruk
induction,induksi
client,klien
tvf tripling,tvf tiga kali lipat
the viral fever,demam virus
tripling,tiga kali lipat
jodhpur,Jodhpur
comey,cerdik
sumeet vyas,Diameter puncak
road trip,perjalanan
supporters,pendukung
voting,pemungutan suara
express,mengekspresikan
coard,coard
santaclaus,Sinterklas
christmas wishes,harapan Natal
christmas selfie,natal selfie
christmas greetings,ucapan selamat Natal
christmasgreetings,ucapan selamat Natal
ugly christmas sweater,sweater natal jelek
xmas party,pesta xmas
christmas 2016,natal 2016
carols,lagu-lagu Natal
nom nom,nama nama
om nom nom nom,nama om nama nama
deck the halls,dek aula
festival of colours,festival warna
festival of colors,festival warna
banno,Edisi dari
gunjiya,Gunjia
favour,kebaikan
favor,kebaikan
holi song,lagu holi
dashmi,Dashami
vijaya dashmi,Vijaya Dashmi
vijaya dushmi,Vijaya Dashmi
dushmi,Dashami
rama,rama
raam,jendela
hanumaan,Hanuman
lakshman,Laxman
seeta,Sita
sita ji,Sita ji
festivals of india,festival india
naumi,naumi
navmi,Navami
raas,raas
hoe,bagaimana
friendship songs,lagu pertemanan
londe,Londe
laundey,pencucian
soul sister,saudara perempuan jiwa
soul brother,saudara Sejiwa
soul mate,belahan jiwa
happiness is,kebahagiaan adalah
bahen,Bekas luka
protect,melindungi
rakhi gift,hadiah rakhi
hazaron,Ribuan
raakhis,Rakhis
banaaya,Dibuat
mazaa,Majat
ayaa,itu
april fools day,April bodoh
fools day,hari bodoh
office pranks,lelucon kantor
office prank,lelucon kantor
office mate,teman kantor
colleague,rekan
mockery,ejekan
gubbarey,gubbarey
paani ke gubbare,Balon air
khele,Bermain
khelein,Main
holi funny,holi lucu
holi funny stickers,stiker lucu holi
patrick,patrick
pattys day,hari patty
patricks day,Hari St. Patrick
st atricks day,Hari St Patrick
st pattys day,hari st patty
festivals of the world,festival dunia
Feast of Saint Patrick,Pesta Santo Patrick
17 March,17 Maret
religious,keagamaan
cutural,kultural
cuture,cuture
christian,Kristen
church,gereja
christianity,Kekristenan
shamrocks,shamrocks
Irish whiskey,Wiski Irlandia
cider,Cuka Apel
drowning the shamrock,menenggelamkan shamrock
wetting the shamrock,mengompol shamrock
toasts,bersulang
alla,sebuah
alah,alah
ramjan,Ramadhan
ali,atau
eidi,barang
gerrtings,gerrtings
eid fitr,Idul Fitri
bhai jaan,Saudara laki-laki
subhaan,Subhan
kuraan,Qur'an
quran,quran
quraan,Alquran
silver,perak
indian hockey team,tim hoki India
basketball team,tim basket
cyclist,pengendara sepeda
challenger,penantang
festivals of indian,festival India
flag hoisting,pengibaran bendera
pardes,pardes
freedom fighters,pejuang kemerdekaan
slogans,slogan
visarjan,Pencelupan
teachers day,hari Guru
maam,bu
geography,geografi
hare,kelinci
prasad,prasad
prashad,prashad
butter cream,krim mentega
baansuriya,Suling
nand,nand
brij,Jembatan
draculla,dracula
weretiger,weretiger
spook,menakuti
mn,Dari
eater,pemakan
azaadi,Kebebasan
lit,menyala
fooljhadi,wajah
chakri,Pekerjaan
indian batsman,pemukul indian
screening,penyaringan
bdya,bdya
biy,biy
birthday boy,ulang tahun anak laki-laki
birthday girl,gadis ulang tahun
cake cutting,memotong kue
birthday song,lagu ulang tahun
birthday wishes,keinginan ulang tahun
return gift,hadiah kembali
birthday bash,pesta ulang tahun
lily,bunga bakung
uttar pradesh,Uttar Pradesh
UP ke bhaiya,Saudara Ooop
bhaukali,Bhukali
states,menyatakan
community,masyarakat
citizens,warga
masses,massa
diversity,perbedaan
diverseness,diverseness
Christmastide,Christmastide
festivity,perayaan
bastard,bajingan
hither,ke sini
girlfriends,pacar perempuan
boyfriends,pacar
ishqbazi,Menggoda
ishaqbazi,kamar mandi
ishstyle,ishstyle
herione,pahlawan wanita
darasingh,Darasingh
pehlwan,pehlwan
flexing,melenturkan
mania,mania
puns,permainan kata-kata
gyming,gyming
crunch,kegentingan
crunches,sit-up
bachelorette,lajang
bachelourette,lajang
bachelours,sarjana
bachelors,bujangan
bachelour,bujangan
katega,Akan dipotong
artists,artis
musicians,musisi
dholak,Drummer
dholki,Gendang
djing,Djing
playe,piring
band member,anggota band
babydoll,boneka bayi
juliet,Juliet
karne,Untuk dilakukan
week,minggu
weekly,mingguan
cantwake,tidak bisa bangun
emplyee,karyawan
man u,kawan
utd,utd
football shoes,Sepatu sepak bola
goal keeper,penjaga gawang
zidane,Zidane
glory glory,kemuliaan kemuliaan
Attacker,Penyerang
foul,busuk
free kick,Tendangan bebas
man to man marking,manusia menandai manusia
marking,menandai
midfielder,gelandang tengah
sir alex,tuan alex
tackle,menangani
christiano ronaldo,cristiano ronaldo
christiano,Kristen
liverpool,liverpool
Jose Mourinho,Jose Mourinho
de gea,es
lionel messi,lionel messi
arsenal,gudang senjata
Premier League,Liga Primer
legendary,legendaris
shootball,tembak-menembak
Venture capital,Modal usaha
fund,dana
cabin,kabin
binness,binness
nerdy,kutu buku
iitian,iitian
intern,magang
coding,coding
code,kode
cuddling,memeluk
snuggle,merapat
winter wear,pakaian musim dingin
winter is coming,musim dingin datang
flirtitious,genit
promiscuous,kacau
pyaas,Haus
videsi,luar negeri
balawant,balawant
arty,arty
snacs,snacs
gujarati food,makanan gujarati
dancers,penari
chapli,chapli
insecurity,ketidakamanan
possessiveness,posesif
street food,makanan jalanan
road side shop,toko pinggir jalan
tuck shop,tuck shop
desserts,makanan penutup
indian food,makanan India
lipsmacking,mengecap bibir
southindian,orang indonesia selatan
idli,dgn malas
bhaaji,Lipat
loafering,loafering
gunday,Preman
khaneka,santai saja
sweetie,kekasih
cutie,manis
pie,pai
goodtime,selamat tidur
scifi,scifi
isc,go
skul,Sekolah
studentlife,kehidupan pelajar
school girl,gadis sekolah
bollywood dialogues,dialog bollywood
rainy days,hari hujan
saavan,penerima
thrilled,senang
new year card,kartu tahun baru
new years resolutions,resolusi tahun baru
indian wrestlers,pegulat India
wrestling champions,juara gulat
wrestling coach,Pelatih gulat
motivational,motivasi
dangal dangal,Kerusuhan dangal
babita phogat,Babita Phogat
fatima shaikh,Fatima Sheikh
babita kumari,Babita Kumari
phogat sisters,saudara perempuan phogat
Vinesh Phogat,Vinesh Phogat
mahavir singh phogat,Mahavir Singh Phogat
VJ Bani,VJ Bani
bigg boss,bos besar
bigg boss10,bos besar10
om ji,Om G.
mannu punjabi,punjabi manu
lokesh kumari,Lokesh Kumari
priyanka jugga,Priyanka Jugga
Lopamudra Raut,Lopamudra Raut
lopa,sapi
Antara Biswas,Percaya di hati
Gaurav Chopra,Gaurav Chopra
Karan Ajay Mehra,Karan Ajay Mahara
rahul dev,Rahul Dev
rohan mehra,Rohan mahara
Nitibha Kaul,Panggilan kebijakan
love relationship,hubungan cinta
pakori,Pakori
pakodi,Pakori
talla,ukuran
gochi,Gochi
Mussadi Lal,Mussadi Lal
pankaj kapoor,pankaj kapoor
Ushaji,Biaya
Pandeyji,Pandeyji
bhatia,Bhatia
tina,tina
taunts,ejekan
provoke,memprovokasi
sacastic,sarkastik
blackmailing,memeras
idiocy,kebodohan
muhavre,Idiom
idioms,idiom
phrases,frasa
popular idioms,idiom populer
fm,fm
reliance,kepercayaan
lois lane,jalur lois
Heroes of Marvel,Pahlawan Marvel
marvel hero,pahlawan yang mengagumkan
swaggers,swaggers
swaggerboy,swaggerboy
honeysingh,honeysingh
desiswag,desiswag
yoyohoneysingh,yo yo Singh sayang
sumanachakravarti,Sumanchakravarti
thekapilsharmashow,thekapilsharmashow
womenempowerment,pemberdayaan perempuan
empowerment,Pemberdayaan
sisterhood,persaudaraan wanita
indigenous,asli
bombaytalkies,bicara bombay
hindimovies,Hindimov
celluloid,seluloida
bhooth,Hantu itu
ghastly,mengerikan
johnybravo,johnybravo
machoman,machoman
johnnybravo,johnnybravo
notasbeautifulasyou,tidak secantik dirimu
vanpartible,vanpartible
diljitdosanjh,diljitdosanjh
gabru,gabru
pugg,pesek
puggwala,puggwala
puggwalamunda,taman puggwalam
terenaam,terenaam
ramgarh,ramgarh
indianlingo,orang indian
urbandictionary,urbandictionary
celebs,selebriti
celeb,seleb
bollywoodceleb,bollywoodceleb
desilingo,desilingo
desilanguage,desilanguage
desidialect,desidialect
womenpower,kekuatan wanita
womanpower,kekuatan wanita
yourstory,cerita Anda
secrets,rahasia
secretssafe,secretssafe
yourchoice,pilihanmu
mychoice,pilihan saya
greatminds,greatminds
mystory,mistik
imagine,membayangkan
bachelorhood,kesarjanaan
singleton,singleton
singlelife,hidup sendiri
holidaying,berlibur
astalavista,astalavista
backpacking,backpacking
backpacker,backpacker
trotters,kaki
globetrotters,globetrotters
nowar,tidak ada perang
bank,bank
bankbalance,bankbalance
whatsyourrashi,whatsyourrashi
rashee,Zodiak
astrology,perbintangan
sunsign,sunsign
moonsign,tanda bulan
soothsaying,peramal
summerholidays,liburan musim panas
physics,fisika
chemistry,kimia
supw,supw
economics,ekonomi
dayshift,regu pekerja siang hari
summervacation,liburan musim panas
classroom,kelas
write,menulis
nabaapbadanabhaiya,Nabapabadanbhaiya
daulat,berdaulat
pound,pound
euro,euro
shade,naungan
gourmet,gourmet
foodart,foodart
foodartist,foodartist
tastebuds,seleraku
palate,langit-langit
possessivegirlfriend,pacar posesif
batmatkaro,batmatkaro
bfgf,bfgf
mybae,mybae
mygirl,pacarku
attached,terlampir
popcolor,popcolor
icon,ikon
holyshit,Holyshit
buzz,berdengung
unsubtle,tidak sopan
halmarkian,halmarkian
femme,wanita
proudtobeawoman,bangga dengan wanita
andheri,andheri
versova,versova
Bombaymerijaan,Bombay Orange
kandivali,kandivali
borivali,borivali
malad,malad
colaba,tegang
cityofdreams,kota impian
maharshtra,Maharashtra
jaimaharashtra,Jamehraashtra
sealink,sealink
Bombai,Mumbai
worli,worli
dadar,dadar
celebrity,selebritas
missus,Nona
dame,dame
damsel,gadis
maiden,gadis
lass,gadis
lassie,anak dara
mademoiselle,kangen
gal,gal
girlie,girlie
missy,nona
intimacy,keintiman
betterhalf,belahan hati
smitten,kepincut
besotted,yg diperbodoh
chairainpakoras,chairainpakoras
mush,Tidak
mushy,lembek
Valentineweek,Valentineweek
continental,kontinental
chinese,Cina
cuisine,Masakan
thai,Thai
greek,Yunani
dinein,di sana
orderin,memesan
foodapp,foodapp
swatantradiwas,Hari independen
patangbazi,Layang-layang terbang
pataangbaazi,pataangbaazi
patangbaji,Layang-layang terbang
flyingkite,flyingkite
kiteflying,layang-layang terbang
merakyukaata,merakyukaata
woods,hutan
ants,semut
humanimals,humanimals
hybrids,hibrida
hybrid,hibrida
sanjayleelabhansali,Sanjaylaabhansali
lectures,kuliah
stayactive,tetap aktif
stayfit,Stephen
bodypositivity,kepositifan tubuh
fitnessfreaks,kebugaran freaks
gymanimal,Gymanimal
masterni,Tuan
taechers,guru
parentteachermeeting,pertemuan guru orang tua
breaktime,waktu istirahat
groupchat,obrolan grup
buddies,teman
groupplans,rencana grup
groupdiscussion,Kelompok diskusi
timekill,timekill
whatsappgroup,grup whatsapp
spinster,perawan tua
unwed,tidak menikah
unattached,tidak terikat
solitary,tersendiri
stayhappy,tetap bahagia
honeybunny,lebah madu
3Gbebiji,Heran
changelife,changelife
datingapp,aplikasi kencan
fling,melemparkan
takeout,mengambil
datingapocalypse,datingapocalypse
tinderking,memabukkan
tinderqueen,queen puncak
cuffingseason,musim borgol
tindering,menusuk
beercan,kaleng bir
beerbottle,botol bir
bottomsup,Selamat minum
mockfight,mockfight
cubicle,ruang kecil
scold,memarahi
masays,masays
momsays,momsays
andymooney,andymooney
mulan,mulan
tiana,tiana
kingdomhearts,kerajaan Hati
gupshup,gupshup
groupconvo,groupconvo
instaclick,instaclick
instaselfie,instaselfie
selfienation,selfienation
heroineofmylife,pahlawan wanita
bitchface,pelacur
corporate,perusahaan
9to5,Potong
baadshahofbollywood,Badshahofbollywood
mohabbatein,mohabbatein
diltopagalhai,Dilotopagal adalah
chennaiexpress,chennaiexpress
dearzindagi,dearzindagi
adament,bersikeras
blatant,menyolok
karnataka,karnataka
madhyapradesh,Madhya Pradesh
orissa,orissa
arunachal pradesh,pangeran arunachal
anuragkashyap,Anuragakashyap
jharkhand,jharkhand
mohsina,mohsina
lipistick,lipstik
ranadaggubati,ranadaggubati
tamannah,Tamannaah
avantika,avantika
bijjaladev,Bijjaldev
anushkashetty,Anushkaetti
birdmessengers,pengamat burung
bagicha,Taman
lookathim,lihatathim
totallyinlove,sama sekali tidak
patanjali,patanjali
yogaguru,Guru yoga
yogi entrepreneur,pengusaha yogi
ayurveda,ayurveda
yoga guru,Yoga
swamiramdev,Swami Ramdev
vedicholisticliving,hidup vedicholistic
Bam,Bam
BhuvanBam,Bhuvanbaum
Hutiyapa,Chutiyapa
HappyNaukar,HappyNaukar
TheChaknaIssue,TheChaknaIssue
TVFBhootiyapa,Twofabhiyapa
TheSalesman,Penjual
Banchokabreakup,Banchoka breaku p
MrHola,MrHola
FameerFuddi,FameerFuddi
tacky,norak
CrayonShinChan,CrayonShinChan
weeklymangaaction,pertandingan mingguan
YoshitoUsui,Bagus dan kurus
nohara,Bidang
Misae,Bahkan melihat
FutabaKindergarten,Dalam kasus Futaba, r adalah r
Himawari Nohara,Bunga matahari
Mitzi Nohara,Mitzi Nohara
Kazama,Kazama
Hiro Nohara,Hironohara
Shinnosuke Nohara,Shinosuke no Hara
Nene Sakurada,Nene Sakura
DannyAntonucci,DannyAntonucci
theEds,theEds
Eds,Eds
Jawbreakers,Jawbreakers
MayIhavethisEd,MayIhavethisEd
Vert-Ed-Go,Vert-Ed-Go
Rent-A-Ed,Sewa-A-Ed
OnceUponAnEd,OnceUponAnEd
ItCameFromOuterEd,ItCameFromOuterEd
DuelingEds,DuelingEds
DawnoftheEds,DawnofEnd
DimLitEd,DimLitEd
AnEdintheBush,AnEdintheBush
AnEdisBorn,AnEdisBorn
EdEddEddy,EdEddEddy
DoubleD,Dobel
Sarah,Sarah
Riolf,Riolf
Lee,Lee
Kankers,Kanker
SimpsonFamily,Keluarga Simpson
TheSimpsons,Simpsons
Homer,Homer
Marge,Pinggiran
Bart,Bart
Lisa,Lisa
Akira,Akira
MrBurns,MrBurns
bauji,Bauji
naakkatwayega,Nakkatavayeka
menofstrength,kekuatan pria
girlswag,girlswag
monroe,monroe
marilyn,marilyn
marilynmonroe,marilynmonroe
politicalparty,partai politik
propaganda,propaganda
amitydays,amitydays
60s,60-an
1960s,1960-an
olde worlde,dunia lama
yesteryear,masa lampau
hayday,hayday
fifties,tahun limapuluhan
sixties,enam puluhan
fredricks,fredricks
drtarika,drtarika
equals,sama dengan
menandwomen,menandwomen
progress,kemajuan
womensrights,hak perempuan
mensrights,mensrights
humanity,kemanusiaan
righttolive,benar-benar
righttoequality,hak atas kesetaraan
liberty,kebebasan
bigboss,bos besar
bigboss10,bigboss10
bigbrother,kakak laki-laki
colorschannel,saluran warna
holidayseason,musim liburan
sledge,kereta luncur
JesusChrist,Yesus Kristus
Christ,Kristus
birthofChrist,kelahiran Kristus
bahanebaaz,Pretender
patanahi,Tidak hamil
mummynemanakardiya,mummynemanakardiya
ajnahi,Jajnah
Bulbapedia,Bulbapedia
Nintendo,Nintendo
Ivysaur,Ivysaur
Evee,AV
Sonarlax,Sonarlax
Ditto,Dito
Dragonite,Dragonite
Pichu,Di belakang
Jigglypuff,Jigglypuff
Vulpix,Vulpix
Game Freak,Game Freak
PokemonGo,PokemonGo
johnybarvo,Johnybarvo
ShaggyRogers,Shaggy Rogers
FredJones,FredJones
Daphane,Pemakaman
Blake,Blake
DaphaneBlake,Dafnableke
VelmaDinkley,Velma Dinkley
ScrappyDoo,ScrappyDoo
Scooby-Doo2,Scooby-Doo2
MonstersUnleashed,Monster dilepaskan
ScoobyDoobyDoo,ScoobyDoobyDoo
Scooby Snack,Snack Scooby
NInjaTurtles,Kura-kura ninja
TeenageNinjaTurtles,Teenage Ninja Turtles
MutantTurtles,MutantTurtles
Donatello,Donatello
Michaelangelo,Michelangelo
TheGriffins,The Griffin
Herbert,Herbert
JoeSwanson,JoeSwanson
KoolAidMan,Kulaitman
MarvelComics,komik Marvel
Rogue,Penipu
JeanGrey,JeanGrey
Sabretooth,Sabretooth
Jubilee,Yobel
Pyro,Pyro
Toad,Kodok
JKRowling,JKRowling
harrypotterandtheorderofthephoenix,harrypotter dan pesanan phoenix
philosophersstone,filsuf batu
chamberofsecrets,kamar Rahasia
gobletoffire,Piala Api
prisonerofazkerben,narapidana
halfbloodprince,pangeran setengah darah
deathlyhallows,hallows yang mematikan
wizardingworld,dunia sihir
fantasticbeasts,binatang buas yang fantastis
Hermoine,Hermione
LordVoldemort,LordVoldemort
Draco,Draco
lotsoflouges,banyak bunga
louge,Paviliun
sabokay,sabokay
susuaya,susuaya
shhchup,Skakmat
chupbe,chupbe
RoyalChallengers,Penantang Royal
ShaneWatson,ShaneWatson
Starc,Starc
Chahal,Chahal
MandeepSingh,Mandeepsingh
StuartBinny,StuartBinny
Kings11Punjab,Kings11Punjab
VirenderSehwag,VirenderSehwag
Sehwag,Sehwag
MuraliVijay,Muralvijay
Sandeepsharma,Sandeepsharma
MitchellJohnson,Mitchell Johnson
AksharPatel,Akson
ShaunMarsh,Persetujuan
GujaratLions,Gujratlions
AaronFinch,AaronFinch
Jadeja4,Jadeja4
DineshKarthik,Dineshkarathik
PraveenKumar,Piravinkumar
DelhiDaredevils,DelhiDaredevils
Duminy,Duminy
KhaleelAhmed,Khalilhamd
JayantYadav,Penodaan
PawanNegi,Angin
KarunNair,KarunNair
AlbieMorkel,Albie Morkel
SaurabhTiwary,Solarium
GurinderSandhu,Gurindarsandhu
WayneParnell,WayneParnell
Brathwaite,Brathwaite
JosButtler,JosButtler
Rayudu,Rayudu
PragyanOjha,Pragyan Ojha
Guptill,Guptill
ShreyasGopal,Shreyas Gopal
TimSouthee,Dari Timisau
SteveSmith,SteveSmith
KevinPieterson,KevinPieterson
MuruganAshwin,MuruganAshwin
Zampa,cakar
AshokDinda,AshokDinda
happybday,Selamat ulang tahun
happiebirthday,selamat ulang tahun
anotheryear,tahun lain
surpriseparty,pesta kejutan
DavidBenioff,DavidBenioff
fantasy,fantasi
fantasyepic,fantasiepik
fantasydrama,drama fantasi
TimMiller,TimMiller
RhettReese,RhettReese
RyanReynolds,Ryan Reynolds
Vanessa,Vanessa
Institute,Lembaga
Birla,Birla
1994,1994
epiccomedy,epikomedi
RajkumarSantoshi,Rajkumar Santoshi
KarishmaKapoor,Karismatik
CrimemasterGogo,CrimemasterGogo
ecommerce,perdagangan elektronik
harwishpurihogi,Ha r sh shurihogi
originalproducts,produk asli
easilyaccessible,mudah diakses
replaceable,tergantikan
options,pilihan
amazon,amazon
ebay,ebay
freedelivery,kebebasan
debitcard,kartu debit
feline,licik
sassy,blak-blakan
ChuckLorre,ChuckLorre
BillPrady,BillPrady
TBBT,Tibet
BBT,Bbt
TheBigBangTheory,Teori Big Bang
LeonardHofstadtar,Leonard Hofstadtar
AmyFarahFowler,AmyFarahFowler
ArthurJeffries,ArthurJeffries
cricketmania,cricketmania
IPLbaazigar,IPLbaazigar
ShakidAlHasan,Tentu saja
Shauntait,Shauntait
Rajagopalsatish,Rajagopal Sathish
MananSharma,Manasharma
SunilNarine,SunilNarine
SouravGanguly,SouravGanguly
RedChillies,Cabai merah
RoadSigns,Tanda-tanda jalan
Fastenseatbelts,Kencangkan sabuk pengaman
nana patekar dialogues,dialog nana patekar
movie scenes,adegan film
welcome movie dialogue,selamat datang dialog film
solace,penghiburan
skywalker,skywalker
may the force be with you,semoga kekuatan bersamamu
episode 7,episode 7
stormtrooper,stormtrooper
galactic empire,kerajaan galaksi
nazar battu,Nazar turun
battu,dipukuli
dalbeer,Dalbir
satbeer,satbeer
boyz,boyz
gand,akan
kanpatti,Perasaan patch
cheeseburger,cheeseburger
eager,bersemangat
bilal,bilal
hawabaaz,haaaaaaaz
putanikhane,kebingungan
ping,ping
c ya,c sudah
how u doing,bagaimana kabarmu
m doing well,Saya baik-baik saja
how r you,Apa kabar
watcha doing,apa yang kau lakukan
wats up,bangun
where were you,di mana kamu
good to see you,senang melihatmu
nice talking to you,senang berbicara denganmu
i dont know,saya tidak tahu
will reach sooner,akan mencapai lebih cepat
groups,kelompok
smiles,tersenyum
group chats,obrolan grup
bonjour,halo
bon vivante,hidup yang baik
bon voyage,Semoga perjalananmu menyenangkan
have a good luck,semoga beruntung
wish you the best,Berharap yang terbaik untuk mu
I am with you,saya dengan Anda
i lovve you,Aku cinta kamu
Phir Hera Pheri,Biola lagi
Agent vinod desi boyz,Agen vinod desi boyz
Desi Boyz,Desi Boyz
Paresh Rawal,Paresh Rawal
Suniel Shetty,Suniel Shetty
Tabu,Tabu
Om Puri,Pria murni
Hera Pheri 3,Hera Pheri 3
John Abraham,John Abraham
Ahmed Khan will direct 'Hera Pheri 3',Ahmed Khan Akan Mengarahkan 'Hera Pheri 3'
Dabangg boys,Dabangg laki-laki
Kinsmart Diecast Metal Turbo Scooter,Kinsmart Diecast Metal Turbo Scooter
scooter - Honda,skuter - Honda
Calvin Klein Boys,Calvin Klein Boys
Johnnie Lene Boy's,Johnnie Lene Boy
Spring Notion Little Boys,Spring Notion Little Boys
keep calm and hawabaaz,tetap tenang dan hawabaaz
BHADKANA HAWABAAZ,TERIMA KASIH
rahulgandhi HAWABAAZ,rahulgandhi HAWABAAZ
ehdostihumnaitodenge,ehdostihumnaitodenge
redlight,lampu merah
onmyhip,onmyhip
cool launde,cuci dingin
timepaas,waktu berlalu
Haryanvi Gujjar,Haryanvi Gujjar
dhakkad,Bang
dunali,Dobel
315 bore rifle,315 bore rifle
Bundook,Bundook
lath gaad du,yang terakhir dari keduanya
Vishwanath,Vishwanath
Marathi films,Film Marathi
Apna toh ussool hai,Punya prinsip Anda sendiri
pehle laat,Lot pertama
phir baat,Bicara lagi
uske baad,Setelah itu
mulaqat,Kunjungi
tee shirt,baju kaos
baisakhi,baisakhi
vasakhi,Vaisakhi
vahdhaiya,Mempelai laki-laki
ounjab,ounjab
Alootikki,Alotik
Mexican taste,Rasa Meksiko
commando,komando
khatarnaak hai,Berbahaya
tumhara baap hai,Ayahmu
Khusnasib hota,Akan beruntung
hai wo khoon,Apakah itu darah?
Jo desh ke,Dari negara mana
kaam aata hai,Sangat berguna
Daag GULAMi ka,Perbudakan bernoda
dhoya hai jaan Luta kar,Dibasuh
Deep jalaye,Luka bakar yang dalam
hai kitne,Berapa banyak
DEEP bhujha kar,Lampu dalam
Mili hai,Telah menerima
jab yeh AZADi,Saat ini kebebasan
to fir is azadi ko,Maka kebebasan ini
Rakhna hoga,Harus tetap
har DUSHMAN,Setiap musuh
se aaj bachakar,Hemat mulai hari ini
formalistic,formalistik
gymnastic,gimnastik
communistic,Komunis
hello1,halo1
hello2,halo2
hello3,halo3
hello4,halo4
sample,Sampel
tag,menandai
shero,shero
kndf,kndf
kjf,kjf
efw,efw
bvcngfnb,bvcngfnb
fgth,fgth
ehfrth,ehfrth
rgrh,rgrh
rhrrth,ilusi
barsatan,Bursatan
Kisti,Sikat
enjoyable,menyenangkan
