bobble,बडबड
tarakMehta,एस्टरिझम
Jethalal,जेठालाल
baaga,बागा
suvidha,सुविधा
daily dialogues,दररोज संवाद
super power,सुपर पॉवर
sdfghj,sdfghj
dfghjk,dfghjk
dfghjkl;,dfghjkl;
sdfghjkl,sdfghjkl
edrftghj,edrftghj
xcvghbjnkm,xcvghbjnkm
Superhero Indonesia,इंडोनेशियन सुपरहीरो
rent,भाडे
lease,भाडेपट्टी
masak,शिजवावे
trend,कल
buzzword,गूढ शब्द
lough,लोफ
daily meme,दररोज मेम
funny jokes,मजेदार विनोद
acara,कार्यक्रम
proklamasi,घोषणा
garuda,गरुड
garudaIndonesia,गरुड इंडोनेशिया
dorga puja,दुर्गा पूजा
suku,टोळी
dedemit,डेडमिट
okay jaanu,ठीक आहे जानू
kuch kuch locha hai,काहीतरी वाईट आहे
kudi saturday,पैसे शनिवार
baywatch bitches,बेवॉच बिच
kaala chasma,वेळ चासमा
main lovely ho gayi yaar,मी सुंदर बाळ आहे
alia bhatt,आलिया भट्ट
priyanka chopra,प्रियंका चोप्रा
ram kapoor,राम कपूर
siddhart malhotra,सिद्धार्थ मल्होत्रा
my girlfriend,माझी मैत्रीण
meri girlfriends hai,माझ्या मैत्रिणी आहेत
you are too sexy,तू खूप मादक आहेस
sportif,स्पोर्टी
Selamat Hari Ibu,मातृदिनाच्या हार्दिक शुभेच्छा
ny2018,ny2018
byebye2017,byebye2017
bada din,आंघोळ करा
christmas day,नाताळ चा दिवस
lucu,मजेदार
stiker,स्टिकर
mendengar,ऐकण्यासाठी
mendengarbro,ते ऐका
hari ulang tahun,वाढदिवस
perayaan,उत्सव
HumBadlengeDesh,आपण देश बदलेल
testtest,चाचणी
testertest,चाचण्या चाचणी
festval,उत्सव
Tags: IPL,टॅग्ज: आयपीएल
memes everyday,मेम्स दररोज
What's Hot,काय चर्चेत आहे
feeling low,कमी वाटत आहे
Ghanshyam Tiwari,घनश्याम तिवारी
bhaibahen,भाऊ
groom,वर
jiwansathi,जिवांसठी
benglish,इंग्रजी ठेवा
iss,देणे
valentine's day,व्हॅलेंटाईन डे
dilmoji,dilmoji
trump in india,ट्रम्प भारतात
namaste trump,नमस्ते ट्रम्प
sherawalima,शेरावालीमा
maiya,माल्ट
navratren,नवरात्रेन
workaday,workaday
aloha,अलोहा
notice,सूचना
respects,आदर
salaam,सलाम
acknowledgment,पोचपावती
mocha,मोचा
demitasse,डिमिटॅसे
cappuccino,कॅपुचीनो
espresso,एस्प्रेसो
feature,वैशिष्ट्य
talkie,टॉकी
grief,दु: ख
empathy,सहानुभूती
animated umozi,अ‍ॅनिमेटेड उमोजी
vivid,स्पष्ट
animate,सजीव करणे
arnab,ससा
flatmate,फ्लॅटमेट
mikesh,Mikesh
tanya,तान्या
tannu,टन्नू
tanu,स्वत:
permanent roommate,कायम रूममेट
companion,सहकारी
ally,सहयोगी
sidekick,साइडकिक
schoolmate,शाळकरी
attachment,जोड
delight,आनंद
double,दुप्पट
soulmate,सोलमेट
boy friend,मुलगा मित्र
admirer,प्रशंसक
Conversation Starters,संभाषण प्रारंभ
initiator,आरंभकर्ता
begn,begn
initiate,आरंभ
kickoff,किकऑफ
creation,निर्मिती
expressing,व्यक्त करत आहे
knowing,जाणून घेणे
uth,जागे व्हा
uthh,उठ
whats been up,काय झाले
bliss,आनंद
amusement,करमणूक
glee,आनंद
heartening,हार्दिक
pleasurable,आनंददायक
rapturous,आनंदी
cheery,आनंदी
lighthearted,हलक्या मनाचा
jubilant,आनंदी
gala,उत्सव
fiesta,उत्सव
fireplace,फायरप्लेस
fireside,अग्निशामक
hose,रबरी नळी
giveaway,देणे
pleasure,आनंद
snowfall,हिमवर्षाव
snowdrift,हिमवृष्टी
snowflake,स्नोफ्लेक
snow crystal,स्नो क्रिस्टल
wintertime,हिवाळा
mischievous,खोडकर
hop,हॉप
salutation,अभिवादन
carouse,कॅरोझ
glorify,गौरव करा
observance,साजरा
triumph,विजय
jesus,येशू
Good Shepherd,चांगला शेफर्ड
King of Kings,राजांचा राजा
Lamb of God,हा देवाचा कोकरा
Lord of Lords,लॉर्ड्स ऑफ लॉर्ड्स
Messiah,मशीहा
Prince of Peace,शांतीचा प्रिन्स
pleasing,सुखकारक
engaging,आकर्षक
alluring,मोहक
enchanting,मोहक
graceful,मोहक
dainty,दु: खी
captivating,मोहक
sumptuous,भव्य
impressive,प्रभावी
dazzling,लखलखीत
good-looking,चांगले दिसणारे
ravishing,लहरी
splendid,भव्य
elegant,मोहक
exquisite,उत्कृष्ट
newlyweds,नवविवाहित नववधू
enchantment,जादू
flirtation,इश्कबाजी
courtship,विवाहबाह्य
compassion,करुणा
datenight,डेटा रात्र
beau,बीओ
dearest,प्राणप्रिय
flame,ज्योत
hit on,वर दाबा
rouge,रुज
appealing,आकर्षक
relationship goals,संबंध लक्ष्ये
likeness,समानता
bond,बाँड
cupckae,कपकेक
cupcake,कपकेक
peach,सुदंर आकर्षक मुलगी
cutie-pie,क्यूट पाई
dream girl,स्वप्नाळू मुलगी
closeness,जवळीक
acquaintance,ओळखीचा
shout,ओरडा
frends,फ्रेन्ड
pact,करार
sympathy,सहानुभूती
agony,वेदना
parting,वेगळे करणे
splitsville,स्प्लिट्सविले
tear,फाडणे
new year greetings,नवीन वर्षाच्या शुभेच्छा
kickass,किकॅस
solid,घन
new year party,नवीन वर्षाची पार्टी
NYE PARTY,नवीन पक्ष
guru gobind singh,गुरु गोबिंदसिंग
guru govind singh,गुरु गोविंदसिंग
guru govind singh ji,गुरु गोबिंदसिंग
guru gobind singh ji,शिक्षक गोबिंद सिंह जी
festivities,उत्सव
observe,देखणे
Guru Govind Singh Jayanti,गुरु गोबिंदसिंग जयंती
dance moves,नृत्य चाली
spin,फिरकी
single ladies,एकट्या स्त्रिया
beyonce,बीयॉन्स
michael jackson,माइकल ज्याक्सन
bollywood dance,बॉलीवूड डान्स
bollywood songs,बॉलीवूड गाणी
twerk,twerk
twerking,twerking
psy,मानस
gangnam style,गँगनम शैली
towel dance,टॉवेल नृत्य
jawani fir na aaye,तारुण्य पुन्हा कधीच येत नाही
jawani fir na aae,फिर न आये
macarena,मॅकेरेना
ik pal ka jeena,मी पाल का जीना
ek pal ka jeena,एक क्षण जगणे
hrithink roshan dance,हृतिक रोशन डान्स
beat it,मार त्याला
jabardast,जबरदस्त
one liners,एक जहाज
spontaneous,उत्स्फूर्त
impromptu,उत्स्फूर्त
waheguru,waheguru
bajrang,बजरंग
luxmi,लुकमी
balaji,बालाजी
venkateshwara,वेंकटेश्वर
godesses,देवी
kaanha,kaanha
natraj,नटराज
what's,काय
yoo,यू
muhaavra,इडिओम
jabar,जबर
middle finger,मधले बोट
st. valentine,यष्टीचीत. 
muaah,मुआआ
patch up,पॅच अप
lovestruck,लव्हस्ट्रक
love at first sight,पहिल्या दृष्टीक्षेपात प्रेम
warm hug,उबदार मिठी
yours forever,तुमचा सदैव
forever and always,कायम आणि सदैव
fights,मारामारी
movie time,चित्रपटाची वेळ
poporn,लोकप्रिय
international,आंतरराष्ट्रीय
love you forever,तुझ्यावर कायम प्रेम आहे
treadmill,ट्रेडमिल
warm up,हलकी सुरुवात करणे
push ups,पुश अप
medidation,चिंतन
om shanti om,शांती बद्दल
balanced diet,संतुलित आहार
jinendra,जिनेंद्र
guru nanak,एक चांगला शिक्षक
ibaadat,पूजा
christians,ख्रिश्चन
jainism,जैनिझम
hinduism,हिंदुत्व
nanak sahib,नानक साहिब
sabka maalik ek,सर्वांचा स्वामी
buddhism,बौद्धत्व
buddham,buddham
sarnam,आडनाव
gacchami,gacchami
faith,विश्वास
almighty,सर्वशक्तिमान
honour,सन्मान
God is one,देव एक आहे
rivals,प्रतिस्पर्धी
LBW,एलबीडब्ल्यू
stamina,तग धरण्याची क्षमता
royal challengers,रॉयल चॅलेंजर्स
switch hit,स्विच हिट
reverse sweep,रिव्हर्स स्वीप
fourth umpire,चौथा पंच
chaukka,चौकार
no ball,एकही रन नाही
six runs,सहा धावा
no runs,एकही रन नाही
white ball,पांढरा बॉल
man of the match,सामनावीर
veg,शाकाहारी
non veg,नॉन Veg
meals,जेवण
m loving it,मी प्रेम करतो
quenched,शमन
happines,आनंद
favorite meal,आवडते जेवण
mc puff,एमसी पफ
non veg burger,नॉन वेज बर्गर
just kidding,फक्त गंमत करत आहे
hahahahha,हाहाहाहा
fools month,मूर्खांचा महिना
mauj,मजा
kadak launde,ओरडा
patana,पटना
patao,पृष्ठावर
aa rahe hain,येत आहेत
cool',छान '
cuss words,गोंधळ शब्द
gujjar bhai,गुर्जर भाई
track,ट्रॅक
wrestler,कुस्तीगीर
wrestler wwe,कुस्ती wwe
psychedelic,सायकेडेलिक
hallucinations,भ्रम
smoke up,धुम्रपान
trippy,चिडखोर
IMDB,आयएमडीबी
release,रीलिझ
themes,थीम
topics,विषय
gif,gif
spider man,कोळी मनुष्य
wwe raw,डब्ल्यूडब्ल्यू कच्चा
tussle,भांडण
wrestlers,कुस्तीपटू
john cena,जॉन सेना
BOBBY ROODE,बॉबी रूड
Alexa Bliss,अलेक्सा आनंद
Trish Stratus,ट्रिश स्ट्रॅटस
Naomi,नाओमी
Mickie James,मिकी जेम्स
Asuka,असुका
Alicia,Icलिसिया
Neville,नेव्हिले
Great Khali,ग्रेट खली
Dean Ambrose,डीन एम्ब्रोज
Brock Lesnar,ब्रॉक लेसनर
damm,धूळ
dangdut,डांगदूत
hari merdeka,स्वातंत्र्य दिन
lomba,शर्यत
tujuhbelasan indonesia,सातपट इंडोनेशिया
independece day,स्वातंत्र्यदिन
royal enfield,रॉयल एनफील्ड
imran hashmi,इमरान हाश्मी
shradha,आदर
have a dog,एक कुत्रा आहे
tomy,टॉमी
manali,मनाली
simla,सिमला
ab toh kar le,आता हे करा
ladakh,लद्दाख
is saal,या वर्षी
ab toh,आता
valentine gif,व्हॅलेंटाईन जीआयएफ
love gif,प्रेम GIF
propose gif,प्रस्ताव gif
reebok,रीबॉक
bahna,चिखल
New year 2019,नवीन वर्ष 2019
iss saal soch badal daal,या वर्षी बदला
chit-chat,चॅट गप्पा
office-office,कार्यालय-कार्यालय
coulege,सहकारी
kumbhkaran,कुंभ
wakey,जागृत
suna,कॉल
occupied,व्यापलेले
tied,बद्ध
busy bee,व्यस्त मधमाशी
bohat,bohat
complaining,तक्रार
seeking,शोधत आहे
chale,सोडा
openning,उघडत आहे
waving,लहरी
arey,तेवढेच
knock knock,ठक ठक
suno,सुनो
pointed,टोकदार
wheeler,व्हीलर
two wheeeler,दुचाकी
see saw,पाहिले
snow mountains,बर्फ पर्वत
shiny,चमकदार
decoration,सजावट
guyy,माणूस
bringing,आणत आहे
merry xmas,नाताळच्या हार्दिक शुभेच्छा
cristmas,नाताळ
enter,प्रविष्ट करा
youve,youve
mischieve,खोडकर
mischievious,खोडकर
sited,sited
fiance,वागदत्त पुरुष
hlding,होल्डिंग
cutness,cuteness
listing,सूची
bab,धडा
goals,गोल
strumming,ढवळत
forvever,कायमचे
bed time,झोपेची वेळ
late night calls,रात्री उशिरा कॉल
chats,गप्पा
conference,परिषद
chuddi,लपवा
fooling,मूर्ख
lounge,लाऊंज
tearup,अश्रु
tore up,फाडले
chuddy,चवदार
childhood friend,बालपणीचा मित्र
popcorn tub,पॉपकॉर्न टब
theater,थिएटर
hung,स्तब्ध
soulsister,आत्मा
slaying,खून
zone,झोन
crack,क्रॅक
toot,दात
bruhs,bruhs
hi5,शक्ती
sodey,न्यायाधीश
jagah,जागा
soda,सोडा
fill,भरा
pour,साठी
spilling,गळती
coolio,कूलिओ
bha,तो बाहेर
mada,तरीही
fakka,फक्का
dj set,डीजे सेट
console,कन्सोल
wants,इच्छिते
pictchers,चित्रे
janna,नंदनवन
chahta,पाहिजे
sit,बसा
private,खाजगी
privately,खाजगीरित्या
lekin,पण
good bye,अलविदा
petey,मिळणे
thubs,थब
heyya,हेया
thats,thats
arghhhh,arghhhh
puzzled,गोंधळलेले
pictures,चित्रे
gangnam,गँगनाम
campagne,ग्रामीण भाग
caprio,कॅप्रिओ
gentle man,सभ्य माणूस
masks,मुखवटे
sprinkle,शिंपडा
dushman,शत्रू
haters,शत्रू
Happy Gurpurab,शुभेच्छा गुरुपुरब
Guru Govind Singh Jayanti in India,भारतातील गुरु गोबिंदसिंग जयंती
joining,सामील होत आहे
gurpurab,गुरुपुरब
khanda,खंडा
beyonce dancing,बेयन्स नृत्य
hrithik roshan,हृतिक रोशन
hrithik dancing,हृतिक नृत्य
girl dancing,मुलगी नृत्य
salmaan khan dancing,सलमान खान नृत्य
got this babe,हे बाळ मिळाले
sexy dance moves,मादक नृत्य हलवेल
cha cha,चा चा
cha cha cha,चा चा चा चा
oppa,ओपा
watch my swag,माझा स्वैग पहा
moonwalk,मूनवॉक
moonwalking,मूनवॉकिंग
moon walking,चंद्र चालणे
moon walk,चंद्र चालणे
man dancing,माणूस नाचत आहे
oppa gangnam style,oppa Gangnam शैली
guy dancing,माणूस नाचत आहे
boy dancing,मुलगा नाचत आहे
ted,टेड
round,गोल
arent,arent
ape,वानर
chimpanzee,चिंपांझी
disgusting,तिरस्कार
specticles,चष्मा
chimp,चिंप
siet,धांदल
hungover,शिकारी
upgrading,श्रेणीसुधारित करणे
documents,कागदपत्रे
mustache,मिशी
french,फ्रेंच
deleted,हटविले
account,खाते
offline,ऑफलाइन
fateh,उघडा
wahe,प्रवाह
dev,देव
jab,जबड
kripa,मीठ
shee,शी
raamnavmi,रामनवमी
vaishno,वैष्णो
banke,बँका
vighn,त्रास
harta,नकाशा
karta,नकाशा
ganeshaye,गणेशाय
namha,नाव
maurya,मौर्य
venkateswara,वेंकटेश्वर
saibaba,साईबाबा
vaishnu,विष्णू
barjangbali,barjangbali
tod,टॉड
nali,कोठे
mouriya,मौरिया
bhadiya,लांडगा
chauchak,चौचक
hipster,हिपस्टर
speakers,स्पीकर्स
dawat,आमंत्रण
kumbkaran,सूज
muaaf,क्षमा
eiffel,एफिल
snapchat,स्नॅपचॅट
oke,ठीक आहे
oki,मी काळजी करतो
doke,डोके
dokey,डोकी
kameene,मदरफकर
haraami,कमीतकमी
that's,तेच
okey,ठीक
clapping,टाळ्या वाजवणे
yey,तिला
rehne de,विरोधी
unki,त्यांचे
hoti,असेल
jinki,जिंकी
jhandbaa,ध्वज
ghamandbaa,बढाई मारणे
gram,हरभरा
hojayegi,केले जाईल
jayegi,जाईल
dip,बुडविणे
sone,झोन
hass,भांडण
ander,इतर
ashleel,ashleel
nanga,नंगा
takraoge,दणका देईल
choor,चुर
hojaoge,मिळेल
walnut,अक्रोड
phrase,वाक्यांश
muhavra,इडिओम
tricolor,तिरंगा
airoplane,विमान
airpane,विमान
jet,जेट
tircolor,तिरंगा
jind,तळमळ
deol,देओल
kite flying,पतंग उडविणे
rooftop,छप्पर
roof,छप्पर
patangbaazi,पतंग उडत आहे
let's,चला
pongli,पोंग
lodri,Lodr
wadhayi,एकजूट
bhanngra,ठिसूळ
giddha,गिधाडे
bonfire,अलाव
shivaye,शिवय
shivraatri,शिवरात्रि
naag,स्त्री
panchmi,पंचमी
selfie stick,सेल्फी स्टिक
lagenge,घेईल
pelne,पूर्ण
lagoge,दिसेल
khelne,खेळायला
jaha,अरे तसेच
padh,वाचा
rah,राह
chuke,होते
giploma,डिप्लोमा
destroy,नष्ट
destroys,नष्ट करते
life lesson,जीवन धडा
accident,अपघात
purpose,हेतू
watersplash,पाणलोट
balam pichkari,बलम पिचकारी
coloured water,रंगीत पाणी
proud women,गर्विष्ठ महिला
proud woman,गर्विष्ठ बाई
made for each other,एकमेकासाठी बनंलेले
love birds,पक्षी प्रेम
loveable,प्रेमळ
valentine 's day,व्हॅलेंटाईन डे
4eva,चेवा
love you always,तुझ्यावर नेहमीच प्रेम
adore,प्रेम करणे
as sweet as chocolate,चॉकलेटसारखे गोड
lets',करू देते '
you are my life,तू माझे जीवन आहेस
valnetine,व्हॅलेंटाईन
jaaanu,झेन काय आहे
love you alot,तुझ्यावर खूप प्रेम आहे
love you so much,तुझ्यावर खूप प्रेम आहे
token of love,प्रेमाचे टोकन
thats',thats '
in the gym,व्यायाम शाळेमध्ये
fitness goal,स्वास्थ्य लक्ष्य
body and soul,शरीर आणि आत्मा
dumbles,डंबल्स
shanti shanti shanti,शांती शांतता शांतता
om chant,जप बद्दल
stopping,थांबवित आहे
jog,जोग
eary morning,पहाटे
zat,बसला
fitness comes first,फिटनेस प्रथम येतो
relieve,आराम
beating stress like,सारख्या पराभव
chaos,अनागोंदी
heart out,हृदय बाहेर
regret,दु: ख
enna,काय
mind it,लक्षात ठेव
thalaivaa,सेवकांना द्वारमंडप
heropanti,हीरोपंती
sun na,मी ना
jalti hai,बर्न्स
i like you,मला तुम्ही आवडता
good friends,चांगले मित्र
hook me up,मला हुकवून टाक
dudevorce,dudevorce
betrayal,विश्वासघात
bonding,बाँडिंग
happy bday,वाढदिवसाच्या हार्दिक शुभेच्छा
hour,तास
light energy,हलकी ऊर्जा
darkness,अंधार
no lights,दिवे नाहीत
lights off,दिवे बंद
zero visibility,शून्य दृश्यमानता
movement,चळवळ
groove,खोबणी
Sai ka saath,साई का साथ
sab maalik ek,उप मालक एक
worries,काळजी
Saranam,श्लोक
Lord Buddha,भगवान बुद्ध
nam myoho renge kyo,नाव मेहो रेगे का
jai jinendra,जय जिनेंद्र
believers,विश्वासणारे
mary,मेरी
God is once,देव एकदा आहे
Lord jesus,लॉर्ड जीसस
preacher,उपदेशक
cover,कव्हर
wheels,चाके
greed,लोभ
want one,एक पाहिजे
wanna be,व्हायचे आहे
donalds,डोनाल्ड्स
friench fries,फ्रेंच फ्राइज
para pa pa,पीए साठी
no share,भाग नाही
nom nom  nom,नाव नाव नाव
hate sharing,सामायिकरण द्वेष
potato fries,बटाटा फ्राय
priority,प्राधान्य
yumm,हं
happy april fool,शुभेच्छा एप्रिल फूल
hindi new year,हिंदी नवीन वर्ष
shubhkamnayein,शुभेच्छा
best wishes,शुभेच्छा
gudi padwa,तू खरोखर नाहीस
happy gudi padwa,गुढी पाडव्याच्या हार्दिक शुभेच्छा
congratulation,अभिनंदन
travel story,प्रवास कथा
ehsas,खळबळ
items,आयटम
bazar,बाजार
kharidari,खरेदी
achanak,अचानक
larki,लार्की
paheli,कोडे
flip,फ्लिप
ungli kerna,बोटायला
ungli dikhana,बोट दाखवा
gali dena,देऊ शकत नाही
alvida,निरोप
chalta hoon,चालेल
jaraha hoon,मी आहे
larka,पालापाचोळा
admi,अ‍ॅड
accha hai,चांगले आहे
troll,ट्रोल
ungli dekhana,बोटांनी पहात आहे
ungli karna,बोटायला
sunyeah,सूर्यप्रकाश
pukarna,कॉल करा
gana,विजय
suwagatam,स्वागत आहे
haat,तिरस्कार
birdu,BrdU
notepad,नोटपैड
interview,मुलाखत
sundar,सुंदर
malik,मलिक
chairman,अध्यक्ष
vip,व्हीआयपी
honeymoon,मधुचंद्र
naachna,नाचणे
rowdy,रौडी
bajana,खेळत आहे
vespa,वेस्पा
batli,batli
takya,टाक्या
pent,पेन्ट
party bombs,पार्टी बॉम्ब
party bombers,पार्टी बॉम्बर
recruit,भरती
hire,भाड्याने
taanka,मांडी
duddies,duddies
biddu,विचारू
bhai chara,भाई चरा
budddies,मित्र
drees,dishes
goggle,गॉगल
dosit,Dosit
aniverssary,वर्धापन दिन
saalgira,साल्गीरा
choorna,पावडरी
gheerna,gheerna
hirt,हर्ट
sunder,सुंदर
hud,त्वचा
vyast,व्यस्त
conservative,पुराणमतवादी
target,लक्ष्य
maarna,चालू
laundiya,लॉंडिया
moove,moove
ugadi,अताडी
artri,आर्थ्री
arti,अर्थ
chaaand,चवंड
auraat,बाई
ungli korna,यंग कॉर्न
chummban,चुंबन
Farishta,परी
bhaloo,चांगलेही
galey milna,मिलनामध्ये प्रवेश करा
naive,भोळे
hameshaa,नेहमीच
shitr,शीटर
fitness girl,फिटनेस मुलगी
kasrat,एक कसरत
stretching,ताणत आहे
fitness boy,फिटनेस मुलगा
refresh,रीफ्रेश
taat,आज्ञाधारक
uga,पासून
lein,ओळ
jashan,उत्सव
natan,नॅटन
rupea,ब्रेकिंग
paisawala,paisawala
ameer,श्रीमंत
shakira,शकीरा
badword,वाईट शब्द
101,101
kabootaron me,कबुतरांमध्ये
batunga,त्यांच्या मालकीचे
cannabis,भांग
kabooter,कॅबूटर
charsi,charsi
cocain,कोकेन
charas,आनंद
ladkaadmi,बालपण
pighal,वितळवले
ria,रिया
Shannu,शान राग
medical,वैद्यकीय
dawa khana,औषध खा
Bholi,भोळे
kitne,निळा
loss,तोटा
10kg,10 किलो
10 days,10 दिवस
Itne,itne
yehi,तो
milega,मिळेल
jens,जेन्स
mohabbot,प्रेम
woma,वूमा
Suresh,सुरेश
all rounder,अष्टपैलू
hardees,हर्डीस
zinger,झिंगर
tables,सारण्या
disco outfit,डिस्को साहित्य
Tea leaf,चहाची पाने
willpower,इच्छाशक्ती
joggers,जोगर्स
running shoes,धावण्याचे जोडे
puma,प्यूमा
adidas,एडिडास
green dress,हिरवा पोशाख
neck piece,मान तुकडा
Gym outfit,जिम साहित्य
Selfie queen,सेल्फी क्वीन
Casual tees,प्रासंगिक टी
Colourful bags,रंगीबेरंगी पिशव्या
Longskirt,लांब परकर
Funky tshirt,फंकी टीशर्ट
Lid box,झाकण बॉक्स
Black top,ब्लॅक टॉप
Casual tee,प्रासंगिक टी
Party dress,पार्टी ड्रेस
Polka dot,पोलिश स्त्री
Flashtshirt,फ्लॅशशर्ट
gotta,पाहिजे
fawad khan,फवाद खान
photos,फोटो
gadget,गॅझेट
unlimited,अमर्यादित
sauda,होय
faide,लांब
hotspot,हॉटस्पॉट
Helicopter shot,हेलिकॉप्टर शॉट
medium,मध्यम
juban,धरा
irfan,इरफान
amithabh,अमिताभ
girlsfriend,मैत्रीण
bahu,खांदा
triple,तिहेरी
undertaker,उपक्रमकर्ता
taker,घेणारा
shawn,शॉन
henry,हेन्री
kofi,कोफी
kane,केन
backdrop,पार्श्वभूमी
jhon,झोन
wretler,कुस्तीपटू
daniel,डॅनियल
ziggler,कर्कश
they,ते
bouncy,उच्छृंखल
surma bhopali,सुरमा भोपाली
diana,डायना
hippolyta,हिप्पोलिटा
bay,बे
drowning,बुडणारा
i've,मी आहे
roll up,गुंडाळणे
sunrays,सूर्यकिरणे
topper,टॉपर
examinations,परीक्षा
questions,प्रश्न
answers,उत्तरे
movie star,चित्रपट तारा
bieber,बीबर
pun,खूप
lipsink,ओठ समक्रमण
justine,जस्टीन
dhinchik,Dincik
thug life,ठग जीवन
tending,टेंडिंग
picnic,सहल
sakinaka,साकिनका
fidget,विजेट
buster,बुस्टर
pankhha,विंग्स:
burster,फोडणे
ghoom,झोपा
ayenge,येईल
bubbye,बडबड
Shani,शनि
maharaj,महाराज
cruise,समुद्रपर्यटन
khate hain,म्हणतात
booked,बुक केले
sajan,व्यवस्था करा
bajaiyo,बाजायो
sohel,सोहेल
fauzi,fauzi
panjabi,पंजाबी
daljeet,दलजित
booking,बुकिंग
Sholey,शोले
dharmendra,धर्मेंद्र
minion,मिनीयन
dedh foot,दीड फूट
bawal,बंदी घातली
kavach,चिलखत
wiskey bottle,व्हिस्की बाटली
pettels,पाकळ्या
petteles,Pettels
magic stick,जादू काठी
parlour,पार्लर
street lamp,रस्त्यावरचा दिवा
bagavan,भगवान
bellones,bellones
head phones,हेडफोन
exteerier buildings,exteerier इमारती
khurta,हिमवादळ
pattar,knockers
boundry,मर्यादा
ghera,वर्तुळ
baada,नंतर
flower boquet,पुष्पगुच्छ
pushpa gucha,फ्लॉवर क्लस्टर
greeting card,शुभेच्छा पत्र
bond fire,बॉन्ड फायर
exteerier,exteerier
foot path,पाऊल
uddass,uddass
lined tshirt,लाइन टीशर्ट
dhothi,धोती
bagwan,माळी
fencing,कुंपण
colour's,रंग
dumball,डंबल
dumball, kachaa,डुंबल, काचा
joothe,शूज
himmmat,हिम्मत
sleeping panda,झोपेचा पांडा
sota bhalu,शुभेच्छा
bowls,वाटी
beer mugs,बिअर मग
katore,वाटी
chiken,क्लिनिकल चाचणी
daaruu,ते चालू करा
taditional wear,पारंपारिक पोशाख
sri ram god,श्री राम देव
sri ram,श्री राम
bagawan,बागवान
patterened tshirt,नमुना शर्ट
colourful tshirt,रंगीत टीशर्ट
pagal pyaar,वेडा प्रेम
paijama white,पायजमा पांढरा
shiva ling,शिव लिंग
bhagavan,भागवन
two guys,दोन मुले
doost,बॉक्स
trowser,पायघोळ च्या
nikker,nods
middle fineger,मधले बोट
lord krishna,भगवान कृष्ण
desi shirt,देसी शर्ट
bagvan sri krishna,बागवान श्रीकृष्ण
bhagavan bakthi,परमेश्वराची भक्ती
chai cup,बाटली कप
sugar cane,ऊस
cheeni,साखर
triipy,चिडखोर
sikka,सिक्का
paper bowl,कागदाची वाटी
plate aarti,प्लेट आरती
moti choor laddu,मोती चूर लाडू
evil eye,वाईट डोळा
nazar rakshak,नेत्ररक्षक
cork,कॉर्क
tred mill,ट्रेड मिल
birthaday,वाढदिवस
janam din,वाढदिवस
key board,कीबोर्ड
mobilel,मोबाईल
zanda,झांडा
doothi,दूध
Fauj,सैन्य
lohe ka danda,लोखंडी रॉड
desh premi,देशप्रेमी
glass, ice, bottle,काच, बर्फ, बाटली
daaru, baraf, botal,मद्य, बर्फ, बाटल्या
happy, sad,आनंदी दुखी
khush, udas,आनंदी, दु: खी
happy, swag, excited,आनंदी, स्वैग, उत्साही
khush, tashan, utsuk,आनंदी, तशान, उत्सुक
confident, swag, happy,आत्मविश्वास, स्वैग, आनंदी
atmavishwas, tashan, khush,atmavishwas, tashan, khush
confident, happy,आत्मविश्वास, आनंदी
bat, ball, wicket,बॅट, बॉल, विकेट
atmavishwas, khush,atmavishwas, khush
balla, gend,चला, जेंड
headlight,हेडलाईट
sheher,शेअर
lord venkateshwar,लॉर्ड वेंकटेश्वर
venkteshwar,व्यंकटेश्वर
kruta,घन
banner,बॅनर
thong,वांग
tiles,फरशा
bear suit,अस्वल खटला
anrgry,राग
pane,उपखंड
dance floor,नृत्य मंच
kamra,खोली
doors,दारे
awaz,आवाज
kriya,क्रियापद
prakash,प्रकाश
netted,निव्वळ
chana hua,फ्लॅश फ्लॉवर
eiffel tower,आयफेल टॉवर
river,नदी
sanfals,सानफल्स
wrestling ring,कुस्तीची अंगठी
Taja mahal,ताज महाग
desh bhakti,देशभक्ती
burgers,बर्गर
phatta,फुटत आहे
lehrein,लाटा
koonda,एकत्र ठेवले
chokor,chokor
thred,thred
smiley,हसरा
shitt,shitt
doller,डॉलर
rist band,अंतःप्रेरणा बँड
stupa,स्तूप
sanchi,मूळ
sanchi stupa,सांची स्तूप
tutna,Tutne
bhagwan ji,प्रभू
seats,जागा
mukti,सोडा
rashtrapti,अध्यक्ष
undergarments,अंडरगारमेंट्स
sakth,कठोर
agya,मेंदू
chandama,चंद्र
chandra,चंद्र
manzile,गंतव्य
celabrations,उत्सव
ribbons,फिती
Khish,किश
stage show,स्टेज शो
cricket ball,क्रिकेट बॉल
Embarrassed,लज्जास्पद
Sharamnaak,लज्जास्पद
rona,रोना
aasoon,आसू
moile,मोल
Wresting ring,कुस्तीची रिंग
handi,छान
papaer,कागद
ranholi,ranchholes
jhopadi,झोपडी
chooriya,चुरिया
taara,ते आहेत
lord balaji,भगवान बालाजी
champion belt,चॅम्पियन बेल्ट
fidget spinner,विजेट स्पिनर
aansoo,अश्रू
pade,खोटे बोलणे
hand gloves,हातचे हातमोजे
broken heart,तुटलेले ह्रदय
thoota dil,बुलेट बडीशेप
library,ग्रंथालय
pustaken,पुस्तके
pustakaalay,ग्रंथालय
wine glasses,वाइन ग्लासेस
traditional saree,पारंपारिक साडी
champange bottle,शॅम्पेन बाटली
