bobble,ਬੌਬਲ
dev,ਦੇਵ
jab,jab
kripa,ਲੂਣ
shee,shee
raamnavmi,ਰਮਨਵਮੀ
vaishno,ਵੈਸ਼ਨੋ
banke,Bank
vighn,ਪਰੇਸ਼ਾਨੀ
harta,ਨਕਸ਼ਾ
karta,ਨਕਸ਼ਾ
ganeshaye,ਗਣੇਸ਼ਾਯ
namha,ਨਾਮ
maurya,ਮੌਰੀਆ
venkateswara,Venkateswara
saibaba,ਸਾਈ ਬਾਬਾ
vaishnu,ਵਿਸ਼ਨੂੰ
barjangbali,barjangbali
tod,ਟੌਡ
nali,ਕਿੱਥੇ
mouriya,ਮੌਰੀਆ
bhadiya,ਬਘਿਆੜ
chauchak,ਚੌਚਕ
hipster,ਹਿੱਪਸਟਰ
speakers,ਬੋਲਣ ਵਾਲੇ
dawat,ਸੱਦਾ
kumbkaran,ਸੁੱਜਿਆ
muaaf,ਮਾਫੀ
eiffel,ਆਈਫਲ
snapchat,ਸਨੈਪਚੈਟ
oke,ਠੀਕ ਹੈ
oki,ਮੈਂ ਦੇਖਭਾਲ ਕਰਦਾ ਹਾਂ
doke,ਡੋਕੇ
dokey,ਡੌਕੀ
kameene,ਮਦਰਫਕਰ
haraami,ਬਾਸਟਰਡ
that's,ਉਹ ਹੈ
okey,ਠੀਕ
clapping,ਤਾੜੀ
yey,ਉਸ ਨੂੰ
rehne de,ਦਾ ਵਿਰੋਧ ਕਰਦਾ ਹੈ
unki,ਉਨ੍ਹਾਂ ਦਾ
hoti,ਹੋਵੇਗਾ
jinki,ਜਿੰਕੀ
jhandbaa,ਝੰਡਾ
ghamandbaa,ਸ਼ੇਖੀ ਮਾਰੋ
gram,ਗ੍ਰਾਮ
hojayegi,ਕੀਤੀ ਜਾਏਗੀ
jayegi,ਜਾਵੇਗਾ
dip,ਡੁਬੋ
sone,ਜ਼ੋਨ
hass,ਪਰੇਸ਼ਾਨੀ
ander,ਹੋਰ
ashleel,ashleel
nanga,ਨੰਗਾ
takraoge,ਦੱਬੇਗਾ
choor,ਚੂਰ
hojaoge,ਤੁਸੀਂ ਪ੍ਰਾਪਤ ਕਰੋਗੇ
walnut,ਅਖਰੋਟ
phrase,ਵਾਕਾਂਸ਼
muhavra,ਮੁਹਾਵਰਾ
tricolor,ਤਿਰੰਗਾ
airoplane,ਹਵਾਈ ਜਹਾਜ਼
airpane,ਹਵਾਈ ਜਹਾਜ਼
jet,ਜੈੱਟ
tircolor,ਤਿਰੰਗਾ
jind,ਉਮੰਗ
deol,deol
kite flying,ਪਤੰਗ ਉਡਾਉਣਾ
rooftop,ਛੱਤ
roof,ਛੱਤ
patangbaazi,ਪਤੰਗ ਉਡਾਉਣਾ
let's,ਚਲੋ
pongli,ਪੋਂਗ
lodri,Lodr
wadhayi,ਇਕਜੁਟ
bhanngra,ਭੁਰਭੁਰਾ
giddha,ਗਿਰਝ
bonfire,ਬੋਨਫਾਇਰ
shivaye,ਸ਼ਿਵਾਯ
shivraatri,ਸ਼ਿਵਰਾਤਰੀ
naag,.ਰਤ
panchmi,ਪੰਚਮੀ
selfie stick,ਸੈਲਫੀ ਸਟਿਕ
lagenge,ਲਵੇਗਾ
pelne,ਪੂਰੀ
lagoge,ਵੇਖਣਗੇ
khelne,ਖੇਡਣ ਲਈ
jaha,Oh ਨਾਲ ਨਾਲ
padh,ਪੜ੍ਹੋ
rah,ਰਹਿ
chuke,ਸੀ
giploma,ਇੱਕ ਡਿਪਲੋਮਾ
destroy,ਨਸ਼ਟ ਕਰੋ
destroys,ਨਸ਼ਟ ਕਰਦਾ ਹੈ
life lesson,ਜ਼ਿੰਦਗੀ ਦਾ ਸਬਕ
accident,ਹਾਦਸਾ
purpose,ਉਦੇਸ਼
watersplash,ਵਾਟਰਪਲੇਸ਼
balam pichkari,ਬਾਲਮ ਪਿਚਕਾਰੀ
coloured water,ਰੰਗ ਦਾ ਪਾਣੀ
proud women,ਮਾਣ ਵਾਲੀ .ਰਤ
proud woman,ਮਾਣ ਵਾਲੀ womanਰਤ
made for each other,ਇਕ ਦੂਜੇ ਲਈ ਬਣੇ
love birds,ਪਿਆਰ ਪੰਛੀ
loveable,ਪਿਆਰਾ
valentine 's day,ਵੇਲੇਂਟਾਇਨ ਡੇ
4eva,ਚੀਵਾ
love you always,ਤੁਹਾਨੂੰ ਹਮੇਸ਼ਾਂ ਪਿਆਰ ਕਰਦਾ ਹਾਂ
adore,ਪਿਆਰ ਕਰੋ
as sweet as chocolate,ਚਾਕਲੇਟ ਜਿੰਨਾ ਮਿੱਠਾ
lets',ਚਲੋ '
you are my life,ਤੁਸੀਂ ਮੇਰੀ ਜਿੰਦਗੀ ਹੋ
valnetine,ਵੈਲੇਨਟਾਈਨ
jaaanu,ਜ਼ੈਨ ਕੀ ਹੈ?
love you alot,ਤੁਹਾਨੂੰ ਬਹੁਤ ਪਿਆਰ ਕਰਦਾ ਹਾਂ
love you so much,ਤੁਹਾਨੂੰ ਬਹੁਤ ਪਿਆਰ ਕਰਦਾ ਹਾਂ
token of love,ਪਿਆਰ ਦਾ ਟੋਕਨ
thats',thats '
in the gym,ਜਿੰਮ ਵਿੱਚ
fitness goal,ਤੰਦਰੁਸਤੀ ਦਾ ਟੀਚਾ
body and soul,ਸਰੀਰ ਅਤੇ ਆਤਮਾ
dumbles,ਡੰਬਲ
shanti shanti shanti,ਅਮਨ ਸ਼ਾਂਤੀ
om chant,ਜਪ ਬਾਰੇ
stopping,ਰੋਕਣਾ
jog,ਜਾਗ
eary morning,ਪਹੁ ਫੁੱਟਦਿਆਂ ਹੀ, ਸੁਬ੍ਹਾ - ਸੁਬ੍ਹਾ
zat,ਬੈਠ ਗਿਆ
fitness comes first,ਤੰਦਰੁਸਤੀ ਪਹਿਲੇ ਆ
relieve,ਰਾਹਤ
beating stress like,ਕੁੱਟਣਾ
chaos,ਹਫੜਾ-ਦਫੜੀ
heart out,ਦਿਲ ਬਾਹਰ
regret,ਅਫਸੋਸ
enna,ਕੀ
mind it,ਇਸ ਨੂੰ ਯਾਦ ਰੱਖੋ
thalaivaa,Portico
heropanti,ਹੀਰੋਪੰਟੀ
sun na,ਮੈਂ ਨਾ
jalti hai,ਬਰਨ
i like you,ਮੈਨੂੰ ਤੂੰ ਚੰਗਾ ਲਗਦਾ ਹੈ
good friends,ਚੰਗੇ ਦੋਸਤ
hook me up,ਮੈਨੂੰ ਜਕੜੇ
dudevorce,dudevorce
betrayal,ਧੋਖਾ
bonding,ਬੰਧਨ
happy bday,ਜਨਮਦਿਨ ਮੁਬਾਰਕ
hour,ਘੰਟਾ
light energy,ਹਲਕੀ .ਰਜਾ
darkness,ਹਨੇਰਾ
no lights,ਬੱਤੀਆਂ ਨਹੀਂ
lights off,ਲਾਈਟਾਂ ਬੰਦ
zero visibility,ਜ਼ੀਰੋ ਦ੍ਰਿਸ਼ਟੀ
movement,ਅੰਦੋਲਨ
groove,ਝਰੀ
Sai ka saath,ਸਾਈ ਕਾ ਸਾਥ
sab maalik ek,ਉਪ-ਮਾਲਕ ਇਕ
worries,ਚਿੰਤਾ
Saranam,ਪਉੜੀ
Lord Buddha,ਭਗਵਾਨ ਬੁੱਧ
nam myoho renge kyo,ਨਾਮ ਮਹੋਓ ਰੀਜ ਕਿਉਂ
jai jinendra,ਜੈ ਜਿਨੇਂਦਰ
believers,ਵਿਸ਼ਵਾਸੀ
mary,ਮੈਰੀ
God is once,ਰੱਬ ਇਕ ਵਾਰ ਹੈ
Lord jesus,ਪ੍ਰਭੂ ਯਿਸੂ
preacher,ਪ੍ਰਚਾਰਕ
cover,ਕਵਰ
wheels,ਪਹੀਏ
greed,ਲਾਲਚ
want one,ਇੱਕ ਚਾਹੁੰਦੇ ਹੋ
wanna be,ਹੋਣਾ ਚਾਹੁੰਦੇ ਹੋ
donalds,ਡੋਨਲਡਸ
friench fries,ਫ੍ਰੈਂਚ ਫ੍ਰਾਈਜ਼
para pa pa,ਪੀਏ ਪੀਏ ਲਈ
no share,ਕੋਈ ਹਿੱਸਾ ਨਹੀਂ
nom nom  nom,ਨਾਮ ਦਾ ਨਾਮ
hate sharing,ਨਫ਼ਰਤ ਸਾਂਝੀ
potato fries,ਆਲੂ ਫ੍ਰਾਈਜ਼
priority,ਤਰਜੀਹ
yumm,yumm
happy april fool,ਖੁਸ਼ ਅਪਰੈਲ ਮੂਰਖ
hindi new year,ਹਿੰਦੀ ਨਵਾਂ ਸਾਲ
shubhkamnayein,ਸ਼ੁਭਕਾਮਨਾਵਾਂ
best wishes,ਸ਼ੁਭ ਕਾਮਨਾਵਾਂ
gudi padwa,ਤੁਸੀਂ ਸਚਮੁਚ ਨਹੀਂ ਹੋ
happy gudi padwa,ਮੁਬਾਰਕ ਗੁਡੀ ਪਡਵਾ
congratulation,ਵਧਾਈ
travel story,ਯਾਤਰਾ ਦੀ ਕਹਾਣੀ
ehsas,ਸਨਸਨੀ
items,ਇਕਾਈ
bazar,ਬਾਜ਼ਾਰ
kharidari,ਖਰੀਦਦਾਰੀ
achanak,ਅਚਾਨਕ
larki,larki
paheli,ਬੁਝਾਰਤ
flip,ਫਲਿੱਪ
ungli kerna,ਉਂਗਲੀ ਕਰਨ ਲਈ
ungli dikhana,ਉਂਗਲ ਦਿਖਾਓ
gali dena,ਡੀਨਾ ਦੇ ਸਕਦਾ ਹੈ
alvida,ਅਲਵਿਦਾ
chalta hoon,ਤੁਰੇਗਾ
jaraha hoon,ਮੈਂ ਹਾਂ
larka,ਲਾਰਚ
admi,ਐਡਮ
accha hai,ਚੰਗਾ ਹੈ
troll,ਟਰੋਲ
ungli dekhana,ਫਿੰਗਰ ਦੇਖਣਾ
ungli karna,ਉਂਗਲੀ ਕਰਨ ਲਈ
sunyeah,sunyeah
pukarna,ਕਾਲ ਕਰੋ
gana,ਜਿੱਤੇ
suwagatam,ਸਵਾਗਤ ਹੈ
haat,ਨਫ਼ਰਤ
birdu,BrdU
notepad,ਨੋਟਪੈਡ
interview,ਇੰਟਰਵਿ interview
sundar,ਸੁੰਦਰ
malik,ਮਲਿਕ
chairman,ਚੇਅਰਮੈਨ
vip,ਵੀਆਈਪੀ
honeymoon,ਹਨੀਮੂਨ
naachna,ਨੱਚਣਾ
rowdy,ਗੁੰਝਲਦਾਰ
bajana,ਖੇਡ ਰਿਹਾ ਹੈ
vespa,ਵੇਸਪਾ
batli,ਬਟਲੀ
takya,ਟਕਯਾ
pent,ਪੈਂਟ
party bombs,ਪਾਰਟੀ ਬੰਬ
party bombers,ਪਾਰਟੀ ਬੰਬ
recruit,ਭਰਤੀ
hire,ਭਾੜੇ
taanka,ਪੱਟ
duddies,uddੱਡਰੀਆਂ ਵਾਲੇ
biddu,ਪੁੱਛੋ
bhai chara,ਭਾਈ ਚਾਰਾ
budddies,ਦੋਸਤ
drees,ਡਰੀ
goggle,ਗੋਗਲ
dosit,Dosit
aniverssary,ਬਰਸੀ
saalgira,ਸਲਗੀਰਾ
choorna,ਪਾ Powderਡਰ
gheerna,gheerna
hirt,hirt
sunder,ਸੁੰਦਰ
hud,ਚਮੜੀ
vyast,ਵਿਅਸਤ
conservative,ਰੂੜ੍ਹੀਵਾਦੀ
target,ਟੀਚਾ
maarna,ਬਦਲ
laundiya,ਲੌਡੀਆ
moove,ਮੂਵ
ugadi,atadi
artri,ਆਰਥਰੀ
arti,ਅਰਥ
chaaand,ਚਾਵੰਦ
auraat,.ਰਤ
ungli korna,ਜਵਾਨ ਮੱਕੀ
chummban,ਚੁੰਬਨ
Farishta,ਦੂਤ
bhaloo,ਚੰਗਾ ਵੀ
galey milna,ਮਿਲਨਾ ਦਾਖਲ ਹੋਵੋ
naive,ਭੋਲਾ
hameshaa,ਹਮੇਸ਼ਾ
shitr,ਸ਼ੀਟਰ
fitness girl,ਤੰਦਰੁਸਤੀ ਲੜਕੀ
kasrat,ਇੱਕ ਕਸਰਤ
stretching,ਖਿੱਚਣਾ
fitness boy,ਤੰਦਰੁਸਤੀ ਲੜਕਾ
refresh,ਤਾਜ਼ਾ ਕਰੋ
taat,ਆਗਿਆਕਾਰੀ
uga,ਤੱਕ
lein,ਲਾਈਨ
jashan,ਜਸ਼ਨ
natan,ਨੈਟਨ
rupea,ਤੋੜ
paisawala,paisawala
ameer,ਅਮੀਰ
shakira,ਸ਼ਕੀਰਾ
badword,ਬੁਰਾ ਸ਼ਬਦ
101,101
kabootaron me,ਕਬੂਤਰਾਂ ਵਿਚ
batunga,ਉਹ ਆਪਣੇ ਹਨ
cannabis,ਭੰਗ
kabooter,ਕੈਬੂਟਰ
charsi,charsi
cocain,ਕੋਕੀਨ
charas,ਅਨੰਦ
ladkaadmi,ਬਚਪਨ
pighal,ਪਿਘਲੇ ਹੋਏ
ria,ਰਿਆ
Shannu,ਸ਼ਾਨ ਗੁੱਸੇ
medical,ਮੈਡੀਕਲ
dawa khana,ਦਵਾਈ ਖਾਓ
Bholi,ਭੋਲਾ
kitne,ਨੀਲਾ
loss,ਨੁਕਸਾਨ
10kg,10 ਕਿਲੋਗ੍ਰਾਮ
10 days,10 ਦਿਨ
Itne,itne
yehi,ਇਹ
milega,ਪ੍ਰਾਪਤ ਕਰੇਗਾ
jens,ਜੇਨਜ਼
mohabbot,ਪਿਆਰ
woma,wma
Suresh,ਸੁਰੇਸ਼
all rounder,ਆਲ ਰਾ roundਂਡਰ
hardees,ਹਰਦੀਸ
zinger,ਜ਼ਿੰਜਰ
tables,ਟੇਬਲ
disco outfit,ਡਿਸਕੋ ਪਹਿਰਾਵਾ
Tea leaf,ਚਾਹ ਦਾ ਪੱਤਾ
willpower,ਇੱਛਾ ਸ਼ਕਤੀ
joggers,ਜਾਗਰ
running shoes,ਚੱਲਦੀਆਂ ਜੁੱਤੀਆਂ
puma,puma
adidas,ਐਡੀਦਾਸ
green dress,ਹਰੇ ਪਹਿਰਾਵੇ
neck piece,ਗਰਦਨ ਦਾ ਟੁਕੜਾ
Gym outfit,ਜਿਮ ਪਹਿਰਾਵੇ
Selfie queen,ਸੈਲਫੀ ਰਾਣੀ
Casual tees,ਅਜੀਬ ਟੀ
Colourful bags,ਰੰਗੀਨ ਬੈਗ
Longskirt,ਲੰਬੀ ਸਕਰਟ
Funky tshirt,ਮਜ਼ੇਦਾਰ tshirt
Lid box,ਲਿਡ ਬਾਕਸ
Black top,ਕਾਲੀ ਚੋਟੀ
Casual tee,ਅਜੀਬ ਟੀ
Party dress,ਪਾਰਟੀ ਪਹਿਰਾਵਾ
Polka dot,ਪੋਲਿਸ਼ womanਰਤ
Flashtshirt,ਫਲੈਸ਼ਰਟ
gotta,ਚਾਹੀਦਾ ਹੈ
fawad khan,ਫਵਾਦ ਖਾਨ
photos,ਫੋਟੋਆਂ
gadget,ਯੰਤਰ
unlimited,ਬੇਅੰਤ
sauda,ਹਾਂ
faide,ਲੰਮਾ
hotspot,ਹੌਟਸਪੌਟ
Helicopter shot,ਹੈਲੀਕਾਪਟਰ ਸ਼ਾਟ
medium,ਮਾਧਿਅਮ
juban,ਪਕੜੋ
irfan,ਇਰਫਾਨ
amithabh,ਅਮਿਤਾਭ
girlsfriend,ਸਹੇਲੀ
bahu,ਮੋ shoulderੇ
triple,ਤੀਹਰਾ
undertaker,ਅੰਡਰਟੇਕਰ
taker,ਲੈਣ ਵਾਲਾ
shawn,ਝਾੜ
henry,ਹੇਨਰੀ
kofi,ਕੋਫੀ
kane,ਕੇਨ
backdrop,ਬੈਕਡ੍ਰੌਪ
jhon,jhon
wretler,ਪਹਿਲਵਾਨ
daniel,daniel
ziggler,ਜਿਗਲਰ
they,ਉਹ
bouncy,ਉਛਾਲ
surma bhopali,ਸੁਰਮਾ ਭੋਪਾਲੀ
diana,ਡਾਇਨਾ
hippolyta,ਹਾਈਪੋਲੀਟਾ
bay,ਬੇ
drowning,ਡੁੱਬਣਾ
i've,ਮੈਨੂੰ
roll up,ਰੋਲ ਅਪ
sunrays,ਸੂਰਜ
topper,ਟੌਪਰ
examinations,ਪ੍ਰੀਖਿਆਵਾਂ
questions,ਸਵਾਲ
answers,ਜਵਾਬ
movie star,ਫਿਲਮ ਸਟਾਰ
bieber,ਬੀਬਰ
pun,ਵੀ
lipsink,ਲਿਪ ਸਿੰਕ
justine,ਜਸਟਿਨ
dhinchik,Dincik
thug life,ਠਗ ਜੀਵਨ
tending,ਟੈਂਡਿੰਗ
picnic,ਪਿਕਨਿਕ
sakinaka,sakinaka
fidget,ਫਿੱਡਟ
buster,ਬੱਸਟਰ
pankhha,ਵਿੰਗ:
burster,ਬਰਸਟਰ
ghoom,ਨੀਂਦ
ayenge,ਆਵੇਗਾ
bubbye,ਬੱਬੀ
Shani,ਸ਼ਨੀ
maharaj,ਮਹਾਰਾਜ
cruise,ਕਰੂਜ਼
khate hain,ਕਹਿੰਦਾ ਹੈ
booked,ਬੁੱਕ ਕੀਤਾ
sajan,ਪ੍ਰਬੰਧ ਕਰੋ
bajaiyo,ਬਾਜਾਯੋ
sohel,ਸੋਹੇਲ
fauzi,fauzi
panjabi,ਪੰਜਾਬੀ
daljeet,ਦਲਜੀਤ
booking,ਬੁਕਿੰਗ
Sholey,ਸ਼ੋਲੇ
dharmendra,ਧਰਮਿੰਦਰ
minion,ਮਾਈਨ
dedh foot,ਡੇ and ਫੁੱਟ
bawal,ਪਾਬੰਦੀ ਹੈ
kavach,ਆਰਮ
wiskey bottle,ਵਿਸਕੀ ਦੀ ਬੋਤਲ
pettels,ਪੇਟੀਆਂ
petteles,Pettels
magic stick,ਜਾਦੂ ਦੀ ਸੋਟੀ
parlour,ਪਾਰਲਰ
street lamp,ਸਟ੍ਰੀਟ ਲੈਂਪ
bagavan,ਭਗਵਾਨ
bellones,bellones
head phones,ਹੈੱਡ ਫੋਨ
exteerier buildings,ਐਕਸਟਰੇਅਰ ਇਮਾਰਤਾਂ
khurta,ਇੱਕ ਬਰਫੀਲੇ ਤੂਫਾਨ
pattar,knockers
boundry,ਸੀਮਾ
ghera,ਚੱਕਰ
baada,ਦੇ ਬਾਅਦ
flower boquet,ਫੁੱਲ ਗੁਲਦਸਤਾ
pushpa gucha,ਫੁੱਲ ਸਮੂਹ
greeting card,ਗ੍ਰੀਟਿੰਗ ਕਾਰਡ
bond fire,ਬਾਂਡ ਅੱਗ
exteerier,exteerier
foot path,ਪੈਰ ਰਸਤਾ
uddass,uddass
lined tshirt,ਕਤਾਰਬੱਧ tshirt
dhothi,ਧੋਤੀ
bagwan,ਮਾਲੀ
fencing,ਕੰਡਿਆਲੀ ਤਾਰ
colour's,ਕਲੌਰ ਦਾ
dumball,ਡੁੱਬਣਾ
dumball, kachaa,ਡੁੰਬਲ, ਕੱਚਾ
joothe,ਜੁੱਤੀਆਂ
himmmat,ਹਿੰਮਤ
sleeping panda,ਸੌਣ ਵਾਲਾ ਪਾਂਡਾ
sota bhalu,ਚੰਗੀ ਕਿਸਮਤ
bowls,ਕਟੋਰੇ
beer mugs,ਬੀਅਰ ਮੱਗ
katore,ਕਟੋਰੇ
chiken,ਕਲੀਨਿਕਲ ਅਜ਼ਮਾਇਸ਼
daaruu,ਇਸ ਨੂੰ ਚਾਲੂ
taditional wear,ਰਵਾਇਤੀ ਪਹਿਰਾਵੇ
sri ram god,ਸ਼੍ਰੀ ਰਾਮ ਰੱਬ
sri ram,ਸ਼੍ਰੀ ਰਾਮ
bagawan,ਬਗਾਵਾਨ
patterened tshirt,ਪੈਟਰਨ ਵਾਲੀ ਕਮੀਜ਼
colourful tshirt,ਰੰਗੀਨ tshirt
pagal pyaar,ਪਾਗਲ ਪਿਆਰ
paijama white,ਪਜਾਮਾ ਚਿੱਟਾ
shiva ling,ਸ਼ਿਵ ਲਿੰਗ
bhagavan,ਭਾਗਵਾਨ
two guys,ਦੋ ਮੁੰਡੇ
doost,ਬਾਕਸ
trowser,ਟਰਾsersਜ਼ਰ ਦਾ
nikker,ਨੂੰ ਇਤਰਾਜ਼
middle fineger,ਮੱਧ ਉਂਗਲ
lord krishna,ਸੁਆਮੀ ਕ੍ਰਿਸ਼ਨ
desi shirt,ਦੇਸੀ ਕਮੀਜ਼
bagvan sri krishna,ਬੈਗਵਾਨ ਸ਼੍ਰੀ ਕ੍ਰਿਸ਼ਨ
bhagavan bakthi,ਭਗਤੀ ਪ੍ਰਭੂ ਨੂੰ
chai cup,ਬੋਤਲ ਦਾ ਪਿਆਲਾ
sugar cane,ਗੰਨਾ
cheeni,ਖੰਡ
triipy,ਪੱਟੀਆਂ
sikka,ਸਿੱਕਾ
paper bowl,ਕਾਗਜ਼ ਦਾ ਕਟੋਰਾ
plate aarti,ਪਲੇਟ ਆਰਤੀ
moti choor laddu,ਮੋਤੀ ਚੂਰ ਲੱਡੂ
evil eye,ਬੁਰਾਈ ਅੱਖ
nazar rakshak,ਅੱਖ ਗਾਰਡ
cork,ਦਰੱਖਤ ਦਾ ਸੱਕ
tred mill,ਵਪਾਰ ਮਿੱਲ
birthaday,ਜਨਮਦਿਨ
janam din,ਜਨਮਦਿਨ
key board,ਕੁੰਜੀ ਬੋਰਡ
mobilel,ਮੋਬਾਈਲ
zanda,ਜ਼ਿੰਦਾ
doothi,ਦੁੱਧ
Fauj,ਆਰਮੀ
lohe ka danda,ਲੋਹੇ ਦੀ ਰਾਡ
desh premi,ਦੇਸ਼ ਪ੍ਰੇਮੀ
glass, ice, bottle,ਕੱਚ, ਬਰਫ, ਬੋਤਲ
daaru, baraf, botal,ਸ਼ਰਾਬ, ਬਰਫ਼, ਬੋਤਲਾਂ
happy, sad,ਖੁਸ਼, ਉਦਾਸ
khush, udas,ਖੁਸ਼, ਉਦਾਸ
happy, swag, excited,ਖੁਸ਼, ਸਵੈਗ, ਉਤਸ਼ਾਹਿਤ
khush, tashan, utsuk,ਖੁਸ਼, ਤਾਸ਼ਨ, ਉਤਸੁਕ
confident, swag, happy,ਆਤਮਵਿਸ਼ਵਾਸ, ਸਵੈਗ, ਖੁਸ਼
atmavishwas, tashan, khush,ਆਤਮਵਿਸ਼ਵਾਸ, ਤਾਸ਼ਨ, ਖੁਸ਼
confident, happy,ਵਿਸ਼ਵਾਸ, ਖੁਸ਼
bat, ball, wicket,ਬੈਟ, ਗੇਂਦ, ਵਿਕਟ
atmavishwas, khush,ਆਤਮਵਿਸ਼ਵਾਸ, ਖੁਸ਼
balla, gend,ਆਓ, ਜੀਂਦ
headlight,ਹੈਡਲਾਈਟ
sheher,ਸ਼ੀਅਰ
lord venkateshwar,ਸੁਆਮੀ ਵੈਂਕਟੇਸ਼ਵਰ
venkteshwar,ਵੈਂਕਟੇਸ਼ਵਰ
kruta,ਠੋਸ
banner,ਬੈਨਰ
thong,thong
tiles,ਟਾਇਲਾਂ
bear suit,ਭਾਲੂ ਸੂਟ
anrgry,ਗੁੱਸਾ
pane,ਪੈਨ
dance floor,ਨਾਚ ਮੰਚ
kamra,ਕਮਰਾ
doors,ਦਰਵਾਜ਼ੇ
awaz,ਆਵਾਜ਼
kriya,ਕ੍ਰਿਆ
prakash,ਪ੍ਰਕਾਸ਼
netted,ਜਾਲ਼
chana hua,ਫਲੈਸ਼ ਫੁੱਲ
eiffel tower,ਆਈਫ਼ਲ ਟਾਵਰ
river,ਨਦੀ
sanfals,ਸਨਫਾਲਸ
wrestling ring,ਕੁਸ਼ਤੀ ਦੀ ਰਿੰਗ
Taja mahal,ਤਾਜ ਮਹਿੰਗਾ
desh bhakti,ਦੇਸ਼ ਭਗਤੀ
burgers,ਬਰਗਰ
phatta,ਫਟਣਾ
lehrein,ਲਹਿਰਾਂ
koonda,ਇਕੱਠੇ ਰੱਖੋ
chokor,ਚੋਕਰ
thred,ਥ੍ਰੈਡ
smiley,ਮੁਸਕਰਾਹਟ ਵਾਲਾ
shitt,shitt
doller,ਡਾਲਰ
rist band,ਸੁੱਚੀ ਬੈਂਡ
stupa,ਸਟੂਪ
sanchi,ਮੁੱ.
sanchi stupa,ਸੰਚੀ ਸਟੂਪ
tutna,Tutne
bhagwan ji,ਪ੍ਰਭੂ
seats,ਸੀਟਾਂ
mukti,ਜਾਰੀ
rashtrapti,ਦੇ ਪ੍ਰਧਾਨ ਸ
undergarments,ਅੰਡਰਗਰਮੈਂਟਸ
sakth,ਸਖਤ
agya,ਦਿਮਾਗ
chandama,ਚੰਨ
chandra,ਚੰਦਰ
manzile,ਮੰਜ਼ਿਲ
celabrations,ਜਸ਼ਨ
ribbons,ਰਿਬਨ
Khish,ਕਿਸ਼
stage show,ਸਟੇਜ ਸ਼ੋਅ
cricket ball,ਕ੍ਰਿਕਟ ਬਾਲ
Embarrassed,ਸ਼ਰਮਿੰਦਾ ਹੋਇਆ
Sharamnaak,ਸ਼ਰਮਨਾਕ
rona,ਰੋਨਾ
aasoon,ਆਸੂ
moile,ਮੂਲੇ
Wresting ring,ਕੁਸ਼ਤੀ ਦੀ ਰਿੰਗ
handi,ਮਹਾਨ
papaer,ਕਾਗਜ਼
ranholi,ਰੈਂਕਹੋਲਸ
jhopadi,ਝੌਂਪੜੀ
chooriya,ਚੂਰੀਆ
taara,ਉਹ ਹਨ
lord balaji,ਸੁਆਮੀ ਬਾਲਾਜੀ
champion belt,ਚੈਂਪੀਅਨ ਬੈਲਟ
fidget spinner,ਫਿੱਡ ਸਪਿਨਰ
aansoo,ਹੰਝੂ
pade,ਝੂਠ ਬੋਲਣਾ
hand gloves,ਹੱਥ ਦੇ ਦਸਤਾਨੇ
broken heart,ਟੁੱਟਿਆ ਦਿਲ
thoota dil,ਬੁਲੇਟ ਡਿਲ
library,ਲਾਇਬ੍ਰੇਰੀ
pustaken,ਕਿਤਾਬਾਂ
pustakaalay,ਲਾਇਬ੍ਰੇਰੀ
wine glasses,ਵਾਈਨ ਦੇ ਗਲਾਸ
traditional saree,ਰਵਾਇਤੀ ਸਾੜੀ
champange bottle,ਸ਼ੈਂਪੇਨ ਬੋਤਲ
upakaran,ਸਮੱਗਰੀ
sadak ka deepak,ਸਟ੍ਰੀਟ ਲੈਂਪ
pressure coocker,ਪ੍ਰੈਸ਼ਰ ਕੂਕਰ
chamchal,ਚੰਚਲ
bhandara ghar,ਸਟੋਰ ਹਾ houseਸ
blows,ਹਵਾ
kuchi,ਮੂੰਹ
tilak,ਤਿਲਕ
\frock,ock ਫਰੌਕ
fense,ਗੁਲਾਬੀ
waheguru ji,ਵਾਹਿਗੁਰੂ ਜੀ
shani dev,ਸ਼ਨੀ ਦੇਵ
katar,ਕਟਾਰ
santa dress,ਸਾਂਤਾ ਪਹਿਰਾਵਾ
fidget spiner,ਫਿੱਡ ਸਪਿਨਰ
tshir,ਟੀ ਕਮੀਜ਼
winter cap,ਸਰਦੀ ਕੈਪ
christmas ped,ਕ੍ਰਿਸਮਸ ਪੈਡ
see-saw, santa claus,ਦੇਖੋ-ਆਰਾ, ਸੈਂਟਾ ਕਲਾਜ਼
bicycles,ਸਾਈਕਲ
shirtl,ਕਮੀਜ਼
tairaakee poshaak,ਤਿਰਕੀ ਪੁਸ਼ਾਕ
turturi,ਕੱਛੂ
dana,ਦਾਨਾ
romace,ਰੋਮਾਂਸ
green board,ਹਰੇ ਬੋਰਡ
hara board,ਹਾਰਾ ਬੋਰਡ
shower watering pot,ਸ਼ਾਵਰ ਪਾਣੀ ਘੜੇ
jutel,jutel
pani wala bartan,ਪਾਣੀ ਦਾ ਘੜਾ
ice cream store,ਆਈਸ ਕਰੀਮ ਸਟੋਰ
ice cream dukan,ਆਈਸ ਕਰੀਮ ਦੁਕਾਨ
dancing challa,ਨਾਚ ਚਲਲਾ
kele ka chilka,ਕੇਲੇ ਕਾ ਚਿਲਕਾ
joint, pant, t-shirt,,ਸੰਯੁਕਤ, ਪੈਂਟ, ਟੀ-ਸ਼ਰਟ,
t-shirt,,ਟੀ-ਸ਼ਰਟ,
