colva,കോൾവ
no compulsion,നിർബന്ധമില്ല
take or leave it,എടുക്കുക അല്ലെങ്കിൽ ഉപേക്ഷിക്കുക
no worries,വിഷമിക്കേണ്ടതില്ല
lastpiece,അവസാന ഭാഗം
yelastpiecehai,യെലാസ്റ്റ്പീസ്ഹായ്
last one,അവസാനത്തേത്
aur nai,പുതിയത്
akhari hai,അവസാനത്തേതാണ്
vidheshi product,വിധി ഉൽപ്പന്നം
foreign product,വിദേശ ഉൽപ്പന്നം
not indian,ഇന്ത്യക്കാരനല്ല
desi nai videshi hai,സ്വദേശി വിദേശമാണ്
sirf aapkeliye,നിങ്ങൾക്കായി മാത്രം
tumhareliye,നിങ്ങൾക്കായി
khaas discount,ഖാസ് കിഴിവ്
special offer,പ്രത്യേക ആനുകൂല്യം
buyer,വാങ്ങുന്നയാൾ
no deal,ഇടപാട് ഇല്ല
is better than this,ഇതിനേക്കാൾ മികച്ചതാണ്
perfect one,തികഞ്ഞ ഒന്ന്
awesome one,ആകർഷണീയമായ ഒന്ന്
awesome item,ആകർഷണീയമായ ഇനം
awesome blossom,ആകർഷണീയമായ പുഷ്പം
bestest,മികച്ചത്
wajhse,കാരണം
majhe,ഇതിനിടയിൽ
loose pants,അയഞ്ഞ പാന്റ്സ്
casual wear,കാഷ്വൽ വസ്ത്രം
grand masti,വലിയ കൊഴുപ്പ്
hotter than tea,ചായയേക്കാൾ ചൂട്
masala chai,മസാല ടീ
kudi kamaal ki,ആകർഷണീയമായ
hotest,ഏറ്റവും ചൂടേറിയത്
life partner,ജീവിത പങ്കാളി
girl wali friend,പെൺകുട്ടി വാലി സുഹൃത്ത്
love of life,ജീവിതസ്നേഹം
only mine,എന്റേതു മാത്രം
pyaari bindu,മനോഹരമായ പോയിന്റ്
spiciest,സ്പൈസിസ്റ്റ്
chatkedaar,ചോപ്പി
masaledar,മസാലകൾ
janemann,ജനനം
tu hi hain,നിങ്ങളാണ്
zanzanith,സൻസാനിത്ത്
thika,കത്തി
hott,ഹോട്ട്
mat nach,നിശ്ചലമായി
en kuthon ke samane,en kuthon ഒരു സമൻസാണ്
jai veru,ജയ് വേർപിരിയുന്നു
basanti meri jann,ബസന്തി മേരി ജാനൻ
love is in the air,സ്നേഹം അന്തരീക്ഷത്തിലാണ്
sirf tumse,നിങ്ങൾ മാത്രം
only you,നിങ്ങൾ മാത്രം
become my life,എന്റെ ജീവിതമായിത്തീരുക
hot ladki,ചൂടുള്ള പെൺകുട്ടി
kala chashma,കറുത്ത ഗ്ലാസുകൾ
hunk,ഹങ്ക്
gud looking,നല്ല രൂപം
oye hoye,ആകാൻ
handsomehunk,ഹാൻഡ്‌സോംഹങ്ക്
phela din,ഒന്നാം ദിവസം
pheli baar,ആദ്യമായി
new clas teacher,പുതിയ ക്ലാസ് ടീച്ചർ
garmi gayi,വേനൽ പോയി
its over,അത് കഴിഞ്ഞു
rain water,മഴവെള്ളം
thanda mausam,തണുത്ത കാലാവസ്ഥ
khidki,വിൻഡോ
nafarat,വെറുക്കുന്നു
subha,രാവിലെ
sannan,തുടർന്ന്
soap,സോപ്പ്
garampani,ചൂടുവെള്ളം
subh ka alaram,രാവിലെ അലാറം
trin tring tring,സ്റ്റെപ്പ് ട്രിംഗ് ട്രിംഗ്
subha hogayi,നല്ലതായിരിക്കും
hai mamu,നമ്പ്
uthja bhai,സഹോദരൻ സഹോദരൻ
schooljana hai,സ്കൂളിൽ പോകണം
time up,സമയം കഴിഞ്ഞു
get up,എഴുന്നേൽക്കൂ
awesome wali,ആകർഷണീയമായ വാലി
majhe ke din,എന്റെ ദിവസം
ghar ka kaam,വീട്ടുജോലി
boring job,വിരസമായ ജോലി
punishment,ശിക്ഷ
daily work,ദിനം പ്രതിയുളള തൊഴില്
bhulgaya main,ഞാൻ മറന്നു
phelaphela pyaar,ഫെയ്ൽഫെല്ല സ്നേഹം
first love,ആദ്യ പ്രണയം
meri phela pyaar,എന്റെ ആദ്യ പ്രണയം
uthavala,ഉത്തവാല
new start,പുതിയ തുടക്കം
nayi shuruwaat,പുതിയ തുടക്കം
back to pevilion,പവലിയൻ വിത്ത് ബാക്ക്
chutti khatam,ഹോളിഡേ ഓവർ
no molre holidays,കൂടുതൽ അവധിദിനങ്ങൾ ഇല്ല
exams',പരീക്ഷകൾ '
subha ka alaram,സുപ്രഭാതം
this year,ഈവർഷം
important exam,പ്രധാനപ്പെട്ട പരീക്ഷ
yeh saal,യെ സാൽ
preparation,തയ്യാറാക്കൽ
prelims,പ്രിലിംസ്
pre exam,പ്രീ പരീക്ഷ
mock test,മോക്ക് ടെസ്റ്റ്
resourceful,വിഭവസമൃദ്ധമായ
passionate,വികാരാധീനമായ
secretive,രഹസ്യമായി
a true friend,ഒരു യഥാർത്ഥ സുഹൃത്ത്
Tenacious,ധീരത
sympathetic,സഹതാപം
insecure],സുരക്ഷിതമല്ലാത്ത]
moody,മൂഡി
analytical,വിശകലനം
shyness,ലജ്ജ
nature,പ്രകൃതി
cleanliness,ശുചിത്വം
healthy food,ആരോഗ്യകരമായ ഭക്ഷണം
reliable,വിശ്വസനീയമായത്
oractical,ഒറക്ടിക്കൽ
devoted,അർപ്പണബോധമുള്ള
stable,സ്ഥിരതയുള്ള
gardening,പൂന്തോട്ടപരിപാലനം
promises,വാഗ്ദാനങ്ങൾ
generous,ഉദാരമായ
idealistic,ആദർശപരമായ
great sense of humor,മികച്ച നർമ്മബോധം
philosophy,തത്ത്വചിന്ത
compassionate,അനുകമ്പയുള്ള
fruitful,ഫലപ്രദമാണ്
musical,മ്യൂസിക്കൽ
fearful,ഭയത്തോടെ
desire,ആഗ്രഹം
co-operative,സഹകരണ
gracious,കൃപ
diplomatic,നയതന്ത്ര
fair minded,ന്യായമായ ചിന്താഗതിക്കാരൻ
self pity,സ്വയം സഹതാപം
harmony,ഐക്യം
injustice,അനീതി
warm hearted,warm ഷ്മളമായ ഹൃദയം
inflexible,വഴങ്ങാത്ത
taking holidays,അവധി എടുക്കുന്നു
being admire,അഭിനന്ദിക്കുന്നു
humanitarian,മാനുഷിക
uncompromising,വിട്ടുവീഴ്ച ചെയ്യാത്ത
being lonely,ഏകാന്തത
affectionate,വാത്സല്യമുള്ള
adaptable,പൊരുത്തപ്പെടാവുന്ന
nervous,നാഡീവ്യൂഹം
inconsistent,പൊരുത്തമില്ലാത്തത്
mazgines,കെട്ടുകൾ
responsible,ഉത്തരവാദിയായ
visual media,വിഷ്വൽ മീഡിയ
Courageous,ധൈര്യമുള്ള
challenges,വെല്ലുവിളികൾ
Inactivity,നിഷ്‌ക്രിയത്വം
aggressive,ആക്രമണാത്മക
Christmas spells,ക്രിസ്മസ് മന്ത്രങ്ങൾ
out love,സ്നേഹം .ട്ട്
hope and joy,പ്രത്യാശയും സന്തോഷവും
bear hugs,ആലിംഗനം
loving kisses,സ്നേഹമുള്ള ചുംബനങ്ങൾ
jingle all the way,എല്ലാ വഴിയും
Yuletide cheer,യൂലെറ്റൈഡ് ഉല്ലാസം
Father Christmas,അച്ഛൻ ക്രിസ്മസ്
Santa Clause,സാന്ത ക്ലോസ്
teddy bears,പാവക്കരടി
chocholate,അല്പം
History,ചരിത്രം
Christmas Trees,ക്രിസ്മസ് മരങ്ങൾ
Christmas Spider,ക്രിസ്മസ് ചിലന്തി
Jesus Christ,യേശുക്രിസ്തു
Nativity,നേറ്റിവിറ്റി
Yule,യൂലെ
Merry Xmas buddy,മെറി ക്രിസ്മസ് ബഡ്ഡി
lovely spirit,മനോഹരമായ ആത്മാവ്
wishing you,നിന്നെ ആശംസിക്കുന്നു
Wonderful Christmas,അത്ഭുതകരമായ ക്രിസ്മസ്
wonderful holiday,അത്ഭുതകരമായ അവധി
Joy of Giving,നൽകുന്നതിന്റെ സന്തോഷം
Prosperity,സമൃദ്ധി
reason to smil,പുഞ്ചിരിക്കാനുള്ള കാരണം
Ladies,ലേഡീസ്
Laughing all the way,എല്ലാ വഴിയും ചിരിക്കുന്നു
teddy bear,ടെഡി ബെയർ
pleasent,സുഖകരമാണ്
snow fall,മഞ്ഞുവീഴ്ച
warm clothes,ഊഷ്മള വസ്ത്രം
bobtail ring,ബോബ്‌ടെയിൽ റിംഗ്
ride and sing,ഓടിച്ച് പാടുക
through the snow,മഞ്ഞുവീഴ്ചയിലൂടെ
toffees,ടോഫികൾ
shocks,ഞെട്ടലുകൾ
moon light,NILAVU
bundle of gifts,സമ്മാനങ്ങളുടെ കൂട്ടം
red ballon,ചുവന്ന ബലൂൺ
yellow ballon,മഞ്ഞ ബലൂൺ
girls loves,പെൺകുട്ടികൾ ഇഷ്ടപ്പെടുന്നു
going for vication,അവധിക്കാലം പോകുന്നു
holiday cheer,അവധിക്കാല ആഘോഷം
hoilday season,അവധിക്കാലം
trips,യാത്രകൾ
climbing,മലകയറ്റം
Alpinism,അൽപിനിസം
mountaineering,പർവതാരോഹണം
starrock climbing,സ്റ്റാർറോക്ക് ക്ലൈംബിംഗ്
day of rest,വിശ്രമ ദിവസം
holy day,വിശുദ്ധ ദിനം
routine,ദിനചര്യ
being alone,തനിച്ചായിരിക്കുക
being confined,ഒതുങ്ങുന്നു
repitition,ആവർത്തനം
learn quickly,വേഗത്തിൽ പഠിക്കുക
exchange ideas,ആശയങ്ങൾ കൈമാറുക
good managers,നല്ല മാനേജർമാർ
reponsible,ഉത്തരവാദിയായ
self - control,സ്വയം നിയന്ത്രണം
unforgiving,ക്ഷമിക്കാത്ത
tradittion,വ്യാപാരം
understated status,കുറച്ച നില
short tempered,ക്ഷിപ്രകോപിയായ
gentleness,സൗമ്യത
caring,കരുതലും
confirmity,അനുരൂപത
self - minded,സ്വയം മനസ്സുള്ളവർ
hard working,കഠിനാദ്ധ്വാനിയായ
taking centre stage,സെന്റർ സ്റ്റേജ് എടുക്കുന്നു
true friend,യഥാർത്ഥ സുഹൃത്ത്
dishonesty,സത്യസന്ധത
passive people,നിഷ്ക്രിയ ആളുകൾ
good sense of humor,നല്ല നർമ്മബോധം
general,ജനറൽ
arrogant,അഹങ്കാരം
stuborn,ധാർഷ്ട്യം
being admired,പ്രശംസിക്കപ്പെടുന്നു
expensive,ചെലവേറിയത്
bright colours,തിളക്കമുള്ള നിറങ്ങൾ
disciplined,അച്ചടക്കമുള്ള
self control,സ്വയം നിയന്ത്രണം
condescending,condescending
good managers',നല്ല മാനേജർ‌മാരുടെ
expecting the worst,ഏറ്റവും മോശം പ്രതീക്ഷിക്കുന്നു
famlly,കുടുംബം
highly imaginative,വളരെ ഭാവനാത്മകമാണ്
manipulative',കൃത്രിമത്വം '
home based hobbies,ഗാർഹിക ഹോബികൾ
Runs from emotional expression,വൈകാരിക പ്രകടനത്തിൽ നിന്ന് പ്രവർത്തിക്കുന്നു
aloof,അകലെ
hogi,ആയിരിക്കും
i will succedd,ഞാൻ വിജയിക്കും
sarphod,സർഫോഡ്
tarika,ബാൻഡ്
brilliant,ബുദ്ധിമാനായ
wonderful,അത്ഭുതകരമായ
better option,മികച്ച ഓപ്ഷൻ
best option,മികച്ച ഓപ്ഷൻ
perfect option,മികച്ച ഓപ്ഷൻ
creative one,സൃഷ്ടിപരമായ ഒന്ന്
meri zindagi,എന്റെ ജീവിതം
barbad hogayi,നശിപ്പിക്കപ്പെടും
meri life,എന്റെ ജീവിതം
zindagi na milegi dobara,ജീവിതം വീണ്ടും ലഭിക്കില്ല
barbadi,ഒരു മാലിന്യ
good for nothing,ഒന്നിനും കൊള്ളാത്ത
compeletly destroyed,പൂർണ്ണമായും നശിച്ചു
kya main,മെയ്
kharab dekhti hun,മോശമായി കാണുക
chehra,മുഖം
uglyiest,വൃത്തികെട്ട
bekar,ഒറ്റ
i do not look beautiful,ഞാൻ മനോഹരമായി കാണുന്നില്ല
used,ഉപയോഗിച്ചു
mazak,കുറവ്
isthamal,ഇസ്തമല്
pj,pj
entertainment,വിനോദം
too much care,വളരെയധികം പരിചരണം
rukjao,rukjao
baskaro,ബാസ്കരോ
bhaut hogaya,മതി
chinta,ചിന്തകൾ
chup baith,ഇരിക്കുക
badbadbad,സുരക്ഷിതം
blablablabla,കുറ്റമറ്റ
chapchapdchapd,Chapchapdchapd
unpleasant,അസുഖകരമായ
gandha,മണം
bhaut gandha,വളരെ വൃത്തികെട്ട
usne kiya,അദ്ദേഹം ചെയ്തു
bandriya,കുരങ്ങൻ
motu,motu
bandar ne kiya,കുരങ്ങൻ ചെയ്തു
galat insaan,തെറ്റായ വ്യക്തി
alchemy,ആൽക്കെമി
allurement,ആകർഷണം
biggboss,ബിഗ്ബോസ്
biggboss10,biggboss10
tumhey,നിങ്ങൾക്ക്
procedure,നടപടിക്രമം
Fried,വറുത്തത്
browned,തവിട്ടുനിറം
sauteed,sauteed
frizzled,frizzled
rahuldialogue,തൃപ്തികരമായ കാറ്റലോഗ്
twin,ഇരട്ട
jyotis,ജ്യോതിഷം
astrologer,ജ്യോതിഷക്കാരൻ
biggbossbaba,ബിഗ്ബോസ്ബാബ
mamabhakt,ആഡംബരം
luscious,കാമം
sweetened,മധുരമാക്കി
syrupy,സിറപ്പി
sweetu,സ്വീറ്റൂ
kehtey,പറയുക
melodramatic,മെലോഡ്രാമറ്റിക്
overplayed,ഓവർപ്ലേ
theatrical,നാടകം
draw,സമനില
gain,നേട്ടം
biggbossgirl,biggbossgirl
accomplished,നിർവ്വഹിച്ചു
admirable,പ്രശംസനീയമാണ്
attractive,ആകർഷകമായ
consciousness,ബോധം
altercation,വാക്കേറ്റം
confrontation,ഏറ്റുമുട്ടൽ
dijaati,പദവി
jaati,ജാതി
DANGALJAATI,മോങ്‌റെൽ
aamirkhanbeta,ആമിർഖാൻബെറ്റ
aamirkhanjaati,അമേരിക്ക
aamirkhanbeti,ആമിർഖാൻബെട്ടി
aamirkhan,അമീർഖാൻ
gilt,ഗിൽറ്റ്
halcyon,ഹാൽസിയോൺ
hotahai,അത് സംഭവിക്കുന്നു
levve,levve
DANGALGold,ദംഗൽഗോൾഡ്
contented,സംതൃപ്തനായി
delighted,സന്തോഷവതി
ecstatic,എക്സ്റ്റാറ്റിക്
elated,ഉല്ലസിച്ചു
glad,സന്തോഷിപ്പിക്കുന്നു
acceptable,സ്വീകാര്യമാണ്
exceptional,അസാധാരണമായ
mahri,മഹ്രി
kam nhi,ജോലിയൊന്നുമില്ല
dangel,dangel
adolescent,ക o മാരക്കാരൻ
schoolgirl,സ്കൂൾ വിദ്യാർത്ഥിനി
teenager,കൗമാരക്കാരൻ
Taketwer,ടാക്കെറ്റ്വർ
athletic,അത്‌ലറ്റിക്
capable,കഴിവുള്ള
durable,മോടിയുള്ള
verdict,വിധി
settlement,സെറ്റിൽമെന്റ്
decision,തീരുമാനം
arrangement,ക്രമീകരണം
program,പ്രോഗ്രാം
come2017,come2017
noprogram,നൊപ്രൊഗ്രമ്
planno,പദ്ധതി
noplan,നോപ്ലാൻ
noparty,നോപാർട്ടി
sadgirl,sadgirl
stillnow,ഇപ്പോഴും
intention,ഉദ്ദേശം
method,രീതി
sadboy,sadvo
newyearwish,ന്യൂ ഇയർവിഷ്
girlswish,പെൺകുട്ടികൾ
wishnewyear,wishnewyear
fungirls,കുമിൾ
considerable,ഗണ്യമായ
immense,അപാരമായത്
boyfun,പയ്യൻ
party time,പാർട്ടി സമയം
boypartytime,ബോയ്പാർട്ടൈ ടൈം
boynewyear,boynewyear
girlsparty,പെൺകുട്ടി
girlsnewyear,girlsnewyear
fullfun,ഫുൾഫൺ
girlsfun,girlsfun
boyparty,ബോയ്പാർട്ടി
treatment,ചികിത്സ
newperiod,ന്യൂപെരിയോഡ്
completed,പൂർത്തിയായി
justcomplate,justcomplate
catnap,catnap
interlude,ഇടവേള
intermission,ഇടവേള
obligation,ബാധ്യത
duplicate,തനിപ്പകർപ്പ്
imitation,അനുകരണം
photocopy,ഫോട്ടോകോപ്പി
print,അച്ചടിക്കുക
redassignments,പുനർനിയമനങ്ങൾ
smartgirl,സ്മര്ത്ഗിര്ല്
college girls,കോളേജ് പെൺകുട്ടികൾ
manage,നിയന്ത്രിക്കുക
sad boy,ദു sad ഖിതനായ കുട്ടി
college boy,കോളേജ് പയ്യൻ
collegesadboy,കോളേജ് അഡ്‌ബോയ്
boybag,ബോയ്ബാഗ്
barso re megha,ബാർസോ റീ മേഘ
rainwater,മഴവെള്ളം
barish kapaani,മഴ വിശ്രമം
oye balle balle,ഹേ തിമിംഗലം തിമിംഗലം
paani main aag lagaye,വെള്ളത്തിന് തീയിടുക
drop by drop,ഡ്രോപ്പ് ബൈ ഡ്രോപ്പ്
rain dance,മൊബൈൽ ഡാൻസ്
badal,അലവൻസ്
kale megha,കറുത്ത മേഘ
colorful umbrella,വർണ്ണാഭമായ കുട
muddy smell....,ചെളിനിറഞ്ഞ മണം ....
chai chap chai,കുപ്പി ചാപ് ചായ്
chapak chai,ചാപ് ടീ
naav,naav
aweome feeling,ഭയങ്കര വികാരം
great masti,മഹത്തായ മാസ്തി
chilling out,തണുപ്പിക്കുന്നു
monsoon season,മൺസൂൺ
kalemegha,ഇതിനായി കലെമെഘ്
paani toh barso,paani toh barso
beautiful weather,മനോഹരമായ കാലാവസ്ഥ
thanda thanda,തണുത്ത തണുപ്പ്
evening time,വൈകുന്നേരം സമയം
nachna,nachna
awesome mausam,ആകർഷണീയമായ മ aus സം
yeh mausam ka jadoo,ഈ സീസണിലെ മാജിക്
hai mitwa,ഹായ് മിത്വ
mausam bigh bigha,കാലാവസ്ഥ ബിഗാ ബിഗ
main to main toh bigh,മെയിൻ മുതൽ മെയിൻ വരെ ഉയർന്നത്
HAI ALLA,നിങ്ങൾ ഉണ്ട്
satrang bahar ke,ലോകത്തിന് പുറത്ത്
mindblasting,മൈൻഡ്ബ്ലാസ്റ്റിംഗ്
beautful colours,മനോഹരമായ നിറങ്ങൾ
bhulgaya,ഭുൽഗയ
visarla,വിസാർല
chatri,വിദ്യാർത്ഥി
heavy rain,കനത്ത മഴ
coolcool water,തണുത്ത വെള്ളം
muddy smell,ചെളിനിറഞ്ഞ മണം
pakode,ഫ്രിറ്ററുകൾ
adrak chai,ഇഞ്ചി ചായ
garama garam,ചൂടുള്ള ചൂട്
khidhki,നിങ്ങളെ കൊണ്ടുപോകുക
awesome view,ആകർഷകമായ കാഴ്ച
favorite season,പ്രിയപ്പെട്ട സീസൺ
muddy water,ചെളി നിറഞ്ഞ വെള്ളം
awesome experience,ആകർഷണീയമായ അനുഭവം
cool weather,തണുത്ത കാലാവസ്ഥ
games,ഗെയിമുകൾ
kichad,ചെളി
barish ka panni,റെയിൻ ഗേജ്
great feeling,വലിയ വികാരം
masti with friends,സുഹൃത്തുക്കളുമായി മാസ്തി
urgent,അടിയന്തിര
requirement,ആവശ്യകത
course,കോഴ്സ്
examination,പരീക്ഷ
nonsense,അസംബന്ധം
badboy,ബാഡ്‌ബോയ്
clear,വ്യക്തമാണ്
painless,വേദനയില്ലാത്ത
moving,നീങ്ങുന്നു
bustling,തിരക്കിലാണ്
movable,ചലിക്കുന്ന
next day,അടുത്ത ദിവസം
shockedgirl,ഞെട്ടിച്ച പെൺകുട്ടി
girlskite,വായിൽ
barsore,ബര്സൊരെ
playing girl,കളിക്കുന്ന പെൺകുട്ടി
sucker,സക്കർ
buffoon,ബഫൂൺ
moron,മന്ദബുദ്ധി
youngster,ചെറുപ്പക്കാരൻ
lovelady,ലവ്‌ലാഡി
funnygirl,fungirl
girlfun,പെൺകുട്ടി
ullubanaya,ഉല്ലുബനയ
fullmaza,ഫുല്ല്മജ
badamaza,ബദ്മാസ
aprilfool,ഏപ്രിൽ ഫൂൾ
boyapprilfool,boyapprilfool
lovegirl,lovegirl
enraged,കോപിച്ചു
boymind,ബൊയ്മിംദ്
nomind,പേരിന്
ghutno,മുട്ട്
contact,കോൺ‌ടാക്റ്റ്
girls fun,പെൺകുട്ടികൾ രസകരമാണ്
happygirl,സന്തോഷവതിയായ പെൺകുട്ടി
Maharashtragirl,മഹാരാഷ്ട്ര
Maharashtrasaari,മഹാരാഷ്ട്ര
girlssaari,പെൺകുട്ടി
gir,നൽകുന്നു
girls attitude,പെൺകുട്ടികളുടെ മനോഭാവം
Maharashtra women,മഹാരാഷ്ട്ര സ്ത്രീകൾ
maharashtra traditional,പരമ്പരാഗതം
girlsaari,girlsaari
Maharashtrawomen,മഹാരാഷ്ട്രയിൽ
redsaari,redsaari
maharashtraman,മഹാരാഷ്ട്രയിൽ
language,ഭാഷ
desiindian,desiindian
tallest guy,ഏറ്റവും ഉയരമുള്ളയാൾ
giggle,ചിരി
gigs,പന്നികൾ
gitygity,gytygity
good one,നല്ലത്
red shirt,ചുവന്ന ഷർട്ട്
waparna,വപര്ന
use karna,അത് ചെയ്യാൻ
grandmasti,മുത്തശ്ശി
useful,ഉപയോഗപ്രദമാണ്
enough is enough,മതി
be in limits,പരിധിയിലായിരിക്കുക
shaitani,ഡയബോളിക്കൽ
madness,ഭ്രാന്തൻ
bhag gaya,ഓടിപ്പോയി
runned away,ഓടിപ്പോയി
shayad main,ഒരുപക്ഷേ ഞാൻ
bagh jata,കടുവ പോകുന്നു
escapisim,രക്ഷപ്പെടൽ
escaped,രക്ഷപ്പെട്ടു
eyeglasses,കണ്ണട
kalachashma,കാലചാഷ്മ
lenses,ലെൻസുകൾ
where is it,ഇത് എവിടെയാണ്
kidhar hai,നിങ്ങൾ എവിടെയാണ്?
tall boy,ഉയരമുള്ള ആൺകുട്ടി
bhai kahan hain tu,നീ എവിടെയാണ് സഹോദരാ
kidhar mar gaya,എവിടെയാണ് മരിച്ചത്
zinda hai,ജീവിച്ചിരിക്കുന്നു
are you dere,നിങ്ങൾ ആണോ?
i cantg find you,എനിക്ക് നിങ്ങളെ കണ്ടെത്താൻ കഴിയില്ല
where have you hidden,നിങ്ങൾ എവിടെ മറച്ചിരിക്കുന്നു?
guy with red pants,ചുവന്ന പാന്റ്‌സ് ഉള്ളയാൾ
brown bread,ഗൊതൻപ് റൊട്ടി
double decker sandwhich,ഇരട്ട ഡെക്കർ സാൻഡ്‌വിച്ച്
cheese toast,ചീസ് ടോസ്റ്റ്
brown doggiee,തവിട്ട് ഡോഗി
chocolate color dogiee,ചോക്ലേറ്റ് കളർ ഡോഗി
kutha,നഗരം
dogiee,ഡോഗി
rock and roll,റോക്ക് ആൻഡ് റോൾ
pampara,പമ്പാറ
scooby-dobbiee prampa,സ്കൂബി-ഡോബി പമ്പ്
brown dogiee,തവിട്ട് ഡോഗി
labrador,ലാബ്രഡോർ
freinds,സ്വതന്ത്രമാണ്
lets get \,നമുക്ക് നേടാം \
scattered,ചിതറിപ്പോയി
bhikharna,ഭിക്ഷക്കാരൻ
bat jana,സംസാരിക്കാൻ
splitting,വിഭജനം
suspense,സസ്പെൻസ്
conclusion,ഉപസംഹാരം
answer,ഉത്തരം
tum kya karoge,നിങ്ങൾ എന്തു ചെയ്യും
kyakaroge,നിങ്ങൾ എന്തു ചെയ്യും
beautiful girl,മനോഹരിയായ പെൺകുട്ടി
scoobydooo,സ്കൂബി ഡൂ
will u come,നിങ്ങൾ വരുമോ?
to my,എന്റെ
house party,ഹ party സ് പാർട്ടി
myhouse,എന്റെ വീട്
home sweet home,വീട് മധുരമായ വീട്
you all,നിങ്ങൾ എല്ലാവരും
all of you,നിങ്ങൾ എല്ലാവരും
why your mouth,എന്തുകൊണ്ട് നിങ്ങളുടെ വായ
isshut,ഇഷ്യൂട്ട്
quite,തികച്ചും
chupchap,ശാന്തമായി
why are,എന്തുകൊണ്ട്
you not,നിങ്ങൾ അല്ല
sayanything,എന്തെങ്കിലും പറയൂ
balnk,ബാൽങ്ക്
nowords,വാക്കുകളില്ല
paisapaisa,പൈസാപൈസ
karti,കാർഡുകൾ
main paise pe marta hun,ഞാൻ പണത്തിനായി മരിക്കുന്നു
income,വരുമാനം
i amhungry,എനിക്ക് വിശക്കുന്നു
mujhebhuk,ഞാൻ
goodfood,നല്ല ഭക്ഷണം
khanado,ബ്ലോക്കുകൾ
khaneko,നിരസിക്കൽ
kuchdo,കു ച
i have,എനിക്കുണ്ട്
brillantidea,തിളങ്ങുന്നു
tarkib',ഉള്ളടക്കം '
tu gaya,നിങ്ങൾ പോയി
aabbb,അഅബ്ബ്ബ്
gone now,ഇപ്പോൾ പോയി
i will see you,ഞാൻ നിന്നെ കാണും
i will,ഞാൻ ചെയ്യും
also come',വരൂ '
i m coming,ഞാൻ വരുന്നു
me aya,അകത്തേക്ക് വന്നു
is this,ഇതാണോ
half pant,പകുതി പാന്റ്
tera hai kya,നിങ്ങളുടേത്
light pink pants,ഇളം പിങ്ക് പാന്റുകൾ
comeon,വരിക
we will,ഞങ്ങൾ ചെയ്യും
aprty,പാർട്ടി
atmyplace,എന്റെ സ്ഥലത്ത്
houseparty,ഹോംപാർട്ടി
fullon,ഫുലോൺ
djwale babu,djwale babu
runrun,റൺറൺ
escapsim,രക്ഷപ്പെടൽ
bagh gaya,കടുവ പോയി
bagh bagh,കടുവ കടുവ
bagh,ബാഗ്
bhag milka,ഭാഗ് മിൽക്ക
bhaag bhaag,ഓടിപ്പോകുക
G-mail,ജി-മെയിൽ
Kar raha,ചെയ്യുന്നു
santy,മണൽ
spiritual,ആത്മീയം
heart-warming,ഹൃദയമിടിപ്പ്
heart touching,ഹൃദയ സ്പർശനം
soul-stirring,ആത്മാവിനെ ഇളക്കിവിടുന്നു
Emotional Chora,വൈകാരിക ചോര
Distemper,ഡിസ്റ്റെംപർ
bhar dunga,പൂരിപ്പിക്കും
asian paints,ഏഷ്യൻ പെയിന്റുകൾ
Paint Dealers,പെയിന്റ് ഡീലർമാർ
royal paint,രാജകീയ പെയിന്റ്
joint family,സംയുക്ത കുടുംബം
chocolate boy,ചോക്ലേറ്റ് ബോയ്
boyish charm,ബാലിശമായ ചാം
gyan devi,ഗ്യാൻ ദേവി
sexy woman,സെക്സി സ്ത്രീ
destructive,വിനാശകരമായ
heinous,ഭയങ്കര
villainous,വില്ലൻ
tomatogirls,tomatogirls
devilish,പിശാച്
capability,കഴിവ്
capacity,ശേഷി
talent,കഴിവ്
potential,സാധ്യത
yourmind,നിങ്ങളുടെ മനസ്സ്
malevolent,ദ്രോഹം
corrupt,അഴിമതി
nefarious,നികൃഷ്ടം
evilgirls,ദുഷ്ട പെൺകുട്ടികൾ
catevil,catevil
disturbed,ശല്യപ്പെടുത്തി
red shree,ചുവന്ന ശ്രീ
rahul gandhi,രാഹുൽ ഗാന്ധി
bhasan,ഫ്ലോട്ട്
nehru jacket,നെഹ്രു ജാക്കറ്റ്
bussiness,തിരക്കിലാണ്
work hard,കഠിനാധ്വാനം ചെയ്യുക
black court,കറുത്ത കോടതി
lime water,നാരങ്ങ വെള്ളം
sunny day,സണ്ണി ദിവസം
busy day,തിരക്കേറിയ ദിവസം
:	household,: കുടുംബം
mother love,അമ്മ സ്നേഹം
thing,കാര്യം
cool boy,ശാന്തനായ കുട്ടി
red nikkar,റെഡ് നിക്കർ
ka laadla,പ്രിയ
bigad gya,കേടായി
togetherness,ഒരുമ
similarity,സമാനത
yelllow,യെല്ലോ
dirt fellow,അഴുക്ക് കൂട്ടുകാരൻ
sexual,ലൈംഗിക
MAd woman,മാഡ് സ്ത്രീ
provoked,പ്രകോപിപ്പിച്ചു
take a holiday,അവധി എടുക്കുക
sweet heart,മധുരമുള്ള ഹൃദയം
baabu,ബാബു
swab,കൈലേസിൻറെ
bhokh,വിശപ്പ്
laggi,ഹാംഗർ
wateress,വെള്ളം
Katari Wateress,കറ്റാരി വാട്ടാരെസ്
hostess,ഹോസ്റ്റസ്
candle light,മെഴുകുതിരി വെളിച്ചം
jokar,കോമാളി
budha,ബുദ്ധ
red nose,ചുവന്ന മൂക്ക്
chudal,മന്ത്രവാദി
vampires,വാമ്പയർമാർ
